# Kanten-Gate: je vorgeschriebener Form und Netzstufe.
# peak_node_pM ist der PUNKTWEISE Kantenwert.  Er konvergiert nicht und
# wird nirgends verwendet; er steht hier, damit man das sieht.
shape,Pi,level,n_nodes,n_segments,smallest_d_m,total_force_N,force_beyond_0.10a_N,force_beyond_0.05a_N,force_beyond_0.025a_N,peak_node_pM_Pa,max_tangential_fraction,fit_exponent,fit_r2,fit_d_lo_m,fit_d_hi_m,fit_points
pi-0.50,-5.000000000e-01,3,99716,21,5.815283964e-08,6.060849021e-07,3.472806602e-07,4.394487046e-07,5.135322420e-07,2.441730334e+04,3.275410539e-02,-6.161129214e-01,9.999439104e-01,1.163056793e-07,1.500000000e-06,8
pi-0.50,-5.000000000e-01,4,198376,29,4.161426422e-08,6.194808576e-07,3.449547759e-07,4.371991291e-07,5.123607731e-07,2.967940690e+04,2.064279976e-02,-6.113315743e-01,9.999551677e-01,8.322852845e-08,1.500000000e-06,11
pi+1.50,1.500000000e+00,1,25088,10,1.822802817e-07,1.234856475e-06,1.066823271e-06,1.150614533e-06,1.192735504e-06,1.529478020e+04,3.978875214e-02,0.000000000e+00,0.000000000e+00,3.645605633e-07,1.500000000e-06,2
pi+1.50,1.500000000e+00,2,49775,14,1.279430212e-07,1.257544570e-06,1.084477155e-06,1.169846024e-06,1.213695297e-06,1.567442194e+04,2.786926522e-02,8.414499973e-02,9.360753489e-01,2.558860424e-07,1.500000000e-06,4
pi+1.50,1.500000000e+00,3,99716,21,8.399932974e-08,1.272170060e-06,1.096051361e-06,1.182105702e-06,1.226515973e-06,1.593992235e+04,1.833353574e-02,6.299144949e-02,8.320324513e-01,1.679986595e-07,1.500000000e-06,6
pi+1.50,1.500000000e+00,4,198376,29,6.033377379e-08,1.282005734e-06,1.103407080e-06,1.189508572e-06,1.234440395e-06,1.608700515e+04,1.316979806e-02,5.369585315e-02,7.116314411e-01,1.206675476e-07,1.500000000e-06,9
pi-1.50,-1.500000000e+00,1,25088,10,1.822802817e-07,3.865964406e-07,2.214229521e-07,2.986738702e-07,3.426351554e-07,1.360455951e+04,6.375317098e-02,0.000000000e+00,0.000000000e+00,3.645605633e-07,1.500000000e-06,2
pi-1.50,-1.500000000e+00,2,49775,14,1.279430212e-07,4.158715427e-07,1.958611905e-07,2.929068338e-07,3.543891882e-07,1.852747592e+04,6.081653432e-02,-1.257372737e+00,9.963589545e-01,2.558860424e-07,1.500000000e-06,4
pi-1.50,-1.500000000e+00,3,99716,21,8.399932974e-08,4.393426143e-07,1.851482034e-07,2.801610660e-07,3.551779265e-07,2.596126855e+04,3.918987655e-02,-1.156052896e+00,9.973958787e-01,1.679986595e-07,1.500000000e-06,6
pi-1.50,-1.500000000e+00,4,198376,29,6.033377379e-08,4.595396010e-07,1.798285412e-07,2.569046248e-07,3.490772233e-07,3.402315151e+04,2.679503268e-02,-1.094864138e+00,9.980003466e-01,1.206675476e-07,1.500000000e-06,9
pi+1.90,1.900000000e+00,1,25088,10,3.342870986e-07,1.743704617e-06,1.612404103e-06,1.678054360e-06,1.710879489e-06,2.086623225e+04,4.980382938e-02,0.000000000e+00,0.000000000e+00,6.685741972e-07,1.500000000e-06,1
pi+1.90,1.900000000e+00,2,49775,14,2.430682358e-07,1.772327404e-06,1.645864099e-06,1.709416290e-06,1.740871847e-06,2.150423868e+04,3.481945274e-02,0.000000000e+00,0.000000000e+00,4.861364716e-07,1.500000000e-06,2
pi+1.90,1.900000000e+00,3,99716,21,1.648604665e-07,1.789548219e-06,1.663616131e-06,1.729505573e-06,1.759526896e-06,2.191327311e+04,2.287103552e-02,3.242741849e-01,9.941809015e-01,3.297209330e-07,1.500000000e-06,4
pi+1.90,1.900000000e+00,4,198376,29,1.207277564e-07,1.798889142e-06,1.674485723e-06,1.740111386e-06,1.769607825e-06,2.211840658e+04,1.644623912e-02,3.078442358e-01,9.873270595e-01,2.414555129e-07,1.500000000e-06,6
