# Die konservative Segmentprojektion: Kraft und Flaeche je Segment,
# und der daraus gebildete Segmentdruck.  Diese Groesse konvergiert.
shape,Pi,level,d_mid_m,tau_mid,area_m2,force_N,pressure_Pa
pi-0.50,-5.000000000e-01,4,9.011172648e-07,8.216882312e-01,3.518109071e-12,2.558127400e-08,7.271313506e+03
pi-0.50,-5.000000000e-01,4,7.693172831e-07,8.477686191e-01,3.413557640e-12,2.733087951e-08,8.006567455e+03
pi-0.50,-5.000000000e-01,4,6.453274499e-07,8.723035463e-01,3.302257251e-12,2.943005535e-08,8.912102575e+03
pi-0.50,-5.000000000e-01,4,5.287069098e-07,8.953802486e-01,3.186617665e-12,3.206692613e-08,1.006299767e+04
pi-0.50,-5.000000000e-01,4,4.190036552e-07,9.170881684e-01,3.069566530e-12,3.558179195e-08,1.159179696e+04
pi-0.50,-5.000000000e-01,4,3.158098407e-07,9.375080098e-01,2.949866368e-12,4.059714997e-08,1.376236917e+04
pi-0.50,-5.000000000e-01,4,2.187626496e-07,9.567115663e-01,2.829835228e-12,4.868245378e-08,1.720328212e+04
pi-0.50,-5.000000000e-01,4,1.274787575e-07,9.747746896e-01,2.711623519e-12,6.563194794e-08,2.420393078e+04
pi-0.50,-5.000000000e-01,4,4.161426422e-08,9.917654301e-01,2.593617457e-12,7.614235725e-08,2.935758974e+04
pi+1.50,1.500000000e+00,1,5.405028472e-06,4.399183637e-02,7.764669985e-13,1.183468952e-08,1.524171605e+04
pi+1.50,1.500000000e+00,1,4.856461257e-06,1.410190285e-01,2.992982898e-12,4.561836904e-08,1.524177404e+04
pi+1.50,1.500000000e+00,1,4.190403457e-06,2.588272319e-01,6.666816884e-12,1.002631674e-07,1.503913624e+04
pi+1.50,1.500000000e+00,1,3.435456841e-06,3.923575421e-01,1.061342986e-11,1.556689366e-07,1.466716591e+04
pi+1.50,1.500000000e+00,1,2.706309020e-06,5.213247201e-01,1.218037644e-11,1.723156485e-07,1.414698875e+04
pi+1.50,1.500000000e+00,1,2.067109311e-06,6.343824298e-01,1.280926805e-11,1.730193674e-07,1.350735785e+04
pi+1.50,1.500000000e+00,1,1.505195997e-06,7.337701978e-01,1.283559020e-11,1.644125313e-07,1.280911347e+04
pi+1.50,1.500000000e+00,1,1.009131859e-06,8.215109688e-01,1.251211114e-11,1.515418541e-07,1.211161349e+04
pi+1.50,1.500000000e+00,1,5.703762002e-07,8.991153688e-01,1.190235066e-11,1.373367514e-07,1.153862421e+04
pi+1.50,1.500000000e+00,1,1.822802817e-07,9.677593859e-01,1.116702287e-11,1.228451598e-07,1.100070818e+04
pi+1.50,1.500000000e+00,2,5.480773158e-06,3.059458260e-02,3.757751367e-13,5.872217575e-09,1.562694548e+04
pi+1.50,1.500000000e+00,2,5.110488965e-06,9.608817128e-02,1.344718008e-12,2.106982127e-08,1.566857969e+04
pi+1.50,1.500000000e+00,2,4.687000838e-06,1.709921441e-01,2.736000931e-12,4.265603013e-08,1.559064898e+04
pi+1.50,1.500000000e+00,2,4.199816790e-06,2.571622596e-01,4.726199213e-12,7.279297910e-08,1.540201245e+04
pi+1.50,1.500000000e+00,2,3.652975226e-06,3.538842291e-01,7.070532022e-12,1.069220028e-07,1.512220048e+04
pi+1.50,1.500000000e+00,2,3.104754221e-06,4.508501857e-01,8.192870685e-12,1.208881665e-07,1.475528800e+04
pi+1.50,1.500000000e+00,2,2.604139053e-06,5.393959149e-01,8.806972834e-12,1.260388742e-07,1.431125957e+04
pi+1.50,1.500000000e+00,2,2.148689305e-06,6.199530627e-01,9.126450160e-12,1.261075370e-07,1.381780810e+04
pi+1.50,1.500000000e+00,2,1.733012206e-06,6.934754692e-01,9.218427634e-12,1.225658748e-07,1.329574627e+04
pi+1.50,1.500000000e+00,2,1.353121210e-06,7.606682500e-01,9.134711966e-12,1.165796651e-07,1.276227050e+04
pi+1.50,1.500000000e+00,2,1.005513472e-06,8.221509668e-01,8.935196074e-12,1.093627121e-07,1.223954250e+04
pi+1.50,1.500000000e+00,2,6.871275488e-07,8.784651090e-01,8.642221702e-12,1.017063791e-07,1.176854548e+04
pi+1.50,1.500000000e+00,2,3.954007026e-07,9.300639577e-01,8.289881335e-12,9.521897510e-08,1.148616865e+04
pi+1.50,1.500000000e+00,2,1.279430212e-07,9.773702260e-01,7.899424617e-12,8.976333531e-08,1.136327513e+04
pi+1.50,1.500000000e+00,3,5.541029314e-06,1.993684459e-02,1.596217317e-13,2.535874263e-09,1.588677328e+04
pi+1.50,1.500000000e+00,3,5.305327515e-06,6.162632795e-02,5.381020088e-13,8.572951860e-09,1.593183397e+04
pi+1.50,1.500000000e+00,3,5.047879303e-06,1.071621828e-01,1.022066114e-12,1.626827510e-08,1.591704771e+04
pi+1.50,1.500000000e+00,3,4.766116510e-06,1.569986512e-01,1.637627912e-12,2.596266552e-08,1.585382451e+04
pi+1.50,1.500000000e+00,3,4.457023800e-06,2.116690670e-01,2.419140884e-12,3.809698418e-08,1.574814614e+04
pi+1.50,1.500000000e+00,3,4.117027259e-06,2.718055622e-01,3.409245562e-12,5.316494083e-08,1.559434187e+04
pi+1.50,1.500000000e+00,3,3.746369593e-06,3.373652084e-01,4.547722105e-12,7.000689066e-08,1.539383653e+04
pi+1.50,1.500000000e+00,3,3.370174369e-06,4.039043039e-01,5.167518963e-12,7.828352893e-08,1.514915175e+04
pi+1.50,1.500000000e+00,3,3.014380361e-06,4.668349577e-01,5.556184708e-12,8.259198176e-08,1.486487331e+04
pi+1.50,1.500000000e+00,3,2.680976185e-06,5.258054361e-01,5.827491573e-12,8.480213992e-08,1.455208281e+04
pi+1.50,1.500000000e+00,3,2.368028481e-06,5.811576995e-01,6.006978029e-12,8.540979163e-08,1.421842917e+04
pi+1.50,1.500000000e+00,3,2.073883141e-06,6.331843165e-01,6.107009629e-12,8.469861739e-08,1.386908201e+04
pi+1.50,1.500000000e+00,3,1.797109400e-06,6.821383521e-01,6.146653469e-12,8.303374357e-08,1.350877253e+04
pi+1.50,1.500000000e+00,3,1.536469496e-06,7.282387337e-01,6.131161900e-12,8.057779814e-08,1.314233737e+04
pi+1.50,1.500000000e+00,3,1.290869462e-06,7.716789560e-01,6.076608520e-12,7.763054834e-08,1.277530848e+04
pi+1.50,1.500000000e+00,3,1.059295342e-06,8.126383607e-01,5.986066409e-12,7.431627300e-08,1.241487614e+04
pi+1.50,1.500000000e+00,3,8.408585988e-07,8.512741072e-01,5.870098397e-12,7.086272714e-08,1.207181249e+04
pi+1.50,1.500000000e+00,3,6.347830557e-07,8.877234807e-01,5.728569277e-12,6.739864307e-08,1.176535358e+04
pi+1.50,1.500000000e+00,3,4.403911361e-07,9.221063268e-01,5.570292658e-12,6.427605162e-08,1.153907982e+04
pi+1.50,1.500000000e+00,3,2.570123095e-07,9.545412448e-01,5.397986645e-12,6.232102988e-08,1.154523603e+04
pi+1.50,1.500000000e+00,3,8.399932974e-08,9.851427156e-01,5.218216187e-12,6.135860302e-08,1.175853986e+04
pi+1.50,1.500000000e+00,4,5.573110280e-06,1.426256087e-02,8.170049853e-14,1.310373023e-09,1.603873963e+04
pi+1.50,1.500000000e+00,4,5.406582538e-06,4.371696272e-02,2.666830819e-13,4.287568372e-09,1.607739172e+04
pi+1.50,1.500000000e+00,4,5.229171290e-06,7.509637212e-02,4.879047237e-13,7.844702018e-09,1.607834816e+04
pi+1.50,1.500000000e+00,4,5.040000391e-06,1.085557563e-01,7.519651640e-13,1.207088048e-08,1.605244639e+04
pi+1.50,1.500000000e+00,4,4.838048418e-06,1.442757781e-01,1.066289604e-12,1.706889656e-08,1.600774920e+04
pi+1.50,1.500000000e+00,4,4.622244862e-06,1.824457825e-01,1.439288195e-12,2.294650271e-08,1.594295207e+04
pi+1.50,1.500000000e+00,4,4.391314506e-06,2.232913224e-01,1.882928083e-12,2.985418406e-08,1.585519082e+04
pi+1.50,1.500000000e+00,4,4.143741824e-06,2.670804544e-01,2.410244984e-12,3.793880720e-08,1.574064357e+04
pi+1.50,1.500000000e+00,4,3.877888295e-06,3.141029901e-01,3.036052347e-12,4.735692595e-08,1.559819151e+04
pi+1.50,1.500000000e+00,4,3.601490152e-06,3.629905921e-01,3.519469774e-12,5.430437907e-08,1.542970463e+04
pi+1.50,1.500000000e+00,4,3.330730894e-06,4.108808228e-01,3.776844075e-12,5.754938242e-08,1.523742608e+04
pi+1.50,1.500000000e+00,4,3.072711454e-06,4.565177131e-01,3.982830431e-12,5.984605236e-08,1.502601062e+04
pi+1.50,1.500000000e+00,4,2.826525743e-06,5.000615263e-01,4.143957248e-12,6.133141192e-08,1.480020383e+04
pi+1.50,1.500000000e+00,4,2.591487578e-06,5.416336299e-01,4.263174271e-12,6.208207670e-08,1.456240650e+04
pi+1.50,1.500000000e+00,4,2.366923976e-06,5.813530576e-01,4.351316350e-12,6.228728841e-08,1.431458515e+04
pi+1.50,1.500000000e+00,4,2.152168643e-06,6.193376589e-01,4.409694167e-12,6.199410241e-08,1.405859456e+04
pi+1.50,1.500000000e+00,4,1.946729475e-06,6.556744742e-01,4.441043621e-12,6.126922975e-08,1.379613329e+04
pi+1.50,1.500000000e+00,4,1.750078765e-06,6.904568413e-01,4.453608654e-12,6.025289150e-08,1.352900450e+04
pi+1.50,1.500000000e+00,4,1.561762033e-06,7.237651455e-01,4.444093784e-12,5.892468071e-08,1.325909928e+04
pi+1.50,1.500000000e+00,4,1.381401096e-06,7.556662778e-01,4.419683734e-12,5.740514179e-08,1.298851801e+04
pi+1.50,1.500000000e+00,4,1.208589546e-06,7.862321210e-01,4.380834193e-12,5.572337698e-08,1.271980964e+04
pi+1.50,1.500000000e+00,4,1.042967548e-06,8.155263204e-01,4.330651897e-12,5.394345637e-08,1.245619774e+04
pi+1.50,1.500000000e+00,4,8.842132273e-07,8.436058074e-01,4.269101883e-12,5.209223927e-08,1.220215415e+04
pi+1.50,1.500000000e+00,4,7.320453497e-07,8.705203249e-01,4.198518671e-12,5.023261842e-08,1.196436704e+04
pi+1.50,1.500000000e+00,4,5.861539064e-07,8.963247053e-01,4.122192220e-12,4.845235938e-08,1.175402718e+04
pi+1.50,1.500000000e+00,4,4.462721207e-07,9.210661345e-01,4.038001934e-12,4.681026443e-08,1.159243239e+04
pi+1.50,1.500000000e+00,4,3.121785679e-07,9.447837766e-01,3.948650895e-12,4.552589569e-08,1.152948106e+04
pi+1.50,1.500000000e+00,4,1.836080121e-07,9.675245451e-01,3.856894109e-12,4.529357974e-08,1.174353728e+04
pi+1.50,1.500000000e+00,4,6.033377379e-08,9.893285335e-01,3.760266070e-12,4.600646639e-08,1.223489656e+04
pi-1.50,-1.500000000e+00,1,5.405028472e-06,4.399183637e-02,7.764669985e-13,6.570934901e-10,8.462606799e+02
pi-1.50,-1.500000000e+00,1,4.856461257e-06,1.410190285e-01,2.992982898e-12,2.617886938e-09,8.746748738e+02
pi-1.50,-1.500000000e+00,1,4.190403457e-06,2.588272319e-01,6.666816884e-12,6.352955031e-09,9.529217827e+02
pi-1.50,-1.500000000e+00,1,3.435456841e-06,3.923575421e-01,1.061342986e-11,1.171029477e-08,1.103346884e+03
pi-1.50,-1.500000000e+00,1,2.706309020e-06,5.213247201e-01,1.218037644e-11,1.664032149e-08,1.366158228e+03
pi-1.50,-1.500000000e+00,1,2.067109311e-06,6.343824298e-01,1.280926805e-11,2.317952767e-08,1.809590335e+03
pi-1.50,-1.500000000e+00,1,1.505195997e-06,7.337701978e-01,1.283559020e-11,3.312587994e-08,2.580783542e+03
pi-1.50,-1.500000000e+00,1,1.009131859e-06,8.215109688e-01,1.251211114e-11,5.176693544e-08,4.137346197e+03
pi-1.50,-1.500000000e+00,1,5.703762002e-07,8.991153688e-01,1.190235066e-11,1.123331387e-07,9.437895248e+03
pi-1.50,-1.500000000e+00,1,1.822802817e-07,9.677593859e-01,1.116702287e-11,1.282124070e-07,1.148134185e+04
pi-1.50,-1.500000000e+00,2,5.480773158e-06,3.059458260e-02,3.757751367e-13,3.070089825e-10,8.170018515e+02
pi-1.50,-1.500000000e+00,2,5.110488965e-06,9.608817128e-02,1.344718008e-12,1.111286861e-09,8.264088491e+02
pi-1.50,-1.500000000e+00,2,4.687000838e-06,1.709921441e-01,2.736000931e-12,2.340247298e-09,8.553532536e+02
pi-1.50,-1.500000000e+00,2,4.199816790e-06,2.571622596e-01,4.726199213e-12,4.315987619e-09,9.132047603e+02
pi-1.50,-1.500000000e+00,2,3.652975226e-06,3.538842291e-01,7.070532022e-12,7.129717619e-09,1.008370742e+03
pi-1.50,-1.500000000e+00,2,3.104754221e-06,4.508501857e-01,8.192870685e-12,9.452983311e-09,1.153805995e+03
pi-1.50,-1.500000000e+00,2,2.604139053e-06,5.393959149e-01,8.806972834e-12,1.202831343e-08,1.365771606e+03
pi-1.50,-1.500000000e+00,2,2.148689305e-06,6.199530627e-01,9.126450160e-12,1.521183407e-08,1.666785421e+03
pi-1.50,-1.500000000e+00,2,1.733012206e-06,6.934754692e-01,9.218427634e-12,1.938261171e-08,2.102594117e+03
pi-1.50,-1.500000000e+00,2,1.353121210e-06,7.606682500e-01,9.134711966e-12,2.524378763e-08,2.763501217e+03
pi-1.50,-1.500000000e+00,2,1.005513472e-06,8.221509668e-01,8.935196074e-12,3.440700683e-08,3.850727677e+03
pi-1.50,-1.500000000e+00,2,6.871275488e-07,8.784651090e-01,8.642221702e-12,5.146415220e-08,5.954967828e+03
pi-1.50,-1.500000000e+00,2,3.954007026e-07,9.300639577e-01,8.289881335e-12,1.076167943e-07,1.298170504e+04
pi-1.50,-1.500000000e+00,2,1.279430212e-07,9.773702260e-01,7.899424617e-12,1.258598109e-07,1.593278206e+04
pi-1.50,-1.500000000e+00,3,5.541029314e-06,1.993684459e-02,1.596217317e-13,1.272172175e-10,7.969918392e+02
pi-1.50,-1.500000000e+00,3,5.305327515e-06,6.162632795e-02,5.381020088e-13,4.301168274e-10,7.993220995e+02
pi-1.50,-1.500000000e+00,3,5.047879303e-06,1.071621828e-01,1.022066114e-12,8.264111510e-10,8.085691713e+02
pi-1.50,-1.500000000e+00,3,4.766116510e-06,1.569986512e-01,1.637627912e-12,1.353349708e-09,8.264085498e+02
pi-1.50,-1.500000000e+00,3,4.457023800e-06,2.116690670e-01,2.419140884e-12,2.068992800e-09,8.552593251e+02
pi-1.50,-1.500000000e+00,3,4.117027259e-06,2.718055622e-01,3.409245562e-12,3.065623197e-09,8.992086787e+02
pi-1.50,-1.500000000e+00,3,3.746369593e-06,3.373652084e-01,4.547722105e-12,4.372768178e-09,9.615293278e+02
pi-1.50,-1.500000000e+00,3,3.370174369e-06,4.039043039e-01,5.167518963e-12,5.404127835e-09,1.045787712e+03
pi-1.50,-1.500000000e+00,3,3.014380361e-06,4.668349577e-01,5.556184708e-12,6.419403961e-09,1.155361871e+03
pi-1.50,-1.500000000e+00,3,2.680976185e-06,5.258054361e-01,5.827491573e-12,7.537377634e-09,1.293417166e+03
pi-1.50,-1.500000000e+00,3,2.368028481e-06,5.811576995e-01,6.006978029e-12,8.809432246e-09,1.466533123e+03
pi-1.50,-1.500000000e+00,3,2.073883141e-06,6.331843165e-01,6.107009629e-12,1.029015373e-08,1.684974210e+03
pi-1.50,-1.500000000e+00,3,1.797109400e-06,6.821383521e-01,6.146653469e-12,1.207189557e-08,1.963978550e+03
pi-1.50,-1.500000000e+00,3,1.536469496e-06,7.282387337e-01,6.131161900e-12,1.426741960e-08,2.327033576e+03
pi-1.50,-1.500000000e+00,3,1.290869462e-06,7.716789560e-01,6.076608520e-12,1.708781901e-08,2.812065144e+03
pi-1.50,-1.500000000e+00,3,1.059295342e-06,8.126383607e-01,5.986066409e-12,2.086022920e-08,3.484797490e+03
pi-1.50,-1.500000000e+00,3,8.408585988e-07,8.512741072e-01,5.870098397e-12,2.624259504e-08,4.470554540e+03
pi-1.50,-1.500000000e+00,3,6.347830557e-07,8.877234807e-01,5.728569277e-12,3.464276895e-08,6.047368422e+03
pi-1.50,-1.500000000e+00,3,4.403911361e-07,9.221063268e-01,5.570292658e-12,5.033977720e-08,9.037187144e+03
pi-1.50,-1.500000000e+00,3,2.570123095e-07,9.545412448e-01,5.397986645e-12,1.000086975e-07,1.852703684e+04
pi-1.50,-1.500000000e+00,3,8.399932974e-08,9.851427156e-01,5.218216187e-12,1.131164378e-07,2.167722336e+04
pi-1.50,-1.500000000e+00,4,5.573110280e-06,1.426256087e-02,8.170049853e-14,6.405850088e-11,7.840649939e+02
pi-1.50,-1.500000000e+00,4,5.406582538e-06,4.371696272e-02,2.666830819e-13,2.092079216e-10,7.844814154e+02
pi-1.50,-1.500000000e+00,4,5.229171290e-06,7.509637212e-02,4.879047237e-13,3.846513655e-10,7.883739321e+02
pi-1.50,-1.500000000e+00,4,5.040000391e-06,1.085557563e-01,7.519651640e-13,5.985956948e-10,7.960417895e+02
pi-1.50,-1.500000000e+00,4,4.838048418e-06,1.442757781e-01,1.066289604e-12,8.613759583e-10,8.078255240e+02
pi-1.50,-1.500000000e+00,4,4.622244862e-06,1.824457825e-01,1.439288195e-12,1.186909098e-09,8.246500611e+02
pi-1.50,-1.500000000e+00,4,4.391314506e-06,2.232913224e-01,1.882928083e-12,1.596474829e-09,8.478681917e+02
pi-1.50,-1.500000000e+00,4,4.143741824e-06,2.670804544e-01,2.410244984e-12,2.119583280e-09,8.794057428e+02
pi-1.50,-1.500000000e+00,4,3.877888295e-06,3.141029901e-01,3.036052347e-12,2.796184654e-09,9.209935583e+02
pi-1.50,-1.500000000e+00,4,3.601490152e-06,3.629905921e-01,3.519469774e-12,3.427266434e-09,9.738019230e+02
pi-1.50,-1.500000000e+00,4,3.330730894e-06,4.108808228e-01,3.776844075e-12,3.923624285e-09,1.038863190e+03
pi-1.50,-1.500000000e+00,4,3.072711454e-06,4.565177131e-01,3.982830431e-12,4.447646787e-09,1.116705033e+03
pi-1.50,-1.500000000e+00,4,2.826525743e-06,5.000615263e-01,4.143957248e-12,5.007438330e-09,1.208371137e+03
pi-1.50,-1.500000000e+00,4,2.591487578e-06,5.416336299e-01,4.263174271e-12,5.610992449e-09,1.316153667e+03
pi-1.50,-1.500000000e+00,4,2.366923976e-06,5.813530576e-01,4.351316350e-12,6.279144113e-09,1.443044727e+03
pi-1.50,-1.500000000e+00,4,2.152168643e-06,6.193376589e-01,4.409694167e-12,7.024451788e-09,1.592956682e+03
pi-1.50,-1.500000000e+00,4,1.946729475e-06,6.556744742e-01,4.441043621e-12,7.865685751e-09,1.771134540e+03
pi-1.50,-1.500000000e+00,4,1.750078765e-06,6.904568413e-01,4.453608654e-12,8.838503390e-09,1.984571182e+03
pi-1.50,-1.500000000e+00,4,1.561762033e-06,7.237651455e-01,4.444093784e-12,9.967751880e-09,2.242921137e+03
pi-1.50,-1.500000000e+00,4,1.381401096e-06,7.556662778e-01,4.419683734e-12,1.131358012e-08,2.559816675e+03
pi-1.50,-1.500000000e+00,4,1.208589546e-06,7.862321210e-01,4.380834193e-12,1.294593924e-08,2.955131071e+03
pi-1.50,-1.500000000e+00,4,1.042967548e-06,8.155263204e-01,4.330651897e-12,1.498022747e-08,3.459116047e+03
pi-1.50,-1.500000000e+00,4,8.842132273e-07,8.436058074e-01,4.269101883e-12,1.758977902e-08,4.120252807e+03
pi-1.50,-1.500000000e+00,4,7.320453497e-07,8.705203249e-01,4.198518671e-12,2.108538353e-08,5.022100693e+03
pi-1.50,-1.500000000e+00,4,5.861539064e-07,8.963247053e-01,4.122192220e-12,2.606535759e-08,6.323178590e+03
pi-1.50,-1.500000000e+00,4,4.462721207e-07,9.210661345e-01,4.038001934e-12,3.381201956e-08,8.373453039e+03
pi-1.50,-1.500000000e+00,4,3.121785679e-07,9.447837766e-01,3.948650895e-12,4.816942024e-08,1.219895644e+04
pi-1.50,-1.500000000e+00,4,1.836080121e-07,9.675245451e-01,3.856894109e-12,9.414620635e-08,2.440984992e+04
pi-1.50,-1.500000000e+00,4,6.033377379e-08,9.893285335e-01,3.760266070e-12,1.072221414e-07,2.851450919e+04
pi+1.90,1.900000000e+00,1,6.347119663e-06,3.772885990e-02,7.767948669e-13,1.614110764e-08,2.077911213e+04
pi+1.90,1.900000000e+00,1,5.797027916e-06,1.211269114e-01,3.006174700e-12,6.232333383e-08,2.073177378e+04
pi+1.90,1.900000000e+00,1,5.123796522e-06,2.231938606e-01,6.769973853e-12,1.372724345e-07,2.027665652e+04
pi+1.90,1.900000000e+00,1,4.347949051e-06,3.408181801e-01,1.102144438e-11,2.146402812e-07,1.947478695e+04
pi+1.90,1.900000000e+00,1,3.577686990e-06,4.575957093e-01,1.310588840e-11,2.404208845e-07,1.834449349e+04
pi+1.90,1.900000000e+00,1,2.873615846e-06,5.643381970e-01,1.447051937e-11,2.446126361e-07,1.690420571e+04
pi+1.90,1.900000000e+00,1,2.218444882e-06,6.636670490e-01,1.548337844e-11,2.356480370e-07,1.521941984e+04
pi+1.90,1.900000000e+00,1,1.593476091e-06,7.584170244e-01,1.650862040e-11,2.195641439e-07,1.329996927e+04
pi+1.90,1.900000000e+00,1,9.772971485e-07,8.518343924e-01,1.784609528e-11,1.975134867e-07,1.106760238e+04
pi+1.90,1.900000000e+00,1,3.342870986e-07,9.493195584e-01,2.046818845e-11,1.755682719e-07,8.577616546e+03
pi+1.90,1.900000000e+00,2,6.422957364e-06,2.623129328e-02,3.758517310e-13,8.050610306e-09,2.141964408e+04
pi+1.90,1.900000000e+00,2,6.052209004e-06,8.243953670e-02,1.347440791e-12,2.894139702e-08,2.147878943e+04
pi+1.90,1.900000000e+00,2,5.626801476e-06,1.469345217e-01,2.753842414e-12,5.865569022e-08,2.129958124e+04
pi+1.90,1.900000000e+00,2,5.134097523e-06,2.216321514e-01,4.798147386e-12,1.002643045e-07,2.089646200e+04
pi+1.90,1.900000000e+00,2,4.574493244e-06,3.064723744e-01,7.285280861e-12,1.479239014e-07,2.030448849e+04
pi+1.90,1.900000000e+00,2,4.003575772e-06,3.930277627e-01,8.626760512e-12,1.684285996e-07,1.952396840e+04
pi+1.90,1.900000000e+00,2,3.469262421e-06,4.740336904e-01,9.535190589e-12,1.769859811e-07,1.856134699e+04
pi+1.90,1.900000000e+00,2,2.967760667e-06,5.500651332e-01,1.022981776e-11,1.785828755e-07,1.745709255e+04
pi+1.90,1.900000000e+00,2,2.491993458e-06,6.221950249e-01,1.078584463e-11,1.750865174e-07,1.623299087e+04
pi+1.90,1.900000000e+00,2,2.035832449e-06,6.913524691e-01,1.127171458e-11,1.678748964e-07,1.489346586e+04
pi+1.90,1.900000000e+00,2,1.592673938e-06,7.585386368e-01,1.178635781e-11,1.583237123e-07,1.343279364e+04
pi+1.90,1.900000000e+00,2,1.154646722e-06,8.249468615e-01,1.241972020e-11,1.469091449e-07,1.182870004e+04
pi+1.90,1.900000000e+00,2,7.109976755e-07,8.922073980e-01,1.335803483e-11,1.339662259e-07,1.002888730e+04
pi+1.90,1.900000000e+00,2,2.430682358e-07,9.631490249e-01,1.500304227e-11,1.223335473e-07,8.153916058e+03
pi+1.90,1.900000000e+00,3,6.483247534e-06,1.709084940e-02,1.596355332e-13,3.483858775e-09,2.182383023e+04
pi+1.90,1.900000000e+00,3,6.247426611e-06,5.284307733e-02,5.385478168e-13,1.179541318e-08,2.190225791e+04
pi+1.90,1.900000000e+00,3,5.989527673e-06,9.194249843e-02,1.024642832e-12,2.240189637e-08,2.186312699e+04
pi+1.90,1.900000000e+00,3,5.706606983e-06,1.348354057e-01,1.646586618e-12,3.577833863e-08,2.172879230e+04
pi+1.90,1.900000000e+00,3,5.395054527e-06,1.820691043e-01,2.443605597e-12,5.255832860e-08,2.150851539e+04
pi+1.90,1.900000000e+00,3,5.050351090e-06,2.343287413e-01,3.467523453e-12,7.347314127e-08,2.118893852e+04
pi+1.90,1.900000000e+00,3,4.671365491e-06,2.917858121e-01,4.671742737e-12,9.704111895e-08,2.077193125e+04
pi+1.90,1.900000000e+00,3,4.282376902e-06,3.507594116e-01,5.378674628e-12,1.089727910e-07,2.026015673e+04
pi+1.90,1.900000000e+00,3,3.909152335e-06,4.073430668e-01,5.875520606e-12,1.155052146e-07,1.965872002e+04
pi+1.90,1.900000000e+00,3,3.553361657e-06,4.612836129e-01,6.277769915e-12,1.191896361e-07,1.898598352e+04
pi+1.90,1.900000000e+00,3,3.212656060e-06,5.129371473e-01,6.611746426e-12,1.206841883e-07,1.825299709e+04
pi+1.90,1.900000000e+00,3,2.884932331e-06,5.626225326e-01,6.890567484e-12,1.203414998e-07,1.746467183e+04
pi+1.90,1.900000000e+00,3,2.568237556e-06,6.106358454e-01,7.136085087e-12,1.186281645e-07,1.662370377e+04
pi+1.90,1.900000000e+00,3,2.260709786e-06,6.572593714e-01,7.356156133e-12,1.157197345e-07,1.573100576e+04
pi+1.90,1.900000000e+00,3,1.960467547e-06,7.027783560e-01,7.573567090e-12,1.119812058e-07,1.478579440e+04
pi+1.90,1.900000000e+00,3,1.665471062e-06,7.475020447e-01,7.798982092e-12,1.075116644e-07,1.378534573e+04
pi+1.90,1.900000000e+00,3,1.373455823e-06,7.917737539e-01,8.057461835e-12,1.025258204e-07,1.272433212e+04
pi+1.90,1.900000000e+00,3,1.081748001e-06,8.359988566e-01,8.368149773e-12,9.701510403e-08,1.159337568e+04
pi+1.90,1.900000000e+00,3,7.869111931e-07,8.806983370e-01,8.777165613e-12,9.107096516e-08,1.037589686e+04
pi+1.90,1.900000000e+00,3,4.839625790e-07,9.266276284e-01,9.352497161e-12,8.468086543e-08,9.054358849e+03
pi+1.90,1.900000000e+00,3,1.648604665e-07,9.750059117e-01,1.024007745e-11,7.918926894e-08,7.733268554e+03
pi+1.90,1.900000000e+00,4,6.515336739e-06,1.222588436e-02,8.170411241e-14,1.800226880e-09,2.203349167e+04
pi+1.90,1.900000000e+00,4,6.348767056e-06,3.747910265e-02,2.667940664e-13,5.896842659e-09,2.210260048e+04
pi+1.90,1.900000000e+00,4,6.171204140e-06,6.439897794e-02,4.885057093e-13,1.079539567e-08,2.209881168e+04
pi+1.90,1.900000000e+00,4,5.981664000e-06,9.313469061e-02,7.539104260e-13,1.661880902e-08,2.204347950e+04
pi+1.90,1.900000000e+00,4,5.778974474e-06,1.238639492e-01,1.071198219e-12,2.351404519e-08,2.195116157e+04
pi+1.90,1.900000000e+00,4,5.561855498e-06,1.567808210e-01,1.449993388e-12,3.163646872e-08,2.181835378e+04
pi+1.90,1.900000000e+00,4,5.328739254e-06,1.921229991e-01,1.904198556e-12,4.120437880e-08,2.163869868e+04
pi+1.90,1.900000000e+00,4,5.077698920e-06,2.301826043e-01,2.449914925e-12,5.243755935e-08,2.140382869e+04
pi+1.90,1.900000000e+00,4,4.806514247e-06,2.712962429e-01,3.106821309e-12,6.558772737e-08,2.111087856e+04
pi+1.90,1.900000000e+00,4,4.522446449e-06,3.143630604e-01,3.632283959e-12,7.541633376e-08,2.076278579e+04
pi+1.90,1.900000000e+00,4,4.241617813e-06,3.569387966e-01,3.937268201e-12,8.017294675e-08,2.036258204e+04
pi+1.90,1.900000000e+00,4,3.971121355e-06,3.979480966e-01,4.199582142e-12,8.364757628e-08,1.991807124e+04
pi+1.90,1.900000000e+00,4,3.709892699e-06,4.375523281e-01,4.425764930e-12,8.602551278e-08,1.943743379e+04
pi+1.90,1.900000000e+00,4,3.457095961e-06,4.758782175e-01,4.618585035e-12,8.740154320e-08,1.892387875e+04
pi+1.90,1.900000000e+00,4,3.211898179e-06,5.130520477e-01,4.789486993e-12,8.802819054e-08,1.837946124e+04
pi+1.90,1.900000000e+00,4,2.973455654e-06,5.492017301e-01,4.939909582e-12,8.795879146e-08,1.780574928e+04
pi+1.90,1.900000000e+00,4,2.741091134e-06,5.844299413e-01,5.072914993e-12,8.727240818e-08,1.720360154e+04
