# Die konservative Segmentprojektion: Kraft und Flaeche je Segment,
# und der daraus gebildete Segmentdruck.  Diese Groesse konvergiert.
shape,Pi,level,d_mid_m,tau_mid,area_m2,force_N,pressure_Pa
pi+0.00,0.000000000e+00,2,9.929945801e-07,8.014010840e-01,7.299030507e-12,6.225758484e-08,8.529569068e+03
pi+0.00,0.000000000e+00,2,7.206598509e-07,8.558680298e-01,6.849904356e-12,6.710916579e-08,9.797095303e+03
pi+0.00,0.000000000e+00,2,4.814005075e-07,9.037198985e-01,6.352833950e-12,7.445494041e-08,1.171995695e+04
pi+0.00,0.000000000e+00,2,2.712069916e-07,9.457586017e-01,5.842138907e-12,8.955777419e-08,1.532962081e+04
pi+0.00,0.000000000e+00,2,8.644690958e-08,9.827106181e-01,5.337710177e-12,1.005370418e-07,1.883523804e+04
pi+0.00,0.000000000e+00,3,4.887303601e-06,2.253927972e-02,1.595989167e-13,8.196660860e-10,5.135787277e+03
pi+0.00,0.000000000e+00,3,4.651798170e-06,6.964036597e-02,5.373672858e-13,2.767667532e-09,5.150420587e+03
pi+0.00,0.000000000e+00,3,4.395088828e-06,1.209822345e-01,1.017848290e-12,5.271782494e-09,5.179340128e+03
pi+0.00,0.000000000e+00,3,4.115205583e-06,1.769588835e-01,1.623133830e-12,8.485817566e-09,5.228045529e+03
pi+0.00,0.000000000e+00,3,3.810043846e-06,2.379912309e-01,2.380269077e-12,1.262360930e-08,5.303437928e+03
pi+0.00,0.000000000e+00,3,3.477396741e-06,3.045206519e-01,3.319072582e-12,1.797095749e-08,5.414451492e+03
pi+0.00,0.000000000e+00,3,3.119322072e-06,3.761355857e-01,4.362856860e-12,2.428293665e-08,5.565833907e+03
pi+0.00,0.000000000e+00,3,2.761671920e-06,4.476656159e-01,4.867316792e-12,2.803933491e-08,5.760737612e+03
pi+0.00,0.000000000e+00,3,2.429900384e-06,5.140199232e-01,5.126402295e-12,3.076167423e-08,6.000636013e+03
pi+0.00,0.000000000e+00,3,2.125614215e-06,5.748771569e-01,5.257656940e-12,3.304495593e-08,6.285110708e+03
pi+0.00,0.000000000e+00,3,1.846512165e-06,6.306975671e-01,5.292053331e-12,3.502789326e-08,6.618960745e+03
pi+0.00,0.000000000e+00,3,1.590492664e-06,6.819014672e-01,5.247494798e-12,3.678950353e-08,7.010869938e+03
pi+0.00,0.000000000e+00,3,1.355638787e-06,7.288722427e-01,5.146507589e-12,3.846308776e-08,7.473628884e+03
pi+0.00,0.000000000e+00,3,1.140204839e-06,7.719590321e-01,4.998585645e-12,4.012046271e-08,8.026362968e+03
pi+0.00,0.000000000e+00,3,9.425923419e-07,8.114815316e-01,4.821144799e-12,4.193630054e-08,8.698411328e+03
pi+0.00,0.000000000e+00,3,7.613016297e-07,8.477396741e-01,4.619899326e-12,4.406057695e-08,9.537129241e+03
pi+0.00,0.000000000e+00,3,5.949780772e-07,8.810043846e-01,4.405682271e-12,4.680775454e-08,1.062440541e+04
pi+0.00,0.000000000e+00,3,4.423972087e-07,9.115205583e-01,4.180405714e-12,5.065769550e-08,1.211788974e+04
pi+0.00,0.000000000e+00,3,3.024555861e-07,9.395088828e-01,3.952140222e-12,5.681326949e-08,1.437531725e+04
pi+0.00,0.000000000e+00,3,1.741009149e-07,9.651798170e-01,3.723817727e-12,6.919979564e-08,1.858302439e+04
pi+0.00,0.000000000e+00,3,5.634819930e-08,9.887303601e-01,3.500562050e-12,7.869559329e-08,2.248084512e+04
pi+0.00,0.000000000e+00,4,4.919370951e-06,1.612580976e-02,8.169452213e-14,4.194589145e-10,5.134480301e+03
pi+0.00,0.000000000e+00,4,4.752912472e-06,4.941750566e-02,2.664998205e-13,1.370225359e-09,5.141562034e+03
pi+0.00,0.000000000e+00,4,4.575751029e-06,8.484979421e-02,4.869155981e-13,2.510106145e-09,5.155115496e+03
pi+0.00,0.000000000e+00,4,4.387185536e-06,1.225628927e-01,7.487808054e-13,3.876433770e-09,5.176994044e+03
pi+0.00,0.000000000e+00,4,4.186434545e-06,1.627130910e-01,1.058318005e-12,5.512872489e-09,5.209088820e+03
pi+0.00,0.000000000e+00,4,3.972752124e-06,2.054495751e-01,1.422094306e-12,7.471405771e-09,5.253804716e+03
pi+0.00,0.000000000e+00,4,3.745300096e-06,2.509399809e-01,1.849268824e-12,9.827527298e-09,5.314277281e+03
pi+0.00,0.000000000e+00,4,3.503149321e-06,2.993701358e-01,2.348682916e-12,1.267041096e-08,5.394687752e+03
pi+0.00,0.000000000e+00,4,3.245442909e-06,3.509114181e-01,2.928972159e-12,1.610371186e-08,5.498076110e+03
pi+0.00,0.000000000e+00,4,2.980440358e-06,4.039119284e-01,3.354022006e-12,1.886742935e-08,5.625314717e+03
pi+0.00,0.000000000e+00,4,2.724155550e-06,4.551688900e-01,3.549864210e-12,2.050576729e-08,5.776493431e+03
pi+0.00,0.000000000e+00,4,2.483410194e-06,5.033179613e-01,3.688048466e-12,2.194531522e-08,5.950386885e+03
pi+0.00,0.000000000e+00,4,2.257210250e-06,5.485579499e-01,3.776870424e-12,2.321520993e-08,6.146678949e+03
pi+0.00,0.000000000e+00,4,2.044733776e-06,5.910532447e-01,3.821278254e-12,2.433112611e-08,6.367274114e+03
pi+0.00,0.000000000e+00,4,1.845151305e-06,6.309697390e-01,3.833100240e-12,2.535504337e-08,6.614761365e+03
pi+0.00,0.000000000e+00,4,1.657628654e-06,6.684742692e-01,3.815290495e-12,2.629714911e-08,6.892567983e+03
pi+0.00,0.000000000e+00,4,1.481481659e-06,7.037036681e-01,3.771979431e-12,2.717839656e-08,7.205340605e+03
pi+0.00,0.000000000e+00,4,1.315996552e-06,7.368006896e-01,3.711673545e-12,2.805701985e-08,7.559129194e+03
pi+0.00,0.000000000e+00,4,1.160525451e-06,7.678949098e-01,3.632897751e-12,2.892555211e-08,7.962115670e+03
pi+0.00,0.000000000e+00,4,1.014492267e-06,7.971015466e-01,3.542759732e-12,2.984953481e-08,8.425503582e+03
