# Knoten des beweglichen Netzes in einem Fenster um die Austrittskante.
shape,i,j,r_m,z_m
pi+0.00,30,109,1.683431449e-05,-4.628010234e-05
pi+0.00,31,109,1.730051941e-05,-4.628010234e-05
pi+0.00,32,109,1.771335039e-05,-4.628010234e-05
pi+0.00,33,109,1.787185735e-05,-4.628010234e-05
pi+0.00,34,109,1.805111475e-05,-4.628010234e-05
pi+0.00,35,109,1.825423800e-05,-4.628010234e-05
pi+0.00,36,109,1.848407353e-05,-4.628010234e-05
pi+0.00,37,109,1.874427011e-05,-4.628010234e-05
pi+0.00,38,109,1.903901022e-05,-4.628010234e-05
pi+0.00,0,110,0.000000000e+00,-4.074964649e-05
pi+0.00,1,110,3.457928304e-07,-4.074964649e-05
pi+0.00,2,110,7.390462315e-07,-4.074964649e-05
pi+0.00,3,110,1.186568459e-06,-4.074964649e-05
pi+0.00,4,110,1.696085312e-06,-4.074964649e-05
pi+0.00,5,110,2.242036574e-06,-4.074964649e-05
pi+0.00,6,110,2.728788634e-06,-4.074964649e-05
pi+0.00,7,110,3.156170042e-06,-4.074964649e-05
pi+0.00,8,110,3.531869760e-06,-4.074964649e-05
pi+0.00,9,110,3.862049691e-06,-4.074964649e-05
pi+0.00,10,110,4.151961149e-06,-4.074964649e-05
pi+0.00,11,110,4.406719149e-06,-4.074964649e-05
pi+0.00,12,110,4.630479836e-06,-4.074964649e-05
pi+0.00,13,110,4.827106181e-06,-4.074964649e-05
pi+0.00,14,110,5.000000000e-06,-4.074964649e-05
pi+0.00,15,110,5.382899933e-06,-4.074964649e-05
pi+0.00,16,110,5.815304085e-06,-4.074964649e-05
pi+0.00,17,110,6.303848715e-06,-4.074964649e-05
pi+0.00,18,110,6.855815134e-06,-4.074964649e-05
pi+0.00,19,110,7.479413505e-06,-4.074964649e-05
pi+0.00,20,110,8.184520809e-06,-4.074964649e-05
pi+0.00,21,110,8.980674129e-06,-4.074964649e-05
pi+0.00,22,110,9.880102638e-06,-4.074964649e-05
pi+0.00,23,110,1.089580387e-05,-4.074964649e-05
pi+0.00,24,110,1.191150511e-05,-4.074964649e-05
pi+0.00,25,110,1.281093362e-05,-4.074964649e-05
pi+0.00,26,110,1.360708694e-05,-4.074964649e-05
pi+0.00,27,110,1.431219424e-05,-4.074964649e-05
pi+0.00,28,110,1.493579261e-05,-4.074964649e-05
pi+0.00,29,110,1.548775903e-05,-4.074964649e-05
pi+0.00,30,110,1.597630366e-05,-4.074964649e-05
pi+0.00,31,110,1.640870782e-05,-4.074964649e-05
pi+0.00,32,110,1.679160775e-05,-4.074964649e-05
pi+0.00,33,110,1.695091621e-05,-4.074964649e-05
pi+0.00,34,110,1.713108004e-05,-4.074964649e-05
pi+0.00,35,110,1.733523038e-05,-4.074964649e-05
pi+0.00,36,110,1.756622809e-05,-4.074964649e-05
pi+0.00,37,110,1.782774037e-05,-4.074964649e-05
pi+0.00,38,110,1.812397085e-05,-4.074964649e-05
pi+0.00,0,111,0.000000000e+00,-3.579485348e-05
pi+0.00,1,111,3.457928304e-07,-3.579485348e-05
pi+0.00,2,111,7.390462315e-07,-3.579485348e-05
pi+0.00,3,111,1.186568459e-06,-3.579485348e-05
pi+0.00,4,111,1.696085312e-06,-3.579485348e-05
pi+0.00,5,111,2.242036574e-06,-3.579485348e-05
pi+0.00,6,111,2.728788634e-06,-3.579485348e-05
pi+0.00,7,111,3.156170042e-06,-3.579485348e-05
pi+0.00,8,111,3.531869760e-06,-3.579485348e-05
pi+0.00,9,111,3.862049691e-06,-3.579485348e-05
pi+0.00,10,111,4.151961149e-06,-3.579485348e-05
pi+0.00,11,111,4.406719149e-06,-3.579485348e-05
pi+0.00,12,111,4.630479836e-06,-3.579485348e-05
pi+0.00,13,111,4.827106181e-06,-3.579485348e-05
pi+0.00,14,111,5.000000000e-06,-3.579485348e-05
pi+0.00,15,111,5.356084394e-06,-3.579485348e-05
pi+0.00,16,111,5.758206090e-06,-3.579485348e-05
pi+0.00,17,111,6.212536591e-06,-3.579485348e-05
pi+0.00,18,111,6.725847278e-06,-3.579485348e-05
pi+0.00,19,111,7.305773334e-06,-3.579485348e-05
pi+0.00,20,111,7.961500027e-06,-3.579485348e-05
pi+0.00,21,111,8.701896533e-06,-3.579485348e-05
pi+0.00,22,111,9.538335581e-06,-3.579485348e-05
pi+0.00,23,111,1.048290446e-05,-3.579485348e-05
pi+0.00,24,111,1.142747333e-05,-3.579485348e-05
pi+0.00,25,111,1.226391238e-05,-3.579485348e-05
pi+0.00,26,111,1.300430889e-05,-3.579485348e-05
pi+0.00,27,111,1.366003558e-05,-3.579485348e-05
pi+0.00,28,111,1.423996163e-05,-3.579485348e-05
pi+0.00,29,111,1.475327232e-05,-3.579485348e-05
pi+0.00,30,111,1.520760282e-05,-3.579485348e-05
pi+0.00,31,111,1.560972452e-05,-3.579485348e-05
pi+0.00,32,111,1.596580891e-05,-3.579485348e-05
pi+0.00,33,111,1.612583544e-05,-3.579485348e-05
pi+0.00,34,111,1.630681135e-05,-3.579485348e-05
pi+0.00,35,111,1.651188189e-05,-3.579485348e-05
pi+0.00,36,111,1.674392080e-05,-3.579485348e-05
pi+0.00,37,111,1.700661183e-05,-3.579485348e-05
pi+0.00,38,111,1.730417755e-05,-3.579485348e-05
