# Einseitiges Normalfeld und Maxwell-Druck auf der Oberflaeche, je
# Netzstufe.  d ist der Abstand zur Kontaktlinie entlang der Oberflaeche.
# Die Werte bei kleinem d sind PUNKTWEISE und konvergieren nicht.
shape,Pi,level,d_m,r_m,z_m,tau,En_V_per_m,pM_Pa,tangential_fraction
pi+0.00,0.000000000e+00,2,1.843829958e-06,3.156170042e-06,0.000000000e+00,6.312340084e-01,3.864159845e+07,6.610417667e+03,8.481053845e-03
pi+0.00,0.000000000e+00,2,1.468130240e-06,3.531869760e-06,0.000000000e+00,7.063739521e-01,4.037555423e+07,7.216983758e+03,1.123878759e-02
pi+0.00,0.000000000e+00,2,1.137950309e-06,3.862049691e-06,0.000000000e+00,7.724099381e-01,4.250942442e+07,7.999985201e+03,1.503439218e-02
pi+0.00,0.000000000e+00,2,8.480388510e-07,4.151961149e-06,0.000000000e+00,8.303922298e-01,4.520450536e+07,9.046533111e+03,2.061874772e-02
pi+0.00,0.000000000e+00,2,5.932808509e-07,4.406719149e-06,0.000000000e+00,8.813438298e-01,4.877696929e+07,1.053290965e+04,2.962742042e-02
pi+0.00,0.000000000e+00,2,3.695201641e-07,4.630479836e-06,0.000000000e+00,9.260959672e-01,5.395431208e+07,1.288757048e+04,4.626405319e-02
pi+0.00,0.000000000e+00,2,1.728938192e-07,4.827106181e-06,0.000000000e+00,9.654212362e-01,6.329853414e+07,1.773805674e+04,9.016839396e-02
pi+0.00,0.000000000e+00,2,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,6.707817178e+07,1.991962549e+04,3.388660918e-01
pi+0.00,0.000000000e+00,3,5.000000000e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.403823416e+07,5.129237131e+03,1.748865852e-04
pi+0.00,0.000000000e+00,3,4.774607203e-06,2.253927972e-07,0.000000000e+00,4.507855944e-02,3.407081923e+07,5.139062349e+03,3.670852884e-04
pi+0.00,0.000000000e+00,3,4.528989137e-06,4.710108625e-07,0.000000000e+00,9.420217250e-02,3.413813364e+07,5.159389110e+03,6.218632149e-04
pi+0.00,0.000000000e+00,3,4.261188518e-06,7.388114821e-07,0.000000000e+00,1.477622964e-01,3.426085193e+07,5.196549279e+03,9.387782785e-04
pi+0.00,0.000000000e+00,3,3.969222647e-06,1.030777353e-06,0.000000000e+00,2.061554705e-01,3.445711952e+07,5.256257984e+03,1.311006887e-03
pi+0.00,0.000000000e+00,3,3.650865044e-06,1.349134956e-06,0.000000000e+00,2.698269912e-01,3.475194163e+07,5.346590007e+03,1.753340251e-03
pi+0.00,0.000000000e+00,3,3.303928437e-06,1.696071563e-06,0.000000000e+00,3.392143125e-01,3.517432504e+07,5.477347305e+03,2.286515980e-03
pi+0.00,0.000000000e+00,3,2.934715706e-06,2.065284294e-06,0.000000000e+00,4.130568589e-01,3.572032524e+07,5.648713440e+03,2.901492669e-03
pi+0.00,0.000000000e+00,3,2.588628135e-06,2.411371865e-06,0.000000000e+00,4.822743730e-01,3.640437716e+07,5.867133152e+03,3.622170130e-03
