# Einseitiges Normalfeld und Maxwell-Druck auf der Oberflaeche, je
# Netzstufe.  d ist der Abstand zur Kontaktlinie entlang der Oberflaeche.
# Die Werte bei kleinem d sind PUNKTWEISE und konvergieren nicht.
shape,Pi,level,d_m,r_m,z_m,tau,En_V_per_m,pM_Pa,tangential_fraction
pi+0.50,5.000000000e-01,4,5.852298778e-07,4.431294033e-06,1.379967230e-07,8.841955662e-01,5.127024225e+07,1.163722612e+04,8.472411980e-03
pi+0.50,5.000000000e-01,4,4.721839417e-07,4.541458915e-06,1.126383240e-07,9.065649310e-01,5.285210998e+07,1.236640297e+04,1.092480665e-02
pi+0.50,5.000000000e-01,4,3.658233687e-07,4.644976403e-06,8.821140337e-08,9.276114059e-01,5.485410470e+07,1.332100516e+04,1.454996284e-02
pi+0.50,5.000000000e-01,4,2.657963127e-07,4.742209861e-06,6.473703928e-08,9.474046137e-01,5.753399488e+07,1.465439167e+04,2.038377407e-02
pi+0.50,5.000000000e-01,4,1.717289865e-07,4.833541850e-06,4.221786377e-08,9.660185189e-01,6.146959631e+07,1.672782422e+04,3.106265544e-02
pi+0.50,5.000000000e-01,4,8.322852845e-08,4.919371263e-06,2.063939662e-08,9.835308603e-01,6.867495544e+07,2.087927944e+04,5.853041875e-02
pi+0.50,5.000000000e-01,4,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,7.323134547e+07,2.374175183e+04,2.383027639e-01
pi-0.50,-5.000000000e-01,1,5.053605103e-06,0.000000000e+00,-6.350832689e-07,0.000000000e+00,2.715804358e+07,3.265244420e+03,1.266934010e-02
pi-0.50,-5.000000000e-01,1,4.556577953e-06,4.969759916e-07,-6.289076871e-07,9.835100681e-02,2.730714796e+07,3.301196844e+03,7.010911126e-03
pi-0.50,-5.000000000e-01,1,3.960872732e-06,1.092188789e-06,-6.052390933e-07,2.162282863e-01,2.781138672e+07,3.424238629e+03,2.911251592e-03
pi-0.50,-5.000000000e-01,1,3.244464530e-06,1.806674374e-06,-5.533143075e-07,3.579900953e-01,2.884460997e+07,3.683393149e+03,3.613220338e-03
pi-0.50,-5.000000000e-01,1,2.505630262e-06,2.541087974e-06,-4.729982781e-07,5.041895418e-01,3.045996710e+07,4.107500208e+03,1.246778558e-02
pi-0.50,-5.000000000e-01,1,1.884176360e-06,3.156179642e-06,-3.844764259e-07,6.271619325e-01,3.283764258e+07,4.773783039e+03,1.875114090e-02
pi-0.50,-5.000000000e-01,1,1.363533933e-06,3.669170811e-06,-2.956322328e-07,7.301858960e-01,3.603450045e+07,5.748516016e+03,2.694458101e-02
pi-0.50,-5.000000000e-01,1,9.277404970e-07,4.096662813e-06,-2.110214022e-07,8.164200649e-01,4.042142200e+07,7.233390470e+03,3.974803505e-02
pi-0.50,-5.000000000e-01,1,5.620389253e-07,4.453905606e-06,-1.328453163e-07,8.887845580e-01,4.691230003e+07,9.742988425e+03,6.382828137e-02
pi-0.50,-5.000000000e-01,1,2.562205506e-07,4.751512004e-06,-6.246429869e-08,9.492994515e-01,5.877757596e+07,1.529473924e+04,1.282596141e-01
pi-0.50,-5.000000000e-01,1,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,6.003089927e+07,1.595395757e+04,4.714992352e-01
pi-0.50,-5.000000000e-01,2,5.053605103e-06,0.000000000e+00,-6.350832689e-07,0.000000000e+00,2.704624152e+07,3.238415563e+03,9.083239871e-03
pi-0.50,-5.000000000e-01,2,4.707795042e-06,3.457928304e-07,-6.320937285e-07,6.842838997e-02,2.709619438e+07,3.250388947e+03,4.858438093e-03
pi-0.50,-5.000000000e-01,2,4.314390577e-06,7.390462315e-07,-6.214238712e-07,1.462746913e-01,2.729216912e+07,3.297576213e+03,2.137410864e-03
pi-0.50,-5.000000000e-01,2,3.866339447e-06,1.186568459e-06,-5.998536231e-07,2.349343948e-01,2.771598116e+07,3.400785570e+03,5.395726231e-04
pi-0.50,-5.000000000e-01,2,3.355480209e-06,1.696085312e-06,-5.630358636e-07,3.360224749e-01,2.844549431e+07,3.582165974e+03,1.961543236e-03
pi-0.50,-5.000000000e-01,2,2.806845895e-06,2.242036574e-06,-5.090177562e-07,4.445854320e-01,2.948772259e+07,3.849472298e+03,6.770633419e-03
pi-0.50,-5.000000000e-01,2,2.316278356e-06,2.728788634e-06,-4.480515623e-07,5.416582204e-01,3.091367118e+07,4.230774718e+03,9.715296582e-03
pi-0.50,-5.000000000e-01,2,1.884186082e-06,3.156170042e-06,-3.844779601e-07,6.271600088e-01,3.269700899e+07,4.732981289e+03,1.278012363e-02
pi-0.50,-5.000000000e-01,2,1.503115799e-06,3.531869760e-06,-3.207607020e-07,7.025656400e-01,3.488960204e+07,5.389032043e+03,1.657790825e-02
pi-0.50,-5.000000000e-01,2,1.167141776e-06,3.862049691e-06,-2.586551198e-07,7.690476892e-01,3.760857404e+07,6.261703056e+03,2.166879006e-02
pi-0.50,-5.000000000e-01,2,8.712274821e-07,4.151961149e-06,-1.993675292e-07,8.276027777e-01,4.107434093e+07,7.468956693e+03,2.907552394e-02
pi-0.50,-5.000000000e-01,2,6.104275216e-07,4.406719149e-06,-1.435641514e-07,8.792094932e-01,4.572571820e+07,9.256350799e+03,4.111458839e-02
pi-0.50,-5.000000000e-01,2,3.807261433e-07,4.630479836e-06,-9.166715436e-08,9.246624666e-01,5.259824936e+07,1.224789102e+04,6.385154192e-02
pi-0.50,-5.000000000e-01,2,1.783609845e-07,4.827106181e-06,-4.381959874e-08,9.647061888e-01,6.546156443e+07,1.897105549e+04,1.274954770e-01
pi-0.50,-5.000000000e-01,2,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,6.725201044e+07,2.002300601e+04,4.554897214e-01
pi-0.50,-5.000000000e-01,3,5.053605103e-06,0.000000000e+00,-6.350832689e-07,0.000000000e+00,2.695981396e+07,3.217751610e+03,6.068292176e-03
pi-0.50,-5.000000000e-01,3,4.828207534e-06,2.253927972e-07,-6.338131808e-07,4.460134179e-02,2.696898186e+07,3.219940425e+03,3.114421911e-03
pi-0.50,-5.000000000e-01,3,4.582550690e-06,4.710108625e-07,-6.295362189e-07,9.321155949e-02,2.703682614e+07,3.236161231e+03,1.369166987e-03
pi-0.50,-5.000000000e-01,3,4.314625486e-06,7.388114821e-07,-6.214325503e-07,1.462282077e-01,2.718162903e+07,3.270918297e+03,5.039539677e-04
pi-0.50,-5.000000000e-01,3,4.022370869e-06,1.030777353e-06,-6.085030575e-07,2.040591246e-01,2.741889699e+07,3.328271102e+03,1.967896185e-04
pi-0.50,-5.000000000e-01,3,3.703444859e-06,1.349134956e-06,-5.895272570e-07,2.671677379e-01,2.777835364e+07,3.416109154e+03,8.949175672e-04
pi-0.50,-5.000000000e-01,3,3.355494008e-06,1.696071563e-06,-5.630370338e-07,3.360197443e-01,2.829565903e+07,3.544527589e+03,1.893187633e-03
pi-0.50,-5.000000000e-01,3,2.984632557e-06,2.065284294e-06,-5.281624872e-07,4.094052669e-01,2.896740894e+07,3.714822223e+03,4.073477447e-03
pi-0.50,-5.000000000e-01,3,2.636352421e-06,2.411371865e-06,-4.891832418e-07,4.783224318e-01,2.981330463e+07,3.934947746e+03,5.449589046e-03
pi-0.50,-5.000000000e-01,3,2.316239257e-06,2.728827367e-06,-4.480462276e-07,5.416659574e-01,3.081035981e+07,4.202544051e+03,6.697474550e-03
pi-0.50,-5.000000000e-01,3,2.022065667e-06,3.019944202e-06,-4.057670461e-07,5.998765978e-01,3.195998782e+07,4.522014435e+03,8.055871364e-03
pi-0.50,-5.000000000e-01,3,1.751592908e-06,3.287031469e-06,-3.631197684e-07,6.533973524e-01,3.327752705e+07,4.902536372e+03,9.607711913e-03
pi-0.50,-5.000000000e-01,3,1.503000545e-06,3.531983203e-06,-3.207403485e-07,7.025884464e-01,3.478855322e+07,5.357861336e+03,1.143023550e-02
pi-0.50,-5.000000000e-01,3,1.274416250e-06,3.756739224e-06,-2.790877081e-07,7.478203729e-01,3.653002573e+07,5.907703500e+03,1.365536568e-02
pi-0.50,-5.000000000e-01,3,1.064354316e-06,3.962851098e-06,-2.385475337e-07,7.893871217e-01,3.855964846e+07,6.582409032e+03,1.645567720e-02
pi-0.50,-5.000000000e-01,3,8.712243441e-07,4.151964219e-06,-1.993668778e-07,8.276033987e-01,4.096451743e+07,7.429069486e+03,2.013878748e-02
pi-0.50,-5.000000000e-01,3,6.937232373e-07,4.325432522e-06,-1.617479483e-07,8.627270586e-01,4.388849189e+07,8.527467046e+03,2.522707958e-02
pi-0.50,-5.000000000e-01,3,5.305365861e-07,4.484611324e-06,-1.258057101e-07,8.950181949e-01,4.757948880e+07,1.002208952e+04,3.275410539e-02
pi-0.50,-5.000000000e-01,3,3.806085243e-07,4.630594259e-06,-9.163992241e-08,9.246857409e-01,5.252444088e+07,1.221354144e+04,4.501628374e-02
pi-0.50,-5.000000000e-01,3,2.428542336e-07,4.764494569e-06,-5.928444956e-08,9.519443588e-01,5.984643990e+07,1.585606346e+04,6.816775975e-02
pi-0.50,-5.000000000e-01,3,1.163056793e-07,4.887303601e-06,-2.874882006e-08,9.769856020e-01,7.349647913e+07,2.391397679e+04,1.308975091e-01
pi-0.50,-5.000000000e-01,3,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,7.426590576e+07,2.441730334e+04,4.615092258e-01
pi-0.50,-5.000000000e-01,4,5.053605103e-06,0.000000000e+00,-6.350832689e-07,0.000000000e+00,2.690064219e+07,3.203642379e+03,4.396157388e-03
pi-0.50,-5.000000000e-01,4,4.892345258e-06,1.612580976e-07,-6.344331540e-07,3.190986268e-02,2.689845620e+07,3.203121735e+03,2.228868852e-03
pi-0.50,-5.000000000e-01,4,4.720672768e-06,3.329169590e-07,-6.323122344e-07,6.588016445e-02,2.692771212e+07,3.210093230e+03,1.013696516e-03
pi-0.50,-5.000000000e-01,4,4.537966997e-06,5.155809832e-07,-6.284365707e-07,1.020337156e-01,2.699369256e+07,3.225843759e+03,4.830727039e-04
pi-0.50,-5.000000000e-01,4,4.343407914e-06,7.100479442e-07,-6.224750927e-07,1.405327829e-01,2.709798846e+07,3.250819387e+03,9.798923383e-05
pi-0.50,-5.000000000e-01,4,4.136200455e-06,9.170829662e-07,-6.140461758e-07,1.815346923e-01,2.724796777e+07,3.286903608e+03,2.447675178e-04
pi-0.50,-5.000000000e-01,4,3.915578307e-06,1.137412785e-06,-6.027143792e-07,2.251910809e-01,2.745373358e+07,3.336733824e+03,5.768662739e-04
pi-0.50,-5.000000000e-01,4,3.680539729e-06,1.371987023e-06,-5.879690654e-07,2.717001717e-01,2.772858630e+07,3.403879605e+03,9.258489008e-04
pi-0.50,-5.000000000e-01,4,3.430108389e-06,1.621714335e-06,-5.692259045e-07,3.212551595e-01,2.809022358e+07,3.493245643e+03,1.310431840e-03
pi-0.50,-5.000000000e-01,4,3.163392535e-06,1.887399846e-06,-5.458271481e-07,3.740325033e-01,2.854236313e+07,3.606605068e+03,2.218723485e-03
pi-0.50,-5.000000000e-01,4,2.897712961e-06,2.151719438e-06,-5.189989663e-07,4.266047897e-01,2.908515913e+07,3.745084514e+03,3.153399149e-03
pi-0.50,-5.000000000e-01,4,2.647838216e-06,2.399969461e-06,-4.905647939e-07,4.760496394e-01,2.971436959e+07,3.908874941e+03,3.737195669e-03
pi-0.50,-5.000000000e-01,4,2.412727430e-06,2.633210151e-06,-4.609805828e-07,5.225730185e-01,3.041831998e+07,4.096275730e+03,4.343778426e-03
pi-0.50,-5.000000000e-01,4,2.191476618e-06,2.852369348e-06,-4.306380504e-07,5.663538062e-01,3.119965258e+07,4.309414317e+03,4.992797244e-03
pi-0.50,-5.000000000e-01,4,1.983397743e-06,3.058163099e-06,-3.998913494e-07,6.075281503e-01,3.206339086e+07,4.551322736e+03,5.690136481e-03
pi-0.50,-5.000000000e-01,4,1.787574064e-06,3.251534291e-06,-3.690013988e-07,6.462774539e-01,3.301605496e+07,4.825797475e+03,6.465336761e-03
pi-0.50,-5.000000000e-01,4,1.603307884e-06,3.433208401e-06,-3.382068810e-07,6.827397765e-01,3.406714423e+07,5.137953774e+03,7.337592119e-03
pi-0.50,-5.000000000e-01,4,1.429984162e-06,3.603828280e-06,-3.077145553e-07,7.170368217e-01,3.522970661e+07,5.494608923e+03,8.329642968e-03
pi-0.50,-5.000000000e-01,4,1.266841764e-06,3.764178616e-06,-2.776635309e-07,7.493192012e-01,3.652010068e+07,5.904493739e+03,9.488906528e-03
pi-0.50,-5.000000000e-01,4,1.113395394e-06,3.914770482e-06,-2.482057148e-07,7.796829449e-01,3.796193373e+07,6.379922271e+03,1.085710767e-02
pi-0.50,-5.000000000e-01,4,9.690249855e-07,4.056244984e-06,-2.194361209e-07,8.082507506e-01,3.958613430e+07,6.937530759e+03,1.251287441e-02
pi-0.50,-5.000000000e-01,4,8.332095442e-07,4.189143312e-06,-1.914397371e-07,8.351257118e-01,4.143726727e+07,7.601528836e+03,1.456317882e-02
pi-0.50,-5.000000000e-01,4,7.054250220e-07,4.314006941e-06,-1.642753699e-07,8.604115265e-01,4.357909520e+07,8.407660224e+03,1.718005913e-02
pi-0.50,-5.000000000e-01,4,5.852298778e-07,4.431294033e-06,-1.379967230e-07,8.841955662e-01,4.610869773e+07,9.412054800e+03,2.064279976e-02
pi-0.50,-5.000000000e-01,4,4.721839417e-07,4.541458915e-06,-1.126383240e-07,9.065649310e-01,4.918216862e+07,1.070863419e+04,2.545182171e-02
pi-0.50,-5.000000000e-01,4,3.658233687e-07,4.644976403e-06,-8.821140337e-08,9.276114059e-01,5.306951566e+07,1.246834993e+04,3.258818378e-02
pi-0.50,-5.000000000e-01,4,2.657963127e-07,4.742209861e-06,-6.473703928e-08,9.474046137e-01,5.830053901e+07,1.504748344e+04,4.425941968e-02
pi-0.50,-5.000000000e-01,4,1.717289865e-07,4.833541850e-06,-4.221786377e-08,9.660185189e-01,6.610429451e+07,1.934541646e+04,6.630199677e-02
pi-0.50,-5.000000000e-01,4,8.322852845e-08,4.919371263e-06,-2.063939662e-08,9.835308603e-01,8.098307216e+07,2.903402392e+04,1.283999738e-01
pi-0.50,-5.000000000e-01,4,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,8.187819157e+07,2.967940690e+04,4.554958883e-01
pi+1.50,1.500000000e+00,1,5.653747193e-06,0.000000000e+00,2.257081148e-06,0.000000000e+00,5.847096726e+07,1.513558776e+04,3.978875214e-02
pi+1.50,1.500000000e+00,1,5.156309750e-06,4.969759916e-07,2.238531456e-06,8.798367275e-02,5.877765466e+07,1.529478020e+04,2.712788782e-02
pi+1.50,1.500000000e+00,1,4.556612763e-06,1.092188789e-06,2.167006919e-06,1.940543843e-01,5.859628193e+07,1.520053431e+04,2.057080583e-02
pi+1.50,1.500000000e+00,1,3.824194152e-06,1.806674374e-06,2.007607961e-06,3.236000796e-01,5.801849762e+07,1.490224474e+04,8.824668971e-03
pi+1.50,1.500000000e+00,1,3.046719530e-06,2.541087974e-06,1.753799619e-06,4.611150046e-01,5.714548927e+07,1.445714860e+04,8.346883872e-03
pi+1.50,1.500000000e+00,1,2.365898510e-06,3.156179642e-06,1.462635059e-06,5.815344356e-01,5.594957884e+07,1.385837719e+04,1.300914975e-02
pi+1.50,1.500000000e+00,1,1.768320113e-06,3.669170811e-06,1.156528926e-06,6.872304240e-01,5.454954983e+07,1.317349697e+04,1.607245693e-02
pi+1.50,1.500000000e+00,1,1.242071881e-06,4.096662813e-06,8.498629547e-07,7.803099717e-01,5.304718950e+07,1.245786135e+04,1.828270197e-02
pi+1.50,1.500000000e+00,1,7.761918371e-07,4.453905606e-06,5.509758711e-07,8.627119660e-01,5.157257647e+07,1.177487732e+04,1.990178750e-02
pi+1.50,1.500000000e+00,1,3.645605633e-07,4.751512004e-06,2.666927152e-07,9.355187717e-01,5.053848035e+07,1.130740876e+04,1.867962182e-02
pi+1.50,1.500000000e+00,1,1.016439537e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,4.916043952e+07,1.069917395e+04,3.919802859e-03
pi+1.50,1.500000000e+00,2,5.653747193e-06,0.000000000e+00,2.257081148e-06,0.000000000e+00,5.923170307e+07,1.553199257e+04,2.786926522e-02
pi+1.50,1.500000000e+00,2,5.307799122e-06,3.457928304e-07,2.248107157e-06,6.118916521e-02,5.950266256e+07,1.567442194e+04,1.732481065e-02
pi+1.50,1.500000000e+00,2,4.913178807e-06,7.390462315e-07,2.215990314e-06,1.309871774e-01,5.948287210e+07,1.566399711e+04,1.156696262e-02
pi+1.50,1.500000000e+00,2,4.460822870e-06,1.186568459e-06,2.150635494e-06,2.109971108e-01,5.922379999e+07,1.552784809e+04,9.954019829e-03
pi+1.50,1.500000000e+00,2,3.938810709e-06,1.696085312e-06,2.037719272e-06,3.033274084e-01,5.876881408e+07,1.529017965e+04,6.495151194e-03
pi+1.50,1.500000000e+00,2,3.367139744e-06,2.242036574e-06,1.868767486e-06,4.044410497e-01,5.814841812e+07,1.496906049e+04,3.526537253e-03
pi+1.50,1.500000000e+00,2,2.842368698e-06,2.728788634e-06,1.673025519e-06,4.972593218e-01,5.733861273e+07,1.455502973e+04,6.571695056e-03
pi+1.50,1.500000000e+00,2,2.365909409e-06,3.156170042e-06,1.462640219e-06,5.815325080e-01,5.639319908e+07,1.407901262e+04,8.333036836e-03
pi+1.50,1.500000000e+00,2,1.931469201e-06,3.531869760e-06,1.244646564e-06,6.583736175e-01,5.535665437e+07,1.356620586e+04,9.822064284e-03
pi+1.50,1.500000000e+00,2,1.534555210e-06,3.862049691e-06,1.024475268e-06,7.285773209e-01,5.425833974e+07,1.303322027e+04,1.112108643e-02
pi+1.50,1.500000000e+00,2,1.171687209e-06,4.151961149e-06,8.063192987e-07,7.927591791e-01,5.313210536e+07,1.249777739e+04,1.217822919e-02
pi+1.50,1.500000000e+00,2,8.393397348e-07,4.406719149e-06,5.929409218e-07,8.515427545e-01,5.203369708e+07,1.198638168e+04,1.297826263e-02
pi+1.50,1.500000000e+00,2,5.349153629e-07,4.630479836e-06,3.865692887e-07,9.053874635e-01,5.108718745e+07,1.155427558e+04,1.305938044e-02
pi+1.50,1.500000000e+00,2,2.558860424e-07,4.827106181e-06,1.886196057e-07,9.547404520e-01,5.078724492e+07,1.141899920e+04,1.017481140e-02
pi+1.50,1.500000000e+00,2,1.016439537e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,5.054025044e+07,1.130820085e+04,2.050244931e-02
pi+1.50,1.500000000e+00,3,5.653747193e-06,0.000000000e+00,2.257081148e-06,0.000000000e+00,5.977293751e+07,1.581713908e+04,1.833353574e-02
pi+1.50,1.500000000e+00,3,5.428311435e-06,2.253927972e-07,2.253269915e-06,3.987368917e-02,5.996997340e+07,1.592159039e+04,1.048573894e-02
pi+1.50,1.500000000e+00,3,5.182343594e-06,4.710108625e-07,2.240421490e-06,8.337896673e-02,6.000448789e+07,1.593992235e+04,6.281556604e-03
pi+1.50,1.500000000e+00,3,4.913415012e-06,7.388114821e-07,2.216016495e-06,1.309453989e-01,5.992424162e+07,1.589731674e+04,4.878224862e-03
pi+1.50,1.500000000e+00,3,4.618818008e-06,1.030777353e-06,2.176911464e-06,1.830519035e-01,5.976864384e+07,1.581486677e+04,4.153615205e-03
pi+1.50,1.500000000e+00,3,4.295229591e-06,1.349134956e-06,2.119141717e-06,2.402862306e-01,5.952676269e+07,1.568712161e+04,3.697424792e-03
pi+1.50,1.500000000e+00,3,3.938824927e-06,1.696071563e-06,2.037722889e-06,3.033248938e-01,5.918660733e+07,1.550835117e+04,2.661208944e-03
pi+1.50,1.500000000e+00,3,3.553914260e-06,2.065284294e-06,1.929108766e-06,3.714055230e-01,5.876189257e+07,1.528657826e+04,1.818241306e-03
pi+1.50,1.500000000e+00,3,3.186434477e-06,2.411371865e-06,1.805696468e-06,4.364030849e-01,5.824461715e+07,1.501863021e+04,3.485172057e-03
pi+1.50,1.500000000e+00,3,2.842326245e-06,2.728827367e-06,1.673008142e-06,4.972668306e-01,5.765739138e+07,1.471731933e+04,4.376719945e-03
pi+1.50,1.500000000e+00,3,2.519626124e-06,3.019944202e-06,1.533846273e-06,5.543440416e-01,5.701724355e+07,1.439233205e+04,5.128911011e-03
pi+1.50,1.500000000e+00,3,2.216430838e-06,3.287031469e-06,1.390403151e-06,6.079713573e-01,5.633379647e+07,1.404936757e+04,5.824480288e-03
pi+1.50,1.500000000e+00,3,1.931335444e-06,3.531983203e-06,1.244575701e-06,6.583972756e-01,5.561487089e+07,1.369306283e+04,6.448105545e-03
pi+1.50,1.500000000e+00,3,1.662883355e-06,3.756739224e-06,1.097805411e-06,7.058794285e-01,5.486898273e+07,1.332823223e+04,7.048387042e-03
pi+1.50,1.500000000e+00,3,1.410055637e-06,3.962851098e-06,9.514083841e-07,7.505980389e-01,5.410513431e+07,1.295972223e+04,7.583246985e-03
pi+1.50,1.500000000e+00,3,1.171683286e-06,4.151964219e-06,8.063168552e-07,7.927598730e-01,5.333569469e+07,1.259373778e+04,8.077335993e-03
pi+1.50,1.500000000e+00,3,9.469073989e-07,4.325432522e-06,6.633897370e-07,8.325168483e-01,5.257794740e+07,1.223843792e+04,8.475983824e-03
pi+1.50,1.500000000e+00,3,7.348097987e-07,4.484611324e-06,5.232337282e-07,8.700313662e-01,5.186150676e+07,1.190718209e+04,8.740406794e-03
pi+1.50,1.500000000e+00,3,5.347563127e-07,4.630594259e-06,3.864588155e-07,9.054155953e-01,5.124337184e+07,1.162503132e+04,8.682095020e-03
pi+1.50,1.500000000e+00,3,3.460259596e-07,4.764494569e-06,2.534645509e-07,9.387970583e-01,5.086488958e+07,1.145394112e+04,7.818472090e-03
pi+1.50,1.500000000e+00,3,1.679986595e-07,4.887303601e-06,1.245856244e-07,9.702854313e-01,5.126701200e+07,1.163575978e+04,3.760483096e-03
pi+1.50,1.500000000e+00,3,1.016439537e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,5.180312877e+07,1.188039050e+04,3.636229553e-02
pi+1.50,1.500000000e+00,4,5.653747193e-06,0.000000000e+00,2.257081148e-06,0.000000000e+00,6.009058514e+07,1.598569786e+04,1.316979806e-02
pi+1.50,1.500000000e+00,4,5.492473366e-06,1.612580976e-07,2.255130550e-06,2.852512173e-02,6.023993839e+07,1.606526051e+04,7.202362905e-03
pi+1.50,1.500000000e+00,4,5.320691710e-06,3.329169590e-07,2.248763432e-06,5.890880370e-02,6.028069257e+07,1.608700515e+04,4.060170037e-03
pi+1.50,1.500000000e+00,4,5.137650871e-06,5.155809832e-07,2.237114467e-06,9.128394055e-02,6.025041776e+07,1.607085044e+04,3.009813420e-03
pi+1.50,1.500000000e+00,4,4.942349911e-06,7.100479442e-07,2.219160695e-06,1.258275720e-01,6.018485031e+07,1.603589130e+04,2.442105370e-03
pi+1.50,1.500000000e+00,4,4.733746924e-06,9.170829662e-07,2.193701790e-06,1.627239843e-01,6.008344125e+07,1.598189716e+04,2.063759545e-03
pi+1.50,1.500000000e+00,4,4.510742801e-06,1.137412785e-06,2.159336509e-06,2.021675807e-01,5.994191499e+07,1.590669526e+04,1.795398615e-03
pi+1.50,1.500000000e+00,4,4.271886211e-06,1.371987023e-06,2.114377698e-06,2.444150641e-01,5.975339692e+07,1.580679909e+04,1.576010169e-03
pi+1.50,1.500000000e+00,4,4.015597436e-06,1.621714335e-06,2.056826706e-06,2.897458448e-01,5.950958182e+07,1.567806754e+04,1.380886909e-03
pi+1.50,1.500000000e+00,4,3.740179153e-06,1.887399846e-06,1.984330830e-06,3.384601354e-01,5.921311955e+07,1.552224800e+04,3.180196337e-04
pi+1.50,1.500000000e+00,4,3.462801152e-06,2.151719438e-06,1.900291493e-06,3.875210488e-01,5.886661444e+07,1.534111243e+04,2.009397868e-03
pi+1.50,1.500000000e+00,4,3.198660637e-06,2.399969461e-06,1.810108287e-06,4.342405969e-01,5.847454965e+07,1.513744247e+04,2.483482797e-03
pi+1.50,1.500000000e+00,4,2.946762271e-06,2.633210151e-06,1.715008243e-06,4.787948293e-01,5.804909887e+07,1.491796895e+04,2.901663374e-03
pi+1.50,1.500000000e+00,4,2.706289214e-06,2.852369348e-06,1.616062459e-06,5.213282233e-01,5.759509594e+07,1.468553411e+04,3.294550797e-03
pi+1.50,1.500000000e+00,4,2.476685942e-06,3.058163099e-06,1.514271578e-06,5.619390366e-01,5.711574805e+07,1.444210415e+04,3.636682396e-03
pi+1.50,1.500000000e+00,4,2.257162009e-06,3.251534291e-06,1.410377471e-06,6.007670786e-01,5.661433372e+07,1.418964517e+04,3.971749813e-03
pi+1.50,1.500000000e+00,4,2.047175277e-06,3.433208401e-06,1.305090721e-06,6.379082392e-01,5.609376440e+07,1.392989704e+04,4.294029544e-03
pi+1.50,1.500000000e+00,4,1.846283674e-06,3.603828280e-06,1.199056579e-06,6.734407092e-01,5.555686533e+07,1.366451437e+04,4.585451425e-03
pi+1.50,1.500000000e+00,4,1.653873856e-06,3.764178616e-06,1.092723432e-06,7.074729734e-01,5.500716096e+07,1.339544654e+04,4.883646918e-03
pi+1.50,1.500000000e+00,4,1.469650210e-06,3.914770482e-06,9.866183807e-07,7.400573177e-01,5.444805845e+07,1.312452306e+04,5.151851701e-03
pi+1.50,1.500000000e+00,4,1.293151981e-06,4.056244984e-06,8.810969587e-07,7.712752380e-01,5.388423056e+07,1.285411277e+04,5.407463729e-03
pi+1.50,1.500000000e+00,4,1.124027111e-06,4.189143312e-06,7.765038321e-07,8.011890039e-01,5.332130218e+07,1.258694192e+04,5.635573886e-03
pi+1.50,1.500000000e+00,4,9.619079859e-07,4.314006941e-06,6.731094909e-07,8.298636368e-01,5.276725792e+07,1.232672727e+04,5.833689805e-03
pi+1.50,1.500000000e+00,4,8.065184688e-07,4.431294033e-06,5.711852692e-07,8.573479780e-01,5.223367091e+07,1.207868989e+04,5.975149059e-03
pi+1.50,1.500000000e+00,4,6.575722307e-07,4.541458915e-06,4.709467648e-07,8.836926717e-01,5.173895998e+07,1.185097613e+04,6.020834581e-03
pi+1.50,1.500000000e+00,4,5.147355820e-07,4.644976403e-06,3.725310274e-07,9.089567389e-01,5.131555189e+07,1.165780381e+04,5.909601169e-03
pi+1.50,1.500000000e+00,4,3.778086593e-07,4.742209861e-06,2.761257487e-07,9.331755301e-01,5.102798305e+07,1.152751084e+04,5.451625658e-03
pi+1.50,1.500000000e+00,4,2.465484766e-07,4.833541850e-06,1.818540843e-07,9.563920232e-01,5.103667606e+07,1.153143878e+04,4.118700369e-03
pi+1.50,1.500000000e+00,4,1.206675476e-07,4.919371263e-06,8.977341622e-08,9.786570670e-01,5.196422263e+07,1.195439505e+04,6.272281537e-04
pi+1.50,1.500000000e+00,4,1.016439537e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,5.316632762e+07,1.251388215e+04,4.640955822e-02
pi-1.50,-1.500000000e+00,1,5.653747193e-06,0.000000000e+00,-2.257081148e-06,0.000000000e+00,1.378371192e+07,8.411067335e+02,4.075127611e-02
pi-1.50,-1.500000000e+00,1,5.156309750e-06,4.969759916e-07,-2.238531456e-06,8.798367275e-02,1.384691260e+07,8.488376532e+02,2.651759499e-02
pi-1.50,-1.500000000e+00,1,4.556612763e-06,1.092188789e-06,-2.167006919e-06,1.940543843e-01,1.421667266e+07,8.947766910e+02,1.914277038e-02
pi-1.50,-1.500000000e+00,1,3.824194152e-06,1.806674374e-06,-2.007607961e-06,3.236000796e-01,1.504617473e+07,1.002238164e+03,6.636599932e-03
pi-1.50,-1.500000000e+00,1,3.046719530e-06,2.541087974e-06,-1.753799619e-06,4.611150046e-01,1.642040843e+07,1.193676503e+03,1.163898773e-02
