# Potential und Feldstaerke in einem festen Fenster, identisch fuer jede
# vorgeschriebene Form.  Punkte im Leiter tragen kein Feld und sind leer.
shape,r_m,z_m,phi_V,E_V_per_m
pi+0.00,7.083333333e-06,-1.000000000e-05,1.471170015e+03,1.158440683e+07
pi+0.00,7.291666667e-06,-1.000000000e-05,1.468763780e+03,1.122251031e+07
pi+0.00,7.500000000e-06,-1.000000000e-05,1.466493987e+03,1.089329933e+07
pi+0.00,7.708333333e-06,-1.000000000e-05,1.464224194e+03,1.056484611e+07
pi+0.00,7.916666667e-06,-1.000000000e-05,1.462083779e+03,1.027809870e+07
pi+0.00,8.125000000e-06,-1.000000000e-05,1.459985031e+03,1.000515604e+07
pi+0.00,8.333333333e-06,-1.000000000e-05,1.457886282e+03,9.732870911e+06
pi+0.00,8.541666667e-06,-1.000000000e-05,1.455948969e+03,9.489267579e+06
pi+0.00,8.750000000e-06,-1.000000000e-05,1.454011657e+03,9.246248653e+06
pi+0.00,8.958333333e-06,-1.000000000e-05,1.452107605e+03,9.005700261e+06
pi+0.00,9.166666667e-06,-1.000000000e-05,1.450306833e+03,8.771486857e+06
pi+0.00,9.375000000e-06,-1.000000000e-05,1.448506060e+03,8.537913690e+06
pi+0.00,9.583333333e-06,-1.000000000e-05,1.446793680e+03,8.319947273e+06
pi+0.00,9.791666667e-06,-1.000000000e-05,1.445103023e+03,8.106238654e+06
pi+0.00,1.000000000e-05,-1.000000000e-05,1.443470213e+03,7.902576961e+06
pi+0.00,1.020833333e-05,-1.000000000e-05,1.441869642e+03,7.704719785e+06
pi+0.00,1.041666667e-05,-1.000000000e-05,1.440323358e+03,7.515653405e+06
pi+0.00,1.062500000e-05,-1.000000000e-05,1.438799550e+03,7.330501123e+06
pi+0.00,1.083333333e-05,-1.000000000e-05,1.437335651e+03,7.154923481e+06
pi+0.00,1.104166667e-05,-1.000000000e-05,1.435899899e+03,6.983939157e+06
pi+0.00,1.125000000e-05,-1.000000000e-05,1.434497688e+03,6.818281609e+06
pi+0.00,1.145833333e-05,-1.000000000e-05,1.433131794e+03,6.660888773e+06
pi+0.00,1.166666667e-05,-1.000000000e-05,1.431802090e+03,2.120217507e+07
pi+0.00,1.187500000e-05,-1.000000000e-05,1.427477128e+03,2.092930959e+07
pi+0.00,1.208333333e-05,-1.000000000e-05,1.423238481e+03,2.052316803e+07
pi+0.00,1.229166667e-05,-1.000000000e-05,1.419084864e+03,2.013012588e+07
pi+0.00,1.250000000e-05,-1.000000000e-05,1.415011166e+03,1.974867608e+07
pi+0.00,1.270833333e-05,-1.000000000e-05,1.411019378e+03,1.937913606e+07
pi+0.00,1.291666667e-05,-1.000000000e-05,1.407123877e+03,1.902355155e+07
pi+0.00,1.312500000e-05,-1.000000000e-05,1.403290648e+03,1.867672086e+07
pi+0.00,1.333333333e-05,-1.000000000e-05,1.399524938e+03,1.833914649e+07
pi+0.00,1.354166667e-05,-1.000000000e-05,1.395857168e+03,1.801500504e+07
pi+0.00,1.375000000e-05,-1.000000000e-05,1.392218244e+03,1.769528425e+07
pi+0.00,1.395833333e-05,-1.000000000e-05,1.388701746e+03,1.739137058e+07
pi+0.00,1.416666667e-05,-1.000000000e-05,1.385198839e+03,1.708976578e+07
pi+0.00,1.437500000e-05,-1.000000000e-05,1.381809143e+03,1.680263487e+07
pi+0.00,1.458333333e-05,-1.000000000e-05,1.378451264e+03,1.651997063e+07
pi+0.00,1.479166667e-05,-1.000000000e-05,1.375151858e+03,1.624476849e+07
pi+0.00,1.500000000e-05,-1.000000000e-05,1.371947585e+03,1.598127455e+07
pi+0.00,1.520833333e-05,-1.000000000e-05,1.368743312e+03,1.571831428e+07
pi+0.00,1.541666667e-05,-1.000000000e-05,1.365646322e+03,1.546848947e+07
pi+0.00,1.562500000e-05,-1.000000000e-05,1.362603586e+03,1.522550406e+07
pi+0.00,1.583333333e-05,-1.000000000e-05,1.359560850e+03,1.498300016e+07
pi+0.00,1.604166667e-05,-1.000000000e-05,1.356616933e+03,1.475184626e+07
pi+0.00,1.625000000e-05,-1.000000000e-05,1.353742622e+03,1.452876047e+07
pi+0.00,1.645833333e-05,-1.000000000e-05,1.350868310e+03,1.430609768e+07
pi+0.00,1.666666667e-05,-1.000000000e-05,1.348012526e+03,1.408592801e+07
pi+0.00,1.687500000e-05,-1.000000000e-05,1.345312294e+03,1.388336496e+07
pi+0.00,1.708333333e-05,-1.000000000e-05,1.342612061e+03,1.368115915e+07
pi+0.00,1.729166667e-05,-1.000000000e-05,1.339911829e+03,1.347932666e+07
pi+0.00,1.750000000e-05,-1.000000000e-05,1.337240804e+03,1.328253916e+07
pi+0.00,1.770833333e-05,-1.000000000e-05,1.334718831e+03,1.310982799e+07
pi+0.00,1.791666667e-05,-1.000000000e-05,1.332196858e+03,1.293739227e+07
pi+0.00,1.812500000e-05,-1.000000000e-05,1.329674886e+03,1.276524315e+07
pi+0.00,1.833333333e-05,-1.000000000e-05,1.327152913e+03,1.259339238e+07
pi+0.00,1.854166667e-05,-1.000000000e-05,1.324751423e+03,1.243499700e+07
pi+0.00,1.875000000e-05,-1.000000000e-05,1.322401128e+03,1.228242762e+07
pi+0.00,1.895833333e-05,-1.000000000e-05,1.320050833e+03,1.213009335e+07
pi+0.00,1.916666667e-05,-1.000000000e-05,1.317700539e+03,1.197800317e+07
pi+0.00,1.937500000e-05,-1.000000000e-05,1.315372385e+03,1.182650956e+07
pi+0.00,1.958333333e-05,-1.000000000e-05,1.313169126e+03,1.167719313e+07
pi+0.00,1.979166667e-05,-1.000000000e-05,1.310965867e+03,1.152811208e+07
pi+0.00,2.000000000e-05,-1.000000000e-05,1.308762608e+03,1.137927569e+07
pi+0.00,2.020833333e-05,-1.000000000e-05,1.306573681e+03,1.123205196e+07
pi+0.00,2.041666667e-05,-1.000000000e-05,1.304488622e+03,1.109490178e+07
pi+0.00,2.062500000e-05,-1.000000000e-05,1.302403563e+03,1.095796129e+07
pi+0.00,2.083333333e-05,-1.000000000e-05,1.300318504e+03,1.082123847e+07
pi+0.00,2.104166667e-05,-1.000000000e-05,1.298287829e+03,1.068595183e+07
pi+0.00,2.125000000e-05,-1.000000000e-05,1.296298966e+03,1.055180758e+07
pi+0.00,2.145833333e-05,-1.000000000e-05,1.294310104e+03,1.041787708e+07
pi+0.00,2.166666667e-05,-1.000000000e-05,1.292356629e+03,1.028796642e+07
pi+0.00,2.187500000e-05,-1.000000000e-05,1.290451812e+03,1.016347386e+07
pi+0.00,2.208333333e-05,-1.000000000e-05,1.288546995e+03,1.003917060e+07
pi+0.00,2.229166667e-05,-1.000000000e-05,1.286664577e+03,9.918925019e+06
pi+0.00,2.250000000e-05,-1.000000000e-05,1.284843294e+03,9.809383996e+06
pi+0.00,2.270833333e-05,-1.000000000e-05,1.283022011e+03,9.699993424e+06
