# Potential und Feldstaerke in einem festen Fenster, identisch fuer jede
# vorgeschriebene Form.  Punkte im Leiter tragen kein Feld und sind leer.
shape,r_m,z_m,phi_V,E_V_per_m
pi+0.00,1.479166667e-05,2.100000000e-05,1.119890895e+03,6.654606432e+06
pi+0.00,1.500000000e-05,2.100000000e-05,1.119496738e+03,6.628749883e+06
pi+0.00,1.520833333e-05,2.100000000e-05,1.119094437e+03,6.602576679e+06
pi+0.00,1.541666667e-05,2.100000000e-05,1.118691180e+03,6.576414572e+06
pi+0.00,1.562500000e-05,2.100000000e-05,1.118287924e+03,6.550308386e+06
pi+0.00,1.583333333e-05,2.100000000e-05,1.117884668e+03,6.524258792e+06
pi+0.00,1.604166667e-05,2.100000000e-05,1.117473275e+03,6.499302911e+06
pi+0.00,1.625000000e-05,2.100000000e-05,1.117061152e+03,6.474484179e+06
pi+0.00,1.645833333e-05,2.100000000e-05,1.116649028e+03,6.449709326e+06
pi+0.00,1.666666667e-05,2.100000000e-05,1.116236904e+03,6.424978859e+06
pi+0.00,1.687500000e-05,2.100000000e-05,1.115821489e+03,6.400443861e+06
pi+0.00,1.708333333e-05,2.100000000e-05,1.115401453e+03,6.376159125e+06
pi+0.00,1.729166667e-05,2.100000000e-05,1.114981416e+03,6.351910983e+06
pi+0.00,1.750000000e-05,2.100000000e-05,1.114561380e+03,6.327699855e+06
pi+0.00,1.770833333e-05,2.100000000e-05,1.114141344e+03,6.303526167e+06
pi+0.00,1.791666667e-05,2.100000000e-05,1.113716280e+03,6.277769189e+06
pi+0.00,1.812500000e-05,2.100000000e-05,1.113290146e+03,6.251704147e+06
pi+0.00,1.833333333e-05,2.100000000e-05,1.112864012e+03,6.225676510e+06
pi+0.00,1.854166667e-05,2.100000000e-05,1.112437879e+03,6.199686748e+06
pi+0.00,1.875000000e-05,2.100000000e-05,1.112008482e+03,6.173674519e+06
pi+0.00,1.895833333e-05,2.100000000e-05,1.111578052e+03,6.147676394e+06
pi+0.00,1.916666667e-05,2.100000000e-05,1.111147622e+03,6.121711308e+06
pi+0.00,1.937500000e-05,2.100000000e-05,1.110716676e+03,6.095532650e+06
pi+0.00,1.958333333e-05,2.100000000e-05,1.110283248e+03,6.068198499e+06
pi+0.00,1.979166667e-05,2.100000000e-05,1.109849819e+03,6.040896785e+06
pi+0.00,2.000000000e-05,2.100000000e-05,1.109416391e+03,6.013627949e+06
pi+0.00,2.020833333e-05,2.100000000e-05,1.108980784e+03,5.986568934e+06
pi+0.00,2.041666667e-05,2.100000000e-05,1.108545178e+03,5.959538304e+06
pi+0.00,2.062500000e-05,2.100000000e-05,1.108109572e+03,5.932536447e+06
pi+0.00,2.083333333e-05,2.100000000e-05,1.107672582e+03,5.906905053e+06
pi+0.00,2.104166667e-05,2.100000000e-05,1.107235288e+03,5.881592487e+06
pi+0.00,2.125000000e-05,2.100000000e-05,1.106797994e+03,5.856302340e+06
pi+0.00,2.145833333e-05,2.100000000e-05,1.106360441e+03,5.831103792e+06
pi+0.00,2.166666667e-05,2.100000000e-05,1.105921965e+03,5.806172642e+06
pi+0.00,2.187500000e-05,2.100000000e-05,1.105483488e+03,5.781260530e+06
pi+0.00,2.208333333e-05,2.100000000e-05,1.105045011e+03,5.756367703e+06
pi+0.00,2.229166667e-05,2.100000000e-05,1.104606467e+03,5.731551150e+06
pi+0.00,2.250000000e-05,2.100000000e-05,1.104167504e+03,5.707104383e+06
pi+0.00,2.270833333e-05,2.100000000e-05,1.103728542e+03,5.682673484e+06
pi+0.00,2.291666667e-05,2.100000000e-05,1.103289579e+03,5.658258658e+06
pi+0.00,2.312500000e-05,2.100000000e-05,1.102850617e+03,5.633860115e+06
pi+0.00,2.333333333e-05,2.100000000e-05,1.102411877e+03,5.609749769e+06
pi+0.00,2.354166667e-05,2.100000000e-05,1.101973344e+03,5.585905171e+06
pi+0.00,2.375000000e-05,2.100000000e-05,1.101534812e+03,5.562073468e+06
pi+0.00,2.395833333e-05,2.100000000e-05,1.101096279e+03,5.538254828e+06
pi+0.00,2.416666667e-05,2.100000000e-05,1.100657746e+03,5.514449420e+06
pi+0.00,2.437500000e-05,2.100000000e-05,1.100219670e+03,5.490847041e+06
pi+0.00,2.458333333e-05,2.100000000e-05,1.099782726e+03,5.467725159e+06
pi+0.00,2.479166667e-05,2.100000000e-05,1.099345781e+03,5.444613288e+06
pi+0.00,2.500000000e-05,2.100000000e-05,1.098908837e+03,5.421511554e+06
pi+0.00,0.000000000e+00,2.125000000e-05,1.134354725e+03,7.714160887e+06
pi+0.00,2.083333333e-07,2.125000000e-05,1.134346558e+03,7.713194246e+06
pi+0.00,4.166666667e-07,2.125000000e-05,1.134334350e+03,7.711992569e+06
pi+0.00,6.250000000e-07,2.125000000e-05,1.134314302e+03,7.710270015e+06
pi+0.00,8.333333333e-07,2.125000000e-05,1.134287637e+03,7.708054176e+06
pi+0.00,1.041666667e-06,2.125000000e-05,1.134252967e+03,7.705233012e+06
pi+0.00,1.250000000e-06,2.125000000e-05,1.134213197e+03,7.702140121e+06
pi+0.00,1.458333333e-06,2.125000000e-05,1.134161776e+03,7.698220906e+06
pi+0.00,1.666666667e-06,2.125000000e-05,1.134110356e+03,7.694451321e+06
pi+0.00,1.875000000e-06,2.125000000e-05,1.134043172e+03,7.689891276e+06
pi+0.00,2.083333333e-06,2.125000000e-05,1.133973396e+03,7.685305311e+06
pi+0.00,2.291666667e-06,2.125000000e-05,1.133899399e+03,7.680400824e+06
pi+0.00,2.500000000e-06,2.125000000e-05,1.133811907e+03,7.674212494e+06
pi+0.00,2.708333333e-06,2.125000000e-05,1.133724416e+03,7.668175019e+06
pi+0.00,2.916666667e-06,2.125000000e-05,1.133622890e+03,7.660901897e+06
pi+0.00,3.125000000e-06,2.125000000e-05,1.133519837e+03,7.653632476e+06
pi+0.00,3.333333333e-06,2.125000000e-05,1.133405266e+03,7.645410867e+06
pi+0.00,3.541666667e-06,2.125000000e-05,1.133288114e+03,7.637095928e+06
pi+0.00,3.750000000e-06,2.125000000e-05,1.133159732e+03,7.627855617e+06
pi+0.00,3.958333333e-06,2.125000000e-05,1.133026615e+03,7.618309605e+06
pi+0.00,4.166666667e-06,2.125000000e-05,1.132887358e+03,7.608322065e+06
pi+0.00,4.375000000e-06,2.125000000e-05,1.132739821e+03,7.597697558e+06
pi+0.00,4.583333333e-06,2.125000000e-05,1.132585710e+03,7.586590424e+06
pi+0.00,4.791666667e-06,2.125000000e-05,1.132425196e+03,7.575020094e+06
pi+0.00,5.000000000e-06,2.125000000e-05,1.132258270e+03,7.562675923e+06
pi+0.00,5.208333333e-06,2.125000000e-05,1.132083846e+03,7.549119377e+06
pi+0.00,5.416666667e-06,2.125000000e-05,1.131903123e+03,7.535945361e+06
pi+0.00,5.625000000e-06,2.125000000e-05,1.131716041e+03,7.522322113e+06
pi+0.00,5.833333333e-06,2.125000000e-05,1.131522827e+03,7.508268220e+06
pi+0.00,6.041666667e-06,2.125000000e-05,1.131323720e+03,7.493801909e+06
pi+0.00,6.250000000e-06,2.125000000e-05,1.131116559e+03,7.478746182e+06
pi+0.00,6.458333333e-06,2.125000000e-05,1.130904141e+03,7.463339471e+06
pi+0.00,6.666666667e-06,2.125000000e-05,1.130687205e+03,7.447647753e+06
pi+0.00,6.875000000e-06,2.125000000e-05,1.130460947e+03,7.431246686e+06
pi+0.00,7.083333333e-06,2.125000000e-05,1.130232859e+03,7.414894819e+06
pi+0.00,7.291666667e-06,2.125000000e-05,1.129994100e+03,7.398817381e+06
pi+0.00,7.500000000e-06,2.125000000e-05,1.129755340e+03,7.382854221e+06
pi+0.00,7.708333333e-06,2.125000000e-05,1.129504794e+03,7.366190928e+06
pi+0.00,7.916666667e-06,2.125000000e-05,1.129254248e+03,7.349637871e+06
pi+0.00,8.125000000e-06,2.125000000e-05,1.128993651e+03,7.331331751e+06
pi+0.00,8.333333333e-06,2.125000000e-05,1.128731382e+03,7.312927822e+06
pi+0.00,8.541666667e-06,2.125000000e-05,1.128460791e+03,7.293896456e+06
pi+0.00,8.750000000e-06,2.125000000e-05,1.128186351e+03,7.274654024e+06
pi+0.00,8.958333333e-06,2.125000000e-05,1.127907448e+03,7.255143914e+06
pi+0.00,9.166666667e-06,2.125000000e-05,1.127621967e+03,7.235154296e+06
pi+0.00,9.375000000e-06,2.125000000e-05,1.127331849e+03,7.214884792e+06
pi+0.00,9.583333333e-06,2.125000000e-05,1.127037019e+03,7.194324315e+06
pi+0.00,9.791666667e-06,2.125000000e-05,1.126737436e+03,7.173465392e+06
pi+0.00,1.000000000e-05,2.125000000e-05,1.126433276e+03,7.151225133e+06
pi+0.00,1.020833333e-05,2.125000000e-05,1.126123808e+03,7.128837124e+06
pi+0.00,1.041666667e-05,2.125000000e-05,1.125809954e+03,7.107001700e+06
pi+0.00,1.062500000e-05,2.125000000e-05,1.125491749e+03,7.084933905e+06
pi+0.00,1.083333333e-05,2.125000000e-05,1.125169436e+03,7.062621108e+06
pi+0.00,1.104166667e-05,2.125000000e-05,1.124842638e+03,7.040047102e+06
pi+0.00,1.125000000e-05,2.125000000e-05,1.124510984e+03,7.017210518e+06
pi+0.00,1.145833333e-05,2.125000000e-05,1.124176103e+03,6.994210701e+06
pi+0.00,1.166666667e-05,2.125000000e-05,1.123837234e+03,6.970976212e+06
pi+0.00,1.187500000e-05,2.125000000e-05,1.123493567e+03,6.947486556e+06
pi+0.00,1.208333333e-05,2.125000000e-05,1.123147841e+03,6.923935180e+06
pi+0.00,1.229166667e-05,2.125000000e-05,1.122796111e+03,6.900026181e+06
pi+0.00,1.250000000e-05,2.125000000e-05,1.122442978e+03,6.876095740e+06
pi+0.00,1.270833333e-05,2.125000000e-05,1.122084513e+03,6.851880651e+06
pi+0.00,1.291666667e-05,2.125000000e-05,1.121723452e+03,6.827564734e+06
pi+0.00,1.312500000e-05,2.125000000e-05,1.121360279e+03,6.803182483e+06
pi+0.00,1.333333333e-05,2.125000000e-05,1.120990819e+03,6.778445063e+06
pi+0.00,1.354166667e-05,2.125000000e-05,1.120621359e+03,6.753780107e+06
pi+0.00,1.375000000e-05,2.125000000e-05,1.120247414e+03,6.728925529e+06
pi+0.00,1.395833333e-05,2.125000000e-05,1.119869173e+03,6.703887199e+06
pi+0.00,1.416666667e-05,2.125000000e-05,1.119490933e+03,6.678915780e+06
pi+0.00,1.437500000e-05,2.125000000e-05,1.119109029e+03,6.653785501e+06
pi+0.00,1.458333333e-05,2.125000000e-05,1.118721767e+03,6.628386630e+06
pi+0.00,1.479166667e-05,2.125000000e-05,1.118334504e+03,6.603048779e+06
pi+0.00,1.500000000e-05,2.125000000e-05,1.117947242e+03,6.577772651e+06
pi+0.00,1.520833333e-05,2.125000000e-05,1.117551859e+03,6.552177067e+06
pi+0.00,1.541666667e-05,2.125000000e-05,1.117155523e+03,6.526591246e+06
pi+0.00,1.562500000e-05,2.125000000e-05,1.116759187e+03,6.501060165e+06
pi+0.00,1.583333333e-05,2.125000000e-05,1.116362851e+03,6.475584471e+06
pi+0.00,1.604166667e-05,2.125000000e-05,1.115958374e+03,6.451167757e+06
pi+0.00,1.625000000e-05,2.125000000e-05,1.115553165e+03,6.426884311e+06
pi+0.00,1.645833333e-05,2.125000000e-05,1.115147955e+03,6.402643874e+06
pi+0.00,1.666666667e-05,2.125000000e-05,1.114742746e+03,6.378446936e+06
pi+0.00,1.687500000e-05,2.125000000e-05,1.114334228e+03,6.354436472e+06
pi+0.00,1.708333333e-05,2.125000000e-05,1.113921065e+03,6.330664174e+06
pi+0.00,1.729166667e-05,2.125000000e-05,1.113507901e+03,6.306927794e+06
pi+0.00,1.750000000e-05,2.125000000e-05,1.113094737e+03,6.283227740e+06
pi+0.00,1.770833333e-05,2.125000000e-05,1.112681573e+03,6.259564424e+06
pi+0.00,1.791666667e-05,2.125000000e-05,1.112263324e+03,6.234340697e+06
pi+0.00,1.812500000e-05,2.125000000e-05,1.111843993e+03,6.208813294e+06
pi+0.00,1.833333333e-05,2.125000000e-05,1.111424662e+03,6.183322654e+06
pi+0.00,1.854166667e-05,2.125000000e-05,1.111005330e+03,6.157869234e+06
pi+0.00,1.875000000e-05,2.125000000e-05,1.110582673e+03,6.132384307e+06
pi+0.00,1.895833333e-05,2.125000000e-05,1.110158962e+03,6.106910305e+06
pi+0.00,1.916666667e-05,2.125000000e-05,1.109735251e+03,6.081468823e+06
pi+0.00,1.937500000e-05,2.125000000e-05,1.109311008e+03,6.055816041e+06
pi+0.00,1.958333333e-05,2.125000000e-05,1.108884210e+03,6.029020761e+06
pi+0.00,1.979166667e-05,2.125000000e-05,1.108457412e+03,6.002257455e+06
pi+0.00,2.000000000e-05,2.125000000e-05,1.108030614e+03,5.975526555e+06
pi+0.00,2.020833333e-05,2.125000000e-05,1.107601544e+03,5.948988939e+06
pi+0.00,2.041666667e-05,2.125000000e-05,1.107172473e+03,5.922479346e+06
pi+0.00,2.062500000e-05,2.125000000e-05,1.106743403e+03,5.895998156e+06
pi+0.00,2.083333333e-05,2.125000000e-05,1.106312859e+03,5.870851387e+06
pi+0.00,2.104166667e-05,2.125000000e-05,1.105881991e+03,5.846015317e+06
pi+0.00,2.125000000e-05,2.125000000e-05,1.105451122e+03,5.821201415e+06
pi+0.00,2.145833333e-05,2.125000000e-05,1.105019966e+03,5.796474794e+06
pi+0.00,2.166666667e-05,2.125000000e-05,1.104587779e+03,5.772000817e+06
pi+0.00,2.187500000e-05,2.125000000e-05,1.104155593e+03,5.747545699e+06
pi+0.00,2.208333333e-05,2.125000000e-05,1.103723406e+03,5.723109683e+06
pi+0.00,2.229166667e-05,2.125000000e-05,1.103291130e+03,5.698746772e+06
pi+0.00,2.250000000e-05,2.125000000e-05,1.102858293e+03,5.674735010e+06
pi+0.00,2.270833333e-05,2.125000000e-05,1.102425457e+03,5.650739000e+06
pi+0.00,2.291666667e-05,2.125000000e-05,1.101992621e+03,5.626758943e+06
pi+0.00,2.312500000e-05,2.125000000e-05,1.101559784e+03,5.602795044e+06
pi+0.00,2.333333333e-05,2.125000000e-05,1.101127070e+03,5.579106474e+06
pi+0.00,2.354166667e-05,2.125000000e-05,1.100694468e+03,5.555671755e+06
pi+0.00,2.375000000e-05,2.125000000e-05,1.100261866e+03,5.532249868e+06
pi+0.00,2.395833333e-05,2.125000000e-05,1.099829264e+03,5.508840978e+06
pi+0.00,2.416666667e-05,2.125000000e-05,1.099396662e+03,5.485445252e+06
pi+0.00,2.437500000e-05,2.125000000e-05,1.098964451e+03,5.462244504e+06
pi+0.00,2.458333333e-05,2.125000000e-05,1.098533207e+03,5.439504468e+06
pi+0.00,2.479166667e-05,2.125000000e-05,1.098101963e+03,5.416774424e+06
pi+0.00,2.500000000e-05,2.125000000e-05,1.097670720e+03,5.394054498e+06
pi+0.00,0.000000000e+00,2.150000000e-05,1.132483778e+03,7.634675669e+06
pi+0.00,2.083333333e-07,2.150000000e-05,1.132475787e+03,7.633735711e+06
pi+0.00,4.166666667e-07,2.150000000e-05,1.132463841e+03,7.632566919e+06
pi+0.00,6.250000000e-07,2.150000000e-05,1.132444225e+03,7.630891390e+06
pi+0.00,8.333333333e-07,2.150000000e-05,1.132418133e+03,7.628735905e+06
pi+0.00,1.041666667e-06,2.150000000e-05,1.132384208e+03,7.625991504e+06
pi+0.00,1.250000000e-06,2.150000000e-05,1.132345292e+03,7.622982442e+06
pi+0.00,1.458333333e-06,2.150000000e-05,1.132294976e+03,7.619169861e+06
pi+0.00,1.666666667e-06,2.150000000e-05,1.132244659e+03,7.615502075e+06
pi+0.00,1.875000000e-06,2.150000000e-05,1.132178916e+03,7.611065866e+06
pi+0.00,2.083333333e-06,2.150000000e-05,1.132110635e+03,7.606604008e+06
pi+0.00,2.291666667e-06,2.150000000e-05,1.132038224e+03,7.601831932e+06
pi+0.00,2.500000000e-06,2.150000000e-05,1.131952604e+03,7.595811141e+06
pi+0.00,2.708333333e-06,2.150000000e-05,1.131866983e+03,7.589936350e+06
pi+0.00,2.916666667e-06,2.150000000e-05,1.131767625e+03,7.582859783e+06
pi+0.00,3.125000000e-06,2.150000000e-05,1.131666771e+03,7.575786173e+06
pi+0.00,3.333333333e-06,2.150000000e-05,1.131554640e+03,7.567786252e+06
pi+0.00,3.541666667e-06,2.150000000e-05,1.131439983e+03,7.559694957e+06
pi+0.00,3.750000000e-06,2.150000000e-05,1.131314328e+03,7.550703309e+06
pi+0.00,3.958333333e-06,2.150000000e-05,1.131184037e+03,7.541413740e+06
pi+0.00,4.166666667e-06,2.150000000e-05,1.131047732e+03,7.531694181e+06
pi+0.00,4.375000000e-06,2.150000000e-05,1.130903316e+03,7.521354518e+06
pi+0.00,4.583333333e-06,2.150000000e-05,1.130752460e+03,7.510544781e+06
pi+0.00,4.791666667e-06,2.150000000e-05,1.130595331e+03,7.499283830e+06
pi+0.00,5.000000000e-06,2.150000000e-05,1.130431920e+03,7.487269264e+06
pi+0.00,5.208333333e-06,2.150000000e-05,1.130261160e+03,7.474074154e+06
pi+0.00,5.416666667e-06,2.150000000e-05,1.130084226e+03,7.461250791e+06
pi+0.00,5.625000000e-06,2.150000000e-05,1.129901058e+03,7.447989549e+06
pi+0.00,5.833333333e-06,2.150000000e-05,1.129711879e+03,7.434308462e+06
pi+0.00,6.041666667e-06,2.150000000e-05,1.129516922e+03,7.420225226e+06
pi+0.00,6.250000000e-06,2.150000000e-05,1.129314065e+03,7.405567401e+06
pi+0.00,6.458333333e-06,2.150000000e-05,1.129106052e+03,7.390567066e+06
pi+0.00,6.666666667e-06,2.150000000e-05,1.128893606e+03,7.375288506e+06
pi+0.00,6.875000000e-06,2.150000000e-05,1.128672013e+03,7.359318177e+06
pi+0.00,7.083333333e-06,2.150000000e-05,1.128448625e+03,7.343395095e+06
pi+0.00,7.291666667e-06,2.150000000e-05,1.128214761e+03,7.327738074e+06
pi+0.00,7.500000000e-06,2.150000000e-05,1.127980897e+03,7.312191879e+06
pi+0.00,7.708333333e-06,2.150000000e-05,1.127735458e+03,7.295962495e+06
pi+0.00,7.916666667e-06,2.150000000e-05,1.127490019e+03,7.279840045e+06
pi+0.00,8.125000000e-06,2.150000000e-05,1.127234706e+03,7.262008551e+06
pi+0.00,8.333333333e-06,2.150000000e-05,1.126977750e+03,7.244081107e+06
pi+0.00,8.541666667e-06,2.150000000e-05,1.126712613e+03,7.225540785e+06
pi+0.00,8.750000000e-06,2.150000000e-05,1.126443693e+03,7.206793724e+06
pi+0.00,8.958333333e-06,2.150000000e-05,1.126170384e+03,7.187784682e+06
pi+0.00,9.166666667e-06,2.150000000e-05,1.125890605e+03,7.168306714e+06
pi+0.00,9.375000000e-06,2.150000000e-05,1.125606262e+03,7.148554584e+06
pi+0.00,9.583333333e-06,2.150000000e-05,1.125317283e+03,7.128517399e+06
pi+0.00,9.791666667e-06,2.150000000e-05,1.125023624e+03,7.108187767e+06
pi+0.00,1.000000000e-05,2.150000000e-05,1.124725457e+03,7.086510045e+06
pi+0.00,1.020833333e-05,2.150000000e-05,1.124422061e+03,7.064686074e+06
pi+0.00,1.041666667e-05,2.150000000e-05,1.124114342e+03,7.043398900e+06
pi+0.00,1.062500000e-05,2.150000000e-05,1.123802335e+03,7.021883320e+06
pi+0.00,1.083333333e-05,2.150000000e-05,1.123486276e+03,7.000127014e+06
pi+0.00,1.104166667e-05,2.150000000e-05,1.123165793e+03,6.978113914e+06
pi+0.00,1.125000000e-05,2.150000000e-05,1.122840518e+03,6.955842337e+06
pi+0.00,1.145833333e-05,2.150000000e-05,1.122512056e+03,6.933409800e+06
pi+0.00,1.166666667e-05,2.150000000e-05,1.122179657e+03,6.910746231e+06
pi+0.00,1.187500000e-05,2.150000000e-05,1.121842516e+03,6.887830943e+06
pi+0.00,1.208333333e-05,2.150000000e-05,1.121503340e+03,6.864854184e+06
pi+0.00,1.229166667e-05,2.150000000e-05,1.121158225e+03,6.841524685e+06
pi+0.00,1.250000000e-05,2.150000000e-05,1.120811724e+03,6.818173309e+06
pi+0.00,1.270833333e-05,2.150000000e-05,1.120459944e+03,6.794540352e+06
pi+0.00,1.291666667e-05,2.150000000e-05,1.120105593e+03,6.770807141e+06
pi+0.00,1.312500000e-05,2.150000000e-05,1.119749150e+03,6.747007427e+06
pi+0.00,1.333333333e-05,2.150000000e-05,1.119386474e+03,6.722856025e+06
pi+0.00,1.354166667e-05,2.150000000e-05,1.119023798e+03,6.698775330e+06
pi+0.00,1.375000000e-05,2.150000000e-05,1.118656670e+03,6.674505363e+06
pi+0.00,1.395833333e-05,2.150000000e-05,1.118285277e+03,6.650052085e+06
pi+0.00,1.416666667e-05,2.150000000e-05,1.117913884e+03,6.625664152e+06
pi+0.00,1.437500000e-05,2.150000000e-05,1.117538847e+03,6.601117137e+06
pi+0.00,1.458333333e-05,2.150000000e-05,1.117158480e+03,6.576302117e+06
pi+0.00,1.479166667e-05,2.150000000e-05,1.116778113e+03,6.551546750e+06
pi+0.00,1.500000000e-05,2.150000000e-05,1.116397746e+03,6.526851716e+06
pi+0.00,1.520833333e-05,2.150000000e-05,1.116009281e+03,6.501834288e+06
pi+0.00,1.541666667e-05,2.150000000e-05,1.115619866e+03,6.476825291e+06
pi+0.00,1.562500000e-05,2.150000000e-05,1.115230450e+03,6.451869872e+06
pi+0.00,1.583333333e-05,2.150000000e-05,1.114841034e+03,6.426968654e+06
pi+0.00,1.604166667e-05,2.150000000e-05,1.114443472e+03,6.403091516e+06
pi+0.00,1.625000000e-05,2.150000000e-05,1.114045178e+03,6.379343763e+06
pi+0.00,1.645833333e-05,2.150000000e-05,1.113646883e+03,6.355638165e+06
pi+0.00,1.666666667e-05,2.150000000e-05,1.113248588e+03,6.331975194e+06
pi+0.00,1.687500000e-05,2.150000000e-05,1.112846967e+03,6.308489647e+06
pi+0.00,1.708333333e-05,2.150000000e-05,1.112440676e+03,6.285230085e+06
pi+0.00,1.729166667e-05,2.150000000e-05,1.112034385e+03,6.262005780e+06
pi+0.00,1.750000000e-05,2.150000000e-05,1.111628094e+03,6.238817126e+06
pi+0.00,1.770833333e-05,2.150000000e-05,1.111221803e+03,6.215664521e+06
pi+0.00,1.791666667e-05,2.150000000e-05,1.110810369e+03,6.190974287e+06
pi+0.00,1.812500000e-05,2.150000000e-05,1.110397840e+03,6.165984755e+06
pi+0.00,1.833333333e-05,2.150000000e-05,1.109985311e+03,6.141031358e+06
pi+0.00,1.854166667e-05,2.150000000e-05,1.109572782e+03,6.116114540e+06
pi+0.00,1.875000000e-05,2.150000000e-05,1.109156864e+03,6.091157081e+06
pi+0.00,1.895833333e-05,2.150000000e-05,1.108739871e+03,6.066207347e+06
pi+0.00,1.916666667e-05,2.150000000e-05,1.108322879e+03,6.041289624e+06
pi+0.00,1.937500000e-05,2.150000000e-05,1.107905340e+03,6.016162866e+06
pi+0.00,1.958333333e-05,2.150000000e-05,1.107485172e+03,5.989906516e+06
pi+0.00,1.979166667e-05,2.150000000e-05,1.107065005e+03,5.963681693e+06
pi+0.00,2.000000000e-05,2.150000000e-05,1.106644837e+03,5.937488814e+06
pi+0.00,2.020833333e-05,2.150000000e-05,1.106222303e+03,5.911472575e+06
pi+0.00,2.041666667e-05,2.150000000e-05,1.105799769e+03,5.885484010e+06
pi+0.00,2.062500000e-05,2.150000000e-05,1.105377234e+03,5.859523488e+06
pi+0.00,2.083333333e-05,2.150000000e-05,1.104953136e+03,5.834861271e+06
pi+0.00,2.104166667e-05,2.150000000e-05,1.104528693e+03,5.810501615e+06
pi+0.00,2.125000000e-05,2.150000000e-05,1.104104250e+03,5.786163883e+06
pi+0.00,2.145833333e-05,2.150000000e-05,1.103679490e+03,5.761909103e+06
pi+0.00,2.166666667e-05,2.150000000e-05,1.103253594e+03,5.737892145e+06
pi+0.00,2.187500000e-05,2.150000000e-05,1.102827697e+03,5.713893874e+06
pi+0.00,2.208333333e-05,2.150000000e-05,1.102401801e+03,5.689914528e+06
pi+0.00,2.229166667e-05,2.150000000e-05,1.101975792e+03,5.666005114e+06
pi+0.00,2.250000000e-05,2.150000000e-05,1.101549082e+03,5.642428135e+06
pi+0.00,2.270833333e-05,2.150000000e-05,1.101122372e+03,5.618866799e+06
pi+0.00,2.291666667e-05,2.150000000e-05,1.100695662e+03,5.595321302e+06
pi+0.00,2.312500000e-05,2.150000000e-05,1.100268952e+03,5.571791846e+06
pi+0.00,2.333333333e-05,2.150000000e-05,1.099842262e+03,5.548524810e+06
pi+0.00,2.354166667e-05,2.150000000e-05,1.099415591e+03,5.525499687e+06
pi+0.00,2.375000000e-05,2.150000000e-05,1.098988920e+03,5.502487340e+06
pi+0.00,2.395833333e-05,2.150000000e-05,1.098562249e+03,5.479487930e+06
pi+0.00,2.416666667e-05,2.150000000e-05,1.098135578e+03,5.456501620e+06
pi+0.00,2.437500000e-05,2.150000000e-05,1.097709231e+03,5.433702219e+06
pi+0.00,2.458333333e-05,2.150000000e-05,1.097283688e+03,5.411343689e+06
pi+0.00,2.479166667e-05,2.150000000e-05,1.096858145e+03,5.388995138e+06
pi+0.00,2.500000000e-05,2.150000000e-05,1.096432603e+03,5.366656688e+06
pi+0.00,0.000000000e+00,2.175000000e-05,1.130612832e+03,7.555190476e+06
pi+0.00,2.083333333e-07,2.175000000e-05,1.130605016e+03,7.554277249e+06
pi+0.00,4.166666667e-07,2.175000000e-05,1.130593333e+03,7.553141420e+06
pi+0.00,6.250000000e-07,2.175000000e-05,1.130574147e+03,7.551513032e+06
pi+0.00,8.333333333e-07,2.175000000e-05,1.130548629e+03,7.549418057e+06
pi+0.00,1.041666667e-06,2.175000000e-05,1.130515449e+03,7.546750621e+06
pi+0.00,1.250000000e-06,2.175000000e-05,1.130477388e+03,7.543825630e+06
pi+0.00,1.458333333e-06,2.175000000e-05,1.130428175e+03,7.540119957e+06
pi+0.00,1.666666667e-06,2.175000000e-05,1.130378963e+03,7.536554282e+06
pi+0.00,1.875000000e-06,2.175000000e-05,1.130314660e+03,7.532242234e+06
pi+0.00,2.083333333e-06,2.175000000e-05,1.130247875e+03,7.527904835e+06
pi+0.00,2.291666667e-06,2.175000000e-05,1.130177049e+03,7.523265564e+06
pi+0.00,2.500000000e-06,2.175000000e-05,1.130093300e+03,7.517412764e+06
pi+0.00,2.708333333e-06,2.175000000e-05,1.130009551e+03,7.511701151e+06
pi+0.00,2.916666667e-06,2.175000000e-05,1.129912360e+03,7.504821672e+06
pi+0.00,3.125000000e-06,2.175000000e-05,1.129813705e+03,7.497944444e+06
pi+0.00,3.333333333e-06,2.175000000e-05,1.129704015e+03,7.490166818e+06
pi+0.00,3.541666667e-06,2.175000000e-05,1.129591852e+03,7.482299812e+06
pi+0.00,3.750000000e-06,2.175000000e-05,1.129468925e+03,7.473557503e+06
pi+0.00,3.958333333e-06,2.175000000e-05,1.129341458e+03,7.464525090e+06
pi+0.00,4.166666667e-06,2.175000000e-05,1.129208105e+03,7.455074257e+06
pi+0.00,4.375000000e-06,2.175000000e-05,1.129066811e+03,7.445020212e+06
pi+0.00,4.583333333e-06,2.175000000e-05,1.128919211e+03,7.434508678e+06
pi+0.00,4.791666667e-06,2.175000000e-05,1.128765467e+03,7.423557942e+06
pi+0.00,5.000000000e-06,2.175000000e-05,1.128605569e+03,7.411873864e+06
pi+0.00,5.208333333e-06,2.175000000e-05,1.128438473e+03,7.399041145e+06
pi+0.00,5.416666667e-06,2.175000000e-05,1.128265328e+03,7.386569351e+06
pi+0.00,5.625000000e-06,2.175000000e-05,1.128086076e+03,7.373671057e+06
pi+0.00,5.833333333e-06,2.175000000e-05,1.127900932e+03,7.360363739e+06
pi+0.00,6.041666667e-06,2.175000000e-05,1.127710124e+03,7.346664565e+06
pi+0.00,6.250000000e-06,2.175000000e-05,1.127511571e+03,7.332405637e+06
