# Urteil des Kanten-Gates.  Die Grenzen stehen in edge_gate:: und wurden
# vor der Messung festgelegt.  exclusion_change ist die urspruengliche,
# fehlspezifizierte Groesse: sie vergleicht den Kraftinhalt zweier
# verschiedener Gebiete und kann nicht klein werden.  Sie wird berichtet,
# entscheidet aber nicht; das tut limit_agreement.
shape,Pi,verdict,fit_exponent,wedge_reference_exponent,total_force_change,tol_total_force,edge_far_change,tol_edge_far,exclusion_change,tol_exclusion,limit_force_mesh_N,limit_force_exclusion_N,limit_agreement,tol_limit_agreement,note
pi+0.00,0.000000000e+00,Passed,-4.444675897e-01,0.000000000e+00,1.647992245e-02,5.000000000e-02,5.306501582e-03,2.000000000e-02,1.133709612e-01,5.000000000e-02,7.791372927e-07,7.599288060e-07,2.527669248e-02,5.000000000e-02,Die elektrische Flaechenlast ist an der unverrundeten Kante integrierbar und die schwache  flaechengemittelte Projektion konvergiert. Der punktweise Kantenwert bleibt ausdruecklich nicht konvergiert und wird nirgends verwendet.
pi+0.50,5.000000000e-01,Passed,-2.919289414e-01,1.749310608e-01,1.292245778e-02,5.000000000e-02,3.365703152e-03,2.000000000e-02,8.479069126e-02,5.000000000e-02,8.820854353e-07,8.489125715e-07,3.907689072e-02,5.000000000e-02,Die elektrische Flaechenlast ist an der unverrundeten Kante integrierbar und die schwache  flaechengemittelte Projektion konvergiert. Der punktweise Kantenwert bleibt ausdruecklich nicht konvergiert und wird nirgends verwendet.
pi-0.50,-5.000000000e-01,FailedExclusion,-6.113315743e-01,-1.488862339e-01,2.162448663e-02,5.000000000e-02,1.311465548e-02,2.000000000e-02,1.466967183e-01,5.000000000e-02,7.034032693e-07,7.455017982e-07,5.647005688e-02,5.000000000e-02,Die beiden unabhaengigen Extrapolationen der Grenzkraft -- ueber die Netzstufen und ueber die Ausschlussdistanz mit dem gefitteten Exponenten -- stimmen nicht ueberein. Der Beitrag der Kantenzone ist damit nicht als summierbar nachgewiesen.
pi+1.50,1.500000000e+00,Passed,5.369585315e-02,7.395254185e-01,7.672098478e-03,5.000000000e-02,8.569609149e-03,2.000000000e-02,3.639853650e-02,5.000000000e-02,1.302202856e-06,1.272872577e-06,2.304258845e-02,5.000000000e-02,Die elektrische Flaechenlast ist an der unverrundeten Kante integrierbar und die schwache  flaechengemittelte Projektion konvergiert. Der punktweise Kantenwert bleibt ausdruecklich nicht konvergiert und wird nirgends verwendet.
pi-1.50,-1.500000000e+00,FailedNotIntegrable,-1.094864138e+00,-4.251305618e-01,4.395048149e-02,5.000000000e-02,7.044967756e-02,2.000000000e-02,2.640464411e-01,5.000000000e-02,5.841296128e-07,-1.026753000e-06,1.568909575e+00,5.000000000e-02,Der gemessene Singularitaetsexponent ist nicht integrierbar (beta <= -1).
pi+1.90,1.900000000e+00,Passed,3.078442358e-01,1.327329588e+00,5.192606349e-03,5.000000000e-02,8.891325207e-03,2.000000000e-02,1.666834758e-02,5.000000000e-02,1.809961990e-06,1.787088800e-06,1.279913441e-02,5.000000000e-02,Die elektrische Flaechenlast ist an der unverrundeten Kante integrierbar und die schwache  flaechengemittelte Projektion konvergiert. Der punktweise Kantenwert bleibt ausdruecklich nicht konvergiert und wird nirgends verwendet.
