# Selbstkonsistente Punkte des Astes, der die feldfreie P3a-Loesung
# enthaelt.  Nur konvergierte Punkte stehen hier.
branch,delta_p_Pa,Pi_pressure,V_emitter_V,V_extractor_V,level,status,h_m,h_over_a,E_apex_V_per_m,E_edge_far_V_per_m,max_curvature_1_per_m,total_force_N,surface_area_m2,liquid_volume_m3,iterations,shape_change,load_change,mech_residual,mech_residual_edge_far,contact_error,fem_residual_C,fem_residual_rel,min_jacobian,crossings
dp0_pos,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2,Converged,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.853981634e-11,0.000000000e+00,2,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.202285663e-15,0.000000000e+00,0.000000000e+00,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,2.500000000e+02,0.000000000e+00,2,Converged,2.449102958e-08,4.898205915e-03,5.713979517e+06,7.120435416e+06,1.173407165e+04,1.927082457e-08,7.854205225e-11,1.038372022e-18,8,5.073998619e-07,4.257774751e-06,2.567345474e-04,1.688416053e-04,0.000000000e+00,4.301339185e-23,3.786357622e-13,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,5.000000000e+02,0.000000000e+00,2,Converged,1.019264135e-07,2.038528271e-02,1.170399843e+07,1.446021482e+07,4.670243441e+04,7.885872391e-08,7.857819695e-11,4.306635129e-18,12,5.919082025e-07,5.098128154e-06,5.335481185e-04,3.578494272e-04,3.388131789e-16,7.610061635e-23,3.349470053e-13,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,7.500000000e+02,0.000000000e+00,2,Converged,2.467536035e-07,4.935072071e-02,1.834406907e+07,2.227238479e+07,1.031895524e+05,1.850022468e-07,7.876101705e-11,1.036288375e-17,15,7.683448748e-07,7.131765769e-06,1.090078810e-03,6.863637376e-04,0.000000000e+00,1.224227307e-22,3.592184957e-13,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,1.000000000e+03,0.000000000e+00,2,Converged,4.963150813e-07,9.926301626e-02,2.632192096e+07,3.089593791e+07,1.757822218e+05,3.526603197e-07,7.940922780e-11,2.064757438e-17,19,9.723399990e-07,1.006052629e-05,9.134033685e-04,5.009651102e-04,1.694065895e-16,1.588186776e-22,3.495098307e-13,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,1.125000000e+03,0.000000000e+00,2,Converged,6.895182619e-07,1.379036524e-01,3.128229809e+07,3.566805677e+07,2.136068040e+05,4.702840226e-07,8.018062393e-11,2.849768700e-17,22,6.696718845e-07,7.336404926e-06,1.116083576e-03,5.403501428e-04,3.388131789e-16,1.985233470e-22,3.883442033e-13,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,1.312500000e+03,0.000000000e+00,2,Converged,1.174334481e-06,2.348668961e-01,4.157309299e+07,4.369770069e+07,2.587145575e+05,7.252532512e-07,8.303580914e-11,4.784897426e-17,32,9.177867907e-07,1.068264527e-05,2.194724018e-03,7.838411974e-04,1.694065895e-16,2.382280164e-22,3.994395999e-13,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,1.375000000e+03,0.000000000e+00,2,Converged,1.462400268e-06,2.924800536e-01,4.683236625e+07,4.669348215e+07,2.665684372e+05,8.536862018e-07,8.527568523e-11,5.914285620e-17,37,9.079468458e-07,1.060707268e-05,3.686833844e-03,9.625320965e-04,1.694065895e-16,2.117582368e-22,3.389183629e-13,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,1.421875000e+03,0.000000000e+00,2,Converged,1.805166558e-06,3.610333116e-01,5.257691446e+07,4.906328112e+07,2.727067646e+05,9.880513622e-07,8.838139910e-11,7.238466442e-17,49,9.006791362e-07,1.035971451e-05,6.515089260e-04,4.253096229e-04,1.016439537e-15,2.183756817e-22,3.379871589e-13,2.686158860e-14,1
dp0_pos,0.000000000e+00,0.000000000e+00,1.439453125e+03,0.000000000e+00,2,Converged,2.003524793e-06,4.007049585e-01,5.571593200e+07,4.996407648e+07,3.060409131e+05,1.057831941e-06,9.036515016e-11,7.993743709e-17,55,9.561135812e-07,1.079707652e-05,4.497652451e-04,4.228835667e-04,1.016439537e-15,2.183756817e-22,3.338597052e-13,2.686158860e-14,1
dp0_neg,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2,Converged,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.853981634e-11,0.000000000e+00,2,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.202285663e-15,0.000000000e+00,0.000000000e+00,2.686158860e-14,1
dp0_neg,0.000000000e+00,0.000000000e+00,-2.500000000e+02,0.000000000e+00,2,Converged,2.449102958e-08,4.898205915e-03,-5.713979517e+06,-7.120435416e+06,1.173407165e+04,1.927082457e-08,7.854205225e-11,1.038372022e-18,8,5.073998619e-07,4.257774751e-06,2.567345474e-04,1.688416053e-04,0.000000000e+00,4.301339185e-23,3.786357622e-13,2.686158860e-14,1
dp0_neg,0.000000000e+00,0.000000000e+00,-5.000000000e+02,0.000000000e+00,2,Converged,1.019264135e-07,2.038528271e-02,-1.170399843e+07,-1.446021482e+07,4.670243441e+04,7.885872391e-08,7.857819695e-11,4.306635129e-18,12,5.919082025e-07,5.098128154e-06,5.335481185e-04,3.578494272e-04,3.388131789e-16,7.610061635e-23,3.349470053e-13,2.686158860e-14,1
dp0_neg,0.000000000e+00,0.000000000e+00,-7.500000000e+02,0.000000000e+00,2,Converged,2.467536035e-07,4.935072071e-02,-1.834406907e+07,-2.227238479e+07,1.031895524e+05,1.850022468e-07,7.876101705e-11,1.036288375e-17,15,7.683448748e-07,7.131765769e-06,1.090078810e-03,6.863637376e-04,0.000000000e+00,1.224227307e-22,3.592184957e-13,2.686158860e-14,1
dp0_neg,0.000000000e+00,0.000000000e+00,-1.000000000e+03,0.000000000e+00,2,Converged,4.963150813e-07,9.926301626e-02,-2.632192096e+07,-3.089593791e+07,1.757822218e+05,3.526603197e-07,7.940922780e-11,2.064757438e-17,19,9.723399990e-07,1.006052629e-05,9.134033685e-04,5.009651102e-04,1.694065895e-16,1.588186776e-22,3.495098307e-13,2.686158860e-14,1
dp0_neg,0.000000000e+00,0.000000000e+00,-1.125000000e+03,0.000000000e+00,2,Converged,6.895182619e-07,1.379036524e-01,-3.128229809e+07,-3.566805677e+07,2.136068040e+05,4.702840226e-07,8.018062393e-11,2.849768700e-17,22,6.696718845e-07,7.336404926e-06,1.116083576e-03,5.403501428e-04,3.388131789e-16,1.985233470e-22,3.883442033e-13,2.686158860e-14,1
