# boundary mesh nodes in the meridian half-plane (r, z), SI
index,r_m,z_m,on_axis,is_corner,feature
52,0.00000000000000000e+00,6.83637259504241840e-04,1,0,
53,0.00000000000000000e+00,6.29666605001353457e-04,1,0,
54,0.00000000000000000e+00,5.77585733173914843e-04,1,0,
55,0.00000000000000000e+00,5.24798734055200019e-04,1,0,
56,0.00000000000000000e+00,4.72724862713252503e-04,1,0,
57,0.00000000000000000e+00,4.18913382493889567e-04,1,0,
58,0.00000000000000000e+00,3.59955019869688704e-04,1,0,
59,0.00000000000000000e+00,2.92225991898613282e-04,1,0,
60,0.00000000000000000e+00,2.28717251806652162e-04,1,0,
61,0.00000000000000000e+00,1.78976024487103279e-04,1,0,
62,0.00000000000000000e+00,1.40016324193394754e-04,1,0,
63,0.00000000000000000e+00,1.09499362283653695e-04,1,0,
64,0.00000000000000000e+00,8.55931784520471035e-05,1,0,
65,0.00000000000000000e+00,6.68626420162554778e-05,1,0,
66,0.00000000000000000e+00,5.21833140768865941e-05,1,0,
67,0.00000000000000000e+00,4.06739386917642602e-05,1,0,
68,0.00000000000000000e+00,3.16434442198887736e-05,1,0,
69,0.00000000000000000e+00,2.45495985825466053e-05,1,0,
70,0.00000000000000000e+00,1.89662103933440577e-05,1,0,
71,0.00000000000000000e+00,1.45576373896609112e-05,1,0,
72,0.00000000000000000e+00,1.10584029126359687e-05,1,0,
73,0.00000000000000000e+00,8.25711215038361056e-06,1,0,
74,0.00000000000000000e+00,5.98349887591343929e-06,1,0,
75,0.00000000000000000e+00,4.14479797429859707e-06,1,0,
76,0.00000000000000000e+00,2.70418027978878463e-06,1,0,
77,0.00000000000000000e+00,1.57581509053236583e-06,1,0,
78,0.00000000000000000e+00,6.92161216384263103e-07,1,0,
79,4.99999999999999956e-06,0.00000000000000000e+00,0,1,pinned_contact_edge
80,4.83385755349557957e-06,0.00000000000000000e+00,0,0,
81,4.62353707509285238e-06,0.00000000000000000e+00,0,0,
82,4.35732470393480686e-06,0.00000000000000000e+00,0,0,
83,4.02033441028774764e-06,0.00000000000000000e+00,0,0,
84,3.59376639702673721e-06,0.00000000000000000e+00,0,0,
85,3.05378871394347815e-06,0.00000000000000000e+00,0,0,
86,2.37027058385068038e-06,0.00000000000000000e+00,0,0,
87,1.50585306780934502e-06,0.00000000000000000e+00,0,0,
88,6.64590177346823362e-07,0.00000000000000000e+00,0,0,
89,4.99999999999999956e-06,-3.99999999999999965e-04,0,1,
90,4.99999999999999956e-06,-3.99306071018672756e-04,0,0,
91,4.99999999999999956e-06,-3.98419558473820312e-04,0,0,
92,4.99999999999999956e-06,-3.97286963096463099e-04,0,0,
93,4.99999999999999956e-06,-3.95839996780858526e-04,0,0,
94,4.99999999999999956e-06,-3.93991389451296356e-04,0,0,
95,4.99999999999999956e-06,-3.91629674228660912e-04,0,0,
96,4.99999999999999956e-06,-3.88612424339294319e-04,0,0,
97,4.99999999999999956e-06,-3.84757674840787312e-04,0,0,
98,4.99999999999999956e-06,-3.79832972476855857e-04,0,0,
99,4.99999999999999956e-06,-3.73541329366203494e-04,0,0,
100,4.99999999999999956e-06,-3.65503325998518911e-04,0,0,
101,4.99999999999999956e-06,-3.55234228965372603e-04,0,0,
102,4.99999999999999956e-06,-3.42114755781469605e-04,0,0,
103,4.99999999999999956e-06,-3.25353735694630555e-04,0,0,
104,4.99999999999999956e-06,-3.03940389493746982e-04,0,0,
105,4.99999999999999956e-06,-2.76583380643413332e-04,0,0,
106,4.99999999999999956e-06,-2.41632936721464426e-04,0,0,
107,4.99999999999999956e-06,-2.01405148037030483e-04,0,0,
108,4.99999999999999956e-06,-1.68855785839157780e-04,0,0,
109,4.99999999999999956e-06,-1.43318956166274655e-04,0,0,
110,4.99999999999999956e-06,-1.23251658212854775e-04,0,0,
111,4.99999999999999956e-06,-1.07438541659801603e-04,0,0,
112,4.99999999999999956e-06,-9.49169058423713382e-05,0,0,
113,4.99999999999999956e-06,-8.49154957946758994e-05,0,0,
114,4.99999999999999956e-06,-7.68023000435392230e-05,0,0,
115,4.99999999999999956e-06,-7.00367911287087591e-05,0,0,
116,4.99999999999999956e-06,-6.41241681270399979e-05,0,0,
117,4.99999999999999956e-06,-5.85774294924481490e-05,0,0,
118,4.99999999999999956e-06,-5.29032546111622638e-05,0,0,
119,4.99999999999999956e-06,-4.66114096249751662e-05,0,0,
120,4.99999999999999956e-06,-3.92145344868402384e-05,0,0,
121,4.99999999999999956e-06,-3.08517558751908688e-05,0,0,
122,4.99999999999999956e-06,-2.40130260631014132e-05,0,0,
123,4.99999999999999956e-06,-1.86600986885158970e-05,0,0,
124,4.99999999999999956e-06,-1.44701626857071794e-05,0,0,
125,4.99999999999999956e-06,-1.11905445597953752e-05,0,0,
126,4.99999999999999956e-06,-8.62347108579789544e-06,0,0,
127,4.99999999999999956e-06,-6.61412520460097440e-06,0,0,
128,4.99999999999999956e-06,-5.04133279405143912e-06,0,0,
129,4.99999999999999956e-06,-3.81025233443506393e-06,0,0,
130,4.99999999999999956e-06,-2.84664787435185643e-06,0,0,
131,4.99999999999999956e-06,-2.09239195887321507e-06,0,0,
132,4.99999999999999956e-06,-1.50201098883810842e-06,0,0,
133,4.99999999999999956e-06,-1.03991265939411878e-06,0,0,
134,4.99999999999999956e-06,-6.78211260755684150e-07,0,0,
135,4.99999999999999956e-06,-3.95093672929099169e-07,0,0,
136,4.99999999999999956e-06,-1.73480083533487581e-07,0,0,
137,6.49805904880143609e-07,-3.99999999999999965e-04,0,0,
138,1.46850492411232024e-06,-3.99999999999999965e-04,0,0,
139,2.50000000000000020e-06,-3.99999999999999965e-04,0,0,
140,3.53149507588767995e-06,-3.99999999999999965e-04,0,0,
141,4.35019409511985659e-06,-3.99999999999999965e-04,0,0,
142,9.99999999999999912e-06,0.00000000000000000e+00,0,1,emitter_outer_edge
143,9.82440600019668112e-06,0.00000000000000000e+00,0,0,
144,9.59947789241287352e-06,0.00000000000000000e+00,0,0,
145,9.31134406039093054e-06,0.00000000000000000e+00,0,0,
146,8.94226946978841405e-06,0.00000000000000000e+00,0,0,
147,8.46949727429674532e-06,0.00000000000000000e+00,0,0,
148,7.86389404970175336e-06,0.00000000000000000e+00,0,0,
149,7.13610595029823770e-06,0.00000000000000000e+00,0,0,
150,6.53050272570324828e-06,0.00000000000000000e+00,0,0,
151,6.05773053021158124e-06,0.00000000000000000e+00,0,0,
152,5.68865593960906730e-06,0.00000000000000000e+00,0,0,
153,5.40052210758712432e-06,0.00000000000000000e+00,0,0,
154,5.17559399980331756e-06,0.00000000000000000e+00,0,0,
155,1.99999999999999982e-05,-3.99999999999999965e-04,0,1,
156,1.99999999999999982e-05,-3.97906750100880126e-04,0,0,
157,1.99999999999999982e-05,-3.95229071936032577e-04,0,0,
158,1.99999999999999982e-05,-3.91804854015809288e-04,0,0,
159,1.99999999999999982e-05,-3.87423981744350061e-04,0,0,
160,1.99999999999999982e-05,-3.81820678443703669e-04,0,0,
161,1.99999999999999982e-05,-3.74739659379122502e-04,0,0,
162,1.99999999999999982e-05,-3.65976503524391677e-04,0,0,
163,1.99999999999999982e-05,-3.55002135667329788e-04,0,0,
164,1.99999999999999982e-05,-3.41142717662287027e-04,0,0,
165,1.99999999999999982e-05,-3.23551136724910412e-04,0,0,
166,1.99999999999999982e-05,-3.01154036730244101e-04,0,0,
167,1.99999999999999982e-05,-2.72586086696139751e-04,0,0,
168,1.99999999999999982e-05,-2.36106663363244793e-04,0,0,
169,1.99999999999999982e-05,-1.96362143116816874e-04,0,0,
170,1.99999999999999982e-05,-1.64969960335916826e-04,0,0,
171,1.99999999999999982e-05,-1.40427932162170467e-04,0,0,
172,1.99999999999999982e-05,-1.21241227594007456e-04,0,0,
173,1.99999999999999982e-05,-1.06241262168542329e-04,0,0,
174,1.99999999999999982e-05,-9.45144553621673762e-05,0,0,
175,1.99999999999999982e-05,-8.53465353367050656e-05,0,0,
176,1.99999999999999982e-05,-7.81793215562962907e-05,0,0,
177,1.99999999999999982e-05,-7.25760182556498988e-05,0,0,
178,1.99999999999999982e-05,-6.81951459841906717e-05,0,0,
179,1.99999999999999982e-05,-6.47709280639674370e-05,0,0,
180,1.99999999999999982e-05,-6.20932498991198334e-05,0,0,
181,1.99999999999999982e-05,-5.99999999999999947e-05,0,1,
182,1.96644791840710917e-05,-5.79868751044265555e-05,0,0,
183,1.92376580170096334e-05,-5.54259481020577991e-05,0,0,
184,1.86946906885813213e-05,-5.21681441314879329e-05,0,0,
185,1.80039717292254092e-05,-4.80238303753524604e-05,0,0,
186,1.71252948908890001e-05,-4.27517693453340059e-05,0,0,
187,1.60075137160866217e-05,-3.60450822965197487e-05,0,0,
188,1.47299107152543735e-05,-2.83794642915262464e-05,0,0,
