# boundary elements; revolved_area = pi*(r_a+r_b)*L, exactly 0 on the axis
index,curve_name,boundary_id,kind,side_a,side_b,node_a,node_b,r_a_m,z_a_m,r_b_m,z_b_m,r_mid_m,z_mid_m,n_r,n_z,meridian_length_m,revolved_area_m2
0,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,0,1,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-7.07432765486371983e-07,0.00000000000000000e+00,-3.53716382743185992e-07,-1.000000000e+00,0.000000000e+00,7.07432765486371983e-07,0.00000000000000000e+00
1,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,1,2,0.00000000000000000e+00,-7.07432765486371983e-07,0.00000000000000000e+00,-1.61513987249480764e-06,0.00000000000000000e+00,-1.16128631899058971e-06,-1.000000000e+00,0.000000000e+00,9.07707107008435661e-07,0.00000000000000000e+00
2,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,2,3,0.00000000000000000e+00,-1.61513987249480764e-06,0.00000000000000000e+00,-2.77957078502872568e-06,0.00000000000000000e+00,-2.19735532876176645e-06,-1.000000000e+00,0.000000000e+00,1.16443091253391804e-06,0.00000000000000000e+00
3,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,3,4,0.00000000000000000e+00,-2.77957078502872568e-06,0.00000000000000000e+00,-4.27352548181960881e-06,0.00000000000000000e+00,-3.52654813342416704e-06,-1.000000000e+00,0.000000000e+00,1.49395469679088313e-06,0.00000000000000000e+00
4,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,4,5,0.00000000000000000e+00,-4.27352548181960881e-06,0.00000000000000000e+00,-6.18725531530687648e-06,0.00000000000000000e+00,-5.23039039856324307e-06,-1.000000000e+00,0.000000000e+00,1.91372983348726767e-06,0.00000000000000000e+00
5,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,5,6,0.00000000000000000e+00,-6.18725531530687648e-06,0.00000000000000000e+00,-8.55645603900191814e-06,0.00000000000000000e+00,-7.37185567715439773e-06,-1.000000000e+00,0.000000000e+00,2.36920072369504166e-06,0.00000000000000000e+00
6,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,6,7,0.00000000000000000e+00,-8.55645603900191814e-06,0.00000000000000000e+00,-1.14932723005578547e-05,0.00000000000000000e+00,-1.00248641697798864e-05,-1.000000000e+00,0.000000000e+00,2.93681626155593652e-06,0.00000000000000000e+00
7,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,7,8,0.00000000000000000e+00,-1.14932723005578547e-05,0.00000000000000000e+00,-1.51832741623274401e-05,0.00000000000000000e+00,-1.33382732314426474e-05,-1.000000000e+00,0.000000000e+00,3.69000186176958545e-06,0.00000000000000000e+00
8,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,8,9,0.00000000000000000e+00,-1.51832741623274401e-05,0.00000000000000000e+00,-1.98580062995055867e-05,0.00000000000000000e+00,-1.75206402309165151e-05,-1.000000000e+00,0.000000000e+00,4.67473213717814660e-06,0.00000000000000000e+00
9,symmetry_axis.liquid,symmetry_axis,axis_symmetry,liquid,liquid,9,10,0.00000000000000000e+00,-1.98580062995055867e-05,0.00000000000000000e+00,-2.58101254027462640e-05,0.00000000000000000e+00,-2.28340658511259254e-05,-1.000000000e+00,0.000000000e+00,5.95211910324067731e-06,0.00000000000000000e+00
