# Bahnen im r-z-Schnitt.  Jede Zeile ist ein Bahnpunkt; die Bahnen sind
# durch Neustarten der Integration mit wachsender Schrittzahl abgetastet,
# damit die Datei nicht die ganze Historie tragen muss.
case,particle,step,r_m,z_m
kation_ohne_raumladung,0,19992,1.219512195e-07,6.947710483e-05
kation_ohne_raumladung,0,20392,1.219512195e-07,7.228107255e-05
kation_ohne_raumladung,0,20792,1.219512195e-07,7.514058639e-05
kation_ohne_raumladung,0,21192,1.219512195e-07,7.805564634e-05
kation_ohne_raumladung,0,21592,1.219512195e-07,8.102625241e-05
kation_ohne_raumladung,0,21991,1.219512195e-07,8.404476994e-05
kation_ohne_raumladung,0,22391,1.219512195e-07,8.712632936e-05
kation_ohne_raumladung,0,22791,1.219512195e-07,9.026343489e-05
kation_ohne_raumladung,0,23191,1.219512195e-07,9.345608654e-05
kation_ohne_raumladung,0,23591,1.219512195e-07,9.670428430e-05
kation_ohne_raumladung,0,23991,1.219512195e-07,1.000000000e-04
kation_ohne_raumladung,4,1,1.097560976e-06,1.000001736e-07
kation_ohne_raumladung,4,400,1.097560976e-06,1.277730559e-07
kation_ohne_raumladung,4,800,1.097560976e-06,2.110922237e-07
kation_ohne_raumladung,4,1200,1.097560976e-06,3.499575034e-07
kation_ohne_raumladung,4,1600,1.097560976e-06,5.443688949e-07
kation_ohne_raumladung,4,2000,1.097560976e-06,7.943263983e-07
kation_ohne_raumladung,4,2400,1.097560976e-06,1.099830014e-06
kation_ohne_raumladung,4,2799,1.097560976e-06,1.459907857e-06
kation_ohne_raumladung,4,3199,1.097560976e-06,1.876364831e-06
kation_ohne_raumladung,4,3599,1.097560976e-06,2.348367917e-06
kation_ohne_raumladung,4,3999,1.097560976e-06,2.875917114e-06
kation_ohne_raumladung,4,4399,1.097560976e-06,3.459012423e-06
kation_ohne_raumladung,4,4799,1.097560976e-06,4.097653844e-06
kation_ohne_raumladung,4,5198,1.097560976e-06,4.790036650e-06
kation_ohne_raumladung,4,5598,1.097560976e-06,5.539631429e-06
kation_ohne_raumladung,4,5998,1.097560976e-06,6.344772321e-06
kation_ohne_raumladung,4,6398,1.097560976e-06,7.205459324e-06
kation_ohne_raumladung,4,6798,1.097560976e-06,8.121692439e-06
kation_ohne_raumladung,4,7198,1.097560976e-06,9.093471666e-06
kation_ohne_raumladung,4,7597,1.097560976e-06,1.011815943e-05
kation_ohne_raumladung,4,7997,1.097560976e-06,1.120089202e-05
kation_ohne_raumladung,4,8397,1.097560976e-06,1.233917072e-05
kation_ohne_raumladung,4,8797,1.097560976e-06,1.353299552e-05
kation_ohne_raumladung,4,9197,1.097560976e-06,1.478236645e-05
kation_ohne_raumladung,4,9597,1.097560976e-06,1.608728348e-05
kation_ohne_raumladung,4,9996,1.097560976e-06,1.744427621e-05
kation_ohne_raumladung,4,10396,1.097560976e-06,1.886014660e-05
kation_ohne_raumladung,4,10796,1.097560976e-06,2.033156310e-05
kation_ohne_raumladung,4,11196,1.097560976e-06,2.185852572e-05
kation_ohne_raumladung,4,11596,1.097560976e-06,2.344103444e-05
kation_ohne_raumladung,4,11996,1.097560976e-06,2.507908928e-05
kation_ohne_raumladung,4,12395,1.097560976e-06,2.676838697e-05
kation_ohne_raumladung,4,12795,1.097560976e-06,2.851739517e-05
kation_ohne_raumladung,4,13195,1.097560976e-06,3.032194948e-05
kation_ohne_raumladung,4,13595,1.097560976e-06,3.218204990e-05
kation_ohne_raumladung,4,13995,1.097560976e-06,3.409769643e-05
