# Auftrefforte, Schicksale, Energien und der getragene Strom.
# Der gestartete Strom ist eine EINGABE.
case,particle,r_start_m,z_start_m,r_end_m,z_end_m,fate,current_A,time_s,energy_gain_J,energy_gain_eV,dV_V,q_dV_J,speed_m_per_s
kation_ohne_raumladung,0,1.219512195e-07,1.000000000e-07,1.219512195e-07,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,1,3.658536585e-07,1.000000000e-07,3.658536585e-07,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,2,6.097560976e-07,1.000000000e-07,6.097560976e-07,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,3,8.536585366e-07,1.000000000e-07,8.536585366e-07,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,4,1.097560976e-06,1.000000000e-07,1.097560976e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,5,1.341463415e-06,1.000000000e-07,1.341463415e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,6,1.585365854e-06,1.000000000e-07,1.585365854e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,7,1.829268293e-06,1.000000000e-07,1.829268293e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,8,2.073170732e-06,1.000000000e-07,2.073170732e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,9,2.317073171e-06,1.000000000e-07,2.317073171e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,10,2.560975610e-06,1.000000000e-07,2.560975610e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,11,2.804878049e-06,1.000000000e-07,2.804878049e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,12,3.048780488e-06,1.000000000e-07,3.048780488e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,13,3.292682927e-06,1.000000000e-07,3.292682927e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
kation_ohne_raumladung,14,3.536585366e-06,1.000000000e-07,3.536585366e-06,1.000000000e-04,LeftThroughAperture,2.439024390e-09,4.798007215e-09,1.600574457e-16,9.990000000e+02,9.990000000e+02,1.600574457e-16,4.164228836e+04
