# Volumenladung, Potential mit und ohne Ladung, und die Differenz.
# Die Ladungsdichte ist die deponierte Knotenladung geteilt durch das
# zugehoerige Knotenvolumen -- eine ABGELEITETE Groesse zur Anzeige,
# nicht die Groesse, mit der gerechnet wurde (das ist die Knotenladung).
r_m,z_m,node_charge_C,phi_V,phi_no_charge_V,dphi_V,Er_V_per_m,Ez_V_per_m,dEr_V_per_m,dEz_V_per_m
1.066666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.741161341e+03,-7.764229442e+04,2.608315111e+03,-7.361932215e+04
1.100000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.770450339e+03,-7.488714115e+04,2.635371525e+03,-7.099809969e+04
1.133333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.796202281e+03,-7.210443516e+04,2.659049009e+03,-6.835147941e+04
1.166666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.818484475e+03,-6.929768171e+04,2.679417001e+03,-6.568280731e+04
1.200000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.837368338e+03,-6.647031654e+04,2.696548831e+03,-6.299535786e+04
1.233333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.852928667e+03,-6.362570217e+04,2.710520995e+03,-6.029233049e+04
1.266666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.865242945e+03,-6.076712487e+04,2.721412461e+03,-5.757684681e+04
1.300000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.874390677e+03,-5.789779229e+04,2.729303999e+03,-5.485194844e+04
1.333333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.880452769e+03,-5.502083181e+04,2.734277561e+03,-5.212059556e+04
1.366666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.883510935e+03,-5.213928939e+04,2.736415688e+03,-4.938566601e+04
1.400000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.883647157e+03,-4.925612909e+04,2.735800965e+03,-4.664995501e+04
1.433333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.880943177e+03,-4.637423301e+04,2.732515519e+03,-4.391617535e+04
1.466666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.875480034e+03,-4.349640181e+04,2.726640549e+03,-4.118695808e+04
1.500000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.867337647e+03,-4.062535561e+04,2.718255917e+03,-3.846485367e+04
1.533333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.856594438e+03,-3.776373530e+04,2.707439763e+03,-3.575233355e+04
1.566666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.843326996e+03,-3.491410422e+04,2.694268174e+03,-3.305179197e+04
1.600000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.827609783e+03,-3.207895012e+04,2.678814893e+03,-3.036554821e+04
1.633333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.809514883e+03,-2.926068745e+04,2.661151064e+03,-2.769584910e+04
1.666666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.789111784e+03,-2.646165983e+04,2.641345024e+03,-2.504487166e+04
1.700000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.766467205e+03,-2.368414273e+04,2.619462121e+03,-2.241472603e+04
1.733333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.741644952e+03,-2.093034633e+04,2.595564583e+03,-1.980745854e+04
1.766666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.714705815e+03,-1.820241849e+04,2.569711410e+03,-1.722505487e+04
1.800000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.685707496e+03,-1.550244775e+04,2.541958307e+03,-1.466944332e+04
1.833333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.654704564e+03,-1.283246654e+04,2.512357643e+03,-1.214249812e+04
1.866666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.621748448e+03,-1.019445423e+04,2.480958449e+03,-9.646042773e+03
1.900000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.586887453e+03,-7.590340299e+03,2.447806433e+03,-7.181853390e+03
1.933333333e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.550166805e+03,-5.022007450e+03,2.412944033e+03,-4.751661985e+03
1.966666667e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.511628725e+03,-2.491294629e+03,2.376410494e+03,-2.357159710e+03
2.000000000e-05,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.492079853e+03,-1.246039927e+03,2.357891054e+03,-1.178945527e+03
0.000000000e+00,-3.933333333e-05,0.000000000e+00,8.653581439e-02,4.266051342e-03,8.226976305e-02,1.613691112e+02,-1.302471352e+05,1.545067700e+02,-1.238291950e+05
3.333333333e-07,-3.933333333e-05,0.000000000e+00,8.648218088e-02,4.263767567e-03,8.221841331e-02,3.225036843e+02,-1.301460457e+05,3.087845118e+02,-1.237324000e+05
6.666666667e-07,-3.933333333e-05,0.000000000e+00,8.635713958e-02,4.258441204e-03,8.209869838e-02,5.234342923e+02,-1.299575299e+05,5.011555538e+02,-1.235518962e+05
1.000000000e-06,-3.933333333e-05,0.000000000e+00,8.615380810e-02,4.249774103e-03,8.190403399e-02,7.501910754e+02,-1.296509844e+05,7.182342415e+02,-1.232583879e+05
1.333333333e-06,-3.933333333e-05,0.000000000e+00,8.587160322e-02,4.237733158e-03,8.163387006e-02,9.820921642e+02,-1.292255342e+05,9.402086679e+02,-1.228510499e+05
1.666666667e-06,-3.933333333e-05,0.000000000e+00,8.551079208e-02,4.222318334e-03,8.128847374e-02,1.214596876e+03,-1.286815875e+05,1.162721927e+03,-1.223302905e+05
2.000000000e-06,-3.933333333e-05,0.000000000e+00,8.507199414e-02,4.203541573e-03,8.086845257e-02,1.445863736e+03,-1.280200854e+05,1.384001913e+03,-1.216970328e+05
2.333333333e-06,-3.933333333e-05,0.000000000e+00,8.455606306e-02,4.181421904e-03,8.037464115e-02,1.674832702e+03,-1.272423233e+05,1.603025210e+03,-1.209525435e+05
2.666666667e-06,-3.933333333e-05,0.000000000e+00,8.396404378e-02,4.155983797e-03,7.980805998e-02,1.900747593e+03,-1.263498863e+05,1.819059915e+03,-1.200983710e+05
3.000000000e-06,-3.933333333e-05,0.000000000e+00,8.329715128e-02,4.127256458e-03,7.916989482e-02,2.122998377e+03,-1.253446169e+05,2.031514717e+03,-1.191363139e+05
3.333333333e-06,-3.933333333e-05,0.000000000e+00,8.255675677e-02,4.095273473e-03,7.846148330e-02,2.341059262e+03,-1.242285944e+05,2.239879699e+03,-1.180684009e+05
3.666666667e-06,-3.933333333e-05,0.000000000e+00,8.174437685e-02,4.060072601e-03,7.768430425e-02,2.554461498e+03,-1.230041178e+05,2.443700351e+03,-1.168968741e+05
4.000000000e-06,-3.933333333e-05,0.000000000e+00,8.086166367e-02,4.021695624e-03,7.683996805e-02,2.762780492e+03,-1.216736912e+05,2.642565298e+03,-1.156241749e+05
4.333333333e-06,-3.933333333e-05,0.000000000e+00,7.991039554e-02,3.980188237e-03,7.593020731e-02,2.965629412e+03,-1.202400095e+05,2.836100211e+03,-1.142529295e+05
4.666666667e-06,-3.933333333e-05,0.000000000e+00,7.889246755e-02,3.935599953e-03,7.495686760e-02,3.162655903e+03,-1.187059440e+05,3.023964707e+03,-1.127859345e+05
5.000000000e-06,-3.933333333e-05,0.000000000e+00,7.780988213e-02,3.887984011e-03,7.392189812e-02,3.353540355e+03,-1.170745278e+05,3.205850714e+03,-1.112261432e+05
5.333333333e-06,-3.933333333e-05,0.000000000e+00,7.666473950e-02,3.837397291e-03,7.282734221e-02,3.537994931e+03,-1.153489415e+05,3.381481553e+03,-1.095766504e+05
5.666666667e-06,-3.933333333e-05,0.000000000e+00,7.545922805e-02,3.783900224e-03,7.167532783e-02,3.715762950e+03,-1.135324985e+05,3.550611354e+03,-1.078406788e+05
6.000000000e-06,-3.933333333e-05,0.000000000e+00,7.419561470e-02,3.727556709e-03,7.046805799e-02,3.886618386e+03,-1.116286302e+05,3.713024575e+03,-1.060215635e+05
6.333333333e-06,-3.933333333e-05,0.000000000e+00,7.287623517e-02,3.668434016e-03,6.920780116e-02,4.050365371e+03,-1.096408710e+05,3.868535510e+03,-1.041227379e+05
6.666666667e-06,-3.933333333e-05,0.000000000e+00,7.150348447e-02,3.606602696e-03,6.789688178e-02,4.206837625e+03,-1.075728442e+05,4.016987716e+03,-1.021477190e+05
7.000000000e-06,-3.933333333e-05,0.000000000e+00,7.007980739e-02,3.542136482e-03,6.653767090e-02,4.355897769e+03,-1.054282475e+05,4.158253334e+03,-1.001000936e+05
7.333333333e-06,-3.933333333e-05,0.000000000e+00,6.860768923e-02,3.475112189e-03,6.513257704e-02,4.497436520e+03,-1.032108383e+05,4.292232272e+03,-9.798350369e+04
7.666666667e-06,-3.933333333e-05,0.000000000e+00,6.708964683e-02,3.405609610e-03,6.368403722e-02,4.631371749e+03,-1.009244208e+05,4.418851257e+03,-9.580163337e+04
8.000000000e-06,-3.933333333e-05,0.000000000e+00,6.552821980e-02,3.333711407e-03,6.219450839e-02,4.757647408e+03,-9.857283229e+04,4.538062757e+03,-9.355819563e+04
8.333333333e-06,-3.933333333e-05,0.000000000e+00,6.392596215e-02,3.259503001e-03,6.066645915e-02,4.876232341e+03,-9.615993068e+04,4.649843783e+03,-9.125691979e+04
8.666666667e-06,-3.933333333e-05,0.000000000e+00,6.228543435e-02,3.183072457e-03,5.910236190e-02,4.987118983e+03,-9.368958216e+04,4.754194582e+03,-8.890153963e+04
9.000000000e-06,-3.933333333e-05,0.000000000e+00,6.060919578e-02,3.104510368e-03,5.750468541e-02,5.090321972e+03,-9.116564999e+04,4.851137236e+03,-8.649578214e+04
9.333333333e-06,-3.933333333e-05,0.000000000e+00,5.889979759e-02,3.023909729e-03,5.587588786e-02,5.185876678e+03,-8.859198368e+04,4.940714189e+03,-8.404335693e+04
9.666666667e-06,-3.933333333e-05,0.000000000e+00,5.715977617e-02,2.941365820e-03,5.421841035e-02,5.273837677e+03,-8.597240905e+04,5.022986708e+03,-8.154794652e+04
1.000000000e-05,-3.933333333e-05,0.000000000e+00,5.539164702e-02,2.856976074e-03,5.253467095e-02,5.354277177e+03,-8.331071906e+04,5.098033302e+03,-7.901319729e+04
1.033333333e-05,-3.933333333e-05,0.000000000e+00,5.359789917e-02,2.770839950e-03,5.082705922e-02,5.427283418e+03,-8.061066536e+04,5.165948121e+03,-7.644271128e+04
1.066666667e-05,-3.933333333e-05,0.000000000e+00,5.178099015e-02,2.683058800e-03,4.909793135e-02,5.492959067e+03,-7.787595073e+04,5.226839336e+03,-7.384003884e+04
1.100000000e-05,-3.933333333e-05,0.000000000e+00,4.994334144e-02,2.593735735e-03,4.734960571e-02,5.551419613e+03,-7.511022231e+04,5.280827531e+03,-7.120867198e+04
1.133333333e-05,-3.933333333e-05,0.000000000e+00,4.808733452e-02,2.502975489e-03,4.558435903e-02,5.602791774e+03,-7.231706558e+04,5.328044104e+03,-6.855203865e+04
1.166666667e-05,-3.933333333e-05,0.000000000e+00,4.621530733e-02,2.410884280e-03,4.380442305e-02,5.647211948e+03,-6.949999919e+04,5.368629716e+03,-6.587349772e+04
1.200000000e-05,-3.933333333e-05,0.000000000e+00,4.432955134e-02,2.317569669e-03,4.201198167e-02,5.684824697e+03,-6.666247053e+04,5.402732761e+03,-6.317633479e+04
1.233333333e-05,-3.933333333e-05,0.000000000e+00,4.243230907e-02,2.223140419e-03,4.020916865e-02,5.715781285e+03,-6.380785205e+04,5.430507909e+03,-6.046375871e+04
1.266666667e-05,-3.933333333e-05,0.000000000e+00,4.052577206e-02,2.127706352e-03,3.839806571e-02,5.740238279e+03,-6.093943832e+04,5.452114701e+03,-5.773889885e+04
1.300000000e-05,-3.933333333e-05,0.000000000e+00,3.861207930e-02,2.031378205e-03,3.658070110e-02,5.758356218e+03,-5.806044375e+04,5.467716210e+03,-5.500480304e+04
1.333333333e-05,-3.933333333e-05,0.000000000e+00,3.669331616e-02,1.934267481e-03,3.475904868e-02,5.770298357e+03,-5.517400095e+04,5.477477786e+03,-5.226443616e+04
1.366666667e-05,-3.933333333e-05,0.000000000e+00,3.477151360e-02,1.836486309e-03,3.293502729e-02,5.776229483e+03,-5.228315973e+04,5.481565872e+03,-4.952067938e+04
1.400000000e-05,-3.933333333e-05,0.000000000e+00,3.284864788e-02,1.738147288e-03,3.111050059e-02,5.776314827e+03,-4.939088669e+04,5.480146909e+03,-4.677632990e+04
1.433333333e-05,-3.933333333e-05,0.000000000e+00,3.092664051e-02,1.639363349e-03,2.928727716e-02,5.770719044e+03,-4.650006525e+04,5.473386322e+03,-4.403410127e+04
1.466666667e-05,-3.933333333e-05,0.000000000e+00,2.900735862e-02,1.540247602e-03,2.746711102e-02,5.759605296e+03,-4.361349624e+04,5.461447595e+03,-4.129662420e+04
1.500000000e-05,-3.933333333e-05,0.000000000e+00,2.709261555e-02,1.440913189e-03,2.565170236e-02,5.743134405e+03,-4.073389895e+04,5.444491433e+03,-3.856644777e+04
1.533333333e-05,-3.933333333e-05,0.000000000e+00,2.518417176e-02,1.341473136e-03,2.384269863e-02,5.721464106e+03,-3.786391248e+04,5.422675006e+03,-3.584604106e+04
1.566666667e-05,-3.933333333e-05,0.000000000e+00,2.328373593e-02,1.242040211e-03,2.204169571e-02,5.694748374e+03,-3.500609754e+04,5.396151287e+03,-3.313779516e+04
1.600000000e-05,-3.933333333e-05,0.000000000e+00,2.139296627e-02,1.142726769e-03,2.025023950e-02,5.663136841e+03,-3.216293850e+04,5.365068464e+03,-3.044402543e+04
1.633333333e-05,-3.933333333e-05,0.000000000e+00,1.951347209e-02,1.043644614e-03,1.846982748e-02,5.626774289e+03,-2.933684576e+04,5.329569442e+03,-2.776697410e+04
1.666666667e-05,-3.933333333e-05,0.000000000e+00,1.764681543e-02,9.449048500e-04,1.670191058e-02,5.585800226e+03,-2.653015834e+04,5.289791416e+03,-2.510881305e+04
1.700000000e-05,-3.933333333e-05,0.000000000e+00,1.579451284e-02,8.466177403e-04,1.494789510e-02,5.540348536e+03,-2.374514658e+04,5.245865529e+03,-2.247164678e+04
1.733333333e-05,-3.933333333e-05,0.000000000e+00,1.395803732e-02,7.488925630e-04,1.320914476e-02,5.490547199e+03,-2.098401517e+04,5.197916594e+03,-1.985751558e+04
1.766666667e-05,-3.933333333e-05,0.000000000e+00,1.213882029e-02,6.518374724e-04,1.148698282e-02,5.436518081e+03,-1.824890610e+04,5.146062895e+03,-1.726839877e+04
1.800000000e-05,-3.933333333e-05,0.000000000e+00,1.033825362e-02,5.555593594e-04,9.782694264e-03,5.378376797e+03,-1.554190185e+04,5.090416047e+03,-1.470621804e+04
1.833333333e-05,-3.933333333e-05,0.000000000e+00,8.557691735e-03,4.601637154e-04,8.097528019e-03,5.316232629e+03,-1.286502857e+04,5.031080927e+03,-1.217284085e+04
1.866666667e-05,-3.933333333e-05,0.000000000e+00,6.798453685e-03,3.657544975e-04,6.432699187e-03,5.250188508e+03,-1.022025924e+04,4.968155656e+03,-9.670083811e+03
1.900000000e-05,-3.933333333e-05,0.000000000e+00,5.061825266e-03,2.724339962e-04,4.789391269e-03,5.180341052e+03,-7.609516955e+03,4.901731655e+03,-7.199716137e+03
1.933333333e-05,-3.933333333e-05,0.000000000e+00,3.349061079e-03,1.803027062e-04,3.168758373e-03,5.106780660e+03,-5.034677999e+03,4.831893737e+03,-4.763462961e+03
1.966666667e-05,-3.933333333e-05,0.000000000e+00,1.661386569e-03,8.945919922e-05,1.571927370e-03,5.029591659e+03,-2.497575015e+03,4.758720264e+03,-2.363008648e+03
2.000000000e-05,-3.933333333e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.990439488e+03,-1.249179818e+03,4.721630269e+03,-1.181869607e+03
0.000000000e+00,-3.866666667e-05,0.000000000e+00,1.737167928e-01,8.559544703e-03,1.651572481e-01,3.246247573e+02,-1.317036989e+05,3.108559366e+02,-1.252238983e+05
3.333333333e-07,-3.866666667e-05,0.000000000e+00,1.736089011e-01,8.554962465e-03,1.650539386e-01,6.487743004e+02,-1.316008392e+05,6.212477143e+02,-1.251253745e+05
6.666666667e-07,-3.866666667e-05,0.000000000e+00,1.733573634e-01,8.544275480e-03,1.648130879e-01,1.052973274e+03,-1.314090263e+05,1.008272501e+03,-1.249416509e+05
