# Annaeherung an ein einzelnes Makropartikel BEI FESTEM NETZ (81 x 161).
# Die FEM-Loesung eines Knotenlastvektors ist stueckweise bilinear und
# bleibt deshalb auf DIESEM Netz beschraenkt.
#
# Das ist eine Aussage ueber ein festes Netz und ueber sonst nichts.  Fuer
# h -> 0 waechst das Selbstpotential unbeschraenkt; siehe
# self_field_scaling.csv.  Eine fruehere Fassung dieser Datei nannte den
# Befund 'keine Divergenz', was den Zusatz 'bei festem Netz' verschwieg.
d_over_R,phi_V,E_magnitude_V_per_m
3.000000000e-01,3.306830464e-01,7.304859178e+04
1.500000000e-01,6.453874725e-01,1.536466316e+05
7.500000000e-02,9.697811380e-01,3.014085200e+05
3.750000000e-02,1.291347220e+00,5.467905199e+05
1.875000000e-02,1.632918274e+00,9.229111889e+05
9.375000000e-03,1.967747925e+00,8.658532199e+05
4.687500000e-03,2.236871880e+00,5.039599166e+05
2.343750000e-03,2.371433858e+00,3.230132650e+05
1.171875000e-03,2.438714847e+00,2.325399392e+05
5.859375000e-04,2.472355342e+00,1.873032763e+05
2.929687500e-04,2.489175589e+00,1.646849448e+05
1.464843750e-04,2.497585712e+00,1.533757791e+05
7.324218750e-05,2.501790774e+00,1.477211963e+05
3.662109375e-05,2.503893305e+00,1.448939048e+05
