# Advektierte Oberflaeche gegen die exakte Lagrange-Abbildung.
# Das Feld ist VORGESCHRIEBEN; nichts wird dafuer geloest.
case,t_over_T,node,r_m,z_m,r_exact_m,z_exact_m
dilatation,0.7500,36,4.724706673e-06,5.531920758e-06,4.724706673e-06,5.531920758e-06
dilatation,0.7500,37,4.832407972e-06,5.438090990e-06,4.832407972e-06,5.438090990e-06
dilatation,0.7500,38,4.938246285e-06,5.342164734e-06,4.938246285e-06,5.342164734e-06
dilatation,0.7500,39,5.042180810e-06,5.244178972e-06,5.042180810e-06,5.244178972e-06
dilatation,0.7500,40,5.144171479e-06,5.144171479e-06,5.144171479e-06,5.144171479e-06
dilatation,0.7500,41,5.244178972e-06,5.042180810e-06,5.244178972e-06,5.042180810e-06
dilatation,0.7500,42,5.342164734e-06,4.938246285e-06,5.342164734e-06,4.938246285e-06
dilatation,0.7500,43,5.438090990e-06,4.832407972e-06,5.438090990e-06,4.832407972e-06
dilatation,0.7500,44,5.531920758e-06,4.724706673e-06,5.531920758e-06,4.724706673e-06
dilatation,0.7500,45,5.623617865e-06,4.615183910e-06,5.623617865e-06,4.615183910e-06
dilatation,0.7500,46,5.713146961e-06,4.503881905e-06,5.713146961e-06,4.503881905e-06
dilatation,0.7500,47,5.800473530e-06,4.390843569e-06,5.800473530e-06,4.390843569e-06
dilatation,0.7500,48,5.885563905e-06,4.276112479e-06,5.885563905e-06,4.276112479e-06
dilatation,0.7500,49,5.968385284e-06,4.159732866e-06,5.968385284e-06,4.159732866e-06
dilatation,0.7500,50,6.048905737e-06,4.041749596e-06,6.048905737e-06,4.041749596e-06
dilatation,0.7500,51,6.127094222e-06,3.922208156e-06,6.127094222e-06,3.922208156e-06
dilatation,0.7500,52,6.202920594e-06,3.801154629e-06,6.202920594e-06,3.801154629e-06
dilatation,0.7500,53,6.276355623e-06,3.678635685e-06,6.276355623e-06,3.678635685e-06
dilatation,0.7500,54,6.347370998e-06,3.554698557e-06,6.347370998e-06,3.554698557e-06
dilatation,0.7500,55,6.415939340e-06,3.429391025e-06,6.415939340e-06,3.429391025e-06
dilatation,0.7500,56,6.482034215e-06,3.302761397e-06,6.482034215e-06,3.302761397e-06
dilatation,0.7500,57,6.545630143e-06,3.174858492e-06,6.545630143e-06,3.174858492e-06
dilatation,0.7500,58,6.606702606e-06,3.045731619e-06,6.606702606e-06,3.045731619e-06
dilatation,0.7500,59,6.665228059e-06,2.915430558e-06,6.665228059e-06,2.915430558e-06
dilatation,0.7500,60,6.721183940e-06,2.784005543e-06,6.721183940e-06,2.784005543e-06
dilatation,0.7500,61,6.774548676e-06,2.651507241e-06,6.774548676e-06,2.651507241e-06
dilatation,0.7500,62,6.825301695e-06,2.517986733e-06,6.825301695e-06,2.517986733e-06
dilatation,0.7500,63,6.873423430e-06,2.383495492e-06,6.873423430e-06,2.383495492e-06
dilatation,0.7500,64,6.918895330e-06,2.248085369e-06,6.918895330e-06,2.248085369e-06
dilatation,0.7500,65,6.961699864e-06,2.111808566e-06,6.961699864e-06,2.111808566e-06
dilatation,0.7500,66,7.001820530e-06,1.974717621e-06,7.001820530e-06,1.974717621e-06
dilatation,0.7500,67,7.039241861e-06,1.836865384e-06,7.039241861e-06,1.836865384e-06
dilatation,0.7500,68,7.073949430e-06,1.698305001e-06,7.073949430e-06,1.698305001e-06
dilatation,0.7500,69,7.105929857e-06,1.559089889e-06,7.105929857e-06,1.559089889e-06
dilatation,0.7500,70,7.135170813e-06,1.419273718e-06,7.135170813e-06,1.419273718e-06
dilatation,0.7500,71,7.161661024e-06,1.278910390e-06,7.161661024e-06,1.278910390e-06
dilatation,0.7500,72,7.185390279e-06,1.138054018e-06,7.185390279e-06,1.138054018e-06
dilatation,0.7500,73,7.206349430e-06,9.967589042e-07,7.206349430e-06,9.967589042e-07
dilatation,0.7500,74,7.224530395e-06,8.550795210e-07,7.224530395e-06,8.550795210e-07
dilatation,0.7500,75,7.239926166e-06,7.130704883e-07,7.239926166e-06,7.130704883e-07
dilatation,0.7500,76,7.252530808e-06,5.707865534e-07,7.252530808e-06,5.707865534e-07
dilatation,0.7500,77,7.262339462e-06,4.282825694e-07,7.262339462e-06,4.282825694e-07
dilatation,0.7500,78,7.269348345e-06,2.856134743e-07,7.269348345e-06,2.856134743e-07
dilatation,0.7500,79,7.273554756e-06,1.428342698e-07,7.273554756e-06,1.428342698e-07
dilatation,0.7500,80,7.274957073e-06,0.000000000e+00,7.274957073e-06,0.000000000e+00
dilatation,1.0000,0,0.000000000e+00,8.243606354e-06,0.000000000e+00,8.243606354e-06
dilatation,1.0000,1,1.618524319e-07,8.242017320e-06,1.618524319e-07,8.242017320e-06
dilatation,1.0000,2,3.236424666e-07,8.237250832e-06,3.236424666e-07,8.237250832e-06
dilatation,1.0000,3,4.853077310e-07,8.229308727e-06,4.853077310e-07,8.229308727e-06
dilatation,1.0000,4,6.467859000e-07,8.218194066e-06,6.467859000e-07,8.218194066e-06
dilatation,1.0000,5,8.080147208e-07,8.203911136e-06,8.080147208e-07,8.203911136e-06
dilatation,1.0000,6,9.689320365e-07,8.186465441e-06,9.689320365e-07,8.186465441e-06
dilatation,1.0000,7,1.129475810e-06,8.165863708e-06,1.129475810e-06,8.165863708e-06
dilatation,1.0000,8,1.289584150e-06,8.142113880e-06,1.289584150e-06,8.142113880e-06
dilatation,1.0000,9,1.449195330e-06,8.115225111e-06,1.449195330e-06,8.115225111e-06
dilatation,1.0000,10,1.608247818e-06,8.085207769e-06,1.608247818e-06,8.085207769e-06
dilatation,1.0000,11,1.766680296e-06,8.052073425e-06,1.766680296e-06,8.052073425e-06
dilatation,1.0000,12,1.924431685e-06,8.015834854e-06,1.924431685e-06,8.015834854e-06
dilatation,1.0000,13,2.081441168e-06,7.976506025e-06,2.081441168e-06,7.976506025e-06
dilatation,1.0000,14,2.237648217e-06,7.934102102e-06,2.237648217e-06,7.934102102e-06
dilatation,1.0000,15,2.392992610e-06,7.888639432e-06,2.392992610e-06,7.888639432e-06
dilatation,1.0000,16,2.547414458e-06,7.840135540e-06,2.547414458e-06,7.840135540e-06
dilatation,1.0000,17,2.700854230e-06,7.788609127e-06,2.700854230e-06,7.788609127e-06
dilatation,1.0000,18,2.853252771e-06,7.734080058e-06,2.853252771e-06,7.734080058e-06
dilatation,1.0000,19,3.004551328e-06,7.676569353e-06,3.004551328e-06,7.676569353e-06
dilatation,1.0000,20,3.154691574e-06,7.616099184e-06,3.154691574e-06,7.616099184e-06
dilatation,1.0000,21,3.303615627e-06,7.552692864e-06,3.303615627e-06,7.552692864e-06
dilatation,1.0000,22,3.451266072e-06,7.486374838e-06,3.451266072e-06,7.486374838e-06
dilatation,1.0000,23,3.597585989e-06,7.417170671e-06,3.597585989e-06,7.417170671e-06
dilatation,1.0000,24,3.742518968e-06,7.345107044e-06,3.742518968e-06,7.345107044e-06
dilatation,1.0000,25,3.886009135e-06,7.270211738e-06,3.886009135e-06,7.270211738e-06
dilatation,1.0000,26,4.028001171e-06,7.192513627e-06,4.028001171e-06,7.192513627e-06
dilatation,1.0000,27,4.168440336e-06,7.112042666e-06,4.168440336e-06,7.112042666e-06
dilatation,1.0000,28,4.307272488e-06,7.028829876e-06,4.307272488e-06,7.028829876e-06
dilatation,1.0000,29,4.444444104e-06,6.942907339e-06,4.444444104e-06,6.942907339e-06
dilatation,1.0000,30,4.579902303e-06,6.854308179e-06,4.579902303e-06,6.854308179e-06
dilatation,1.0000,31,4.713594862e-06,6.763066552e-06,4.713594862e-06,6.763066552e-06
dilatation,1.0000,32,4.845470240e-06,6.669217635e-06,4.845470240e-06,6.669217635e-06
dilatation,1.0000,33,4.975477598e-06,6.572797607e-06,4.975477598e-06,6.572797607e-06
dilatation,1.0000,34,5.103566814e-06,6.473843641e-06,5.103566814e-06,6.473843641e-06
dilatation,1.0000,35,5.229688508e-06,6.372393885e-06,5.229688508e-06,6.372393885e-06
dilatation,1.0000,36,5.353794057e-06,6.268487449e-06,5.353794057e-06,6.268487449e-06
dilatation,1.0000,37,5.475835617e-06,6.162164393e-06,5.475835617e-06,6.162164393e-06
dilatation,1.0000,38,5.595766139e-06,6.053465704e-06,5.595766139e-06,6.053465704e-06
dilatation,1.0000,39,5.713539385e-06,5.942433290e-06,5.713539385e-06,5.942433290e-06
dilatation,1.0000,40,5.829109954e-06,5.829109954e-06,5.829109954e-06,5.829109954e-06
dilatation,1.0000,41,5.942433290e-06,5.713539385e-06,5.942433290e-06,5.713539385e-06
dilatation,1.0000,42,6.053465704e-06,5.595766139e-06,6.053465704e-06,5.595766139e-06
dilatation,1.0000,43,6.162164393e-06,5.475835617e-06,6.162164393e-06,5.475835617e-06
dilatation,1.0000,44,6.268487449e-06,5.353794057e-06,6.268487449e-06,5.353794057e-06
dilatation,1.0000,45,6.372393885e-06,5.229688508e-06,6.372393885e-06,5.229688508e-06
dilatation,1.0000,46,6.473843641e-06,5.103566814e-06,6.473843641e-06,5.103566814e-06
dilatation,1.0000,47,6.572797607e-06,4.975477598e-06,6.572797607e-06,4.975477598e-06
dilatation,1.0000,48,6.669217635e-06,4.845470240e-06,6.669217635e-06,4.845470240e-06
dilatation,1.0000,49,6.763066552e-06,4.713594862e-06,6.763066552e-06,4.713594862e-06
dilatation,1.0000,50,6.854308179e-06,4.579902303e-06,6.854308179e-06,4.579902303e-06
dilatation,1.0000,51,6.942907339e-06,4.444444104e-06,6.942907339e-06,4.444444104e-06
dilatation,1.0000,52,7.028829876e-06,4.307272488e-06,7.028829876e-06,4.307272488e-06
dilatation,1.0000,53,7.112042666e-06,4.168440336e-06,7.112042666e-06,4.168440336e-06
dilatation,1.0000,54,7.192513627e-06,4.028001171e-06,7.192513627e-06,4.028001171e-06
dilatation,1.0000,55,7.270211738e-06,3.886009135e-06,7.270211738e-06,3.886009135e-06
dilatation,1.0000,56,7.345107044e-06,3.742518968e-06,7.345107044e-06,3.742518968e-06
dilatation,1.0000,57,7.417170671e-06,3.597585989e-06,7.417170671e-06,3.597585989e-06
dilatation,1.0000,58,7.486374838e-06,3.451266072e-06,7.486374838e-06,3.451266072e-06
dilatation,1.0000,59,7.552692864e-06,3.303615627e-06,7.552692864e-06,3.303615627e-06
dilatation,1.0000,60,7.616099184e-06,3.154691574e-06,7.616099184e-06,3.154691574e-06
dilatation,1.0000,61,7.676569353e-06,3.004551328e-06,7.676569353e-06,3.004551328e-06
dilatation,1.0000,62,7.734080058e-06,2.853252771e-06,7.734080058e-06,2.853252771e-06
dilatation,1.0000,63,7.788609127e-06,2.700854230e-06,7.788609127e-06,2.700854230e-06
dilatation,1.0000,64,7.840135540e-06,2.547414458e-06,7.840135540e-06,2.547414458e-06
dilatation,1.0000,65,7.888639432e-06,2.392992610e-06,7.888639432e-06,2.392992610e-06
dilatation,1.0000,66,7.934102102e-06,2.237648217e-06,7.934102102e-06,2.237648217e-06
dilatation,1.0000,67,7.976506025e-06,2.081441168e-06,7.976506025e-06,2.081441168e-06
dilatation,1.0000,68,8.015834854e-06,1.924431685e-06,8.015834854e-06,1.924431685e-06
dilatation,1.0000,69,8.052073425e-06,1.766680296e-06,8.052073425e-06,1.766680296e-06
dilatation,1.0000,70,8.085207769e-06,1.608247818e-06,8.085207769e-06,1.608247818e-06
dilatation,1.0000,71,8.115225111e-06,1.449195330e-06,8.115225111e-06,1.449195330e-06
dilatation,1.0000,72,8.142113880e-06,1.289584150e-06,8.142113880e-06,1.289584150e-06
dilatation,1.0000,73,8.165863708e-06,1.129475810e-06,8.165863708e-06,1.129475810e-06
dilatation,1.0000,74,8.186465441e-06,9.689320365e-07,8.186465441e-06,9.689320365e-07
dilatation,1.0000,75,8.203911136e-06,8.080147208e-07,8.203911136e-06,8.080147208e-07
dilatation,1.0000,76,8.218194066e-06,6.467859000e-07,8.218194066e-06,6.467859000e-07
dilatation,1.0000,77,8.229308727e-06,4.853077310e-07,8.229308727e-06,4.853077310e-07
dilatation,1.0000,78,8.237250832e-06,3.236424666e-07,8.237250832e-06,3.236424666e-07
dilatation,1.0000,79,8.242017320e-06,1.618524319e-07,8.242017320e-06,1.618524319e-07
dilatation,1.0000,80,8.243606354e-06,0.000000000e+00,8.243606354e-06,0.000000000e+00
squeeze,0.0000,0,0.000000000e+00,5.000000000e-06,0.000000000e+00,5.000000000e-06
squeeze,0.0000,1,9.816846230e-08,4.999036202e-06,9.816846230e-08,4.999036202e-06
squeeze,0.0000,2,1.962990788e-07,4.996145181e-06,1.962990788e-07,4.996145181e-06
squeeze,0.0000,3,2.943540183e-07,4.991328051e-06,2.943540183e-07,4.991328051e-06
squeeze,0.0000,4,3.922954786e-07,4.984586669e-06,3.922954786e-07,4.984586669e-06
squeeze,0.0000,5,4.900857016e-07,4.975923633e-06,4.900857016e-07,4.975923633e-06
squeeze,0.0000,6,5.876869873e-07,4.965342285e-06,5.876869873e-07,4.965342285e-06
squeeze,0.0000,7,6.850617084e-07,4.952846702e-06,6.850617084e-07,4.952846702e-06
squeeze,0.0000,8,7.821723252e-07,4.938441703e-06,7.821723252e-07,4.938441703e-06
squeeze,0.0000,9,8.789813997e-07,4.922132840e-06,8.789813997e-07,4.922132840e-06
squeeze,0.0000,10,9.754516101e-07,4.903926402e-06,9.754516101e-07,4.903926402e-06
squeeze,0.0000,11,1.071545765e-06,4.883829407e-06,1.071545765e-06,4.883829407e-06
squeeze,0.0000,12,1.167226819e-06,4.861849602e-06,1.167226819e-06,4.861849602e-06
squeeze,0.0000,13,1.262457885e-06,4.837995462e-06,1.262457885e-06,4.837995462e-06
squeeze,0.0000,14,1.357202249e-06,4.812276182e-06,1.357202249e-06,4.812276182e-06
squeeze,0.0000,15,1.451423386e-06,4.784701679e-06,1.451423386e-06,4.784701679e-06
squeeze,0.0000,16,1.545084972e-06,4.755282581e-06,1.545084972e-06,4.755282581e-06
squeeze,0.0000,17,1.638150898e-06,4.724030232e-06,1.638150898e-06,4.724030232e-06
squeeze,0.0000,18,1.730585285e-06,4.690956680e-06,1.730585285e-06,4.690956680e-06
squeeze,0.0000,19,1.822352499e-06,4.656074674e-06,1.822352499e-06,4.656074674e-06
squeeze,0.0000,20,1.913417162e-06,4.619397663e-06,1.913417162e-06,4.619397663e-06
squeeze,0.0000,21,2.003744166e-06,4.580939786e-06,2.003744166e-06,4.580939786e-06
squeeze,0.0000,22,2.093298688e-06,4.540715869e-06,2.093298688e-06,4.540715869e-06
squeeze,0.0000,23,2.182046203e-06,4.498741420e-06,2.182046203e-06,4.498741420e-06
squeeze,0.0000,24,2.269952499e-06,4.455032621e-06,2.269952499e-06,4.455032621e-06
squeeze,0.0000,25,2.356983684e-06,4.409606322e-06,2.356983684e-06,4.409606322e-06
squeeze,0.0000,26,2.443106207e-06,4.362480035e-06,2.443106207e-06,4.362480035e-06
squeeze,0.0000,27,2.528286867e-06,4.313671930e-06,2.528286867e-06,4.313671930e-06
squeeze,0.0000,28,2.612492824e-06,4.263200822e-06,2.612492824e-06,4.263200822e-06
squeeze,0.0000,29,2.695691615e-06,4.211086169e-06,2.695691615e-06,4.211086169e-06
squeeze,0.0000,30,2.777851165e-06,4.157348062e-06,2.777851165e-06,4.157348062e-06
squeeze,0.0000,31,2.858939801e-06,4.102007218e-06,2.858939801e-06,4.102007218e-06
squeeze,0.0000,32,2.938926261e-06,4.045084972e-06,2.938926261e-06,4.045084972e-06
squeeze,0.0000,33,3.017779710e-06,3.986603269e-06,3.017779710e-06,3.986603269e-06
squeeze,0.0000,34,3.095469747e-06,3.926584654e-06,3.095469747e-06,3.926584654e-06
squeeze,0.0000,35,3.171966421e-06,3.865052267e-06,3.171966421e-06,3.865052267e-06
squeeze,0.0000,36,3.247240242e-06,3.802029828e-06,3.247240242e-06,3.802029828e-06
squeeze,0.0000,37,3.321262190e-06,3.737541634e-06,3.321262190e-06,3.737541634e-06
squeeze,0.0000,38,3.394003728e-06,3.671612547e-06,3.394003728e-06,3.671612547e-06
squeeze,0.0000,39,3.465436813e-06,3.604267984e-06,3.465436813e-06,3.604267984e-06
squeeze,0.0000,40,3.535533906e-06,3.535533906e-06,3.535533906e-06,3.535533906e-06
squeeze,0.0000,41,3.604267984e-06,3.465436813e-06,3.604267984e-06,3.465436813e-06
squeeze,0.0000,42,3.671612547e-06,3.394003728e-06,3.671612547e-06,3.394003728e-06
squeeze,0.0000,43,3.737541634e-06,3.321262190e-06,3.737541634e-06,3.321262190e-06
squeeze,0.0000,44,3.802029828e-06,3.247240242e-06,3.802029828e-06,3.247240242e-06
squeeze,0.0000,45,3.865052267e-06,3.171966421e-06,3.865052267e-06,3.171966421e-06
squeeze,0.0000,46,3.926584654e-06,3.095469747e-06,3.926584654e-06,3.095469747e-06
squeeze,0.0000,47,3.986603269e-06,3.017779710e-06,3.986603269e-06,3.017779710e-06
squeeze,0.0000,48,4.045084972e-06,2.938926261e-06,4.045084972e-06,2.938926261e-06
squeeze,0.0000,49,4.102007218e-06,2.858939801e-06,4.102007218e-06,2.858939801e-06
squeeze,0.0000,50,4.157348062e-06,2.777851165e-06,4.157348062e-06,2.777851165e-06
squeeze,0.0000,51,4.211086169e-06,2.695691615e-06,4.211086169e-06,2.695691615e-06
squeeze,0.0000,52,4.263200822e-06,2.612492824e-06,4.263200822e-06,2.612492824e-06
squeeze,0.0000,53,4.313671930e-06,2.528286867e-06,4.313671930e-06,2.528286867e-06
squeeze,0.0000,54,4.362480035e-06,2.443106207e-06,4.362480035e-06,2.443106207e-06
squeeze,0.0000,55,4.409606322e-06,2.356983684e-06,4.409606322e-06,2.356983684e-06
squeeze,0.0000,56,4.455032621e-06,2.269952499e-06,4.455032621e-06,2.269952499e-06
squeeze,0.0000,57,4.498741420e-06,2.182046203e-06,4.498741420e-06,2.182046203e-06
squeeze,0.0000,58,4.540715869e-06,2.093298688e-06,4.540715869e-06,2.093298688e-06
squeeze,0.0000,59,4.580939786e-06,2.003744166e-06,4.580939786e-06,2.003744166e-06
squeeze,0.0000,60,4.619397663e-06,1.913417162e-06,4.619397663e-06,1.913417162e-06
squeeze,0.0000,61,4.656074674e-06,1.822352499e-06,4.656074674e-06,1.822352499e-06
squeeze,0.0000,62,4.690956680e-06,1.730585285e-06,4.690956680e-06,1.730585285e-06
squeeze,0.0000,63,4.724030232e-06,1.638150898e-06,4.724030232e-06,1.638150898e-06
squeeze,0.0000,64,4.755282581e-06,1.545084972e-06,4.755282581e-06,1.545084972e-06
squeeze,0.0000,65,4.784701679e-06,1.451423386e-06,4.784701679e-06,1.451423386e-06
squeeze,0.0000,66,4.812276182e-06,1.357202249e-06,4.812276182e-06,1.357202249e-06
squeeze,0.0000,67,4.837995462e-06,1.262457885e-06,4.837995462e-06,1.262457885e-06
squeeze,0.0000,68,4.861849602e-06,1.167226819e-06,4.861849602e-06,1.167226819e-06
squeeze,0.0000,69,4.883829407e-06,1.071545765e-06,4.883829407e-06,1.071545765e-06
squeeze,0.0000,70,4.903926402e-06,9.754516101e-07,4.903926402e-06,9.754516101e-07
squeeze,0.0000,71,4.922132840e-06,8.789813997e-07,4.922132840e-06,8.789813997e-07
squeeze,0.0000,72,4.938441703e-06,7.821723252e-07,4.938441703e-06,7.821723252e-07
squeeze,0.0000,73,4.952846702e-06,6.850617084e-07,4.952846702e-06,6.850617084e-07
squeeze,0.0000,74,4.965342285e-06,5.876869873e-07,4.965342285e-06,5.876869873e-07
squeeze,0.0000,75,4.975923633e-06,4.900857016e-07,4.975923633e-06,4.900857016e-07
squeeze,0.0000,76,4.984586669e-06,3.922954786e-07,4.984586669e-06,3.922954786e-07
squeeze,0.0000,77,4.991328051e-06,2.943540183e-07,4.991328051e-06,2.943540183e-07
squeeze,0.0000,78,4.996145181e-06,1.962990788e-07,4.996145181e-06,1.962990788e-07
squeeze,0.0000,79,4.999036202e-06,9.816846230e-08,4.999036202e-06,9.816846230e-08
squeeze,0.0000,80,5.000000000e-06,0.000000000e+00,5.000000000e-06,0.000000000e+00
squeeze,0.2500,0,0.000000000e+00,5.665742265e-06,0.000000000e+00,5.665742265e-06
squeeze,0.2500,1,9.222073584e-08,5.664650140e-06,9.222073584e-08,5.664650140e-06
squeeze,0.2500,2,1.844059188e-07,5.661374183e-06,1.844059188e-07,5.661374183e-06
squeeze,0.2500,3,2.765200098e-07,5.655915660e-06,2.765200098e-07,5.655915660e-06
squeeze,0.2500,4,3.685274971e-07,5.648276673e-06,3.685274971e-07,5.648276673e-06
squeeze,0.2500,5,4.603929100e-07,5.638460168e-06,4.603929100e-07,5.638460168e-06
squeeze,0.2500,6,5.520808327e-07,5.626469929e-06,5.520808327e-07,5.626469929e-06
squeeze,0.2500,7,6.435559177e-07,5.612310579e-06,6.435559177e-07,5.612310579e-06
squeeze,0.2500,8,7.347828997e-07,5.595987576e-06,7.347828997e-07,5.595987576e-06
squeeze,0.2500,9,8.257266088e-07,5.577507214e-06,8.257266088e-07,5.577507214e-06
squeeze,0.2500,10,9.163519847e-07,5.556876616e-06,9.163519847e-07,5.556876616e-06
squeeze,0.2500,11,1.006624089e-06,5.534103737e-06,1.006624089e-06,5.534103737e-06
squeeze,0.2500,12,1.096508121e-06,5.509197356e-06,1.096508121e-06,5.509197356e-06
squeeze,0.2500,13,1.185969428e-06,5.482167073e-06,1.185969428e-06,5.482167073e-06
squeeze,0.2500,14,1.274973522e-06,5.453023312e-06,1.274973522e-06,5.453023312e-06
squeeze,0.2500,15,1.363486089e-06,5.421777306e-06,1.363486089e-06,5.421777306e-06
squeeze,0.2500,16,1.451473006e-06,5.388441101e-06,1.451473006e-06,5.388441101e-06
squeeze,0.2500,17,1.538900352e-06,5.353027550e-06,1.538900352e-06,5.353027550e-06
squeeze,0.2500,18,1.625734423e-06,5.315550305e-06,1.625734423e-06,5.315550305e-06
squeeze,0.2500,19,1.711941743e-06,5.276023814e-06,1.711941743e-06,5.276023814e-06
squeeze,0.2500,20,1.797489076e-06,5.234463315e-06,1.797489076e-06,5.234463315e-06
squeeze,0.2500,21,1.882343444e-06,5.190884832e-06,1.882343444e-06,5.190884832e-06
squeeze,0.2500,22,1.966472132e-06,5.145305163e-06,1.966472132e-06,5.145305163e-06
squeeze,0.2500,23,2.049842707e-06,5.097741881e-06,2.049842707e-06,5.097741881e-06
squeeze,0.2500,24,2.132423029e-06,5.048213323e-06,2.132423029e-06,5.048213323e-06
squeeze,0.2500,25,2.214181262e-06,4.996738582e-06,2.214181262e-06,4.996738582e-06
squeeze,0.2500,26,2.295085885e-06,4.943337504e-06,2.295085885e-06,4.943337504e-06
squeeze,0.2500,27,2.375105709e-06,4.888030674e-06,2.375105709e-06,4.888030674e-06
squeeze,0.2500,28,2.454209885e-06,4.830839416e-06,2.454209885e-06,4.830839416e-06
squeeze,0.2500,29,2.532367916e-06,4.771785778e-06,2.532367916e-06,4.771785778e-06
squeeze,0.2500,30,2.609549671e-06,4.710892525e-06,2.609549671e-06,4.710892525e-06
squeeze,0.2500,31,2.685725395e-06,4.648183133e-06,2.685725395e-06,4.648183133e-06
squeeze,0.2500,32,2.760865721e-06,4.583681778e-06,2.760865721e-06,4.583681778e-06
squeeze,0.2500,33,2.834941680e-06,4.517413327e-06,2.834941680e-06,4.517413327e-06
squeeze,0.2500,34,2.907924715e-06,4.449403327e-06,2.907924715e-06,4.449403327e-06
squeeze,0.2500,35,2.979786691e-06,4.379677997e-06,2.979786691e-06,4.379677997e-06
squeeze,0.2500,36,3.050499901e-06,4.308264218e-06,3.050499901e-06,4.308264218e-06
squeeze,0.2500,37,3.120037086e-06,4.235189521e-06,3.120037086e-06,4.235189521e-06
squeeze,0.2500,38,3.188371437e-06,4.160482078e-06,3.188371437e-06,4.160482078e-06
squeeze,0.2500,39,3.255476610e-06,4.084170690e-06,3.255476610e-06,4.084170690e-06
squeeze,0.2500,40,3.321326735e-06,4.006284776e-06,3.321326735e-06,4.006284776e-06
squeeze,0.2500,41,3.385896426e-06,3.926854364e-06,3.385896426e-06,3.926854364e-06
squeeze,0.2500,42,3.449160788e-06,3.845910074e-06,3.449160788e-06,3.845910074e-06
squeeze,0.2500,43,3.511095434e-06,3.763483112e-06,3.511095434e-06,3.763483112e-06
squeeze,0.2500,44,3.571676486e-06,3.679605257e-06,3.571676486e-06,3.679605257e-06
squeeze,0.2500,45,3.630880588e-06,3.594308843e-06,3.630880588e-06,3.594308843e-06
squeeze,0.2500,46,3.688684917e-06,3.507626755e-06,3.688684917e-06,3.507626755e-06
squeeze,0.2500,47,3.745067187e-06,3.419592410e-06,3.745067187e-06,3.419592410e-06
squeeze,0.2500,48,3.800005663e-06,3.330239747e-06,3.800005663e-06,3.330239747e-06
squeeze,0.2500,49,3.853479164e-06,3.239603213e-06,3.853479164e-06,3.239603213e-06
squeeze,0.2500,50,3.905467076e-06,3.147717751e-06,3.905467076e-06,3.147717751e-06
squeeze,0.2500,51,3.955949355e-06,3.054618783e-06,3.955949355e-06,3.054618783e-06
squeeze,0.2500,52,4.004906541e-06,2.960342202e-06,4.004906541e-06,2.960342202e-06
squeeze,0.2500,53,4.052319760e-06,2.864924352e-06,4.052319760e-06,2.864924352e-06
squeeze,0.2500,54,4.098170731e-06,2.768402020e-06,4.098170731e-06,2.768402020e-06
squeeze,0.2500,55,4.142441781e-06,2.670812416e-06,4.142441781e-06,2.670812416e-06
squeeze,0.2500,56,4.185115839e-06,2.572193162e-06,4.185115839e-06,2.572193162e-06
squeeze,0.2500,57,4.226176456e-06,2.472582280e-06,4.226176456e-06,2.472582280e-06
squeeze,0.2500,58,4.265607802e-06,2.372018170e-06,4.265607802e-06,2.372018170e-06
squeeze,0.2500,59,4.303394675e-06,2.270539601e-06,4.303394675e-06,2.270539601e-06
squeeze,0.2500,60,4.339522507e-06,2.168185697e-06,4.339522507e-06,2.168185697e-06
squeeze,0.2500,61,4.373977370e-06,2.064995916e-06,4.373977370e-06,2.064995916e-06
squeeze,0.2500,62,4.406745982e-06,1.961010039e-06,4.406745982e-06,1.961010039e-06
squeeze,0.2500,63,4.437815709e-06,1.856268156e-06,4.437815709e-06,1.856268156e-06
squeeze,0.2500,64,4.467174574e-06,1.750810646e-06,4.467174574e-06,1.750810646e-06
squeeze,0.2500,65,4.494811259e-06,1.644678165e-06,4.494811259e-06,1.644678165e-06
squeeze,0.2500,66,4.520715107e-06,1.537911629e-06,4.520715107e-06,1.537911629e-06
squeeze,0.2500,67,4.544876135e-06,1.430552200e-06,4.544876135e-06,1.430552200e-06
squeeze,0.2500,68,4.567285026e-06,1.322641265e-06,4.567285026e-06,1.322641265e-06
squeeze,0.2500,69,4.587933141e-06,1.214220426e-06,4.587933141e-06,1.214220426e-06
squeeze,0.2500,70,4.606812521e-06,1.105331483e-06,4.606812521e-06,1.105331483e-06
squeeze,0.2500,71,4.623915887e-06,9.960164133e-07,4.623915887e-06,9.960164133e-07
squeeze,0.2500,72,4.639236646e-06,8.863173603e-07,4.639236646e-06,8.863173603e-07
squeeze,0.2500,73,4.652768890e-06,7.762766151e-07,4.652768890e-06,7.762766151e-07
squeeze,0.2500,74,4.664507404e-06,6.659366005e-07,4.664507404e-06,6.659366005e-07
squeeze,0.2500,75,4.674447661e-06,5.553398547e-07,4.674447661e-06,5.553398547e-07
squeeze,0.2500,76,4.682585829e-06,4.445290148e-07,4.682585829e-06,4.445290148e-07
squeeze,0.2500,77,4.688918772e-06,3.335468004e-07,4.688918772e-06,3.335468004e-07
squeeze,0.2500,78,4.693444047e-06,2.224359975e-07,4.693444047e-06,2.224359975e-07
squeeze,0.2500,79,4.696159910e-06,1.112394412e-07,4.696159910e-06,1.112394412e-07
squeeze,0.2500,80,4.697065314e-06,0.000000000e+00,4.697065314e-06,0.000000000e+00
squeeze,0.5000,0,0.000000000e+00,6.420127083e-06,0.000000000e+00,6.420127083e-06
