# Advektierte Oberflaeche gegen die exakte Lagrange-Abbildung.
# Das Feld ist VORGESCHRIEBEN; nichts wird dafuer geloest.
case,t_over_T,node,r_m,z_m,r_exact_m,z_exact_m
dilatation,0.0000,56,4.455032621e-06,2.269952499e-06,4.455032621e-06,2.269952499e-06
dilatation,0.0000,57,4.498741420e-06,2.182046203e-06,4.498741420e-06,2.182046203e-06
dilatation,0.0000,58,4.540715869e-06,2.093298688e-06,4.540715869e-06,2.093298688e-06
dilatation,0.0000,59,4.580939786e-06,2.003744166e-06,4.580939786e-06,2.003744166e-06
dilatation,0.0000,60,4.619397663e-06,1.913417162e-06,4.619397663e-06,1.913417162e-06
dilatation,0.0000,61,4.656074674e-06,1.822352499e-06,4.656074674e-06,1.822352499e-06
dilatation,0.0000,62,4.690956680e-06,1.730585285e-06,4.690956680e-06,1.730585285e-06
dilatation,0.0000,63,4.724030232e-06,1.638150898e-06,4.724030232e-06,1.638150898e-06
dilatation,0.0000,64,4.755282581e-06,1.545084972e-06,4.755282581e-06,1.545084972e-06
dilatation,0.0000,65,4.784701679e-06,1.451423386e-06,4.784701679e-06,1.451423386e-06
dilatation,0.0000,66,4.812276182e-06,1.357202249e-06,4.812276182e-06,1.357202249e-06
dilatation,0.0000,67,4.837995462e-06,1.262457885e-06,4.837995462e-06,1.262457885e-06
dilatation,0.0000,68,4.861849602e-06,1.167226819e-06,4.861849602e-06,1.167226819e-06
dilatation,0.0000,69,4.883829407e-06,1.071545765e-06,4.883829407e-06,1.071545765e-06
dilatation,0.0000,70,4.903926402e-06,9.754516101e-07,4.903926402e-06,9.754516101e-07
dilatation,0.0000,71,4.922132840e-06,8.789813997e-07,4.922132840e-06,8.789813997e-07
dilatation,0.0000,72,4.938441703e-06,7.821723252e-07,4.938441703e-06,7.821723252e-07
dilatation,0.0000,73,4.952846702e-06,6.850617084e-07,4.952846702e-06,6.850617084e-07
dilatation,0.0000,74,4.965342285e-06,5.876869873e-07,4.965342285e-06,5.876869873e-07
dilatation,0.0000,75,4.975923633e-06,4.900857016e-07,4.975923633e-06,4.900857016e-07
dilatation,0.0000,76,4.984586669e-06,3.922954786e-07,4.984586669e-06,3.922954786e-07
dilatation,0.0000,77,4.991328051e-06,2.943540183e-07,4.991328051e-06,2.943540183e-07
dilatation,0.0000,78,4.996145181e-06,1.962990788e-07,4.996145181e-06,1.962990788e-07
dilatation,0.0000,79,4.999036202e-06,9.816846230e-08,4.999036202e-06,9.816846230e-08
dilatation,0.0000,80,5.000000000e-06,0.000000000e+00,5.000000000e-06,0.000000000e+00
dilatation,0.2500,0,0.000000000e+00,5.665742265e-06,0.000000000e+00,5.665742265e-06
dilatation,0.2500,1,1.112394412e-07,5.664650140e-06,1.112394412e-07,5.664650140e-06
dilatation,0.2500,2,2.224359975e-07,5.661374183e-06,2.224359975e-07,5.661374183e-06
dilatation,0.2500,3,3.335468004e-07,5.655915660e-06,3.335468004e-07,5.655915660e-06
dilatation,0.2500,4,4.445290148e-07,5.648276673e-06,4.445290148e-07,5.648276673e-06
dilatation,0.2500,5,5.553398547e-07,5.638460168e-06,5.553398547e-07,5.638460168e-06
dilatation,0.2500,6,6.659366005e-07,5.626469929e-06,6.659366005e-07,5.626469929e-06
dilatation,0.2500,7,7.762766151e-07,5.612310579e-06,7.762766151e-07,5.612310579e-06
dilatation,0.2500,8,8.863173603e-07,5.595987576e-06,8.863173603e-07,5.595987576e-06
dilatation,0.2500,9,9.960164133e-07,5.577507214e-06,9.960164133e-07,5.577507214e-06
dilatation,0.2500,10,1.105331483e-06,5.556876616e-06,1.105331483e-06,5.556876616e-06
dilatation,0.2500,11,1.214220426e-06,5.534103737e-06,1.214220426e-06,5.534103737e-06
dilatation,0.2500,12,1.322641265e-06,5.509197356e-06,1.322641265e-06,5.509197356e-06
dilatation,0.2500,13,1.430552200e-06,5.482167073e-06,1.430552200e-06,5.482167073e-06
dilatation,0.2500,14,1.537911629e-06,5.453023312e-06,1.537911629e-06,5.453023312e-06
