# Geschlossene Ladungsrelaxation rho(t) = rho0 exp(-t/tau) mit einem
# ausdruecklich UNBELEGTEN eps_r.  Die Kurve zeigt die Form des
# Zerfalls und die Lage von tau, nicht einen Stoffwert.
t_over_tau,rho_over_rho0
0.000000000e+00,1.000000000e+00
3.000000000e-02,9.704455335e-01
6.000000000e-02,9.417645336e-01
9.000000000e-02,9.139311853e-01
1.200000000e-01,8.869204367e-01
1.500000000e-01,8.607079764e-01
1.800000000e-01,8.352702114e-01
2.100000000e-01,8.105842460e-01
2.400000000e-01,7.866278611e-01
2.700000000e-01,7.633794943e-01
3.000000000e-01,7.408182207e-01
3.300000000e-01,7.189237334e-01
3.600000000e-01,6.976763261e-01
3.900000000e-01,6.770568745e-01
4.200000000e-01,6.570468198e-01
4.500000000e-01,6.376281516e-01
4.800000000e-01,6.187833918e-01
5.100000000e-01,6.004955788e-01
5.400000000e-01,5.827482524e-01
5.700000000e-01,5.655254387e-01
6.000000000e-01,5.488116361e-01
6.300000000e-01,5.325918010e-01
6.600000000e-01,5.168513345e-01
6.900000000e-01,5.015760691e-01
7.200000000e-01,4.867522560e-01
7.500000000e-01,4.723665527e-01
7.800000000e-01,4.584060113e-01
8.100000000e-01,4.448580662e-01
8.400000000e-01,4.317105234e-01
8.700000000e-01,4.189515492e-01
9.000000000e-01,4.065696597e-01
9.300000000e-01,3.945537104e-01
9.600000000e-01,3.828928860e-01
9.900000000e-01,3.715766910e-01
1.020000000e+00,3.605949402e-01
1.050000000e+00,3.499377491e-01
1.080000000e+00,3.395955256e-01
1.110000000e+00,3.295589611e-01
1.140000000e+00,3.198190218e-01
1.170000000e+00,3.103669413e-01
1.200000000e+00,3.011942119e-01
1.230000000e+00,2.922925777e-01
1.260000000e+00,2.836540265e-01
1.290000000e+00,2.752707831e-01
1.320000000e+00,2.671353020e-01
1.350000000e+00,2.592402606e-01
1.380000000e+00,2.515785531e-01
1.410000000e+00,2.441432832e-01
1.440000000e+00,2.369277587e-01
1.470000000e+00,2.299254852e-01
1.500000000e+00,2.231301601e-01
1.530000000e+00,2.165356673e-01
1.560000000e+00,2.101360712e-01
1.590000000e+00,2.039256117e-01
1.620000000e+00,1.978986991e-01
1.650000000e+00,1.920499086e-01
1.680000000e+00,1.863739760e-01
1.710000000e+00,1.808657926e-01
1.740000000e+00,1.755204006e-01
1.770000000e+00,1.703329888e-01
1.800000000e+00,1.652988882e-01
1.830000000e+00,1.604135678e-01
1.860000000e+00,1.556726304e-01
1.890000000e+00,1.510718088e-01
1.920000000e+00,1.466069621e-01
1.950000000e+00,1.422740716e-01
1.980000000e+00,1.380692373e-01
2.010000000e+00,1.339886747e-01
2.040000000e+00,1.300287109e-01
2.070000000e+00,1.261857817e-01
2.100000000e+00,1.224564283e-01
2.130000000e+00,1.188372939e-01
2.160000000e+00,1.153251210e-01
2.190000000e+00,1.119167486e-01
2.220000000e+00,1.086091088e-01
2.250000000e+00,1.053992246e-01
2.280000000e+00,1.022842067e-01
2.310000000e+00,9.926125156e-02
2.340000000e+00,9.632763823e-02
2.370000000e+00,9.348072628e-02
2.400000000e+00,9.071795329e-02
2.430000000e+00,8.803683258e-02
2.460000000e+00,8.543495097e-02
2.490000000e+00,8.290996658e-02
2.520000000e+00,8.045960675e-02
2.550000000e+00,7.808166600e-02
2.580000000e+00,7.577400402e-02
2.610000000e+00,7.353454376e-02
2.640000000e+00,7.136126956e-02
2.670000000e+00,6.925222531e-02
2.700000000e+00,6.720551274e-02
2.730000000e+00,6.521928967e-02
2.760000000e+00,6.329176836e-02
2.790000000e+00,6.142121392e-02
2.820000000e+00,5.960594271e-02
2.850000000e+00,5.784432087e-02
2.880000000e+00,5.613476283e-02
2.910000000e+00,5.447572987e-02
2.940000000e+00,5.286572874e-02
2.970000000e+00,5.130331033e-02
3.000000000e+00,4.978706837e-02
3.030000000e+00,4.831563813e-02
