# Geschlossene Ladungsrelaxation rho(t) = rho0 exp(-t/tau) mit einem
# ausdruecklich UNBELEGTEN eps_r.  Die Kurve zeigt die Form des
# Zerfalls und die Lage von tau, nicht einen Stoffwert.
t_over_tau,rho_over_rho0
3.060000000e+00,4.688769522e-02
3.090000000e+00,4.550195440e-02
3.120000000e+00,4.415716842e-02
3.150000000e+00,4.285212687e-02
3.180000000e+00,4.158565512e-02
3.210000000e+00,4.035661327e-02
3.240000000e+00,3.916389510e-02
3.270000000e+00,3.800642708e-02
3.300000000e+00,3.688316740e-02
3.330000000e+00,3.579310507e-02
3.360000000e+00,3.473525894e-02
3.390000000e+00,3.370867690e-02
3.420000000e+00,3.271243494e-02
3.450000000e+00,3.174563638e-02
3.480000000e+00,3.080741103e-02
3.510000000e+00,2.989691444e-02
3.540000000e+00,2.901332708e-02
3.570000000e+00,2.815585368e-02
3.600000000e+00,2.732372245e-02
3.630000000e+00,2.651618441e-02
3.660000000e+00,2.573251273e-02
3.690000000e+00,2.497200204e-02
3.720000000e+00,2.423396785e-02
3.750000000e+00,2.351774586e-02
3.780000000e+00,2.282269143e-02
3.810000000e+00,2.214817896e-02
3.840000000e+00,2.149360135e-02
3.870000000e+00,2.085836943e-02
3.900000000e+00,2.024191145e-02
3.930000000e+00,1.964367255e-02
3.960000000e+00,1.906311429e-02
3.990000000e+00,1.849971412e-02
4.020000000e+00,1.795296494e-02
4.050000000e+00,1.742237464e-02
4.080000000e+00,1.690746565e-02
4.110000000e+00,1.640777453e-02
4.140000000e+00,1.592285150e-02
4.170000000e+00,1.545226012e-02
4.200000000e+00,1.499557682e-02
4.230000000e+00,1.455239055e-02
4.260000000e+00,1.412230241e-02
4.290000000e+00,1.370492530e-02
4.320000000e+00,1.329988354e-02
4.350000000e+00,1.290681258e-02
4.380000000e+00,1.252535862e-02
4.410000000e+00,1.215517833e-02
4.440000000e+00,1.179593852e-02
4.470000000e+00,1.144731585e-02
4.500000000e+00,1.110899654e-02
4.530000000e+00,1.078067607e-02
4.560000000e+00,1.046205894e-02
4.590000000e+00,1.015285837e-02
4.620000000e+00,9.852796061e-03
4.650000000e+00,9.561601931e-03
4.680000000e+00,9.279013887e-03
4.710000000e+00,9.004777582e-03
4.740000000e+00,8.738646185e-03
4.770000000e+00,8.480380160e-03
4.800000000e+00,8.229747049e-03
4.830000000e+00,7.986521266e-03
4.860000000e+00,7.750483891e-03
4.890000000e+00,7.521422475e-03
4.920000000e+00,7.299130847e-03
4.950000000e+00,7.083408929e-03
4.980000000e+00,6.874062557e-03
5.010000000e+00,6.670903306e-03
5.040000000e+00,6.473748318e-03
5.070000000e+00,6.282420141e-03
5.100000000e+00,6.096746566e-03
5.130000000e+00,5.916560474e-03
5.160000000e+00,5.741699686e-03
5.190000000e+00,5.572006815e-03
5.220000000e+00,5.407329126e-03
5.250000000e+00,5.247518399e-03
5.280000000e+00,5.092430793e-03
5.310000000e+00,4.941926718e-03
5.340000000e+00,4.795870710e-03
5.370000000e+00,4.654131310e-03
5.400000000e+00,4.516580943e-03
5.430000000e+00,4.383095803e-03
5.460000000e+00,4.253555745e-03
5.490000000e+00,4.127844174e-03
5.520000000e+00,4.005847942e-03
5.550000000e+00,3.887457243e-03
5.580000000e+00,3.772565519e-03
5.610000000e+00,3.661069358e-03
5.640000000e+00,3.552868406e-03
5.670000000e+00,3.447865276e-03
5.700000000e+00,3.345965457e-03
5.730000000e+00,3.247077234e-03
5.760000000e+00,3.151111598e-03
5.790000000e+00,3.057982176e-03
5.820000000e+00,2.967605145e-03
5.850000000e+00,2.879899158e-03
5.880000000e+00,2.794785275e-03
5.910000000e+00,2.712186887e-03
5.940000000e+00,2.632029651e-03
5.970000000e+00,2.554241419e-03
6.000000000e+00,2.478752177e-03
