# Geloestes Geschwindigkeitsprofil in der Mittelebene gegen die
# geschlossene Parabel.  Die Reduktion ist EXAKT fuer das gerade Rohr:
# Kontinuitaet erzwingt du_z/dz = 0, der konvektive Term verschwindet
# identisch, und die z-Impulsgleichung IST der achsensymmetrische
# Laplace-Operator.  Fuer alles andere gilt das nicht.
r_over_R,u_solved_m_per_s,u_closed_form_m_per_s,difference
0.000000000e+00,5.729110809e-03,5.728164238e-03,9.465706631e-07
1.250000000e-02,5.727917441e-03,5.727269212e-03,6.482287757e-07
2.500000000e-02,5.725132917e-03,5.724584135e-03,5.487814799e-07
3.750000000e-02,5.720598120e-03,5.720109007e-03,4.891131024e-07
5.000000000e-02,5.714290320e-03,5.713843827e-03,4.464928328e-07
6.250000000e-02,5.706201940e-03,5.705788596e-03,4.133437342e-07
7.500000000e-02,5.696329536e-03,5.695943314e-03,3.862217444e-07
8.750000000e-02,5.684671253e-03,5.684307980e-03,3.632723684e-07
1.000000000e-01,5.671225978e-03,5.670882596e-03,3.433829093e-07
1.125000000e-01,5.655992993e-03,5.655667159e-03,3.258333865e-07
1.250000000e-01,5.638971803e-03,5.638661672e-03,3.101311819e-07
1.375000000e-01,5.620162057e-03,5.619866133e-03,2.959244254e-07
1.500000000e-01,5.599563496e-03,5.599280543e-03,2.829530389e-07
1.625000000e-01,5.577175920e-03,5.576904901e-03,2.710193634e-07
1.750000000e-01,5.552999178e-03,5.552739208e-03,2.599696639e-07
1.875000000e-01,5.527033146e-03,5.526783464e-03,2.496820126e-07
2.000000000e-01,5.499277726e-03,5.499037668e-03,2.400580807e-07
2.125000000e-01,5.469732839e-03,5.469501822e-03,2.310174175e-07
2.250000000e-01,5.438398417e-03,5.438175923e-03,2.224933636e-07
2.375000000e-01,5.405274404e-03,5.405059974e-03,2.144300693e-07
2.500000000e-01,5.370360753e-03,5.370153973e-03,2.067802773e-07
2.625000000e-01,5.333657425e-03,5.333457921e-03,1.995036459e-07
2.750000000e-01,5.295164383e-03,5.294971817e-03,1.925654625e-07
2.875000000e-01,5.254881598e-03,5.254695663e-03,1.859356428e-07
3.000000000e-01,5.212809044e-03,5.212629457e-03,1.795879430e-07
3.125000000e-01,5.168946698e-03,5.168773199e-03,1.734993331e-07
3.250000000e-01,5.123294540e-03,5.123126890e-03,1.676494922e-07
3.375000000e-01,5.075852551e-03,5.075690530e-03,1.620204000e-07
3.500000000e-01,5.026620715e-03,5.026464119e-03,1.565960020e-07
3.625000000e-01,4.975599018e-03,4.975447656e-03,1.513619338e-07
3.750000000e-01,4.922787447e-03,4.922641142e-03,1.463052917e-07
3.875000000e-01,4.868185991e-03,4.868044577e-03,1.414144411e-07
4.000000000e-01,4.811794639e-03,4.811657960e-03,1.366788555e-07
4.125000000e-01,4.753613381e-03,4.753481292e-03,1.320889803e-07
4.250000000e-01,4.693642209e-03,4.693514572e-03,1.276361163e-07
