r,z,V,Er,Ez,Emag
0.000000000e+00,-1.800000000e-05,nan,nan,nan,nan
1.875000000e-07,-1.800000000e-05,nan,nan,nan,nan
3.750000000e-07,-1.800000000e-05,nan,nan,nan,nan
5.625000000e-07,-1.800000000e-05,nan,nan,nan,nan
7.500000000e-07,-1.800000000e-05,nan,nan,nan,nan
9.375000000e-07,-1.800000000e-05,nan,nan,nan,nan
1.125000000e-06,-1.800000000e-05,nan,nan,nan,nan
1.312500000e-06,-1.800000000e-05,nan,nan,nan,nan
1.500000000e-06,-1.800000000e-05,nan,nan,nan,nan
1.687500000e-06,-1.800000000e-05,nan,nan,nan,nan
1.875000000e-06,-1.800000000e-05,nan,nan,nan,nan
2.062500000e-06,-1.800000000e-05,nan,nan,nan,nan
2.250000000e-06,-1.800000000e-05,nan,nan,nan,nan
2.437500000e-06,-1.800000000e-05,nan,nan,nan,nan
2.625000000e-06,-1.800000000e-05,nan,nan,nan,nan
2.812500000e-06,-1.800000000e-05,nan,nan,nan,nan
3.000000000e-06,-1.800000000e-05,nan,nan,nan,nan
3.187500000e-06,-1.800000000e-05,nan,nan,nan,nan
3.375000000e-06,-1.800000000e-05,nan,nan,nan,nan
3.562500000e-06,-1.800000000e-05,nan,nan,nan,nan
3.750000000e-06,-1.800000000e-05,nan,nan,nan,nan
3.937500000e-06,-1.800000000e-05,nan,nan,nan,nan
4.125000000e-06,-1.800000000e-05,nan,nan,nan,nan
4.312500000e-06,-1.800000000e-05,nan,nan,nan,nan
4.500000000e-06,-1.800000000e-05,nan,nan,nan,nan
4.687500000e-06,-1.800000000e-05,nan,nan,nan,nan
4.875000000e-06,-1.800000000e-05,nan,nan,nan,nan
5.062500000e-06,-1.800000000e-05,nan,nan,nan,nan
5.250000000e-06,-1.800000000e-05,nan,nan,nan,nan
5.437500000e-06,-1.800000000e-05,nan,nan,nan,nan
5.625000000e-06,-1.800000000e-05,nan,nan,nan,nan
5.812500000e-06,-1.800000000e-05,nan,nan,nan,nan
6.000000000e-06,-1.800000000e-05,nan,nan,nan,nan
6.187500000e-06,-1.800000000e-05,nan,nan,nan,nan
6.375000000e-06,-1.800000000e-05,nan,nan,nan,nan
6.562500000e-06,-1.800000000e-05,nan,nan,nan,nan
6.750000000e-06,-1.800000000e-05,nan,nan,nan,nan
6.937500000e-06,-1.800000000e-05,nan,nan,nan,nan
7.125000000e-06,-1.800000000e-05,nan,nan,nan,nan
7.312500000e-06,-1.800000000e-05,nan,nan,nan,nan
7.500000000e-06,-1.800000000e-05,nan,nan,nan,nan
7.687500000e-06,-1.800000000e-05,nan,nan,nan,nan
7.875000000e-06,-1.800000000e-05,nan,nan,nan,nan
8.062500000e-06,-1.800000000e-05,nan,nan,nan,nan
8.250000000e-06,-1.800000000e-05,nan,nan,nan,nan
8.437500000e-06,-1.800000000e-05,nan,nan,nan,nan
8.625000000e-06,-1.800000000e-05,nan,nan,nan,nan
8.812500000e-06,-1.800000000e-05,nan,nan,nan,nan
9.000000000e-06,-1.800000000e-05,nan,nan,nan,nan
9.187500000e-06,-1.800000000e-05,nan,nan,nan,nan
9.375000000e-06,-1.800000000e-05,nan,nan,nan,nan
9.562500000e-06,-1.800000000e-05,nan,nan,nan,nan
9.750000000e-06,-1.800000000e-05,nan,nan,nan,nan
9.937500000e-06,-1.800000000e-05,nan,nan,nan,nan
1.012500000e-05,-1.800000000e-05,nan,nan,nan,nan
1.031250000e-05,-1.800000000e-05,nan,nan,nan,nan
1.050000000e-05,-1.800000000e-05,nan,nan,nan,nan
1.068750000e-05,-1.800000000e-05,nan,nan,nan,nan
1.087500000e-05,-1.800000000e-05,nan,nan,nan,nan
1.106250000e-05,-1.800000000e-05,nan,nan,nan,nan
1.125000000e-05,-1.800000000e-05,nan,nan,nan,nan
1.143750000e-05,-1.800000000e-05,nan,nan,nan,nan
1.162500000e-05,-1.800000000e-05,nan,nan,nan,nan
1.181250000e-05,-1.800000000e-05,nan,nan,nan,nan
1.200000000e-05,-1.800000000e-05,nan,nan,nan,nan
1.218750000e-05,-1.800000000e-05,nan,nan,nan,nan
1.237500000e-05,-1.800000000e-05,nan,nan,nan,nan
1.256250000e-05,-1.800000000e-05,nan,nan,nan,nan
1.275000000e-05,-1.800000000e-05,nan,nan,nan,nan
1.293750000e-05,-1.800000000e-05,nan,nan,nan,nan
1.312500000e-05,-1.800000000e-05,1.494502560e+03,4.191912199e+07,7.328701285e+06,4.255493686e+07
1.331250000e-05,-1.800000000e-05,1.486696866e+03,4.134335371e+07,7.305253982e+06,4.198380201e+07
1.350000000e-05,-1.800000000e-05,1.478998175e+03,4.077763993e+07,7.288687935e+06,4.142391689e+07
1.368750000e-05,-1.800000000e-05,1.471404659e+03,4.022141634e+07,7.277709468e+06,4.087453226e+07
1.387500000e-05,-1.800000000e-05,1.463914563e+03,3.967448495e+07,7.271140100e+06,4.033527283e+07
