# potential and axial field on r = 0, from the flat liquid surface to the
# top of the plotted region.  Inside the liquid column V = V_emitter.
z_m,V_V,Ez_V_per_m
-1.698888889e-04,1.500021830e+03,6.613271635e+02
-1.677777778e-04,1.500019940e+03,1.099100934e+03
-1.656666667e-04,1.500017359e+03,1.298702784e+03
-1.635555556e-04,1.500014671e+03,1.197721284e+03
-1.614444444e-04,1.500012487e+03,8.371328299e+02
-1.593333333e-04,1.500011222e+03,3.567043894e+02
-1.572222222e-04,1.500010925e+03,-4.466374426e+01
-1.551111111e-04,1.500011218e+03,-1.758862502e+02
-1.530000000e-04,1.500011397e+03,7.277155605e+01
-1.508888889e-04,1.500010656e+03,6.794316015e+02
-1.487777778e-04,1.500008383e+03,1.488811565e+03
-1.466666667e-04,1.500004394e+03,2.263452574e+03
-1.445555556e-04,1.499999019e+03,2.767801785e+03
-1.424444444e-04,1.499993007e+03,2.851628429e+03
-1.403333333e-04,1.499987287e+03,2.502088161e+03
-1.382222222e-04,1.499982661e+03,1.846347019e+03
-1.361111111e-04,1.499979554e+03,1.102568440e+03
-1.340000000e-04,1.499977908e+03,4.948824537e+02
-1.318888889e-04,1.499977265e+03,1.653704883e+02
-1.297777778e-04,1.499977004e+03,1.232931715e+02
-1.276666667e-04,1.499976619e+03,2.575820817e+02
-1.255555556e-04,1.499975908e+03,4.056159573e+02
-1.234444444e-04,1.499974989e+03,4.398434283e+02
-1.213333333e-04,1.499974158e+03,3.252033663e+02
-1.192222222e-04,1.499973681e+03,1.191221822e+02
-1.171111111e-04,1.499973649e+03,-7.994461422e+01
-1.150000000e-04,1.499973961e+03,-1.993146515e+02
-1.128888889e-04,1.499974427e+03,-2.305859338e+02
-1.107777778e-04,1.499974904e+03,-2.185747306e+02
-1.086666667e-04,1.499975358e+03,-2.168524517e+02
-1.065555556e-04,1.499975844e+03,-2.486665396e+02
-1.044444444e-04,1.499976423e+03,-3.013634806e+02
-1.023333333e-04,1.499977113e+03,-3.499839876e+02
-1.002222222e-04,1.499977889e+03,-3.822909814e+02
-9.811111111e-05,1.499978719e+03,-4.034429764e+02
-9.600000000e-05,1.499979592e+03,-4.235127395e+02
-9.388888889e-05,1.499980510e+03,-4.462549099e+02
-9.177777778e-05,1.499981476e+03,-4.693587757e+02
-8.966666667e-05,1.499982490e+03,-4.904065378e+02
-8.755555556e-05,1.499983545e+03,-5.094590364e+02
-8.544444444e-05,1.499984640e+03,-5.275207647e+02
-8.333333333e-05,1.499985772e+03,-5.451351036e+02
-8.122222222e-05,1.499986942e+03,-5.626258489e+02
-7.911111111e-05,1.499988148e+03,-5.806376671e+02
-7.700000000e-05,1.499989394e+03,-6.002750505e+02
-7.488888889e-05,1.499990685e+03,-6.231690555e+02
-7.277777778e-05,1.499992030e+03,-6.516328167e+02
-7.066666667e-05,1.499993443e+03,-6.887733073e+02
-6.855555556e-05,1.499994946e+03,-7.384039647e+02
-6.644444444e-05,1.499996572e+03,-8.046041377e+02
-6.433333333e-05,1.499998358e+03,-8.908300989e+02
-6.222222222e-05,1.500000348e+03,-9.986946670e+02
-6.011111111e-05,1.500002589e+03,-1.126790953e+03
-5.800000000e-05,1.500005117e+03,-1.269899656e+03
-5.588888889e-05,1.500007955e+03,-1.418455212e+03
-5.377777778e-05,1.500011099e+03,-1.557625199e+03
-5.166666667e-05,1.500014509e+03,-1.665456281e+03
-4.955555556e-05,1.500018087e+03,-1.710276444e+03
-4.744444444e-05,1.500021656e+03,-1.648456198e+03
-4.533333333e-05,1.500024933e+03,-1.424397410e+03
-4.322222222e-05,1.500027512e+03,-9.753362652e+02
-4.111111111e-05,1.500028852e+03,-2.437460249e+02
-3.900000000e-05,1.500028320e+03,7.992593022e+02
-3.688888889e-05,1.500025285e+03,2.110613707e+03
-3.477777778e-05,1.500019342e+03,3.510209703e+03
-3.266666667e-05,1.500010639e+03,4.660919606e+03
-3.055555556e-05,1.500000090e+03,5.213701854e+03
-2.844444444e-05,1.499989135e+03,5.052242126e+03
-2.633333333e-05,1.499979149e+03,4.337302277e+03
-2.422222222e-05,1.499971044e+03,3.304630340e+03
-2.211111111e-05,1.499965287e+03,2.141593932e+03
-2.000000000e-05,1.499961981e+03,1.007069612e+03
-1.788888889e-05,1.499960937e+03,9.582550909e+00
-1.577777778e-05,1.499961815e+03,-8.115556675e+02
-1.366666667e-05,1.499964242e+03,-1.460760900e+03
-1.155555556e-05,1.499967882e+03,-1.966811318e+03
-9.444444444e-06,1.499972472e+03,-2.366931509e+03
-7.333333333e-06,1.499977824e+03,-2.693687124e+03
-5.222222222e-06,1.499983804e+03,-2.961274455e+03
-3.111111111e-06,1.499990291e+03,-3.181790869e+03
-1.000000000e-06,1.499997206e+03,-3.239192235e+03
1.111111111e-06,1.445261535e+03,4.898484345e+07
3.222222222e-06,1.344453113e+03,4.612168073e+07
5.333333333e-06,1.251745362e+03,4.152902607e+07
7.444444444e-06,1.169448656e+03,3.643562610e+07
9.555555556e-06,1.097686964e+03,3.163721531e+07
1.166666667e-05,1.035425091e+03,2.746103840e+07
1.377777778e-05,9.812654026e+02,2.395622423e+07
1.588888889e-05,9.338513669e+02,2.105481145e+07
1.800000000e-05,8.920129419e+02,1.865718326e+07
2.011111111e-05,8.547899927e+02,1.666735368e+07
2.222222222e-05,8.214102836e+02,1.500403876e+07
2.433333333e-05,7.912561242e+02,1.360192940e+07
2.644444444e-05,7.638325013e+02,1.240967668e+07
