r,z,V,Er,Ez,Emag
0.000000000e+00,2.800000000e-04,1.568515232e+02,-4.650641531e-12,8.153462250e+05,8.153462250e+05
2.250000000e-06,2.800000000e-04,1.568475231e+02,3.555568561e+03,8.153173224e+05,8.153250752e+05
4.500000000e-06,2.800000000e-04,1.568355242e+02,7.109771554e+03,8.152306330e+05,8.152616352e+05
6.750000000e-06,2.800000000e-04,1.568155312e+02,1.066124486e+04,8.150862130e+05,8.151559340e+05
9.000000000e-06,2.800000000e-04,1.567875517e+02,1.420862727e+04,8.148841552e+05,8.150080192e+05
1.125000000e-05,2.800000000e-04,1.567515964e+02,1.775056192e+04,8.146245897e+05,8.148179579e+05
1.350000000e-05,2.800000000e-04,1.567076792e+02,2.128569771e+04,8.143076831e+05,8.145858357e+05
1.575000000e-05,2.800000000e-04,1.566558169e+02,2.481269076e+04,8.139336388e+05,8.143117572e+05
1.800000000e-05,2.800000000e-04,1.565960292e+02,2.833020577e+04,8.135026956e+05,8.139958454e+05
2.025000000e-05,2.800000000e-04,1.565283391e+02,3.183691744e+04,8.130151284e+05,8.136382416e+05
2.250000000e-05,2.800000000e-04,1.564527722e+02,3.533151183e+04,8.124712467e+05,8.132391054e+05
2.475000000e-05,2.800000000e-04,1.563693573e+02,3.881268765e+04,8.118713948e+05,8.127986137e+05
2.700000000e-05,2.800000000e-04,1.562781261e+02,4.227915763e+04,8.112159506e+05,8.123169614e+05
2.925000000e-05,2.800000000e-04,1.561791131e+02,4.572964978e+04,8.105053250e+05,8.117943599e+05
3.150000000e-05,2.800000000e-04,1.560723556e+02,4.916290862e+04,8.097399615e+05,8.112310379e+05
3.375000000e-05,2.800000000e-04,1.559578939e+02,5.257769637e+04,8.089203347e+05,8.106272398e+05
3.600000000e-05,2.800000000e-04,1.558357708e+02,5.597279420e+04,8.080469500e+05,8.099832265e+05
3.825000000e-05,2.800000000e-04,1.557060320e+02,5.934700326e+04,8.071203427e+05,8.092992737e+05
4.050000000e-05,2.800000000e-04,1.555687258e+02,6.269914585e+04,8.061410765e+05,8.085756725e+05
4.275000000e-05,2.800000000e-04,1.554239032e+02,6.602806644e+04,8.051097429e+05,8.078127281e+05
4.500000000e-05,2.800000000e-04,1.552716178e+02,6.933263264e+04,8.040269601e+05,8.070107599e+05
4.725000000e-05,2.800000000e-04,1.551119255e+02,7.261173620e+04,8.028933718e+05,8.061701004e+05
4.950000000e-05,2.800000000e-04,1.549448849e+02,7.586429389e+04,8.017096461e+05,8.052910950e+05
5.175000000e-05,2.800000000e-04,1.547705568e+02,7.908924837e+04,8.004764743e+05,8.043741015e+05
5.400000000e-05,2.800000000e-04,1.545890047e+02,8.228556898e+04,7.991945700e+05,8.034194892e+05
5.625000000e-05,2.800000000e-04,1.544002940e+02,8.545225253e+04,7.978646674e+05,8.024276385e+05
5.850000000e-05,2.800000000e-04,1.542044925e+02,8.858832396e+04,7.964875206e+05,8.013989403e+05
6.075000000e-05,2.800000000e-04,1.540016702e+02,9.169283702e+04,7.950639018e+05,8.003337955e+05
6.300000000e-05,2.800000000e-04,1.537918991e+02,9.476487489e+04,7.935946005e+05,7.992326141e+05
6.525000000e-05,2.800000000e-04,1.535752533e+02,9.780355070e+04,7.920804221e+05,7.980958148e+05
6.750000000e-05,2.800000000e-04,1.533518088e+02,1.008080080e+05,7.905221865e+05,7.969238244e+05
6.975000000e-05,2.800000000e-04,1.531216436e+02,1.037774214e+05,7.889207270e+05,7.957170770e+05
7.200000000e-05,2.800000000e-04,1.528848373e+02,1.067109966e+05,7.872768889e+05,7.944760138e+05
7.425000000e-05,2.800000000e-04,1.526414715e+02,1.096079711e+05,7.855915282e+05,7.932010820e+05
7.650000000e-05,2.800000000e-04,1.523916294e+02,1.124676143e+05,7.838655106e+05,7.918927345e+05
7.875000000e-05,2.800000000e-04,1.521353958e+02,1.152892279e+05,7.820997099e+05,7.905514292e+05
8.100000000e-05,2.800000000e-04,1.518728569e+02,1.180721458e+05,7.802950069e+05,7.891776286e+05
8.325000000e-05,2.800000000e-04,1.516041006e+02,1.208157347e+05,7.784522884e+05,7.877717989e+05
8.550000000e-05,2.800000000e-04,1.513292161e+02,1.235193938e+05,7.765724456e+05,7.863344098e+05
8.775000000e-05,2.800000000e-04,1.510482937e+02,1.261825550e+05,7.746563733e+05,7.848659337e+05
9.000000000e-05,2.800000000e-04,1.507614253e+02,1.288046831e+05,7.727049685e+05,7.833668456e+05
9.225000000e-05,2.800000000e-04,1.504687038e+02,1.313852755e+05,7.707191292e+05,7.818376217e+05
9.450000000e-05,2.800000000e-04,1.501702231e+02,1.339238625e+05,7.686997537e+05,7.802787401e+05
9.675000000e-05,2.800000000e-04,1.498660783e+02,1.364200066e+05,7.666477392e+05,7.786906794e+05
9.900000000e-05,2.800000000e-04,1.495563652e+02,1.388733030e+05,7.645639808e+05,7.770739186e+05
1.012500000e-04,2.800000000e-04,1.492411808e+02,1.412833791e+05,7.624493706e+05,7.754289368e+05
1.035000000e-04,2.800000000e-04,1.489206227e+02,1.436498943e+05,7.603047968e+05,7.737562124e+05
1.057500000e-04,2.800000000e-04,1.485947892e+02,1.459725399e+05,7.581311426e+05,7.720562232e+05
1.080000000e-04,2.800000000e-04,1.482637794e+02,1.482510385e+05,7.559292855e+05,7.703294458e+05
