# closed meridian loops; loop 0 is the outer contour, >0 are holes
region,loop,i,r_m,z_m
emitter_solid,0,0,2.000000000e-05,-4.000000000e-04
emitter_solid,0,1,2.000000000e-05,-6.000000000e-05
emitter_solid,0,2,1.000000000e-05,0.000000000e+00
emitter_solid,0,3,5.000000000e-06,0.000000000e+00
emitter_solid,0,4,5.000000000e-06,-4.000000000e-04
liquid,0,0,0.000000000e+00,-4.000000000e-04
liquid,0,1,5.000000000e-06,-4.000000000e-04
liquid,0,2,5.000000000e-06,0.000000000e+00
liquid,0,3,0.000000000e+00,0.000000000e+00
extractor_solid,0,0,2.000000000e-04,5.000000000e-04
extractor_solid,0,1,2.000000000e-03,5.000000000e-04
extractor_solid,0,2,2.000000000e-03,6.000000000e-04
extractor_solid,0,3,2.000000000e-04,6.000000000e-04
vacuum,0,0,0.000000000e+00,-4.000000000e-04
vacuum,0,1,3.000000000e-03,-4.000000000e-04
vacuum,0,2,3.000000000e-03,1.500000000e-03
vacuum,0,3,0.000000000e+00,1.500000000e-03
vacuum,1,0,2.000000000e-05,-4.000000000e-04
vacuum,1,1,2.000000000e-05,-6.000000000e-05
vacuum,1,2,1.000000000e-05,0.000000000e+00
vacuum,1,3,5.000000000e-06,0.000000000e+00
vacuum,1,4,5.000000000e-06,-4.000000000e-04
vacuum,2,0,0.000000000e+00,-4.000000000e-04
vacuum,2,1,5.000000000e-06,-4.000000000e-04
vacuum,2,2,5.000000000e-06,0.000000000e+00
vacuum,2,3,0.000000000e+00,0.000000000e+00
vacuum,3,0,2.000000000e-04,5.000000000e-04
vacuum,3,1,2.000000000e-03,5.000000000e-04
vacuum,3,2,2.000000000e-03,6.000000000e-04
vacuum,3,3,2.000000000e-04,6.000000000e-04
