r,z,V,Er,Ez,Emag
0.000000000e+00,-8.400000000e-04,7.903428412e+02,-5.579493284e-11,-8.679303404e+06,8.679303404e+06
3.125000000e-07,-8.400000000e-04,7.903368239e+02,3.850963837e+04,-8.679034742e+06,8.679120177e+06
6.250000000e-07,-8.400000000e-04,7.903187734e+02,7.701233443e+04,-8.678228818e+06,8.678570522e+06
9.375000000e-07,-8.400000000e-04,7.902886927e+02,1.155011467e+05,-8.676885811e+06,8.677654515e+06
1.250000000e-06,-8.400000000e-04,7.902465873e+02,1.539691355e+05,-8.675006022e+06,8.676372282e+06
1.562500000e-06,-8.400000000e-04,7.901924649e+02,1.924093636e+05,-8.672589873e+06,8.674724000e+06
1.875000000e-06,-8.400000000e-04,7.901263351e+02,2.308148975e+05,-8.669637906e+06,8.672709895e+06
2.187500000e-06,-8.400000000e-04,7.900482099e+02,2.691788079e+05,-8.666150783e+06,8.670330249e+06
2.500000000e-06,-8.400000000e-04,7.899581034e+02,3.074941711e+05,-8.662129289e+06,8.667585390e+06
2.812500000e-06,-8.400000000e-04,7.898560318e+02,3.457540697e+05,-8.657574332e+06,8.664475702e+06
3.125000000e-06,-8.400000000e-04,7.897420136e+02,3.839515938e+05,-8.652486940e+06,8.661001621e+06
3.437500000e-06,-8.400000000e-04,7.896160693e+02,4.220798420e+05,-8.646868266e+06,8.657163635e+06
3.750000000e-06,-8.400000000e-04,7.894782216e+02,4.601319227e+05,-8.640719585e+06,8.652962287e+06
4.062500000e-06,-8.400000000e-04,7.893284955e+02,4.981009551e+05,-8.634042299e+06,8.648398174e+06
4.375000000e-06,-8.400000000e-04,7.891669179e+02,5.359800709e+05,-8.626837931e+06,8.643471949e+06
4.687500000e-06,-8.400000000e-04,7.889935180e+02,5.737624151e+05,-8.619108135e+06,8.638184320e+06
5.000000000e-06,-8.400000000e-04,7.888083272e+02,6.114411480e+05,-8.610854687e+06,8.632536053e+06
5.312500000e-06,-8.400000000e-04,7.886113788e+02,6.490094465e+05,-8.602079493e+06,8.626527973e+06
5.625000000e-06,-8.400000000e-04,7.884027085e+02,6.864605057e+05,-8.592784587e+06,8.620160960e+06
5.937500000e-06,-8.400000000e-04,7.881823539e+02,7.237875404e+05,-8.582972132e+06,8.613435959e+06
6.250000000e-06,-8.400000000e-04,7.879503549e+02,7.609837876e+05,-8.572644421e+06,8.606353972e+06
6.562500000e-06,-8.400000000e-04,7.877067534e+02,7.980425077e+05,-8.561803878e+06,8.598916065e+06
6.875000000e-06,-8.400000000e-04,7.874515934e+02,8.349569867e+05,-8.550453059e+06,8.591123366e+06
7.187500000e-06,-8.400000000e-04,7.871849210e+02,8.717205387e+05,-8.538594652e+06,8.582977067e+06
7.500000000e-06,-8.400000000e-04,7.869067844e+02,9.083265074e+05,-8.526231478e+06,8.574478425e+06
7.812500000e-06,-8.400000000e-04,7.866172340e+02,9.447682692e+05,-8.513366494e+06,8.565628766e+06
8.125000000e-06,-8.400000000e-04,7.863163221e+02,9.810392349e+05,-8.500002791e+06,8.556429479e+06
8.437500000e-06,-8.400000000e-04,7.860041030e+02,1.017132853e+06,-8.486143594e+06,8.546882024e+06
8.750000000e-06,-8.400000000e-04,7.856806332e+02,1.053042611e+06,-8.471792266e+06,8.536987931e+06
9.062500000e-06,-8.400000000e-04,7.853459712e+02,1.088762040e+06,-8.456952307e+06,8.526748800e+06
9.375000000e-06,-8.400000000e-04,7.850001774e+02,1.124284717e+06,-8.441627353e+06,8.516166302e+06
9.687500000e-06,-8.400000000e-04,7.846433144e+02,1.159604265e+06,-8.425821178e+06,8.505242182e+06
1.000000000e-05,-8.400000000e-04,7.842754465e+02,1.194714360e+06,-8.409537695e+06,8.493978258e+06
1.031250000e-05,-8.400000000e-04,7.838966404e+02,1.229608733e+06,-8.392780954e+06,8.482376423e+06
1.062500000e-05,-8.400000000e-04,7.835069642e+02,1.264281173e+06,-8.375555144e+06,8.470438646e+06
1.093750000e-05,-8.400000000e-04,7.831064884e+02,1.298725527e+06,-8.357864592e+06,8.458166972e+06
1.125000000e-05,-8.400000000e-04,7.826952851e+02,1.332935710e+06,-8.339713762e+06,8.445563524e+06
1.156250000e-05,-8.400000000e-04,7.822734286e+02,1.366905702e+06,-8.321107257e+06,8.432630502e+06
1.187500000e-05,-8.400000000e-04,7.818409947e+02,1.400629556e+06,-8.302049818e+06,8.419370186e+06
1.218750000e-05,-8.400000000e-04,7.813980614e+02,1.434101398e+06,-8.282546321e+06,8.405784936e+06
1.250000000e-05,-8.400000000e-04,7.809447082e+02,1.467315435e+06,-8.262601780e+06,8.391877190e+06
1.281250000e-05,-8.400000000e-04,7.804810167e+02,1.500265954e+06,-8.242221344e+06,8.377649468e+06
1.312500000e-05,-8.400000000e-04,7.800070700e+02,1.532947328e+06,-8.221410294e+06,8.363104372e+06
1.343750000e-05,-8.400000000e-04,7.795229532e+02,1.565354019e+06,-8.200174048e+06,8.348244583e+06
1.375000000e-05,-8.400000000e-04,7.790287529e+02,1.597480584e+06,-8.178518152e+06,8.333072865e+06
1.406250000e-05,-8.400000000e-04,7.785245576e+02,1.629321675e+06,-8.156448284e+06,8.317592063e+06
1.437500000e-05,-8.400000000e-04,7.780104572e+02,1.660872046e+06,-8.133970250e+06,8.301805103e+06
1.468750000e-05,-8.400000000e-04,7.774865434e+02,1.692126553e+06,-8.111089983e+06,8.285714995e+06
1.500000000e-05,-8.400000000e-04,7.769529094e+02,1.723080164e+06,-8.087813541e+06,8.269324828e+06
1.531250000e-05,-8.400000000e-04,7.764096501e+02,1.753727955e+06,-8.064147102e+06,8.252637774e+06
1.562500000e-05,-8.400000000e-04,7.758568618e+02,1.784065119e+06,-8.040096966e+06,8.235657082e+06
1.593750000e-05,-8.400000000e-04,7.752946423e+02,1.814086969e+06,-8.015669550e+06,8.218386087e+06
1.625000000e-05,-8.400000000e-04,7.747230908e+02,1.843788939e+06,-7.990871384e+06,8.200828198e+06
1.656250000e-05,-8.400000000e-04,7.741423080e+02,1.873166591e+06,-7.965709110e+06,8.182986906e+06
1.687500000e-05,-8.400000000e-04,7.735523959e+02,1.902215613e+06,-7.940189479e+06,8.164865780e+06
1.718750000e-05,-8.400000000e-04,7.729534579e+02,1.930931831e+06,-7.914319346e+06,8.146468464e+06
1.750000000e-05,-8.400000000e-04,7.723455986e+02,1.959311202e+06,-7.888105666e+06,8.127798680e+06
1.781250000e-05,-8.400000000e-04,7.717289239e+02,1.987349825e+06,-7.861555495e+06,8.108860224e+06
1.812500000e-05,-8.400000000e-04,7.711035408e+02,2.015043941e+06,-7.834675980e+06,8.089656964e+06
1.843750000e-05,-8.400000000e-04,7.704695577e+02,2.042389936e+06,-7.807474359e+06,8.070192842e+06
1.875000000e-05,-8.400000000e-04,7.698270837e+02,2.069384343e+06,-7.779957954e+06,8.050471869e+06
1.906250000e-05,-8.400000000e-04,7.691762294e+02,2.096023846e+06,-7.752134169e+06,8.030498126e+06
1.937500000e-05,-8.400000000e-04,7.685171061e+02,2.122305283e+06,-7.724010487e+06,8.010275758e+06
1.968750000e-05,-8.400000000e-04,7.678498262e+02,2.148225646e+06,-7.695594459e+06,7.989808978e+06
2.000000000e-05,-8.400000000e-04,7.671745030e+02,2.173782084e+06,-7.666893706e+06,7.969102061e+06
2.031250000e-05,-8.400000000e-04,7.664912506e+02,2.198971908e+06,-7.637915912e+06,7.948159342e+06
2.062500000e-05,-8.400000000e-04,7.658001840e+02,2.223792588e+06,-7.608668816e+06,7.926985216e+06
2.093750000e-05,-8.400000000e-04,7.651014190e+02,2.248241756e+06,-7.579160212e+06,7.905584134e+06
2.125000000e-05,-8.400000000e-04,7.643950719e+02,2.272317211e+06,-7.549397940e+06,7.883960601e+06
2.156250000e-05,-8.400000000e-04,7.636812598e+02,2.296016916e+06,-7.519389882e+06,7.862119172e+06
2.187500000e-05,-8.400000000e-04,7.629601006e+02,2.319339001e+06,-7.489143958e+06,7.840064453e+06
2.218750000e-05,-8.400000000e-04,7.622317125e+02,2.342281763e+06,-7.458668119e+06,7.817801095e+06
2.250000000e-05,-8.400000000e-04,7.614962142e+02,2.364843667e+06,-7.427970340e+06,7.795333793e+06
2.281250000e-05,-8.400000000e-04,7.607537250e+02,2.387023348e+06,-7.397058620e+06,7.772667283e+06
2.312500000e-05,-8.400000000e-04,7.600043645e+02,2.408819608e+06,-7.365940970e+06,7.749806338e+06
2.343750000e-05,-8.400000000e-04,7.592482528e+02,2.430231420e+06,-7.334625413e+06,7.726755768e+06
2.375000000e-05,-8.400000000e-04,7.584855100e+02,2.451257923e+06,-7.303119973e+06,7.703520412e+06
2.406250000e-05,-8.400000000e-04,7.577162568e+02,2.471898426e+06,-7.271432676e+06,7.680105142e+06
2.437500000e-05,-8.400000000e-04,7.569406138e+02,2.492152406e+06,-7.239571538e+06,7.656514851e+06
2.468750000e-05,-8.400000000e-04,7.561587018e+02,2.512019506e+06,-7.207544565e+06,7.632754460e+06
2.500000000e-05,-8.400000000e-04,7.553706419e+02,2.531499536e+06,-7.175359743e+06,7.608828907e+06
2.531250000e-05,-8.400000000e-04,7.545765550e+02,2.550592470e+06,-7.143025036e+06,7.584743148e+06
2.562500000e-05,-8.400000000e-04,7.537765619e+02,2.569298446e+06,-7.110548380e+06,7.560502151e+06
2.593750000e-05,-8.400000000e-04,7.529707837e+02,2.587617762e+06,-7.077937676e+06,7.536110895e+06
2.625000000e-05,-8.400000000e-04,7.521593411e+02,2.605550880e+06,-7.045200785e+06,7.511574368e+06
2.656250000e-05,-8.400000000e-04,7.513423546e+02,2.623098416e+06,-7.012345527e+06,7.486897561e+06
2.687500000e-05,-8.400000000e-04,7.505199446e+02,2.640261144e+06,-6.979379669e+06,7.462085465e+06
2.718750000e-05,-8.400000000e-04,7.496922313e+02,2.657039994e+06,-6.946310928e+06,7.437143070e+06
2.750000000e-05,-8.400000000e-04,7.488593345e+02,2.673436042e+06,-6.913146960e+06,7.412075361e+06
2.781250000e-05,-8.400000000e-04,7.480213736e+02,2.689450518e+06,-6.879895357e+06,7.386887315e+06
2.812500000e-05,-8.400000000e-04,7.471784675e+02,2.705084795e+06,-6.846563644e+06,7.361583897e+06
2.843750000e-05,-8.400000000e-04,7.463307350e+02,2.720340390e+06,-6.813159274e+06,7.336170058e+06
2.875000000e-05,-8.400000000e-04,7.454782941e+02,2.735218959e+06,-6.779689622e+06,7.310650732e+06
2.906250000e-05,-8.400000000e-04,7.446212623e+02,2.749722297e+06,-6.746161984e+06,7.285030832e+06
2.937500000e-05,-8.400000000e-04,7.437597565e+02,2.763852331e+06,-6.712583569e+06,7.259315249e+06
2.968750000e-05,-8.400000000e-04,7.428938932e+02,2.777611118e+06,-6.678961501e+06,7.233508848e+06
3.000000000e-05,-8.400000000e-04,7.420237880e+02,2.791000842e+06,-6.645302808e+06,7.207616465e+06
3.031250000e-05,-8.400000000e-04,7.411495559e+02,2.804023811e+06,-6.611614425e+06,7.181642906e+06
3.062500000e-05,-8.400000000e-04,7.402713111e+02,2.816682452e+06,-6.577903186e+06,7.155592943e+06
3.093750000e-05,-8.400000000e-04,7.393891671e+02,2.828979305e+06,-6.544175826e+06,7.129471310e+06
3.125000000e-05,-8.400000000e-04,7.385032364e+02,2.840917027e+06,-6.510438972e+06,7.103282703e+06
3.156250000e-05,-8.400000000e-04,7.376136310e+02,2.852498377e+06,-6.476699145e+06,7.077031779e+06
3.187500000e-05,-8.400000000e-04,7.367204618e+02,2.863726222e+06,-6.442962754e+06,7.050723149e+06
3.218750000e-05,-8.400000000e-04,7.358238387e+02,2.874603527e+06,-6.409236098e+06,7.024361380e+06
3.250000000e-05,-8.400000000e-04,7.349238708e+02,2.885133355e+06,-6.375525357e+06,6.997950990e+06
3.281250000e-05,-8.400000000e-04,7.340206662e+02,2.895318857e+06,-6.341836597e+06,6.971496447e+06
3.312500000e-05,-8.400000000e-04,7.331143320e+02,2.905163275e+06,-6.308175764e+06,6.945002169e+06
3.343750000e-05,-8.400000000e-04,7.322049743e+02,2.914669933e+06,-6.274548683e+06,6.918472519e+06
3.375000000e-05,-8.400000000e-04,7.312926981e+02,2.923842235e+06,-6.240961057e+06,6.891911806e+06
3.406250000e-05,-8.400000000e-04,7.303776074e+02,2.932683661e+06,-6.207418465e+06,6.865324279e+06
3.437500000e-05,-8.400000000e-04,7.294598049e+02,2.941197760e+06,-6.173926362e+06,6.838714133e+06
3.468750000e-05,-8.400000000e-04,7.285393925e+02,2.949388151e+06,-6.140490076e+06,6.812085498e+06
3.500000000e-05,-8.400000000e-04,7.276164707e+02,2.957258513e+06,-6.107114808e+06,6.785442446e+06
3.531250000e-05,-8.400000000e-04,7.266911389e+02,2.964812588e+06,-6.073805633e+06,6.758788985e+06
3.562500000e-05,-8.400000000e-04,7.257634954e+02,2.972054169e+06,-6.040567497e+06,6.732129059e+06
3.593750000e-05,-8.400000000e-04,7.248336372e+02,2.978987102e+06,-6.007405218e+06,6.705466547e+06
