# massstaebliche Meridianumrisse aller verglichenen Varianten
variant,name,i,r_m,z_m
plenum_c_halb,liquid,5,5.000000000e-06,-2.000000000e-04
plenum_c_halb,liquid,6,5.000000000e-06,0.000000000e+00
plenum_c_halb,liquid,7,0.000000000e+00,0.000000000e+00
plenum_c_halb,reservoir_dielectric,0,5.000000000e-06,-3.500000000e-03
plenum_c_halb,reservoir_dielectric,1,5.500000000e-03,-3.500000000e-03
plenum_c_halb,reservoir_dielectric,2,5.500000000e-03,-2.000000000e-04
plenum_c_halb,reservoir_dielectric,3,5.000000000e-06,-2.000000000e-04
plenum_c_halb,reservoir_dielectric,4,5.000000000e-06,-5.000000000e-04
plenum_c_halb,reservoir_dielectric,5,5.000000000e-03,-5.000000000e-04
plenum_c_halb,reservoir_dielectric,6,5.000000000e-03,-3.000000000e-03
plenum_c_halb,reservoir_dielectric,7,5.000000000e-06,-3.000000000e-03
