# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
0.0000000e+00,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
3.3472803e-06,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
6.6945607e-06,-2.3000000e-04,1.4904007e+03,4.8966221e+06,reservoir_solid
1.0041841e-05,-2.3000000e-04,1.4770385e+03,3.2717455e+06,reservoir_solid
1.3389121e-05,-2.3000000e-04,1.4675252e+03,2.4791644e+06,reservoir_solid
1.6736402e-05,-2.3000000e-04,1.4600923e+03,1.9939850e+06,reservoir_solid
2.0083682e-05,-2.3000000e-04,1.4539866e+03,1.6759454e+06,reservoir_solid
2.3430962e-05,-2.3000000e-04,1.4487787e+03,1.4515445e+06,reservoir_solid
2.6778243e-05,-2.3000000e-04,1.4442222e+03,1.2883909e+06,reservoir_solid
3.0125523e-05,-2.3000000e-04,1.4401592e+03,1.1603125e+06,reservoir_solid
3.3472803e-05,-2.3000000e-04,1.4364847e+03,1.0597727e+06,reservoir_solid
3.6820084e-05,-2.3000000e-04,1.4331292e+03,9.7853135e+05,reservoir_solid
4.0167364e-05,-2.3000000e-04,1.4300348e+03,9.1149927e+05,reservoir_solid
4.3514644e-05,-2.3000000e-04,1.4271618e+03,8.5543503e+05,reservoir_solid
4.6861925e-05,-2.3000000e-04,1.4244820e+03,8.0814245e+05,reservoir_solid
5.0209205e-05,-2.3000000e-04,1.4219651e+03,7.6774565e+05,reservoir_solid
5.3556485e-05,-2.3000000e-04,1.4196038e+03,7.3338276e+05,reservoir_solid
5.6903766e-05,-2.3000000e-04,1.4173665e+03,7.0360523e+05,reservoir_solid
6.0251046e-05,-2.3000000e-04,1.4152468e+03,6.7789413e+05,reservoir_solid
6.3598326e-05,-2.3000000e-04,1.4132369e+03,6.5568740e+05,reservoir_solid
6.6945607e-05,-2.3000000e-04,1.4113281e+03,6.3650007e+05,reservoir_solid
7.0292887e-05,-2.3000000e-04,1.4095109e+03,6.1987902e+05,reservoir_solid
7.3640167e-05,-2.3000000e-04,1.4077746e+03,6.0540444e+05,reservoir_solid
7.6987448e-05,-2.3000000e-04,1.4061083e+03,5.9272688e+05,reservoir_solid
8.0334728e-05,-2.3000000e-04,1.4045001e+03,5.8155185e+05,reservoir_solid
8.3682008e-05,-2.3000000e-04,1.4029810e+03,5.7213075e+05,reservoir_solid
8.7029289e-05,-2.3000000e-04,1.4015115e+03,5.6381083e+05,reservoir_solid
9.0376569e-05,-2.3000000e-04,1.4000849e+03,5.5646300e+05,reservoir_solid
9.3723849e-05,-2.3000000e-04,1.3987377e+03,5.5032809e+05,reservoir_solid
9.7071130e-05,-2.3000000e-04,1.3974074e+03,5.4476322e+05,reservoir_solid
1.0041841e-04,-2.3000000e-04,1.3961598e+03,5.4021356e+05,reservoir_solid
1.0376569e-04,-2.3000000e-04,1.3949196e+03,5.3606850e+05,reservoir_solid
1.0711297e-04,-2.3000000e-04,1.3937580e+03,5.3272149e+05,reservoir_solid
1.1046025e-04,-2.3000000e-04,1.3925964e+03,5.2967594e+05,reservoir_solid
1.1380753e-04,-2.3000000e-04,1.3915123e+03,5.2727548e+05,reservoir_solid
1.1715481e-04,-2.3000000e-04,1.3904344e+03,5.2514852e+05,reservoir_solid
1.2050209e-04,-2.3000000e-04,1.3894024e+03,5.2345884e+05,reservoir_solid
1.2384937e-04,-2.3000000e-04,1.3884051e+03,5.2210489e+05,reservoir_solid
1.2719665e-04,-2.3000000e-04,1.3874094e+03,5.2093150e+05,reservoir_solid
1.3054393e-04,-2.3000000e-04,1.3864849e+03,5.2002466e+05,reservoir_solid
1.3389121e-04,-2.3000000e-04,1.3855604e+03,5.1927755e+05,reservoir_solid
1.3723849e-04,-2.3000000e-04,1.3846724e+03,5.1872277e+05,reservoir_solid
1.4058577e-04,-2.3000000e-04,1.3838090e+03,5.1833191e+05,reservoir_solid
1.4393305e-04,-2.3000000e-04,1.3829648e+03,5.1808623e+05,reservoir_solid
1.4728033e-04,-2.3000000e-04,1.3821525e+03,5.1797560e+05,reservoir_solid
1.5062762e-04,-2.3000000e-04,1.3813548e+03,5.1797904e+05,reservoir_solid
1.5397490e-04,-2.3000000e-04,1.3805855e+03,5.1808338e+05,reservoir_solid
1.5732218e-04,-2.3000000e-04,1.3798338e+03,5.1827703e+05,reservoir_solid
1.6066946e-04,-2.3000000e-04,1.3791012e+03,5.1854940e+05,reservoir_solid
1.6401674e-04,-2.3000000e-04,1.3783929e+03,5.1888529e+05,reservoir_solid
1.6736402e-04,-2.3000000e-04,1.3776975e+03,5.1928567e+05,reservoir_solid
1.7071130e-04,-2.3000000e-04,1.3770238e+03,5.1973333e+05,reservoir_solid
1.7405858e-04,-2.3000000e-04,1.3763684e+03,5.2022338e+05,reservoir_solid
1.7740586e-04,-2.3000000e-04,1.3757281e+03,5.2075360e+05,reservoir_solid
1.8075314e-04,-2.3000000e-04,1.3751037e+03,5.2131663e+05,reservoir_solid
1.8410042e-04,-2.3000000e-04,1.3744953e+03,5.2190652e+05,reservoir_solid
1.8744770e-04,-2.3000000e-04,1.3739027e+03,5.2251842e+05,reservoir_solid
1.9079498e-04,-2.3000000e-04,1.3733252e+03,5.2314846e+05,reservoir_solid
1.9414226e-04,-2.3000000e-04,1.3727617e+03,5.2379456e+05,reservoir_solid
1.9748954e-04,-2.3000000e-04,1.3722114e+03,5.2445423e+05,reservoir_solid
2.0083682e-04,-2.3000000e-04,1.3716754e+03,5.2515439e+05,reservoir_solid
2.0418410e-04,-2.3000000e-04,1.3711520e+03,5.2583247e+05,reservoir_solid
2.0753138e-04,-2.3000000e-04,1.3706406e+03,5.2651266e+05,reservoir_solid
2.1087866e-04,-2.3000000e-04,1.3701424e+03,5.2719409e+05,reservoir_solid
2.1422594e-04,-2.3000000e-04,1.3696557e+03,5.2787741e+05,reservoir_solid
2.1757322e-04,-2.3000000e-04,1.3691800e+03,5.2856195e+05,reservoir_solid
2.2092050e-04,-2.3000000e-04,1.3687164e+03,5.2924291e+05,reservoir_solid
2.2426778e-04,-2.3000000e-04,1.3682641e+03,5.2992026e+05,reservoir_solid
2.2761506e-04,-2.3000000e-04,1.3678217e+03,5.3059537e+05,reservoir_solid
2.3096234e-04,-2.3000000e-04,1.3673878e+03,5.3127021e+05,reservoir_solid
2.3430962e-04,-2.3000000e-04,1.3669657e+03,5.3193547e+05,reservoir_solid
2.3765690e-04,-2.3000000e-04,1.3665537e+03,5.3259364e+05,reservoir_solid
2.4100418e-04,-2.3000000e-04,1.3661467e+03,5.3325615e+05,reservoir_solid
2.4435146e-04,-2.3000000e-04,1.3657556e+03,5.3389462e+05,reservoir_solid
2.4769874e-04,-2.3000000e-04,1.3653675e+03,5.3454082e+05,reservoir_solid
2.5104603e-04,-2.3000000e-04,1.3649929e+03,5.3516693e+05,reservoir_solid
2.5439331e-04,-2.3000000e-04,1.3646215e+03,5.3579810e+05,reservoir_solid
2.5774059e-04,-2.3000000e-04,1.3642639e+03,5.3640606e+05,reservoir_solid
2.6108787e-04,-2.3000000e-04,1.3639067e+03,5.3702512e+05,reservoir_solid
2.6443515e-04,-2.3000000e-04,1.3635666e+03,5.3761156e+05,reservoir_solid
2.6778243e-04,-2.3000000e-04,1.3632265e+03,5.3820865e+05,reservoir_solid
2.7112971e-04,-2.3000000e-04,1.3628982e+03,5.3878556e+05,reservoir_solid
2.7447699e-04,-2.3000000e-04,1.3625761e+03,5.3935550e+05,reservoir_solid
2.7782427e-04,-2.3000000e-04,1.3622551e+03,5.3993171e+05,reservoir_solid
2.8117155e-04,-2.3000000e-04,1.3619514e+03,5.4047151e+05,reservoir_solid
2.8451883e-04,-2.3000000e-04,1.3616477e+03,5.4101928e+05,reservoir_solid
2.8786611e-04,-2.3000000e-04,1.3613483e+03,5.4156371e+05,reservoir_solid
2.9121339e-04,-2.3000000e-04,1.3610633e+03,5.4207832e+05,reservoir_solid
2.9456067e-04,-2.3000000e-04,1.3607782e+03,5.4259971e+05,reservoir_solid
2.9790795e-04,-2.3000000e-04,1.3604959e+03,5.4312088e+05,reservoir_solid
3.0125523e-04,-2.3000000e-04,1.3602297e+03,5.4360657e+05,reservoir_solid
3.0460251e-04,-2.3000000e-04,1.3599635e+03,5.4409799e+05,reservoir_solid
3.0794979e-04,-2.3000000e-04,1.3596973e+03,5.4459513e+05,reservoir_solid
3.1129707e-04,-2.3000000e-04,1.3594458e+03,5.4506032e+05,reservoir_solid
3.1464435e-04,-2.3000000e-04,1.3591985e+03,5.4551914e+05,reservoir_solid
3.1799163e-04,-2.3000000e-04,1.3589513e+03,5.4598272e+05,reservoir_solid
3.2133891e-04,-2.3000000e-04,1.3587057e+03,5.4644703e+05,reservoir_solid
3.2468619e-04,-2.3000000e-04,1.3584774e+03,5.4687175e+05,reservoir_solid
3.2803347e-04,-2.3000000e-04,1.3582492e+03,5.4730039e+05,reservoir_solid
3.3138075e-04,-2.3000000e-04,1.3580209e+03,5.4773295e+05,reservoir_solid
3.3472803e-04,-2.3000000e-04,1.3577937e+03,5.4816670e+05,reservoir_solid
3.3807531e-04,-2.3000000e-04,1.3575843e+03,5.4855935e+05,reservoir_solid
3.4142259e-04,-2.3000000e-04,1.3573748e+03,5.4895519e+05,reservoir_solid
3.4476987e-04,-2.3000000e-04,1.3571654e+03,5.4935421e+05,reservoir_solid
3.4811715e-04,-2.3000000e-04,1.3569560e+03,5.4975640e+05,reservoir_solid
3.5146444e-04,-2.3000000e-04,1.3567588e+03,5.5013189e+05,reservoir_solid
3.5481172e-04,-2.3000000e-04,1.3565679e+03,5.5049453e+05,reservoir_solid
3.5815900e-04,-2.3000000e-04,1.3563770e+03,5.5085973e+05,reservoir_solid
3.6150628e-04,-2.3000000e-04,1.3561862e+03,5.5122749e+05,reservoir_solid
3.6485356e-04,-2.3000000e-04,1.3559953e+03,5.5159780e+05,reservoir_solid
3.6820084e-04,-2.3000000e-04,1.3558201e+03,5.5193245e+05,reservoir_solid
3.7154812e-04,-2.3000000e-04,1.3556474e+03,5.5226281e+05,reservoir_solid
3.7489540e-04,-2.3000000e-04,1.3554747e+03,5.5259518e+05,reservoir_solid
3.7824268e-04,-2.3000000e-04,1.3553021e+03,5.5292958e+05,reservoir_solid
3.8158996e-04,-2.3000000e-04,1.3551294e+03,5.5326599e+05,reservoir_solid
3.8493724e-04,-2.3000000e-04,1.3549676e+03,5.5357855e+05,reservoir_solid
3.8828452e-04,-2.3000000e-04,1.3548126e+03,5.5387630e+05,reservoir_solid
3.9163180e-04,-2.3000000e-04,1.3546577e+03,5.5417563e+05,reservoir_solid
3.9497908e-04,-2.3000000e-04,1.3545027e+03,5.5447653e+05,reservoir_solid
