# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
0.0000000e+00,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
3.3472803e-06,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
6.6945607e-06,-2.3000000e-04,1.4904037e+03,4.8950545e+06,reservoir_solid
1.0041841e-05,-2.3000000e-04,1.4770459e+03,3.2706981e+06,reservoir_solid
1.3389121e-05,-2.3000000e-04,1.4675356e+03,2.4783707e+06,reservoir_solid
1.6736402e-05,-2.3000000e-04,1.4601051e+03,1.9933468e+06,reservoir_solid
2.0083682e-05,-2.3000000e-04,1.4540013e+03,1.6754090e+06,reservoir_solid
2.3430962e-05,-2.3000000e-04,1.4487951e+03,1.4510802e+06,reservoir_solid
2.6778243e-05,-2.3000000e-04,1.4442401e+03,1.2879790e+06,reservoir_solid
3.0125523e-05,-2.3000000e-04,1.4401783e+03,1.1599418e+06,reservoir_solid
3.3472803e-05,-2.3000000e-04,1.4365050e+03,1.0594345e+06,reservoir_solid
3.6820084e-05,-2.3000000e-04,1.4331506e+03,9.7821949e+05,reservoir_solid
4.0167364e-05,-2.3000000e-04,1.4300572e+03,9.1120924e+05,reservoir_solid
4.3514644e-05,-2.3000000e-04,1.4271851e+03,8.5516334e+05,reservoir_solid
4.6861925e-05,-2.3000000e-04,1.4245062e+03,8.0788632e+05,reservoir_solid
5.0209205e-05,-2.3000000e-04,1.4219901e+03,7.6750290e+05,reservoir_solid
5.3556485e-05,-2.3000000e-04,1.4196295e+03,7.3315146e+05,reservoir_solid
5.6903766e-05,-2.3000000e-04,1.4173930e+03,7.0338394e+05,reservoir_solid
6.0251046e-05,-2.3000000e-04,1.4152740e+03,6.7768156e+05,reservoir_solid
6.3598326e-05,-2.3000000e-04,1.4132647e+03,6.5548242e+05,reservoir_solid
6.6945607e-05,-2.3000000e-04,1.4113566e+03,6.3630172e+05,reservoir_solid
7.0292887e-05,-2.3000000e-04,1.4095399e+03,6.1968648e+05,reservoir_solid
7.3640167e-05,-2.3000000e-04,1.4078042e+03,6.0521702e+05,reservoir_solid
7.6987448e-05,-2.3000000e-04,1.4061384e+03,5.9254400e+05,reservoir_solid
8.0334728e-05,-2.3000000e-04,1.4045308e+03,5.8137303e+05,reservoir_solid
8.3682008e-05,-2.3000000e-04,1.4030122e+03,5.7195540e+05,reservoir_solid
8.7029289e-05,-2.3000000e-04,1.4015432e+03,5.6363861e+05,reservoir_solid
9.0376569e-05,-2.3000000e-04,1.4001171e+03,5.5629360e+05,reservoir_solid
9.3723849e-05,-2.3000000e-04,1.3987703e+03,5.5016107e+05,reservoir_solid
9.7071130e-05,-2.3000000e-04,1.3974404e+03,5.4459844e+05,reservoir_solid
1.0041841e-04,-2.3000000e-04,1.3961932e+03,5.4005063e+05,reservoir_solid
1.0376569e-04,-2.3000000e-04,1.3949534e+03,5.3590732e+05,reservoir_solid
1.0711297e-04,-2.3000000e-04,1.3937922e+03,5.3256175e+05,reservoir_solid
1.1046025e-04,-2.3000000e-04,1.3926310e+03,5.2951758e+05,reservoir_solid
1.1380753e-04,-2.3000000e-04,1.3915474e+03,5.2711825e+05,reservoir_solid
1.1715481e-04,-2.3000000e-04,1.3904698e+03,5.2499233e+05,reservoir_solid
1.2050209e-04,-2.3000000e-04,1.3894381e+03,5.2330352e+05,reservoir_solid
1.2384937e-04,-2.3000000e-04,1.3884412e+03,5.2195032e+05,reservoir_solid
1.2719665e-04,-2.3000000e-04,1.3874459e+03,5.2077763e+05,reservoir_solid
1.3054393e-04,-2.3000000e-04,1.3865217e+03,5.1987138e+05,reservoir_solid
1.3389121e-04,-2.3000000e-04,1.3855975e+03,5.1912482e+05,reservoir_solid
1.3723849e-04,-2.3000000e-04,1.3847098e+03,5.1857051e+05,reservoir_solid
1.4058577e-04,-2.3000000e-04,1.3838468e+03,5.1818006e+05,reservoir_solid
1.4393305e-04,-2.3000000e-04,1.3830029e+03,5.1793474e+05,reservoir_solid
1.4728033e-04,-2.3000000e-04,1.3821909e+03,5.1782441e+05,reservoir_solid
1.5062762e-04,-2.3000000e-04,1.3813935e+03,5.1782812e+05,reservoir_solid
1.5397490e-04,-2.3000000e-04,1.3806245e+03,5.1793268e+05,reservoir_solid
1.5732218e-04,-2.3000000e-04,1.3798731e+03,5.1812652e+05,reservoir_solid
1.6066946e-04,-2.3000000e-04,1.3791408e+03,5.1839903e+05,reservoir_solid
1.6401674e-04,-2.3000000e-04,1.3784328e+03,5.1873504e+05,reservoir_solid
1.6736402e-04,-2.3000000e-04,1.3777376e+03,5.1913551e+05,reservoir_solid
1.7071130e-04,-2.3000000e-04,1.3770642e+03,5.1958324e+05,reservoir_solid
1.7405858e-04,-2.3000000e-04,1.3764091e+03,5.2007334e+05,reservoir_solid
1.7740586e-04,-2.3000000e-04,1.3757690e+03,5.2060358e+05,reservoir_solid
1.8075314e-04,-2.3000000e-04,1.3751448e+03,5.2116662e+05,reservoir_solid
1.8410042e-04,-2.3000000e-04,1.3745368e+03,5.2175651e+05,reservoir_solid
1.8744770e-04,-2.3000000e-04,1.3739445e+03,5.2236838e+05,reservoir_solid
1.9079498e-04,-2.3000000e-04,1.3733671e+03,5.2299839e+05,reservoir_solid
1.9414226e-04,-2.3000000e-04,1.3728040e+03,5.2364444e+05,reservoir_solid
1.9748954e-04,-2.3000000e-04,1.3722539e+03,5.2430405e+05,reservoir_solid
2.0083682e-04,-2.3000000e-04,1.3717181e+03,5.2500414e+05,reservoir_solid
2.0418410e-04,-2.3000000e-04,1.3711950e+03,5.2568214e+05,reservoir_solid
2.0753138e-04,-2.3000000e-04,1.3706838e+03,5.2636224e+05,reservoir_solid
2.1087866e-04,-2.3000000e-04,1.3701858e+03,5.2704358e+05,reservoir_solid
2.1422594e-04,-2.3000000e-04,1.3696994e+03,5.2772680e+05,reservoir_solid
2.1757322e-04,-2.3000000e-04,1.3692239e+03,5.2841123e+05,reservoir_solid
2.2092050e-04,-2.3000000e-04,1.3687605e+03,5.2909206e+05,reservoir_solid
2.2426778e-04,-2.3000000e-04,1.3683085e+03,5.2976929e+05,reservoir_solid
2.2761506e-04,-2.3000000e-04,1.3678663e+03,5.3044427e+05,reservoir_solid
2.3096234e-04,-2.3000000e-04,1.3674327e+03,5.3111898e+05,reservoir_solid
2.3430962e-04,-2.3000000e-04,1.3670108e+03,5.3178410e+05,reservoir_solid
2.3765690e-04,-2.3000000e-04,1.3665990e+03,5.3244212e+05,reservoir_solid
2.4100418e-04,-2.3000000e-04,1.3661923e+03,5.3310448e+05,reservoir_solid
2.4435146e-04,-2.3000000e-04,1.3658014e+03,5.3374280e+05,reservoir_solid
2.4769874e-04,-2.3000000e-04,1.3654135e+03,5.3438883e+05,reservoir_solid
2.5104603e-04,-2.3000000e-04,1.3650391e+03,5.3501478e+05,reservoir_solid
2.5439331e-04,-2.3000000e-04,1.3646680e+03,5.3564577e+05,reservoir_solid
2.5774059e-04,-2.3000000e-04,1.3643106e+03,5.3625355e+05,reservoir_solid
2.6108787e-04,-2.3000000e-04,1.3639536e+03,5.3687244e+05,reservoir_solid
2.6443515e-04,-2.3000000e-04,1.3636138e+03,5.3745868e+05,reservoir_solid
2.6778243e-04,-2.3000000e-04,1.3632740e+03,5.3805558e+05,reservoir_solid
2.7112971e-04,-2.3000000e-04,1.3629458e+03,5.3863229e+05,reservoir_solid
2.7447699e-04,-2.3000000e-04,1.3626240e+03,5.3920203e+05,reservoir_solid
2.7782427e-04,-2.3000000e-04,1.3623033e+03,5.3977803e+05,reservoir_solid
2.8117155e-04,-2.3000000e-04,1.3619998e+03,5.4031760e+05,reservoir_solid
2.8451883e-04,-2.3000000e-04,1.3616963e+03,5.4086515e+05,reservoir_solid
2.8786611e-04,-2.3000000e-04,1.3613972e+03,5.4140937e+05,reservoir_solid
2.9121339e-04,-2.3000000e-04,1.3611124e+03,5.4192373e+05,reservoir_solid
2.9456067e-04,-2.3000000e-04,1.3608276e+03,5.4244489e+05,reservoir_solid
2.9790795e-04,-2.3000000e-04,1.3605455e+03,5.4296582e+05,reservoir_solid
3.0125523e-04,-2.3000000e-04,1.3602795e+03,5.4345125e+05,reservoir_solid
3.0460251e-04,-2.3000000e-04,1.3600136e+03,5.4394241e+05,reservoir_solid
3.0794979e-04,-2.3000000e-04,1.3597477e+03,5.4443929e+05,reservoir_solid
3.1129707e-04,-2.3000000e-04,1.3594963e+03,5.4490420e+05,reservoir_solid
3.1464435e-04,-2.3000000e-04,1.3592494e+03,5.4536274e+05,reservoir_solid
3.1799163e-04,-2.3000000e-04,1.3590024e+03,5.4582604e+05,reservoir_solid
3.2133891e-04,-2.3000000e-04,1.3587570e+03,5.4629007e+05,reservoir_solid
3.2468619e-04,-2.3000000e-04,1.3585290e+03,5.4671446e+05,reservoir_solid
3.2803347e-04,-2.3000000e-04,1.3583010e+03,5.4714279e+05,reservoir_solid
3.3138075e-04,-2.3000000e-04,1.3580730e+03,5.4757504e+05,reservoir_solid
3.3472803e-04,-2.3000000e-04,1.3578461e+03,5.4800848e+05,reservoir_solid
3.3807531e-04,-2.3000000e-04,1.3576369e+03,5.4840077e+05,reservoir_solid
3.4142259e-04,-2.3000000e-04,1.3574278e+03,5.4879626e+05,reservoir_solid
3.4476987e-04,-2.3000000e-04,1.3572186e+03,5.4919493e+05,reservoir_solid
3.4811715e-04,-2.3000000e-04,1.3570094e+03,5.4959678e+05,reservoir_solid
3.5146444e-04,-2.3000000e-04,1.3568125e+03,5.4997190e+05,reservoir_solid
3.5481172e-04,-2.3000000e-04,1.3566219e+03,5.5033414e+05,reservoir_solid
3.5815900e-04,-2.3000000e-04,1.3564313e+03,5.5069895e+05,reservoir_solid
3.6150628e-04,-2.3000000e-04,1.3562408e+03,5.5106632e+05,reservoir_solid
3.6485356e-04,-2.3000000e-04,1.3560502e+03,5.5143624e+05,reservoir_solid
3.6820084e-04,-2.3000000e-04,1.3558752e+03,5.5177046e+05,reservoir_solid
3.7154812e-04,-2.3000000e-04,1.3557029e+03,5.5210036e+05,reservoir_solid
3.7489540e-04,-2.3000000e-04,1.3555305e+03,5.5243230e+05,reservoir_solid
3.7824268e-04,-2.3000000e-04,1.3553581e+03,5.5276625e+05,reservoir_solid
3.8158996e-04,-2.3000000e-04,1.3551858e+03,5.5310222e+05,reservoir_solid
3.8493724e-04,-2.3000000e-04,1.3550242e+03,5.5341431e+05,reservoir_solid
3.8828452e-04,-2.3000000e-04,1.3548696e+03,5.5371155e+05,reservoir_solid
3.9163180e-04,-2.3000000e-04,1.3547150e+03,5.5401037e+05,reservoir_solid
3.9497908e-04,-2.3000000e-04,1.3545604e+03,5.5431077e+05,reservoir_solid
