# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
0.0000000e+00,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
3.3472803e-06,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
6.6945607e-06,-2.3000000e-04,1.4904025e+03,4.8956594e+06,reservoir_solid
1.0041841e-05,-2.3000000e-04,1.4770430e+03,3.2711023e+06,reservoir_solid
1.3389121e-05,-2.3000000e-04,1.4675315e+03,2.4786770e+06,reservoir_solid
1.6736402e-05,-2.3000000e-04,1.4601002e+03,1.9935931e+06,reservoir_solid
2.0083682e-05,-2.3000000e-04,1.4539957e+03,1.6756160e+06,reservoir_solid
2.3430962e-05,-2.3000000e-04,1.4487888e+03,1.4512594e+06,reservoir_solid
2.6778243e-05,-2.3000000e-04,1.4442332e+03,1.2881380e+06,reservoir_solid
3.0125523e-05,-2.3000000e-04,1.4401709e+03,1.1600849e+06,reservoir_solid
3.3472803e-05,-2.3000000e-04,1.4364972e+03,1.0595651e+06,reservoir_solid
3.6820084e-05,-2.3000000e-04,1.4331423e+03,9.7833993e+05,reservoir_solid
4.0167364e-05,-2.3000000e-04,1.4300486e+03,9.1132128e+05,reservoir_solid
4.3514644e-05,-2.3000000e-04,1.4271761e+03,8.5526833e+05,reservoir_solid
4.6861925e-05,-2.3000000e-04,1.4244969e+03,8.0798533e+05,reservoir_solid
5.0209205e-05,-2.3000000e-04,1.4219805e+03,7.6759678e+05,reservoir_solid
5.3556485e-05,-2.3000000e-04,1.4196196e+03,7.3324096e+05,reservoir_solid
5.6903766e-05,-2.3000000e-04,1.4173828e+03,7.0346962e+05,reservoir_solid
6.0251046e-05,-2.3000000e-04,1.4152635e+03,6.7776391e+05,reservoir_solid
6.3598326e-05,-2.3000000e-04,1.4132540e+03,6.5556187e+05,reservoir_solid
6.6945607e-05,-2.3000000e-04,1.4113456e+03,6.3637865e+05,reservoir_solid
7.0292887e-05,-2.3000000e-04,1.4095287e+03,6.1976120e+05,reservoir_solid
7.3640167e-05,-2.3000000e-04,1.4077928e+03,6.0528980e+05,reservoir_solid
7.6987448e-05,-2.3000000e-04,1.4061268e+03,5.9261507e+05,reservoir_solid
8.0334728e-05,-2.3000000e-04,1.4045190e+03,5.8144256e+05,reservoir_solid
8.3682008e-05,-2.3000000e-04,1.4030002e+03,5.7202362e+05,reservoir_solid
8.7029289e-05,-2.3000000e-04,1.4015310e+03,5.6370566e+05,reservoir_solid
9.0376569e-05,-2.3000000e-04,1.4001047e+03,5.5635959e+05,reservoir_solid
9.3723849e-05,-2.3000000e-04,1.3987578e+03,5.5022617e+05,reservoir_solid
9.7071130e-05,-2.3000000e-04,1.3974277e+03,5.4466269e+05,reservoir_solid
1.0041841e-04,-2.3000000e-04,1.3961803e+03,5.4011419e+05,reservoir_solid
1.0376569e-04,-2.3000000e-04,1.3949404e+03,5.3597023e+05,reservoir_solid
1.0711297e-04,-2.3000000e-04,1.3937790e+03,5.3262413e+05,reservoir_solid
1.1046025e-04,-2.3000000e-04,1.3926177e+03,5.2957944e+05,reservoir_solid
1.1380753e-04,-2.3000000e-04,1.3915339e+03,5.2717969e+05,reservoir_solid
1.1715481e-04,-2.3000000e-04,1.3904562e+03,5.2505338e+05,reservoir_solid
1.2050209e-04,-2.3000000e-04,1.3894244e+03,5.2336425e+05,reservoir_solid
1.2384937e-04,-2.3000000e-04,1.3884273e+03,5.2201078e+05,reservoir_solid
1.2719665e-04,-2.3000000e-04,1.3874319e+03,5.2083783e+05,reservoir_solid
1.3054393e-04,-2.3000000e-04,1.3865076e+03,5.1993135e+05,reservoir_solid
1.3389121e-04,-2.3000000e-04,1.3855833e+03,5.1918459e+05,reservoir_solid
1.3723849e-04,-2.3000000e-04,1.3846955e+03,5.1863011e+05,reservoir_solid
1.4058577e-04,-2.3000000e-04,1.3838323e+03,5.1823950e+05,reservoir_solid
1.4393305e-04,-2.3000000e-04,1.3829883e+03,5.1799405e+05,reservoir_solid
1.4728033e-04,-2.3000000e-04,1.3821761e+03,5.1788360e+05,reservoir_solid
1.5062762e-04,-2.3000000e-04,1.3813787e+03,5.1788721e+05,reservoir_solid
1.5397490e-04,-2.3000000e-04,1.3806096e+03,5.1799169e+05,reservoir_solid
1.5732218e-04,-2.3000000e-04,1.3798580e+03,5.1818545e+05,reservoir_solid
1.6066946e-04,-2.3000000e-04,1.3791256e+03,5.1845790e+05,reservoir_solid
1.6401674e-04,-2.3000000e-04,1.3784175e+03,5.1879386e+05,reservoir_solid
1.6736402e-04,-2.3000000e-04,1.3777223e+03,5.1919429e+05,reservoir_solid
1.7071130e-04,-2.3000000e-04,1.3770487e+03,5.1964199e+05,reservoir_solid
1.7405858e-04,-2.3000000e-04,1.3763935e+03,5.2013206e+05,reservoir_solid
1.7740586e-04,-2.3000000e-04,1.3757533e+03,5.2066228e+05,reservoir_solid
1.8075314e-04,-2.3000000e-04,1.3751291e+03,5.2122531e+05,reservoir_solid
1.8410042e-04,-2.3000000e-04,1.3745209e+03,5.2181519e+05,reservoir_solid
1.8744770e-04,-2.3000000e-04,1.3739285e+03,5.2242705e+05,reservoir_solid
1.9079498e-04,-2.3000000e-04,1.3733511e+03,5.2305706e+05,reservoir_solid
1.9414226e-04,-2.3000000e-04,1.3727878e+03,5.2370311e+05,reservoir_solid
1.9748954e-04,-2.3000000e-04,1.3722377e+03,5.2436274e+05,reservoir_solid
2.0083682e-04,-2.3000000e-04,1.3717018e+03,5.2506283e+05,reservoir_solid
2.0418410e-04,-2.3000000e-04,1.3711786e+03,5.2574085e+05,reservoir_solid
2.0753138e-04,-2.3000000e-04,1.3706674e+03,5.2642096e+05,reservoir_solid
2.1087866e-04,-2.3000000e-04,1.3701693e+03,5.2710232e+05,reservoir_solid
2.1422594e-04,-2.3000000e-04,1.3696828e+03,5.2778556e+05,reservoir_solid
2.1757322e-04,-2.3000000e-04,1.3692072e+03,5.2847001e+05,reservoir_solid
2.2092050e-04,-2.3000000e-04,1.3687437e+03,5.2915087e+05,reservoir_solid
2.2426778e-04,-2.3000000e-04,1.3682916e+03,5.2982812e+05,reservoir_solid
2.2761506e-04,-2.3000000e-04,1.3678493e+03,5.3050313e+05,reservoir_solid
2.3096234e-04,-2.3000000e-04,1.3674156e+03,5.3117786e+05,reservoir_solid
2.3430962e-04,-2.3000000e-04,1.3669936e+03,5.3184301e+05,reservoir_solid
2.3765690e-04,-2.3000000e-04,1.3665818e+03,5.3250107e+05,reservoir_solid
2.4100418e-04,-2.3000000e-04,1.3661750e+03,5.3316345e+05,reservoir_solid
2.4435146e-04,-2.3000000e-04,1.3657841e+03,5.3380181e+05,reservoir_solid
2.4769874e-04,-2.3000000e-04,1.3653961e+03,5.3444787e+05,reservoir_solid
2.5104603e-04,-2.3000000e-04,1.3650216e+03,5.3507386e+05,reservoir_solid
2.5439331e-04,-2.3000000e-04,1.3646504e+03,5.3570489e+05,reservoir_solid
2.5774059e-04,-2.3000000e-04,1.3642929e+03,5.3631271e+05,reservoir_solid
2.6108787e-04,-2.3000000e-04,1.3639359e+03,5.3693163e+05,reservoir_solid
2.6443515e-04,-2.3000000e-04,1.3635959e+03,5.3751792e+05,reservoir_solid
2.6778243e-04,-2.3000000e-04,1.3632560e+03,5.3811486e+05,reservoir_solid
2.7112971e-04,-2.3000000e-04,1.3629278e+03,5.3869161e+05,reservoir_solid
2.7447699e-04,-2.3000000e-04,1.3626059e+03,5.3926140e+05,reservoir_solid
2.7782427e-04,-2.3000000e-04,1.3622851e+03,5.3983745e+05,reservoir_solid
2.8117155e-04,-2.3000000e-04,1.3619815e+03,5.4037708e+05,reservoir_solid
2.8451883e-04,-2.3000000e-04,1.3616780e+03,5.4092468e+05,reservoir_solid
2.8786611e-04,-2.3000000e-04,1.3613788e+03,5.4146894e+05,reservoir_solid
2.9121339e-04,-2.3000000e-04,1.3610939e+03,5.4198336e+05,reservoir_solid
2.9456067e-04,-2.3000000e-04,1.3608090e+03,5.4250458e+05,reservoir_solid
2.9790795e-04,-2.3000000e-04,1.3605268e+03,5.4302557e+05,reservoir_solid
3.0125523e-04,-2.3000000e-04,1.3602608e+03,5.4351106e+05,reservoir_solid
3.0460251e-04,-2.3000000e-04,1.3599948e+03,5.4400228e+05,reservoir_solid
3.0794979e-04,-2.3000000e-04,1.3597287e+03,5.4449922e+05,reservoir_solid
3.1129707e-04,-2.3000000e-04,1.3594773e+03,5.4496420e+05,reservoir_solid
3.1464435e-04,-2.3000000e-04,1.3592303e+03,5.4542281e+05,reservoir_solid
3.1799163e-04,-2.3000000e-04,1.3589832e+03,5.4588618e+05,reservoir_solid
3.2133891e-04,-2.3000000e-04,1.3587378e+03,5.4635028e+05,reservoir_solid
3.2468619e-04,-2.3000000e-04,1.3585097e+03,5.4677476e+05,reservoir_solid
3.2803347e-04,-2.3000000e-04,1.3582816e+03,5.4720317e+05,reservoir_solid
3.3138075e-04,-2.3000000e-04,1.3580535e+03,5.4763550e+05,reservoir_solid
3.3472803e-04,-2.3000000e-04,1.3578265e+03,5.4806901e+05,reservoir_solid
3.3807531e-04,-2.3000000e-04,1.3576172e+03,5.4846140e+05,reservoir_solid
3.4142259e-04,-2.3000000e-04,1.3574080e+03,5.4885698e+05,reservoir_solid
3.4476987e-04,-2.3000000e-04,1.3571987e+03,5.4925575e+05,reservoir_solid
3.4811715e-04,-2.3000000e-04,1.3569895e+03,5.4965769e+05,reservoir_solid
3.5146444e-04,-2.3000000e-04,1.3567924e+03,5.5003290e+05,reservoir_solid
3.5481172e-04,-2.3000000e-04,1.3566018e+03,5.5039526e+05,reservoir_solid
3.5815900e-04,-2.3000000e-04,1.3564111e+03,5.5076017e+05,reservoir_solid
3.6150628e-04,-2.3000000e-04,1.3562204e+03,5.5112765e+05,reservoir_solid
3.6485356e-04,-2.3000000e-04,1.3560297e+03,5.5149767e+05,reservoir_solid
3.6820084e-04,-2.3000000e-04,1.3558547e+03,5.5183202e+05,reservoir_solid
3.7154812e-04,-2.3000000e-04,1.3556822e+03,5.5216205e+05,reservoir_solid
3.7489540e-04,-2.3000000e-04,1.3555098e+03,5.5249411e+05,reservoir_solid
3.7824268e-04,-2.3000000e-04,1.3553373e+03,5.5282819e+05,reservoir_solid
3.8158996e-04,-2.3000000e-04,1.3551648e+03,5.5316428e+05,reservoir_solid
3.8493724e-04,-2.3000000e-04,1.3550032e+03,5.5347651e+05,reservoir_solid
3.8828452e-04,-2.3000000e-04,1.3548485e+03,5.5377390e+05,reservoir_solid
3.9163180e-04,-2.3000000e-04,1.3546937e+03,5.5407287e+05,reservoir_solid
3.9497908e-04,-2.3000000e-04,1.3545390e+03,5.5437341e+05,reservoir_solid
