# nur die festgehaltenen Knoten; alle uebrigen sind frei
r_m,z_m,role
0.000000000e+00,-3.000000000e-03,liquid_conductor
2.253927972e-07,-3.000000000e-03,liquid_conductor
4.710108625e-07,-3.000000000e-03,liquid_conductor
7.388114821e-07,-3.000000000e-03,liquid_conductor
1.030777353e-06,-3.000000000e-03,liquid_conductor
1.349134956e-06,-3.000000000e-03,liquid_conductor
1.696071563e-06,-3.000000000e-03,liquid_conductor
2.065284294e-06,-3.000000000e-03,liquid_conductor
2.411371865e-06,-3.000000000e-03,liquid_conductor
2.728827367e-06,-3.000000000e-03,liquid_conductor
3.019944202e-06,-3.000000000e-03,liquid_conductor
3.287031469e-06,-3.000000000e-03,liquid_conductor
3.531983203e-06,-3.000000000e-03,liquid_conductor
3.756739224e-06,-3.000000000e-03,liquid_conductor
3.962851098e-06,-3.000000000e-03,liquid_conductor
4.151964219e-06,-3.000000000e-03,liquid_conductor
4.325432522e-06,-3.000000000e-03,liquid_conductor
4.484611324e-06,-3.000000000e-03,liquid_conductor
4.630594259e-06,-3.000000000e-03,liquid_conductor
4.764494569e-06,-3.000000000e-03,liquid_conductor
4.887303601e-06,-3.000000000e-03,liquid_conductor
5.000000000e-06,-3.000000000e-03,liquid_conductor
5.344545024e-06,-3.000000000e-03,liquid_conductor
5.720728404e-06,-3.000000000e-03,liquid_conductor
6.131424688e-06,-3.000000000e-03,liquid_conductor
6.579792067e-06,-3.000000000e-03,liquid_conductor
7.069682790e-06,-3.000000000e-03,liquid_conductor
7.604221304e-06,-3.000000000e-03,liquid_conductor
8.187924336e-06,-3.000000000e-03,liquid_conductor
8.825326016e-06,-3.000000000e-03,liquid_conductor
9.521221193e-06,-3.000000000e-03,liquid_conductor
1.028089317e-05,-3.000000000e-03,liquid_conductor
1.111056343e-05,-3.000000000e-03,liquid_conductor
1.201639249e-05,-3.000000000e-03,liquid_conductor
1.298360751e-05,-3.000000000e-03,liquid_conductor
1.388943657e-05,-3.000000000e-03,liquid_conductor
1.471910683e-05,-3.000000000e-03,liquid_conductor
1.547877881e-05,-3.000000000e-03,liquid_conductor
1.617467398e-05,-3.000000000e-03,liquid_conductor
1.681207566e-05,-3.000000000e-03,liquid_conductor
1.739577870e-05,-3.000000000e-03,liquid_conductor
1.793031721e-05,-3.000000000e-03,liquid_conductor
1.842020793e-05,-3.000000000e-03,liquid_conductor
1.886857531e-05,-3.000000000e-03,liquid_conductor
1.927927160e-05,-3.000000000e-03,liquid_conductor
1.965545498e-05,-3.000000000e-03,liquid_conductor
2.000000000e-05,-3.000000000e-03,liquid_conductor
