name,value_SI,unit,role
contact_radius,5.000000000e-06,m,gepinnter Kontaktradius a = phi_2/2
gamma_over_a,9.040000000e+03,Pa,Druckskala
gamma,4.520000000e-02,N/m,Oberflaechenspannung (illustrative)
discretization_target,1.000000000e-02,-,vorab festgelegtes Ziel
mesh_level_ratio,1.414213562e+00,-,Verfeinerungsverhaeltnis in h je Stufe
tol_exclusion,5.000000000e-02,-,edge_gate::kTolExclusion (deklariert, widerlegt)
