# Gekoppelte Netzkonvergenz.  KEIN neuer Spannungssweep: zwei Punkte,
# die drei vorhandenen Netzstufen plus eine feinere.  Eine gescheiterte
# Rechnung steht als nan, NIEMALS als null -- null ist ein physikalischer
# Wert.
V_emitter_V,level,n_nodes,status,h_over_a,E_edge_far_V_per_m,total_force_N,max_curvature_1_per_m,mech_residual_edge_far,mech_residual_all,iterations
1.000000000e+03,1,0,Converged,9.875256064e-02,3.007141816e+07,3.436403065e-07,1.523749802e+05,8.925558023e-04,8.925558023e-04,20
1.000000000e+03,2,0,Converged,9.926343800e-02,3.089594611e+07,3.526605608e-07,1.757818835e+05,5.009575110e-04,9.134005303e-04,21
1.000000000e+03,3,0,Converged,9.957915884e-02,3.060260423e+07,3.590757789e-07,2.032448854e+05,6.305949221e-04,2.911705807e-03,21
1.000000000e+03,4,0,Converged,9.989766507e-02,3.069936069e+07,3.643218414e-07,2.322832916e+05,6.709490113e-04,3.136338481e-03,21
1.400000000e+03,1,0,Converged,3.098230345e-01,4.757661524e+07,8.858524324e-07,2.488052258e+05,6.150527223e-04,9.997072962e-04,44
1.400000000e+03,2,0,Converged,3.245960580e-01,4.794566704e+07,9.189569644e-07,2.658935920e+05,8.691448563e-04,1.688260338e-03,48
1.400000000e+03,3,0,Converged,3.358622080e-01,4.816773495e+07,9.424024836e-07,2.824250533e+05,5.333952052e-04,1.469421155e-03,52
1.400000000e+03,4,0,Converged,3.439597106e-01,4.837268851e+07,9.595062769e-07,3.001334247e+05,2.467897170e-04,1.596045560e-03,55
