# Die drei Lasten nebeneinander, ueber der normierten Bogenlaenge tau.
# kind = node   : der ROHE punktweise Knotenwert (nicht konvergent an der Kante, wird nirgends verwendet)
# kind = segment: die konservative Treppenfunktion (die Kraftbuchhaltung)
# kind = handed : die stetige Rekonstruktion, die dem Kapillarloeser TATSAECHLICH uebergeben wird
# kind = cumulative: die kumulierte Kraft G(tau), aus der 'handed' gebaut ist
case,kind,tau,d_over_a,value
singulaer,handed,1.513671875e-02,9.848632812e-01,1.009378304e+04
singulaer,handed,1.562500000e-02,9.843750000e-01,1.009378304e+04
singulaer,handed,1.611328125e-02,9.838867188e-01,1.009378304e+04
singulaer,handed,1.660156250e-02,9.833984375e-01,1.009378304e+04
singulaer,handed,1.708984375e-02,9.829101562e-01,1.009378304e+04
singulaer,handed,1.757812500e-02,9.824218750e-01,1.009378304e+04
singulaer,handed,1.806640625e-02,9.819335938e-01,1.009378304e+04
singulaer,handed,1.855468750e-02,9.814453125e-01,1.009378304e+04
singulaer,handed,1.904296875e-02,9.809570312e-01,1.009378304e+04
singulaer,handed,1.953125000e-02,9.804687500e-01,1.009378304e+04
singulaer,handed,2.001953125e-02,9.799804688e-01,1.009378304e+04
singulaer,handed,2.050781250e-02,9.794921875e-01,1.009378304e+04
singulaer,handed,2.099609375e-02,9.790039062e-01,1.009378304e+04
singulaer,handed,2.148437500e-02,9.785156250e-01,1.009378304e+04
singulaer,handed,2.197265625e-02,9.780273438e-01,1.009378304e+04
singulaer,handed,2.246093750e-02,9.775390625e-01,1.009378304e+04
singulaer,handed,2.294921875e-02,9.770507812e-01,1.009378304e+04
singulaer,handed,2.343750000e-02,9.765625000e-01,1.009378304e+04
singulaer,handed,2.392578125e-02,9.760742188e-01,1.008803974e+04
singulaer,handed,2.441406250e-02,9.755859375e-01,1.008296979e+04
singulaer,handed,2.490234375e-02,9.750976562e-01,1.007888407e+04
singulaer,handed,2.539062500e-02,9.746093750e-01,1.007606902e+04
singulaer,handed,2.587890625e-02,9.741210938e-01,1.007474151e+04
singulaer,handed,2.636718750e-02,9.736328125e-01,1.007500949e+04
