# Druckhaushalt gegen den Volumenstrom.  Q ist eine EINGABE; dieser
# Lauf berechnet ihn nicht.  Ein nicht auswertbarer Punkt steht als nan.
Q_m3_per_s,status,driving_Pa,hydrostatic_Pa,viscous_Pa,delta_p_exit_Pa,Pi,reynolds,entrance_fraction,wall_shear_Pa,mean_velocity_m_per_s
9.500000000e-14,Ok,9.040000000e+03,-0.000000000e+00,4.308031464e+03,4.731968536e+03,5.234478469e-01,4.169945307e-04,8.339890614e-07,3.590026220e+01,1.209577567e-03
1.000000000e-13,Ok,9.040000000e+03,-0.000000000e+00,4.534769963e+03,4.505230037e+03,4.983661546e-01,4.389416112e-04,8.778832225e-07,3.778974969e+01,1.273239545e-03
1.050000000e-13,Ok,9.040000000e+03,-0.000000000e+00,4.761508461e+03,4.278491539e+03,4.732844623e-01,4.608886918e-04,9.217773836e-07,3.967923717e+01,1.336901522e-03
1.100000000e-13,Ok,9.040000000e+03,-0.000000000e+00,4.988246959e+03,4.051753041e+03,4.482027700e-01,4.828357724e-04,9.656715447e-07,4.156872466e+01,1.400563499e-03
1.150000000e-13,Ok,9.040000000e+03,-0.000000000e+00,5.214985457e+03,3.825014543e+03,4.231210778e-01,5.047828529e-04,1.009565706e-06,4.345821214e+01,1.464225476e-03
1.200000000e-13,Ok,9.040000000e+03,-0.000000000e+00,5.441723955e+03,3.598276045e+03,3.980393855e-01,5.267299335e-04,1.053459867e-06,4.534769963e+01,1.527887454e-03
1.250000000e-13,Ok,9.040000000e+03,-0.000000000e+00,5.668462453e+03,3.371537547e+03,3.729576932e-01,5.486770141e-04,1.097354028e-06,4.723718711e+01,1.591549431e-03
1.300000000e-13,Ok,9.040000000e+03,-0.000000000e+00,5.895200951e+03,3.144799049e+03,3.478760010e-01,5.706240946e-04,1.141248189e-06,4.912667459e+01,1.655211408e-03
1.350000000e-13,Ok,9.040000000e+03,-0.000000000e+00,6.121939449e+03,2.918060551e+03,3.227943087e-01,5.925711752e-04,1.185142350e-06,5.101616208e+01,1.718873385e-03
1.400000000e-13,Ok,9.040000000e+03,-0.000000000e+00,6.348677948e+03,2.691322052e+03,2.977126164e-01,6.145182557e-04,1.229036511e-06,5.290564956e+01,1.782535363e-03
1.450000000e-13,Ok,9.040000000e+03,-0.000000000e+00,6.575416446e+03,2.464583554e+03,2.726309242e-01,6.364653363e-04,1.272930673e-06,5.479513705e+01,1.846197340e-03
1.500000000e-13,Ok,9.040000000e+03,-0.000000000e+00,6.802154944e+03,2.237845056e+03,2.475492319e-01,6.584124169e-04,1.316824834e-06,5.668462453e+01,1.909859317e-03
1.550000000e-13,Ok,9.040000000e+03,-0.000000000e+00,7.028893442e+03,2.011106558e+03,2.224675396e-01,6.803594974e-04,1.360718995e-06,5.857411202e+01,1.973521294e-03
1.600000000e-13,Ok,9.040000000e+03,-0.000000000e+00,7.255631940e+03,1.784368060e+03,1.973858473e-01,7.023065780e-04,1.404613156e-06,6.046359950e+01,2.037183272e-03
1.650000000e-13,Ok,9.040000000e+03,-0.000000000e+00,7.482370438e+03,1.557629562e+03,1.723041551e-01,7.242536586e-04,1.448507317e-06,6.235308698e+01,2.100845249e-03
1.700000000e-13,Ok,9.040000000e+03,-0.000000000e+00,7.709108936e+03,1.330891064e+03,1.472224628e-01,7.462007391e-04,1.492401478e-06,6.424257447e+01,2.164507226e-03
1.750000000e-13,Ok,9.040000000e+03,-0.000000000e+00,7.935847434e+03,1.104152566e+03,1.221407705e-01,7.681478197e-04,1.536295639e-06,6.613206195e+01,2.228169203e-03
