# Empfindlichkeit des viskosen Terms gegen Kanallaenge und -radius, bei
# festem Volumenstrom.  R_h ~ L und R_h ~ R^-4; das steht hier als
# Rechnung, nicht als Behauptung.
sweep,value_m,R_h_Pa_s_per_m3,viscous_Pa,viscous_over_gamma_over_a,delta_p_exit_Pa,status
radius,4.254329905e-06,8.651882652e+16,8.651882652e+03,9.570666651e-01,3.881173479e+02,Ok
radius,4.472135955e-06,7.085578066e+16,7.085578066e+03,7.838028835e-01,1.954421934e+03,Ok
radius,4.701092874e-06,5.802831425e+16,5.802831425e+03,6.419061310e-01,3.237168575e+03,Ok
radius,4.941771545e-06,4.752308453e+16,4.752308453e+03,5.256978378e-01,4.287691547e+03,Ok
radius,5.194772079e-06,3.891968245e+16,3.891968245e+03,4.305274607e-01,5.148031755e+03,Ok
radius,5.460725310e-06,3.187380821e+16,3.187380821e+03,3.525863740e-01,5.852619179e+03,Ok
radius,5.740294370e-06,2.610349278e+16,2.610349278e+03,2.887554511e-01,6.429650722e+03,Ok
radius,6.034176337e-06,2.137781375e+16,2.137781375e+03,2.364802406e-01,6.902218625e+03,Ok
radius,6.343103980e-06,1.750765403e+16,1.750765403e+03,1.936687393e-01,7.289234597e+03,Ok
radius,6.667847583e-06,1.433813361e+16,1.433813361e+03,1.586076726e-01,7.606186639e+03,Ok
radius,7.009216864e-06,1.174241134e+16,1.174241134e+03,1.298939308e-01,7.865758866e+03,Ok
radius,7.368062997e-06,9.616608964e+15,9.616608964e+02,1.063784177e-01,8.078339104e+03,Ok
radius,7.745280733e-06,7.875653923e+15,7.875653923e+02,8.712006552e-02,8.252434608e+03,Ok
radius,8.141810631e-06,6.449874893e+15,6.449874893e+02,7.134817359e-02,8.395012511e+03,Ok
radius,8.558641401e-06,5.282213584e+15,5.282213584e+02,5.843156619e-02,8.511778642e+03,Ok
radius,8.996812374e-06,4.325941326e+15,4.325941326e+02,4.785333325e-02,8.607405867e+03,Ok
radius,9.457416090e-06,3.542789033e+15,3.542789033e+02,3.919014417e-02,8.685721097e+03,Ok
radius,9.941601023e-06,2.901415712e+15,2.901415712e+02,3.209530655e-02,8.749858429e+03,Ok
radius,1.045057444e-05,2.376154227e+15,2.376154227e+02,2.628489189e-02,8.802384577e+03,Ok
radius,1.098560543e-05,1.945984123e+15,1.945984123e+02,2.152637304e-02,8.845401588e+03,Ok
radius,1.154802804e-05,1.593690411e+15,1.593690411e+02,1.762931870e-02,8.880630959e+03,Ok
radius,1.213924462e-05,1.305174639e+15,1.305174639e+02,1.443777256e-02,8.909482536e+03,Ok
radius,1.276072931e-05,1.068890687e+15,1.068890687e+02,1.182401203e-02,8.933110931e+03,Ok
radius,1.341403174e-05,8.753827017e+14,8.753827017e+01,9.683436966e-03,8.952461730e+03,Ok
radius,1.410078085e-05,7.169066803e+14,7.169066803e+01,7.930383632e-03,8.968309332e+03,Ok
radius,1.482268898e-05,5.871205672e+14,5.871205672e+01,6.494696540e-03,8.981287943e+03,Ok
radius,1.558155616e-05,4.808304482e+14,4.808304482e+01,5.318920887e-03,8.991916955e+03,Ok
radius,1.637927455e-05,3.937826961e+14,3.937826961e+01,4.356003276e-03,9.000621730e+03,Ok
radius,1.721783319e-05,3.224937446e+14,3.224937446e+01,3.567408680e-03,9.007750626e+03,Ok
radius,1.809932294e-05,2.641106792e+14,2.641106792e+01,2.921578310e-03,9.013588932e+03,Ok
radius,1.902594173e-05,2.162970663e+14,2.162970663e+01,2.392666663e-03,9.018370293e+03,Ok
radius,2.000000000e-05,1.771394517e+14,1.771394517e+01,1.959507209e-03,9.022286055e+03,Ok
