name,value_SI,unit,role
contact_radius,5.000000000e-06,m,gepinnter Kontaktradius a
gamma,4.520000000e-02,N/m,Oberflaechenspannung (illustrative)
rho,1.279000000e+03,kg/m^3,Dichte (illustrative)
mu,3.710000000e-02,Pa s,dynamische Viskositaet (illustrative)
gamma_over_a,9.040000000e+03,Pa,Kapillardruckskala
channel_radius,5.000000000e-06,m,Zulaufkanal
channel_length,3.000000000e-04,m,Zulaufkanal
gravity_axial,0.000000000e+00,m/s^2,Komponente von g entlang +z
reynolds_laminar,2.300000000e+03,-,Gueltigkeitsgrenze
