# Apexhoehe und Kruemmung ueber dem dimensionslosen Druck Pi.
# Punkte ausserhalb |Pi| <= 2 werden NICHT gerechnet, sondern mit ihrem
# Status ausgewiesen -- keine Ersatzform, kein letzter Iterationsstand.
Pi,delta_p_Pa,status,h_over_a_num,h_over_a_ana,kappa_num_1_per_m,kappa_ana_1_per_m,area_over_a2_num,volume_over_a3_num,psi_contact_deg
-2.100000000e+00,-1.898400000e+04,PressureOutsideCapillaryRange,,,,-4.200000000e+05,,,
-2.090000000e+00,-1.889360000e+04,PressureOutsideCapillaryRange,,,,-4.180000000e+05,,,
-2.080000000e+00,-1.880320000e+04,PressureOutsideCapillaryRange,,,,-4.160000000e+05,,,
-2.070000000e+00,-1.871280000e+04,PressureOutsideCapillaryRange,,,,-4.140000000e+05,,,
-2.060000000e+00,-1.862240000e+04,PressureOutsideCapillaryRange,,,,-4.120000000e+05,,,
-2.050000000e+00,-1.853200000e+04,PressureOutsideCapillaryRange,,,,-4.100000000e+05,,,
-2.040000000e+00,-1.844160000e+04,PressureOutsideCapillaryRange,,,,-4.080000000e+05,,,
-2.030000000e+00,-1.835120000e+04,PressureOutsideCapillaryRange,,,,-4.060000000e+05,,,
-2.020000000e+00,-1.826080000e+04,PressureOutsideCapillaryRange,,,,-4.040000000e+05,,,
-2.010000000e+00,-1.817040000e+04,PressureOutsideCapillaryRange,,,,-4.020000000e+05,,,
-2.000000000e+00,-1.808000000e+04,HemisphericalLimit,,,,-4.000000000e+05,,,
-1.990000000e+00,-1.798960000e+04,Solved,-9.046483198e-01,-9.046483198e-01,-3.980000171e+05,-3.980000000e+05,5.712636212e+00,-1.808666630e+00,-8.426803203e+01
-1.980000000e+00,-1.789920000e+04,Solved,-8.676087275e-01,-8.676087275e-01,-3.960000161e+05,-3.960000000e+05,5.506410514e+00,-1.704792705e+00,-8.189038554e+01
-1.970000000e+00,-1.780880000e+04,Solved,-8.400463561e-01,-8.400463561e-01,-3.940000611e+05,-3.940000000e+05,5.358545098e+00,-1.629932201e+00,-8.006363293e+01
-1.960000000e+00,-1.771840000e+04,Solved,-8.173495026e-01,-8.173495026e-01,-3.920000585e+05,-3.920000000e+05,5.240365700e+00,-1.569794781e+00,-7.852165905e+01
-1.950000000e+00,-1.762800000e+04,Solved,-7.977386047e-01,-7.977386047e-01,-3.900000562e+05,-3.900000000e+05,5.140861005e+00,-1.518900461e+00,-7.716143186e+01
-1.940000000e+00,-1.753760000e+04,Solved,-7.803042107e-01,-7.803042107e-01,-3.880000541e+05,-3.880000000e+05,5.054428816e+00,-1.474464673e+00,-7.593013225e+01
-1.930000000e+00,-1.744720000e+04,Solved,-7.645078955e-01,-7.645078955e-01,-3.860000522e+05,-3.860000000e+05,4.977766607e+00,-1.434847775e+00,-7.479639591e+01
-1.920000000e+00,-1.735680000e+04,Solved,-7.500000000e-01,-7.500000000e-01,-3.840000505e+05,-3.840000000e+05,4.908738521e+00,-1.398990479e+00,-7.373979529e+01
-1.910000000e+00,-1.726640000e+04,Solved,-7.365384304e-01,-7.365384304e-01,-3.820000489e+05,-3.820000000e+05,4.845871669e+00,-1.366163026e+00,-7.274614688e+01
-1.900000000e+00,-1.717600000e+04,Solved,-7.239474738e-01,-7.239474738e-01,-3.800000474e+05,-3.800000000e+05,4.788101190e+00,-1.335838315e+00,-7.180512766e+01
-1.890000000e+00,-1.708560000e+04,Solved,-7.120948901e-01,-7.120948901e-01,-3.780000460e+05,-3.780000000e+05,4.734628731e+00,-1.307621513e+00,-7.090894749e+01
-1.880000000e+00,-1.699520000e+04,Solved,-7.008782530e-01,-7.008782530e-01,-3.760000446e+05,-3.760000000e+05,4.684838235e+00,-1.281208197e+00,-7.005155641e+01
-1.870000000e+00,-1.690480000e+04,Solved,-6.902163502e-01,-6.902163502e-01,-3.740000434e+05,-3.740000000e+05,4.638243027e+00,-1.256358067e+00,-6.922814495e+01
-1.860000000e+00,-1.681440000e+04,Solved,-6.800435280e-01,-6.800435280e-01,-3.720000421e+05,-3.720000000e+05,4.594451079e+00,-1.232877704e+00,-6.843481498e+01
-1.850000000e+00,-1.672400000e+04,Solved,-6.703058337e-01,-6.703058337e-01,-3.700000410e+05,-3.700000000e+05,4.553141368e+00,-1.210608831e+00,-6.766835499e+01
-1.840000000e+00,-1.663360000e+04,Solved,-6.609583056e-01,-6.609583056e-01,-3.680000399e+05,-3.680000000e+05,4.514047298e+00,-1.189420095e+00,-6.692608193e+01
-1.830000000e+00,-1.654320000e+04,Solved,-6.519630178e-01,-6.519630178e-01,-3.660000388e+05,-3.660000000e+05,4.476944758e+00,-1.169201145e+00,-6.620572705e+01
-1.820000000e+00,-1.645280000e+04,Solved,-6.432876386e-01,-6.432876386e-01,-3.640000378e+05,-3.640000000e+05,4.441643340e+00,-1.149858283e+00,-6.550535153e+01
-1.810000000e+00,-1.636240000e+04,Solved,-6.349043476e-01,-6.349043476e-01,-3.620000368e+05,-3.620000000e+05,4.407979744e+00,-1.131311195e+00,-6.482328306e+01
-1.800000000e+00,-1.627200000e+04,Solved,-6.267890063e-01,-6.267890063e-01,-3.600000358e+05,-3.600000000e+05,4.375812750e+00,-1.113490467e+00,-6.415806724e+01
-1.790000000e+00,-1.618160000e+04,Solved,-6.189205155e-01,-6.189205155e-01,-3.580000349e+05,-3.580000000e+05,4.345019318e+00,-1.096335648e+00,-6.350842980e+01
-1.780000000e+00,-1.609120000e+04,Solved,-6.112803094e-01,-6.112803094e-01,-3.560000340e+05,-3.560000000e+05,4.315491527e+00,-1.079793742e+00,-6.287324688e+01
-1.770000000e+00,-1.600080000e+04,Solved,-6.038519523e-01,-6.038519523e-01,-3.540000332e+05,-3.540000000e+05,4.287134140e+00,-1.063818006e+00,-6.225152130e+01
-1.760000000e+00,-1.591040000e+04,Solved,-5.966208142e-01,-5.966208142e-01,-3.520000324e+05,-3.520000000e+05,4.259862652e+00,-1.048366976e+00,-6.164236342e+01
