# Numerisch gegen geschlossene Kugelkappe. Fehler sind auf a bzw. a^2, a^3 bezogen.
variant,Pi,delta_p_Pa,status,n_intervals,est_rel_error,h_num_m,h_ana_m,s_num_m,s_ana_m,A_num_m2,A_ana_m2,V_num_m3,V_ana_m3,A_polyline_m2,V_polyline_m3,psi_contact_rad,psi_contact_ana_rad,err_profile_normal,err_profile_z,err_h_rel,err_A_rel,err_V_rel,residual_max,residual_rms,kappa_min,kappa_max,kappa_ana,contact_radius_error_rel
pi-1.98,-1.980000000e+00,-1.789920000e+04,Solved,2048,4.171058239e-12,-4.338043637e-06,-4.338043637e-06,7.218468957e-06,7.218468957e-06,1.376602629e-10,1.376602629e-10,-2.130990881e-16,-2.130990881e-16,1.376602545e-10,-2.130990599e-16,-1.429256853e+00,-1.429256853e+00,5.675120747e-14,5.675120747e-14,6.619208867e-14,2.891761657e-14,4.858678408e-14,2.068113403e-08,2.008717819e-08,-3.960000041e+05,-3.960000027e+05,-3.960000000e+05,1.694065895e-16
pi-1.50,-1.500000000e+00,-1.356000000e+04,Solved,1024,1.365881986e-12,-2.257081148e-06,-2.257081148e-06,5.653747193e-06,5.653747193e-06,9.454439405e-11,9.454439405e-11,-9.465597453e-17,-9.465597453e-17,9.454438595e-11,-9.465593850e-17,-8.480620790e-01,-8.480620790e-01,8.029872340e-14,8.038342669e-14,1.784446991e-13,2.515373106e-14,8.828809017e-14,2.156175791e-08,2.142561091e-08,-3.000000043e+05,-3.000000028e+05,-3.000000000e+05,3.388131789e-16
pi-1.00,-1.000000000e+00,-9.040000000e+03,Solved,512,2.998200172e-12,-1.339745962e-06,-1.339745962e-06,5.235987756e-06,5.235987756e-06,8.417872145e-11,8.417872145e-11,-5.387081763e-17,-5.387081763e-17,8.417871044e-11,-5.387074427e-17,-5.235987756e-01,-5.235987756e-01,2.212450058e-13,2.213297091e-13,8.260137197e-13,4.498685864e-14,3.674619991e-13,2.180751083e-08,2.177093159e-08,-2.000000044e+05,-2.000000029e+05,-2.000000000e+05,1.694065895e-16
pi-0.50,-5.000000000e-01,-4.520000000e+03,Solved,256,4.438198534e-12,-6.350832690e-07,-6.350832690e-07,5.053605103e-06,5.053605103e-06,7.980691729e-11,7.980691729e-11,-2.507378075e-17,-2.507378075e-17,7.980690757e-11,-2.507365117e-17,-2.526802551e-01,-2.526802551e-01,3.347474208e-13,3.344933109e-13,2.633460266e-12,3.514305977e-14,1.264731171e-12,1.015098556e-08,1.013244161e-08,-1.000000020e+05,-1.000000014e+05,-1.000000000e+05,3.388131789e-16
pi+0.00,0.000000000e+00,0.000000000e+00,Solved,128,2.067951531e-15,0.000000000e+00,0.000000000e+00,5.000000000e-06,5.000000000e-06,7.853981634e-11,7.853981634e-11,0.000000000e+00,0.000000000e+00,7.853981634e-11,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.632997666e-15,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.202285663e-15
pi+0.50,5.000000000e-01,4.520000000e+03,Solved,256,4.438198534e-12,6.350832690e-07,6.350832690e-07,5.053605103e-06,5.053605103e-06,7.980691729e-11,7.980691729e-11,2.507378075e-17,2.507378075e-17,7.980690757e-11,2.507365117e-17,2.526802551e-01,2.526802551e-01,3.347474208e-13,3.344933109e-13,2.633460266e-12,3.514305977e-14,1.264731171e-12,1.015098556e-08,1.013244161e-08,1.000000014e+05,1.000000020e+05,1.000000000e+05,3.388131789e-16
pi+1.00,1.000000000e+00,9.040000000e+03,Solved,512,2.998200172e-12,1.339745962e-06,1.339745962e-06,5.235987756e-06,5.235987756e-06,8.417872145e-11,8.417872145e-11,5.387081763e-17,5.387081763e-17,8.417871044e-11,5.387074427e-17,5.235987756e-01,5.235987756e-01,2.212450058e-13,2.213297091e-13,8.260137197e-13,4.498685864e-14,3.674619991e-13,2.180751083e-08,2.177093159e-08,2.000000029e+05,2.000000044e+05,2.000000000e+05,1.694065895e-16
pi+1.50,1.500000000e+00,1.356000000e+04,Solved,1024,1.365881986e-12,2.257081148e-06,2.257081148e-06,5.653747193e-06,5.653747193e-06,9.454439405e-11,9.454439405e-11,9.465597453e-17,9.465597453e-17,9.454438595e-11,9.465593850e-17,8.480620790e-01,8.480620790e-01,8.029872340e-14,8.038342669e-14,1.784446991e-13,2.515373106e-14,8.828809017e-14,2.156175791e-08,2.142561091e-08,3.000000028e+05,3.000000043e+05,3.000000000e+05,3.388131789e-16
pi+1.98,1.980000000e+00,1.789920000e+04,Solved,2048,4.171058239e-12,4.338043637e-06,4.338043637e-06,7.218468957e-06,7.218468957e-06,1.376602629e-10,1.376602629e-10,2.130990881e-16,2.130990881e-16,1.376602545e-10,2.130990599e-16,1.429256853e+00,1.429256853e+00,5.675120747e-14,5.675120747e-14,6.619208867e-14,2.891761657e-14,4.858678408e-14,2.068113403e-08,2.008717819e-08,3.960000027e+05,3.960000041e+05,3.960000000e+05,1.694065895e-16
