# Abtastung fuer die Abbildungen: spitze
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
0.0000000e+00,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
2.2284123e-07,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
4.4568245e-07,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
6.6852368e-07,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
8.9136490e-07,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
1.1142061e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
1.3370474e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
1.5598886e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
1.7827298e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
2.0055710e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
2.2284123e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
2.4512535e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
2.6740947e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
2.8969359e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
3.1197772e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
3.3426184e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
3.5654596e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
3.7883008e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
4.0111421e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
4.2339833e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
4.4568245e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
4.6796657e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
4.9025070e-06,-8.0000000e-05,1.5000000e+03,0.0000000e+00,liquid
5.1253482e-06,-8.0000000e-05,1.4960587e+03,3.1040171e+07,emitter_solid
5.3481894e-06,-8.0000000e-05,1.4890594e+03,3.0318875e+07,emitter_solid
5.5710306e-06,-8.0000000e-05,1.4825091e+03,2.9135978e+07,emitter_solid
5.7938719e-06,-8.0000000e-05,1.4761016e+03,2.8002900e+07,emitter_solid
6.0167131e-06,-8.0000000e-05,1.4699863e+03,2.6971778e+07,emitter_solid
6.2395543e-06,-8.0000000e-05,1.4640715e+03,2.6005781e+07,emitter_solid
6.4623955e-06,-8.0000000e-05,1.4583697e+03,2.5108872e+07,emitter_solid
6.6852368e-06,-8.0000000e-05,1.4528533e+03,2.4268657e+07,emitter_solid
6.9080780e-06,-8.0000000e-05,1.4475436e+03,2.3491563e+07,emitter_solid
7.1309192e-06,-8.0000000e-05,1.4423359e+03,2.2743019e+07,emitter_solid
7.3537604e-06,-8.0000000e-05,1.4373972e+03,2.2069814e+07,emitter_solid
7.5766017e-06,-8.0000000e-05,1.4324585e+03,2.1396615e+07,emitter_solid
7.7994429e-06,-8.0000000e-05,1.4278265e+03,2.0804043e+07,emitter_solid
8.0222841e-06,-8.0000000e-05,1.4232379e+03,2.0222883e+07,emitter_solid
8.2451253e-06,-8.0000000e-05,1.4187340e+03,1.9662345e+07,emitter_solid
8.4679666e-06,-8.0000000e-05,1.4144753e+03,1.9161516e+07,emitter_solid
8.6908078e-06,-8.0000000e-05,1.4102167e+03,1.8660691e+07,emitter_solid
8.9136490e-06,-8.0000000e-05,1.4060809e+03,1.8187591e+07,emitter_solid
9.1364903e-06,-8.0000000e-05,1.4021324e+03,1.7756715e+07,emitter_solid
9.3593315e-06,-8.0000000e-05,1.3981839e+03,1.7325844e+07,emitter_solid
9.5821727e-06,-8.0000000e-05,1.3943150e+03,1.6911581e+07,emitter_solid
9.8050139e-06,-8.0000000e-05,1.3906576e+03,1.6541420e+07,emitter_solid
1.0027855e-05,-8.0000000e-05,1.3870002e+03,1.6171264e+07,emitter_solid
1.0250696e-05,-8.0000000e-05,1.3833428e+03,1.5801112e+07,emitter_solid
1.0473538e-05,-8.0000000e-05,1.3799212e+03,1.5476654e+07,emitter_solid
1.0696379e-05,-8.0000000e-05,1.3765366e+03,1.5159362e+07,emitter_solid
1.0919220e-05,-8.0000000e-05,1.3731520e+03,1.4842075e+07,emitter_solid
1.1142061e-05,-8.0000000e-05,1.3698035e+03,1.4531655e+07,emitter_solid
1.1364903e-05,-8.0000000e-05,1.3666741e+03,1.4262923e+07,emitter_solid
1.1587744e-05,-8.0000000e-05,1.3635448e+03,1.3994196e+07,emitter_solid
1.1810585e-05,-8.0000000e-05,1.3604155e+03,1.3725473e+07,emitter_solid
1.2033426e-05,-8.0000000e-05,1.3573042e+03,1.3460584e+07,emitter_solid
1.2256267e-05,-8.0000000e-05,1.3544109e+03,1.3241949e+07,emitter_solid
1.2479109e-05,-8.0000000e-05,1.3515176e+03,1.3023317e+07,emitter_solid
1.2701950e-05,-8.0000000e-05,1.3486243e+03,1.2804690e+07,emitter_solid
1.2924791e-05,-8.0000000e-05,1.3457310e+03,1.2586068e+07,emitter_solid
1.3147632e-05,-8.0000000e-05,1.3429874e+03,1.2379949e+07,emitter_solid
1.3370474e-05,-8.0000000e-05,1.3402975e+03,1.2178315e+07,emitter_solid
1.3593315e-05,-8.0000000e-05,1.3376076e+03,1.1976687e+07,emitter_solid
1.3816156e-05,-8.0000000e-05,1.3349177e+03,1.1775064e+07,emitter_solid
1.4038997e-05,-8.0000000e-05,1.3323385e+03,1.1587790e+07,emitter_solid
1.4261838e-05,-8.0000000e-05,1.3298135e+03,1.1407550e+07,emitter_solid
1.4484680e-05,-8.0000000e-05,1.3272886e+03,1.1227315e+07,emitter_solid
1.4707521e-05,-8.0000000e-05,1.3247636e+03,1.1047085e+07,emitter_solid
1.4930362e-05,-8.0000000e-05,1.3223663e+03,1.0884211e+07,emitter_solid
1.5153203e-05,-8.0000000e-05,1.3199759e+03,1.0722293e+07,emitter_solid
1.5376045e-05,-8.0000000e-05,1.3175856e+03,1.0560381e+07,emitter_solid
1.5598886e-05,-8.0000000e-05,1.3152554e+03,1.0406270e+07,emitter_solid
1.5821727e-05,-8.0000000e-05,1.3129767e+03,1.0258832e+07,emitter_solid
1.6044568e-05,-8.0000000e-05,1.3106979e+03,1.0111400e+07,emitter_solid
1.6267409e-05,-8.0000000e-05,1.3084582e+03,9.9687772e+06,emitter_solid
1.6490251e-05,-8.0000000e-05,1.3062732e+03,9.8328991e+06,emitter_solid
1.6713092e-05,-8.0000000e-05,1.3040882e+03,9.6970265e+06,emitter_solid
1.6935933e-05,-8.0000000e-05,1.3019475e+03,9.5663689e+06,emitter_solid
1.7158774e-05,-8.0000000e-05,1.2998421e+03,9.4398799e+06,emitter_solid
1.7381616e-05,-8.0000000e-05,1.2977367e+03,9.3133965e+06,emitter_solid
1.7604457e-05,-8.0000000e-05,1.2956951e+03,9.1941353e+06,emitter_solid
1.7827298e-05,-8.0000000e-05,1.2936578e+03,9.0753695e+06,emitter_solid
1.8050139e-05,-8.0000000e-05,1.2916522e+03,8.9601500e+06,emitter_solid
1.8272981e-05,-8.0000000e-05,1.2896738e+03,8.8479801e+06,emitter_solid
1.8495822e-05,-8.0000000e-05,1.2877127e+03,8.7376252e+06,emitter_solid
1.8718663e-05,-8.0000000e-05,1.2857854e+03,8.6307988e+06,emitter_solid
1.8941504e-05,-8.0000000e-05,1.2838728e+03,8.5255122e+06,emitter_solid
1.9164345e-05,-8.0000000e-05,1.2819902e+03,8.4233849e+06,emitter_solid
1.9387187e-05,-8.0000000e-05,1.2801265e+03,8.3231901e+06,emitter_solid
1.9610028e-05,-8.0000000e-05,1.2782832e+03,8.2250530e+06,emitter_solid
1.9832869e-05,-8.0000000e-05,1.2764674e+03,8.1637423e+06,emitter_solid
2.0055710e-05,-8.0000000e-05,1.2736359e+03,2.6440099e+07,vacuum
2.0278552e-05,-8.0000000e-05,1.2677704e+03,2.6177207e+07,vacuum
2.0501393e-05,-8.0000000e-05,1.2619671e+03,2.5888224e+07,vacuum
2.0724234e-05,-8.0000000e-05,1.2562331e+03,2.5605976e+07,vacuum
2.0947075e-05,-8.0000000e-05,1.2505572e+03,2.5329092e+07,vacuum
2.1169916e-05,-8.0000000e-05,1.2449412e+03,2.5057940e+07,vacuum
2.1392758e-05,-8.0000000e-05,1.2393857e+03,2.4792276e+07,vacuum
2.1615599e-05,-8.0000000e-05,1.2338908e+03,2.4532205e+07,vacuum
2.1838440e-05,-8.0000000e-05,1.2284548e+03,2.4277448e+07,vacuum
2.2061281e-05,-8.0000000e-05,1.2230750e+03,2.4027660e+07,vacuum
2.2284123e-05,-8.0000000e-05,1.2177466e+03,2.3782454e+07,vacuum
2.2506964e-05,-8.0000000e-05,1.2124629e+03,2.3541237e+07,vacuum
2.2729805e-05,-8.0000000e-05,1.2072533e+03,2.3306361e+07,vacuum
2.2952646e-05,-8.0000000e-05,1.2020861e+03,2.3075086e+07,vacuum
2.3175487e-05,-8.0000000e-05,1.1969577e+03,2.2847113e+07,vacuum
2.3398329e-05,-8.0000000e-05,1.1919045e+03,2.2625454e+07,vacuum
2.3621170e-05,-8.0000000e-05,1.1868692e+03,2.2405291e+07,vacuum
2.3844011e-05,-8.0000000e-05,1.1819173e+03,2.2192000e+07,vacuum
2.4066852e-05,-8.0000000e-05,1.1769769e+03,2.1979626e+07,vacuum
2.4289694e-05,-8.0000000e-05,1.1721205e+03,2.1773945e+07,vacuum
2.4512535e-05,-8.0000000e-05,1.1672641e+03,2.1568270e+07,vacuum
2.4735376e-05,-8.0000000e-05,1.1625061e+03,2.1370421e+07,vacuum
2.4958217e-05,-8.0000000e-05,1.1577500e+03,2.1172725e+07,vacuum
2.5181058e-05,-8.0000000e-05,1.1530620e+03,2.0980280e+07,vacuum
2.5403900e-05,-8.0000000e-05,1.1484110e+03,2.0790695e+07,vacuum
2.5626741e-05,-8.0000000e-05,1.1437711e+03,2.0602214e+07,vacuum
2.5849582e-05,-8.0000000e-05,1.1392300e+03,2.0423567e+07,vacuum
2.6072423e-05,-8.0000000e-05,1.1346889e+03,2.0244925e+07,vacuum
2.6295265e-05,-8.0000000e-05,1.1301841e+03,2.0071618e+07,vacuum
2.6518106e-05,-8.0000000e-05,1.1257559e+03,1.9909579e+07,vacuum
2.6740947e-05,-8.0000000e-05,1.1213277e+03,1.9747545e+07,vacuum
