# Materialgebiet je Zelle
i,j,region
66,1,vacuum
67,1,vacuum
68,1,vacuum
69,1,vacuum
70,1,vacuum
71,1,vacuum
72,1,vacuum
73,1,vacuum
74,1,vacuum
75,1,vacuum
76,1,vacuum
77,1,vacuum
78,1,vacuum
79,1,vacuum
80,1,vacuum
81,1,vacuum
82,1,vacuum
83,1,vacuum
84,1,vacuum
85,1,vacuum
86,1,vacuum
87,1,vacuum
88,1,vacuum
89,1,vacuum
90,1,vacuum
91,1,vacuum
92,1,vacuum
93,1,vacuum
94,1,vacuum
95,1,vacuum
96,1,vacuum
97,1,vacuum
98,1,vacuum
99,1,vacuum
100,1,vacuum
101,1,vacuum
102,1,vacuum
103,1,vacuum
104,1,vacuum
105,1,vacuum
106,1,vacuum
107,1,vacuum
108,1,vacuum
109,1,vacuum
110,1,vacuum
111,1,vacuum
112,1,vacuum
113,1,vacuum
114,1,vacuum
115,1,vacuum
116,1,vacuum
117,1,vacuum
118,1,vacuum
119,1,vacuum
120,1,vacuum
121,1,vacuum
122,1,vacuum
123,1,vacuum
124,1,vacuum
125,1,vacuum
126,1,vacuum
127,1,vacuum
128,1,vacuum
129,1,vacuum
130,1,vacuum
131,1,vacuum
132,1,vacuum
133,1,vacuum
134,1,vacuum
135,1,vacuum
136,1,vacuum
137,1,vacuum
138,1,vacuum
139,1,vacuum
140,1,vacuum
141,1,vacuum
142,1,vacuum
143,1,vacuum
144,1,vacuum
145,1,vacuum
146,1,vacuum
147,1,vacuum
148,1,vacuum
149,1,vacuum
150,1,vacuum
151,1,vacuum
152,1,vacuum
153,1,vacuum
154,1,vacuum
155,1,vacuum
156,1,vacuum
157,1,vacuum
158,1,vacuum
159,1,vacuum
160,1,vacuum
161,1,vacuum
162,1,vacuum
163,1,vacuum
164,1,vacuum
165,1,vacuum
166,1,vacuum
167,1,vacuum
168,1,vacuum
169,1,vacuum
170,1,vacuum
171,1,vacuum
172,1,vacuum
173,1,vacuum
174,1,vacuum
175,1,vacuum
176,1,vacuum
177,1,vacuum
178,1,vacuum
179,1,vacuum
180,1,vacuum
181,1,vacuum
182,1,vacuum
183,1,vacuum
184,1,vacuum
185,1,vacuum
186,1,vacuum
187,1,vacuum
188,1,vacuum
189,1,vacuum
190,1,vacuum
191,1,vacuum
192,1,vacuum
193,1,vacuum
194,1,vacuum
195,1,vacuum
196,1,vacuum
197,1,vacuum
198,1,vacuum
199,1,vacuum
200,1,vacuum
201,1,vacuum
202,1,vacuum
203,1,vacuum
204,1,vacuum
205,1,vacuum
206,1,vacuum
207,1,vacuum
208,1,vacuum
209,1,vacuum
210,1,vacuum
211,1,vacuum
212,1,vacuum
213,1,vacuum
214,1,vacuum
215,1,vacuum
216,1,vacuum
217,1,vacuum
218,1,vacuum
219,1,vacuum
220,1,vacuum
221,1,vacuum
222,1,vacuum
223,1,vacuum
224,1,vacuum
225,1,vacuum
226,1,vacuum
227,1,vacuum
228,1,vacuum
229,1,vacuum
230,1,vacuum
231,1,vacuum
232,1,vacuum
233,1,vacuum
234,1,vacuum
235,1,vacuum
236,1,vacuum
237,1,vacuum
0,2,vacuum
1,2,vacuum
2,2,vacuum
3,2,vacuum
4,2,vacuum
5,2,vacuum
6,2,vacuum
7,2,vacuum
8,2,vacuum
9,2,vacuum
10,2,vacuum
11,2,vacuum
12,2,vacuum
13,2,vacuum
14,2,vacuum
15,2,vacuum
16,2,vacuum
