# strukturiertes Volumennetz: Knoten (i,j) -> (r,z)
# nr=239 nz=313
i,j,r_m,z_m
73,40,2.947368421e-05,-3.194271230e-04
74,40,2.990868297e-05,-3.194271230e-04
75,40,3.038341652e-05,-3.194271230e-04
76,40,3.090184239e-05,-3.194271230e-04
77,40,3.146778324e-05,-3.194271230e-04
78,40,3.208581625e-05,-3.194271230e-04
79,40,3.276073484e-05,-3.194271230e-04
80,40,3.349724986e-05,-3.194271230e-04
81,40,3.430131728e-05,-3.194271230e-04
82,40,3.517965823e-05,-3.194271230e-04
83,40,3.613813726e-05,-3.194271230e-04
84,40,3.718507681e-05,-3.194271230e-04
85,40,3.832780448e-05,-3.194271230e-04
86,40,3.957561045e-05,-3.194271230e-04
87,40,4.093854473e-05,-3.194271230e-04
88,40,4.242542050e-05,-3.194271230e-04
89,40,4.404956552e-05,-3.194271230e-04
90,40,4.582227382e-05,-3.194271230e-04
91,40,4.775808616e-05,-3.194271230e-04
92,40,4.987178140e-05,-3.194271230e-04
93,40,5.217920429e-05,-3.194271230e-04
94,40,5.469866297e-05,-3.194271230e-04
95,40,5.744905551e-05,-3.194271230e-04
96,40,6.045387799e-05,-3.194271230e-04
97,40,6.373271678e-05,-3.194271230e-04
98,40,6.731217269e-05,-3.194271230e-04
99,40,7.122108778e-05,-3.194271230e-04
100,40,7.548786712e-05,-3.194271230e-04
101,40,8.014712385e-05,-3.194271230e-04
102,40,8.523466155e-05,-3.194271230e-04
103,40,9.078843638e-05,-3.194271230e-04
104,40,9.685525750e-05,-3.194271230e-04
105,40,1.034758769e-04,-3.194271230e-04
106,40,1.107020219e-04,-3.194271230e-04
107,40,1.185948933e-04,-3.194271230e-04
108,40,1.271212752e-04,-3.194271230e-04
109,40,1.352404309e-04,-3.194271230e-04
110,40,1.426794381e-04,-3.194271230e-04
111,40,1.494903129e-04,-3.194271230e-04
112,40,1.557277722e-04,-3.194271230e-04
113,40,1.614435061e-04,-3.194271230e-04
114,40,1.666778448e-04,-3.194271230e-04
115,40,1.714708543e-04,-3.194271230e-04
116,40,1.758610799e-04,-3.194271230e-04
117,40,1.798823926e-04,-3.194271230e-04
118,40,1.835651336e-04,-3.194271230e-04
119,40,1.869383710e-04,-3.194271230e-04
120,40,1.900294091e-04,-3.194271230e-04
121,40,1.928581583e-04,-3.194271230e-04
122,40,1.954511466e-04,-3.194271230e-04
123,40,1.978250706e-04,-3.194271230e-04
124,40,2.000000000e-04,-3.194271230e-04
125,40,2.023073590e-04,-3.194271230e-04
126,40,2.048262778e-04,-3.194271230e-04
127,40,2.075787525e-04,-3.194271230e-04
128,40,2.105843091e-04,-3.194271230e-04
129,40,2.138679432e-04,-3.194271230e-04
130,40,2.174546697e-04,-3.194271230e-04
131,40,2.213724959e-04,-3.194271230e-04
132,40,2.256503856e-04,-3.194271230e-04
133,40,2.303242912e-04,-3.194271230e-04
134,40,2.354283816e-04,-3.194271230e-04
135,40,2.410037832e-04,-3.194271230e-04
136,40,2.470936058e-04,-3.194271230e-04
137,40,2.537446444e-04,-3.194271230e-04
138,40,2.610133227e-04,-3.194271230e-04
139,40,2.689484386e-04,-3.194271230e-04
140,40,2.776157494e-04,-3.194271230e-04
141,40,2.870851727e-04,-3.194271230e-04
142,40,2.974263273e-04,-3.194271230e-04
143,40,3.087203809e-04,-3.194271230e-04
144,40,3.210579460e-04,-3.194271230e-04
145,40,3.345353188e-04,-3.194271230e-04
146,40,3.492615949e-04,-3.194271230e-04
147,40,3.653317449e-04,-3.194271230e-04
148,40,3.828930231e-04,-3.194271230e-04
149,40,4.020809215e-04,-3.194271230e-04
150,40,4.230318110e-04,-3.194271230e-04
151,40,4.459114310e-04,-3.194271230e-04
152,40,4.709074923e-04,-3.194271230e-04
153,40,4.982272631e-04,-3.194271230e-04
154,40,5.280468223e-04,-3.194271230e-04
155,40,5.606176878e-04,-3.194271230e-04
156,40,5.961968980e-04,-3.194271230e-04
157,40,6.350512450e-04,-3.194271230e-04
158,40,6.774964929e-04,-3.194271230e-04
159,40,7.238672441e-04,-3.194271230e-04
160,40,7.745057743e-04,-3.194271230e-04
161,40,8.298365598e-04,-3.194271230e-04
162,40,8.902404685e-04,-3.194271230e-04
163,40,9.562452265e-04,-3.194271230e-04
164,40,1.028315419e-03,-3.194271230e-04
165,40,1.107064121e-03,-3.194271230e-04
166,40,1.193057227e-03,-3.194271230e-04
167,40,1.286983765e-03,-3.194271230e-04
168,40,1.389582490e-03,-3.194271230e-04
169,40,1.501687528e-03,-3.194271230e-04
170,40,1.618967549e-03,-3.194271230e-04
171,40,1.727165678e-03,-3.194271230e-04
172,40,1.826235815e-03,-3.194271230e-04
173,40,1.916950625e-03,-3.194271230e-04
174,40,2.000000000e-03,-3.194271230e-04
175,40,2.082774889e-03,-3.194271230e-04
176,40,2.173107050e-03,-3.194271230e-04
177,40,2.271750002e-03,-3.194271230e-04
178,40,2.379493458e-03,-3.194271230e-04
179,40,2.497113169e-03,-3.194271230e-04
180,40,2.625517812e-03,-3.194271230e-04
181,40,2.765775452e-03,-3.194271230e-04
182,40,2.918996293e-03,-3.194271230e-04
183,40,3.080897764e-03,-3.194271230e-04
184,40,3.243063259e-03,-3.194271230e-04
185,40,3.405228754e-03,-3.194271230e-04
186,40,3.567394249e-03,-3.194271230e-04
187,40,3.729559744e-03,-3.194271230e-04
188,40,3.891725240e-03,-3.194271230e-04
189,40,4.053890735e-03,-3.194271230e-04
190,40,4.216056230e-03,-3.194271230e-04
191,40,4.378221725e-03,-3.194271230e-04
192,40,4.540387220e-03,-3.194271230e-04
193,40,4.702552716e-03,-3.194271230e-04
194,40,4.864718211e-03,-3.194271230e-04
195,40,5.026883706e-03,-3.194271230e-04
196,40,5.189049201e-03,-3.194271230e-04
197,40,5.351214697e-03,-3.194271230e-04
198,40,5.513380192e-03,-3.194271230e-04
199,40,5.675545687e-03,-3.194271230e-04
200,40,5.837711182e-03,-3.194271230e-04
201,40,5.999876677e-03,-3.194271230e-04
202,40,6.162042173e-03,-3.194271230e-04
203,40,6.324207668e-03,-3.194271230e-04
204,40,6.486373163e-03,-3.194271230e-04
205,40,6.648538658e-03,-3.194271230e-04
206,40,6.810704153e-03,-3.194271230e-04
207,40,6.972869649e-03,-3.194271230e-04
208,40,7.135035144e-03,-3.194271230e-04
209,40,7.297200639e-03,-3.194271230e-04
210,40,7.459366134e-03,-3.194271230e-04
211,40,7.621531629e-03,-3.194271230e-04
212,40,7.783697125e-03,-3.194271230e-04
213,40,7.945862620e-03,-3.194271230e-04
214,40,8.108028115e-03,-3.194271230e-04
215,40,8.270193610e-03,-3.194271230e-04
216,40,8.432359105e-03,-3.194271230e-04
217,40,8.594524601e-03,-3.194271230e-04
218,40,8.756690096e-03,-3.194271230e-04
219,40,8.918855591e-03,-3.194271230e-04
220,40,9.081021086e-03,-3.194271230e-04
221,40,9.243186581e-03,-3.194271230e-04
222,40,9.405352077e-03,-3.194271230e-04
223,40,9.567517572e-03,-3.194271230e-04
224,40,9.729683067e-03,-3.194271230e-04
225,40,9.891848562e-03,-3.194271230e-04
226,40,1.005401406e-02,-3.194271230e-04
227,40,1.021617955e-02,-3.194271230e-04
228,40,1.037834505e-02,-3.194271230e-04
229,40,1.054051054e-02,-3.194271230e-04
230,40,1.070267604e-02,-3.194271230e-04
231,40,1.086484153e-02,-3.194271230e-04
232,40,1.102700703e-02,-3.194271230e-04
233,40,1.118917252e-02,-3.194271230e-04
234,40,1.135133802e-02,-3.194271230e-04
235,40,1.151350351e-02,-3.194271230e-04
236,40,1.167566901e-02,-3.194271230e-04
237,40,1.183783450e-02,-3.194271230e-04
238,40,1.200000000e-02,-3.194271230e-04
0,41,0.000000000e+00,-2.948649906e-04
1,41,2.253927972e-07,-2.948649906e-04
2,41,4.710108625e-07,-2.948649906e-04
3,41,7.388114821e-07,-2.948649906e-04
4,41,1.030777353e-06,-2.948649906e-04
5,41,1.349134956e-06,-2.948649906e-04
6,41,1.696071563e-06,-2.948649906e-04
7,41,2.065284294e-06,-2.948649906e-04
8,41,2.411371865e-06,-2.948649906e-04
9,41,2.728827367e-06,-2.948649906e-04
10,41,3.019944202e-06,-2.948649906e-04
11,41,3.287031469e-06,-2.948649906e-04
12,41,3.531983203e-06,-2.948649906e-04
13,41,3.756739224e-06,-2.948649906e-04
14,41,3.962851098e-06,-2.948649906e-04
15,41,4.151964219e-06,-2.948649906e-04
16,41,4.325432522e-06,-2.948649906e-04
17,41,4.484611324e-06,-2.948649906e-04
18,41,4.630594259e-06,-2.948649906e-04
19,41,4.764494569e-06,-2.948649906e-04
20,41,4.887303601e-06,-2.948649906e-04
21,41,5.000000000e-06,-2.948649906e-04
22,41,5.344545024e-06,-2.948649906e-04
23,41,5.720728404e-06,-2.948649906e-04
24,41,6.131424688e-06,-2.948649906e-04
25,41,6.579792067e-06,-2.948649906e-04
26,41,7.069682790e-06,-2.948649906e-04
27,41,7.604221304e-06,-2.948649906e-04
28,41,8.187924336e-06,-2.948649906e-04
29,41,8.825326016e-06,-2.948649906e-04
30,41,9.521221193e-06,-2.948649906e-04
31,41,1.028089317e-05,-2.948649906e-04
32,41,1.111056343e-05,-2.948649906e-04
33,41,1.201639249e-05,-2.948649906e-04
34,41,1.298360751e-05,-2.948649906e-04
35,41,1.388943657e-05,-2.948649906e-04
36,41,1.471910683e-05,-2.948649906e-04
37,41,1.547877881e-05,-2.948649906e-04
38,41,1.617467398e-05,-2.948649906e-04
39,41,1.681207566e-05,-2.948649906e-04
40,41,1.739577870e-05,-2.948649906e-04
41,41,1.793031721e-05,-2.948649906e-04
42,41,1.842020793e-05,-2.948649906e-04
43,41,1.886857531e-05,-2.948649906e-04
44,41,1.927927160e-05,-2.948649906e-04
45,41,1.965545498e-05,-2.948649906e-04
46,41,2.000000000e-05,-2.948649906e-04
47,41,2.010805618e-05,-2.948649906e-04
48,41,2.022595285e-05,-2.948649906e-04
49,41,2.035459775e-05,-2.948649906e-04
50,41,2.049498821e-05,-2.948649906e-04
51,41,2.064826006e-05,-2.948649906e-04
52,41,2.081535157e-05,-2.948649906e-04
53,41,2.099777754e-05,-2.948649906e-04
54,41,2.119689800e-05,-2.948649906e-04
55,41,2.141410532e-05,-2.948649906e-04
56,41,2.165116416e-05,-2.948649906e-04
57,41,2.190983090e-05,-2.948649906e-04
58,41,2.219208379e-05,-2.948649906e-04
59,41,2.250020445e-05,-2.948649906e-04
60,41,2.283635452e-05,-2.948649906e-04
61,41,2.320312564e-05,-2.948649906e-04
62,41,2.360338148e-05,-2.948649906e-04
63,41,2.404015658e-05,-2.948649906e-04
64,41,2.451665868e-05,-2.948649906e-04
65,41,2.503676791e-05,-2.948649906e-04
66,41,2.560437513e-05,-2.948649906e-04
67,41,2.622369757e-05,-2.948649906e-04
68,41,2.688064397e-05,-2.948649906e-04
69,41,2.749373137e-05,-2.948649906e-04
70,41,2.805529321e-05,-2.948649906e-04
71,41,2.856987281e-05,-2.948649906e-04
72,41,2.904145948e-05,-2.948649906e-04
73,41,2.947368421e-05,-2.948649906e-04
74,41,2.990868297e-05,-2.948649906e-04
75,41,3.038341652e-05,-2.948649906e-04
76,41,3.090184239e-05,-2.948649906e-04
77,41,3.146778324e-05,-2.948649906e-04
78,41,3.208581625e-05,-2.948649906e-04
79,41,3.276073484e-05,-2.948649906e-04
80,41,3.349724986e-05,-2.948649906e-04
81,41,3.430131728e-05,-2.948649906e-04
82,41,3.517965823e-05,-2.948649906e-04
83,41,3.613813726e-05,-2.948649906e-04
84,41,3.718507681e-05,-2.948649906e-04
85,41,3.832780448e-05,-2.948649906e-04
86,41,3.957561045e-05,-2.948649906e-04
87,41,4.093854473e-05,-2.948649906e-04
88,41,4.242542050e-05,-2.948649906e-04
89,41,4.404956552e-05,-2.948649906e-04
90,41,4.582227382e-05,-2.948649906e-04
91,41,4.775808616e-05,-2.948649906e-04
92,41,4.987178140e-05,-2.948649906e-04
93,41,5.217920429e-05,-2.948649906e-04
94,41,5.469866297e-05,-2.948649906e-04
95,41,5.744905551e-05,-2.948649906e-04
96,41,6.045387799e-05,-2.948649906e-04
97,41,6.373271678e-05,-2.948649906e-04
98,41,6.731217269e-05,-2.948649906e-04
99,41,7.122108778e-05,-2.948649906e-04
100,41,7.548786712e-05,-2.948649906e-04
101,41,8.014712385e-05,-2.948649906e-04
102,41,8.523466155e-05,-2.948649906e-04
103,41,9.078843638e-05,-2.948649906e-04
104,41,9.685525750e-05,-2.948649906e-04
105,41,1.034758769e-04,-2.948649906e-04
106,41,1.107020219e-04,-2.948649906e-04
107,41,1.185948933e-04,-2.948649906e-04
108,41,1.271212752e-04,-2.948649906e-04
109,41,1.352404309e-04,-2.948649906e-04
110,41,1.426794381e-04,-2.948649906e-04
111,41,1.494903129e-04,-2.948649906e-04
112,41,1.557277722e-04,-2.948649906e-04
113,41,1.614435061e-04,-2.948649906e-04
114,41,1.666778448e-04,-2.948649906e-04
115,41,1.714708543e-04,-2.948649906e-04
116,41,1.758610799e-04,-2.948649906e-04
117,41,1.798823926e-04,-2.948649906e-04
118,41,1.835651336e-04,-2.948649906e-04
119,41,1.869383710e-04,-2.948649906e-04
120,41,1.900294091e-04,-2.948649906e-04
121,41,1.928581583e-04,-2.948649906e-04
122,41,1.954511466e-04,-2.948649906e-04
123,41,1.978250706e-04,-2.948649906e-04
124,41,2.000000000e-04,-2.948649906e-04
125,41,2.023073590e-04,-2.948649906e-04
126,41,2.048262778e-04,-2.948649906e-04
127,41,2.075787525e-04,-2.948649906e-04
128,41,2.105843091e-04,-2.948649906e-04
129,41,2.138679432e-04,-2.948649906e-04
130,41,2.174546697e-04,-2.948649906e-04
131,41,2.213724959e-04,-2.948649906e-04
132,41,2.256503856e-04,-2.948649906e-04
133,41,2.303242912e-04,-2.948649906e-04
134,41,2.354283816e-04,-2.948649906e-04
135,41,2.410037832e-04,-2.948649906e-04
136,41,2.470936058e-04,-2.948649906e-04
137,41,2.537446444e-04,-2.948649906e-04
138,41,2.610133227e-04,-2.948649906e-04
139,41,2.689484386e-04,-2.948649906e-04
140,41,2.776157494e-04,-2.948649906e-04
141,41,2.870851727e-04,-2.948649906e-04
142,41,2.974263273e-04,-2.948649906e-04
143,41,3.087203809e-04,-2.948649906e-04
144,41,3.210579460e-04,-2.948649906e-04
145,41,3.345353188e-04,-2.948649906e-04
146,41,3.492615949e-04,-2.948649906e-04
147,41,3.653317449e-04,-2.948649906e-04
148,41,3.828930231e-04,-2.948649906e-04
149,41,4.020809215e-04,-2.948649906e-04
150,41,4.230318110e-04,-2.948649906e-04
151,41,4.459114310e-04,-2.948649906e-04
152,41,4.709074923e-04,-2.948649906e-04
153,41,4.982272631e-04,-2.948649906e-04
154,41,5.280468223e-04,-2.948649906e-04
155,41,5.606176878e-04,-2.948649906e-04
156,41,5.961968980e-04,-2.948649906e-04
157,41,6.350512450e-04,-2.948649906e-04
158,41,6.774964929e-04,-2.948649906e-04
159,41,7.238672441e-04,-2.948649906e-04
160,41,7.745057743e-04,-2.948649906e-04
161,41,8.298365598e-04,-2.948649906e-04
162,41,8.902404685e-04,-2.948649906e-04
163,41,9.562452265e-04,-2.948649906e-04
164,41,1.028315419e-03,-2.948649906e-04
165,41,1.107064121e-03,-2.948649906e-04
166,41,1.193057227e-03,-2.948649906e-04
167,41,1.286983765e-03,-2.948649906e-04
168,41,1.389582490e-03,-2.948649906e-04
169,41,1.501687528e-03,-2.948649906e-04
170,41,1.618967549e-03,-2.948649906e-04
171,41,1.727165678e-03,-2.948649906e-04
172,41,1.826235815e-03,-2.948649906e-04
173,41,1.916950625e-03,-2.948649906e-04
174,41,2.000000000e-03,-2.948649906e-04
175,41,2.082774889e-03,-2.948649906e-04
176,41,2.173107050e-03,-2.948649906e-04
177,41,2.271750002e-03,-2.948649906e-04
178,41,2.379493458e-03,-2.948649906e-04
179,41,2.497113169e-03,-2.948649906e-04
180,41,2.625517812e-03,-2.948649906e-04
181,41,2.765775452e-03,-2.948649906e-04
182,41,2.918996293e-03,-2.948649906e-04
183,41,3.080897764e-03,-2.948649906e-04
184,41,3.243063259e-03,-2.948649906e-04
185,41,3.405228754e-03,-2.948649906e-04
186,41,3.567394249e-03,-2.948649906e-04
187,41,3.729559744e-03,-2.948649906e-04
188,41,3.891725240e-03,-2.948649906e-04
189,41,4.053890735e-03,-2.948649906e-04
190,41,4.216056230e-03,-2.948649906e-04
191,41,4.378221725e-03,-2.948649906e-04
192,41,4.540387220e-03,-2.948649906e-04
193,41,4.702552716e-03,-2.948649906e-04
194,41,4.864718211e-03,-2.948649906e-04
195,41,5.026883706e-03,-2.948649906e-04
196,41,5.189049201e-03,-2.948649906e-04
197,41,5.351214697e-03,-2.948649906e-04
198,41,5.513380192e-03,-2.948649906e-04
199,41,5.675545687e-03,-2.948649906e-04
200,41,5.837711182e-03,-2.948649906e-04
201,41,5.999876677e-03,-2.948649906e-04
202,41,6.162042173e-03,-2.948649906e-04
203,41,6.324207668e-03,-2.948649906e-04
204,41,6.486373163e-03,-2.948649906e-04
205,41,6.648538658e-03,-2.948649906e-04
206,41,6.810704153e-03,-2.948649906e-04
207,41,6.972869649e-03,-2.948649906e-04
208,41,7.135035144e-03,-2.948649906e-04
209,41,7.297200639e-03,-2.948649906e-04
210,41,7.459366134e-03,-2.948649906e-04
211,41,7.621531629e-03,-2.948649906e-04
212,41,7.783697125e-03,-2.948649906e-04
213,41,7.945862620e-03,-2.948649906e-04
214,41,8.108028115e-03,-2.948649906e-04
215,41,8.270193610e-03,-2.948649906e-04
216,41,8.432359105e-03,-2.948649906e-04
217,41,8.594524601e-03,-2.948649906e-04
218,41,8.756690096e-03,-2.948649906e-04
219,41,8.918855591e-03,-2.948649906e-04
220,41,9.081021086e-03,-2.948649906e-04
221,41,9.243186581e-03,-2.948649906e-04
222,41,9.405352077e-03,-2.948649906e-04
223,41,9.567517572e-03,-2.948649906e-04
224,41,9.729683067e-03,-2.948649906e-04
225,41,9.891848562e-03,-2.948649906e-04
226,41,1.005401406e-02,-2.948649906e-04
227,41,1.021617955e-02,-2.948649906e-04
228,41,1.037834505e-02,-2.948649906e-04
229,41,1.054051054e-02,-2.948649906e-04
230,41,1.070267604e-02,-2.948649906e-04
231,41,1.086484153e-02,-2.948649906e-04
232,41,1.102700703e-02,-2.948649906e-04
233,41,1.118917252e-02,-2.948649906e-04
234,41,1.135133802e-02,-2.948649906e-04
235,41,1.151350351e-02,-2.948649906e-04
236,41,1.167566901e-02,-2.948649906e-04
237,41,1.183783450e-02,-2.948649906e-04
238,41,1.200000000e-02,-2.948649906e-04
0,42,0.000000000e+00,-2.723926365e-04
1,42,2.253927972e-07,-2.723926365e-04
2,42,4.710108625e-07,-2.723926365e-04
3,42,7.388114821e-07,-2.723926365e-04
4,42,1.030777353e-06,-2.723926365e-04
5,42,1.349134956e-06,-2.723926365e-04
6,42,1.696071563e-06,-2.723926365e-04
7,42,2.065284294e-06,-2.723926365e-04
8,42,2.411371865e-06,-2.723926365e-04
9,42,2.728827367e-06,-2.723926365e-04
10,42,3.019944202e-06,-2.723926365e-04
11,42,3.287031469e-06,-2.723926365e-04
12,42,3.531983203e-06,-2.723926365e-04
13,42,3.756739224e-06,-2.723926365e-04
14,42,3.962851098e-06,-2.723926365e-04
15,42,4.151964219e-06,-2.723926365e-04
16,42,4.325432522e-06,-2.723926365e-04
17,42,4.484611324e-06,-2.723926365e-04
18,42,4.630594259e-06,-2.723926365e-04
19,42,4.764494569e-06,-2.723926365e-04
20,42,4.887303601e-06,-2.723926365e-04
21,42,5.000000000e-06,-2.723926365e-04
22,42,5.344545024e-06,-2.723926365e-04
23,42,5.720728404e-06,-2.723926365e-04
24,42,6.131424688e-06,-2.723926365e-04
25,42,6.579792067e-06,-2.723926365e-04
26,42,7.069682790e-06,-2.723926365e-04
27,42,7.604221304e-06,-2.723926365e-04
28,42,8.187924336e-06,-2.723926365e-04
29,42,8.825326016e-06,-2.723926365e-04
30,42,9.521221193e-06,-2.723926365e-04
31,42,1.028089317e-05,-2.723926365e-04
32,42,1.111056343e-05,-2.723926365e-04
33,42,1.201639249e-05,-2.723926365e-04
34,42,1.298360751e-05,-2.723926365e-04
35,42,1.388943657e-05,-2.723926365e-04
36,42,1.471910683e-05,-2.723926365e-04
37,42,1.547877881e-05,-2.723926365e-04
38,42,1.617467398e-05,-2.723926365e-04
39,42,1.681207566e-05,-2.723926365e-04
40,42,1.739577870e-05,-2.723926365e-04
41,42,1.793031721e-05,-2.723926365e-04
42,42,1.842020793e-05,-2.723926365e-04
43,42,1.886857531e-05,-2.723926365e-04
44,42,1.927927160e-05,-2.723926365e-04
45,42,1.965545498e-05,-2.723926365e-04
46,42,2.000000000e-05,-2.723926365e-04
47,42,2.010805618e-05,-2.723926365e-04
48,42,2.022595285e-05,-2.723926365e-04
49,42,2.035459775e-05,-2.723926365e-04
50,42,2.049498821e-05,-2.723926365e-04
51,42,2.064826006e-05,-2.723926365e-04
52,42,2.081535157e-05,-2.723926365e-04
53,42,2.099777754e-05,-2.723926365e-04
54,42,2.119689800e-05,-2.723926365e-04
55,42,2.141410532e-05,-2.723926365e-04
56,42,2.165116416e-05,-2.723926365e-04
57,42,2.190983090e-05,-2.723926365e-04
58,42,2.219208379e-05,-2.723926365e-04
59,42,2.250020445e-05,-2.723926365e-04
60,42,2.283635452e-05,-2.723926365e-04
61,42,2.320312564e-05,-2.723926365e-04
62,42,2.360338148e-05,-2.723926365e-04
63,42,2.404015658e-05,-2.723926365e-04
64,42,2.451665868e-05,-2.723926365e-04
65,42,2.503676791e-05,-2.723926365e-04
66,42,2.560437513e-05,-2.723926365e-04
67,42,2.622369757e-05,-2.723926365e-04
68,42,2.688064397e-05,-2.723926365e-04
69,42,2.749373137e-05,-2.723926365e-04
70,42,2.805529321e-05,-2.723926365e-04
71,42,2.856987281e-05,-2.723926365e-04
72,42,2.904145948e-05,-2.723926365e-04
73,42,2.947368421e-05,-2.723926365e-04
74,42,2.990868297e-05,-2.723926365e-04
75,42,3.038341652e-05,-2.723926365e-04
76,42,3.090184239e-05,-2.723926365e-04
77,42,3.146778324e-05,-2.723926365e-04
78,42,3.208581625e-05,-2.723926365e-04
79,42,3.276073484e-05,-2.723926365e-04
80,42,3.349724986e-05,-2.723926365e-04
81,42,3.430131728e-05,-2.723926365e-04
82,42,3.517965823e-05,-2.723926365e-04
83,42,3.613813726e-05,-2.723926365e-04
84,42,3.718507681e-05,-2.723926365e-04
85,42,3.832780448e-05,-2.723926365e-04
86,42,3.957561045e-05,-2.723926365e-04
87,42,4.093854473e-05,-2.723926365e-04
88,42,4.242542050e-05,-2.723926365e-04
89,42,4.404956552e-05,-2.723926365e-04
90,42,4.582227382e-05,-2.723926365e-04
91,42,4.775808616e-05,-2.723926365e-04
92,42,4.987178140e-05,-2.723926365e-04
93,42,5.217920429e-05,-2.723926365e-04
94,42,5.469866297e-05,-2.723926365e-04
95,42,5.744905551e-05,-2.723926365e-04
96,42,6.045387799e-05,-2.723926365e-04
97,42,6.373271678e-05,-2.723926365e-04
98,42,6.731217269e-05,-2.723926365e-04
99,42,7.122108778e-05,-2.723926365e-04
100,42,7.548786712e-05,-2.723926365e-04
101,42,8.014712385e-05,-2.723926365e-04
102,42,8.523466155e-05,-2.723926365e-04
103,42,9.078843638e-05,-2.723926365e-04
104,42,9.685525750e-05,-2.723926365e-04
105,42,1.034758769e-04,-2.723926365e-04
106,42,1.107020219e-04,-2.723926365e-04
107,42,1.185948933e-04,-2.723926365e-04
108,42,1.271212752e-04,-2.723926365e-04
109,42,1.352404309e-04,-2.723926365e-04
110,42,1.426794381e-04,-2.723926365e-04
111,42,1.494903129e-04,-2.723926365e-04
112,42,1.557277722e-04,-2.723926365e-04
113,42,1.614435061e-04,-2.723926365e-04
114,42,1.666778448e-04,-2.723926365e-04
115,42,1.714708543e-04,-2.723926365e-04
116,42,1.758610799e-04,-2.723926365e-04
117,42,1.798823926e-04,-2.723926365e-04
118,42,1.835651336e-04,-2.723926365e-04
119,42,1.869383710e-04,-2.723926365e-04
120,42,1.900294091e-04,-2.723926365e-04
121,42,1.928581583e-04,-2.723926365e-04
122,42,1.954511466e-04,-2.723926365e-04
123,42,1.978250706e-04,-2.723926365e-04
124,42,2.000000000e-04,-2.723926365e-04
125,42,2.023073590e-04,-2.723926365e-04
126,42,2.048262778e-04,-2.723926365e-04
127,42,2.075787525e-04,-2.723926365e-04
128,42,2.105843091e-04,-2.723926365e-04
129,42,2.138679432e-04,-2.723926365e-04
130,42,2.174546697e-04,-2.723926365e-04
131,42,2.213724959e-04,-2.723926365e-04
132,42,2.256503856e-04,-2.723926365e-04
133,42,2.303242912e-04,-2.723926365e-04
134,42,2.354283816e-04,-2.723926365e-04
135,42,2.410037832e-04,-2.723926365e-04
136,42,2.470936058e-04,-2.723926365e-04
137,42,2.537446444e-04,-2.723926365e-04
138,42,2.610133227e-04,-2.723926365e-04
139,42,2.689484386e-04,-2.723926365e-04
140,42,2.776157494e-04,-2.723926365e-04
141,42,2.870851727e-04,-2.723926365e-04
142,42,2.974263273e-04,-2.723926365e-04
143,42,3.087203809e-04,-2.723926365e-04
144,42,3.210579460e-04,-2.723926365e-04
145,42,3.345353188e-04,-2.723926365e-04
146,42,3.492615949e-04,-2.723926365e-04
147,42,3.653317449e-04,-2.723926365e-04
148,42,3.828930231e-04,-2.723926365e-04
149,42,4.020809215e-04,-2.723926365e-04
150,42,4.230318110e-04,-2.723926365e-04
151,42,4.459114310e-04,-2.723926365e-04
152,42,4.709074923e-04,-2.723926365e-04
153,42,4.982272631e-04,-2.723926365e-04
154,42,5.280468223e-04,-2.723926365e-04
155,42,5.606176878e-04,-2.723926365e-04
156,42,5.961968980e-04,-2.723926365e-04
157,42,6.350512450e-04,-2.723926365e-04
158,42,6.774964929e-04,-2.723926365e-04
159,42,7.238672441e-04,-2.723926365e-04
160,42,7.745057743e-04,-2.723926365e-04
161,42,8.298365598e-04,-2.723926365e-04
162,42,8.902404685e-04,-2.723926365e-04
163,42,9.562452265e-04,-2.723926365e-04
164,42,1.028315419e-03,-2.723926365e-04
165,42,1.107064121e-03,-2.723926365e-04
166,42,1.193057227e-03,-2.723926365e-04
167,42,1.286983765e-03,-2.723926365e-04
168,42,1.389582490e-03,-2.723926365e-04
169,42,1.501687528e-03,-2.723926365e-04
170,42,1.618967549e-03,-2.723926365e-04
171,42,1.727165678e-03,-2.723926365e-04
172,42,1.826235815e-03,-2.723926365e-04
173,42,1.916950625e-03,-2.723926365e-04
174,42,2.000000000e-03,-2.723926365e-04
175,42,2.082774889e-03,-2.723926365e-04
176,42,2.173107050e-03,-2.723926365e-04
177,42,2.271750002e-03,-2.723926365e-04
178,42,2.379493458e-03,-2.723926365e-04
179,42,2.497113169e-03,-2.723926365e-04
180,42,2.625517812e-03,-2.723926365e-04
181,42,2.765775452e-03,-2.723926365e-04
182,42,2.918996293e-03,-2.723926365e-04
183,42,3.080897764e-03,-2.723926365e-04
184,42,3.243063259e-03,-2.723926365e-04
185,42,3.405228754e-03,-2.723926365e-04
186,42,3.567394249e-03,-2.723926365e-04
187,42,3.729559744e-03,-2.723926365e-04
188,42,3.891725240e-03,-2.723926365e-04
189,42,4.053890735e-03,-2.723926365e-04
190,42,4.216056230e-03,-2.723926365e-04
191,42,4.378221725e-03,-2.723926365e-04
192,42,4.540387220e-03,-2.723926365e-04
193,42,4.702552716e-03,-2.723926365e-04
194,42,4.864718211e-03,-2.723926365e-04
195,42,5.026883706e-03,-2.723926365e-04
196,42,5.189049201e-03,-2.723926365e-04
197,42,5.351214697e-03,-2.723926365e-04
198,42,5.513380192e-03,-2.723926365e-04
199,42,5.675545687e-03,-2.723926365e-04
200,42,5.837711182e-03,-2.723926365e-04
