# strukturiertes Volumennetz: Knoten (i,j) -> (r,z)
# nr=239 nz=313
i,j,r_m,z_m
43,0,1.886857531e-05,-5.000000000e-03
44,0,1.927927160e-05,-5.000000000e-03
45,0,1.965545498e-05,-5.000000000e-03
46,0,2.000000000e-05,-5.000000000e-03
47,0,2.010805618e-05,-5.000000000e-03
48,0,2.022595285e-05,-5.000000000e-03
49,0,2.035459775e-05,-5.000000000e-03
50,0,2.049498821e-05,-5.000000000e-03
51,0,2.064826006e-05,-5.000000000e-03
52,0,2.081535157e-05,-5.000000000e-03
53,0,2.099777754e-05,-5.000000000e-03
54,0,2.119689800e-05,-5.000000000e-03
55,0,2.141410532e-05,-5.000000000e-03
56,0,2.165116416e-05,-5.000000000e-03
57,0,2.190983090e-05,-5.000000000e-03
58,0,2.219208379e-05,-5.000000000e-03
59,0,2.250020445e-05,-5.000000000e-03
60,0,2.283635452e-05,-5.000000000e-03
61,0,2.320312564e-05,-5.000000000e-03
62,0,2.360338148e-05,-5.000000000e-03
63,0,2.404015658e-05,-5.000000000e-03
64,0,2.451665868e-05,-5.000000000e-03
65,0,2.503676791e-05,-5.000000000e-03
66,0,2.560437513e-05,-5.000000000e-03
67,0,2.622369757e-05,-5.000000000e-03
68,0,2.688064397e-05,-5.000000000e-03
69,0,2.749373137e-05,-5.000000000e-03
70,0,2.805529321e-05,-5.000000000e-03
71,0,2.856987281e-05,-5.000000000e-03
72,0,2.904145948e-05,-5.000000000e-03
73,0,2.947368421e-05,-5.000000000e-03
74,0,2.990868297e-05,-5.000000000e-03
75,0,3.038341652e-05,-5.000000000e-03
76,0,3.090184239e-05,-5.000000000e-03
77,0,3.146778324e-05,-5.000000000e-03
78,0,3.208581625e-05,-5.000000000e-03
79,0,3.276073484e-05,-5.000000000e-03
80,0,3.349724986e-05,-5.000000000e-03
81,0,3.430131728e-05,-5.000000000e-03
82,0,3.517965823e-05,-5.000000000e-03
83,0,3.613813726e-05,-5.000000000e-03
84,0,3.718507681e-05,-5.000000000e-03
85,0,3.832780448e-05,-5.000000000e-03
86,0,3.957561045e-05,-5.000000000e-03
87,0,4.093854473e-05,-5.000000000e-03
88,0,4.242542050e-05,-5.000000000e-03
89,0,4.404956552e-05,-5.000000000e-03
90,0,4.582227382e-05,-5.000000000e-03
91,0,4.775808616e-05,-5.000000000e-03
92,0,4.987178140e-05,-5.000000000e-03
93,0,5.217920429e-05,-5.000000000e-03
94,0,5.469866297e-05,-5.000000000e-03
95,0,5.744905551e-05,-5.000000000e-03
96,0,6.045387799e-05,-5.000000000e-03
97,0,6.373271678e-05,-5.000000000e-03
98,0,6.731217269e-05,-5.000000000e-03
99,0,7.122108778e-05,-5.000000000e-03
100,0,7.548786712e-05,-5.000000000e-03
101,0,8.014712385e-05,-5.000000000e-03
102,0,8.523466155e-05,-5.000000000e-03
103,0,9.078843638e-05,-5.000000000e-03
104,0,9.685525750e-05,-5.000000000e-03
105,0,1.034758769e-04,-5.000000000e-03
106,0,1.107020219e-04,-5.000000000e-03
107,0,1.185948933e-04,-5.000000000e-03
108,0,1.271212752e-04,-5.000000000e-03
109,0,1.352404309e-04,-5.000000000e-03
110,0,1.426794381e-04,-5.000000000e-03
111,0,1.494903129e-04,-5.000000000e-03
112,0,1.557277722e-04,-5.000000000e-03
113,0,1.614435061e-04,-5.000000000e-03
114,0,1.666778448e-04,-5.000000000e-03
115,0,1.714708543e-04,-5.000000000e-03
116,0,1.758610799e-04,-5.000000000e-03
117,0,1.798823926e-04,-5.000000000e-03
118,0,1.835651336e-04,-5.000000000e-03
119,0,1.869383710e-04,-5.000000000e-03
120,0,1.900294091e-04,-5.000000000e-03
121,0,1.928581583e-04,-5.000000000e-03
122,0,1.954511466e-04,-5.000000000e-03
123,0,1.978250706e-04,-5.000000000e-03
124,0,2.000000000e-04,-5.000000000e-03
125,0,2.023073590e-04,-5.000000000e-03
126,0,2.048262778e-04,-5.000000000e-03
127,0,2.075787525e-04,-5.000000000e-03
128,0,2.105843091e-04,-5.000000000e-03
129,0,2.138679432e-04,-5.000000000e-03
130,0,2.174546697e-04,-5.000000000e-03
131,0,2.213724959e-04,-5.000000000e-03
132,0,2.256503856e-04,-5.000000000e-03
133,0,2.303242912e-04,-5.000000000e-03
134,0,2.354283816e-04,-5.000000000e-03
135,0,2.410037832e-04,-5.000000000e-03
136,0,2.470936058e-04,-5.000000000e-03
137,0,2.537446444e-04,-5.000000000e-03
138,0,2.610133227e-04,-5.000000000e-03
139,0,2.689484386e-04,-5.000000000e-03
140,0,2.776157494e-04,-5.000000000e-03
141,0,2.870851727e-04,-5.000000000e-03
142,0,2.974263273e-04,-5.000000000e-03
143,0,3.087203809e-04,-5.000000000e-03
144,0,3.210579460e-04,-5.000000000e-03
145,0,3.345353188e-04,-5.000000000e-03
146,0,3.492615949e-04,-5.000000000e-03
147,0,3.653317449e-04,-5.000000000e-03
148,0,3.828930231e-04,-5.000000000e-03
149,0,4.020809215e-04,-5.000000000e-03
150,0,4.230318110e-04,-5.000000000e-03
151,0,4.459114310e-04,-5.000000000e-03
152,0,4.709074923e-04,-5.000000000e-03
153,0,4.982272631e-04,-5.000000000e-03
154,0,5.280468223e-04,-5.000000000e-03
155,0,5.606176878e-04,-5.000000000e-03
156,0,5.961968980e-04,-5.000000000e-03
157,0,6.350512450e-04,-5.000000000e-03
158,0,6.774964929e-04,-5.000000000e-03
159,0,7.238672441e-04,-5.000000000e-03
160,0,7.745057743e-04,-5.000000000e-03
161,0,8.298365598e-04,-5.000000000e-03
162,0,8.902404685e-04,-5.000000000e-03
163,0,9.562452265e-04,-5.000000000e-03
164,0,1.028315419e-03,-5.000000000e-03
165,0,1.107064121e-03,-5.000000000e-03
166,0,1.193057227e-03,-5.000000000e-03
167,0,1.286983765e-03,-5.000000000e-03
168,0,1.389582490e-03,-5.000000000e-03
169,0,1.501687528e-03,-5.000000000e-03
170,0,1.618967549e-03,-5.000000000e-03
171,0,1.727165678e-03,-5.000000000e-03
172,0,1.826235815e-03,-5.000000000e-03
173,0,1.916950625e-03,-5.000000000e-03
174,0,2.000000000e-03,-5.000000000e-03
175,0,2.082774889e-03,-5.000000000e-03
176,0,2.173107050e-03,-5.000000000e-03
177,0,2.271750002e-03,-5.000000000e-03
178,0,2.379493458e-03,-5.000000000e-03
179,0,2.497113169e-03,-5.000000000e-03
180,0,2.625517812e-03,-5.000000000e-03
181,0,2.765775452e-03,-5.000000000e-03
182,0,2.918996293e-03,-5.000000000e-03
183,0,3.080897764e-03,-5.000000000e-03
184,0,3.243063259e-03,-5.000000000e-03
185,0,3.405228754e-03,-5.000000000e-03
186,0,3.567394249e-03,-5.000000000e-03
187,0,3.729559744e-03,-5.000000000e-03
188,0,3.891725240e-03,-5.000000000e-03
189,0,4.053890735e-03,-5.000000000e-03
190,0,4.216056230e-03,-5.000000000e-03
191,0,4.378221725e-03,-5.000000000e-03
192,0,4.540387220e-03,-5.000000000e-03
193,0,4.702552716e-03,-5.000000000e-03
194,0,4.864718211e-03,-5.000000000e-03
195,0,5.026883706e-03,-5.000000000e-03
196,0,5.189049201e-03,-5.000000000e-03
197,0,5.351214697e-03,-5.000000000e-03
198,0,5.513380192e-03,-5.000000000e-03
199,0,5.675545687e-03,-5.000000000e-03
200,0,5.837711182e-03,-5.000000000e-03
201,0,5.999876677e-03,-5.000000000e-03
202,0,6.162042173e-03,-5.000000000e-03
203,0,6.324207668e-03,-5.000000000e-03
204,0,6.486373163e-03,-5.000000000e-03
205,0,6.648538658e-03,-5.000000000e-03
206,0,6.810704153e-03,-5.000000000e-03
207,0,6.972869649e-03,-5.000000000e-03
208,0,7.135035144e-03,-5.000000000e-03
209,0,7.297200639e-03,-5.000000000e-03
210,0,7.459366134e-03,-5.000000000e-03
211,0,7.621531629e-03,-5.000000000e-03
212,0,7.783697125e-03,-5.000000000e-03
213,0,7.945862620e-03,-5.000000000e-03
214,0,8.108028115e-03,-5.000000000e-03
215,0,8.270193610e-03,-5.000000000e-03
216,0,8.432359105e-03,-5.000000000e-03
217,0,8.594524601e-03,-5.000000000e-03
218,0,8.756690096e-03,-5.000000000e-03
219,0,8.918855591e-03,-5.000000000e-03
220,0,9.081021086e-03,-5.000000000e-03
221,0,9.243186581e-03,-5.000000000e-03
222,0,9.405352077e-03,-5.000000000e-03
223,0,9.567517572e-03,-5.000000000e-03
224,0,9.729683067e-03,-5.000000000e-03
225,0,9.891848562e-03,-5.000000000e-03
226,0,1.005401406e-02,-5.000000000e-03
227,0,1.021617955e-02,-5.000000000e-03
228,0,1.037834505e-02,-5.000000000e-03
229,0,1.054051054e-02,-5.000000000e-03
230,0,1.070267604e-02,-5.000000000e-03
231,0,1.086484153e-02,-5.000000000e-03
232,0,1.102700703e-02,-5.000000000e-03
233,0,1.118917252e-02,-5.000000000e-03
234,0,1.135133802e-02,-5.000000000e-03
235,0,1.151350351e-02,-5.000000000e-03
236,0,1.167566901e-02,-5.000000000e-03
237,0,1.183783450e-02,-5.000000000e-03
238,0,1.200000000e-02,-5.000000000e-03
0,1,0.000000000e+00,-4.836488260e-03
1,1,2.253927972e-07,-4.836488260e-03
2,1,4.710108625e-07,-4.836488260e-03
3,1,7.388114821e-07,-4.836488260e-03
4,1,1.030777353e-06,-4.836488260e-03
5,1,1.349134956e-06,-4.836488260e-03
6,1,1.696071563e-06,-4.836488260e-03
7,1,2.065284294e-06,-4.836488260e-03
8,1,2.411371865e-06,-4.836488260e-03
9,1,2.728827367e-06,-4.836488260e-03
10,1,3.019944202e-06,-4.836488260e-03
11,1,3.287031469e-06,-4.836488260e-03
12,1,3.531983203e-06,-4.836488260e-03
13,1,3.756739224e-06,-4.836488260e-03
14,1,3.962851098e-06,-4.836488260e-03
15,1,4.151964219e-06,-4.836488260e-03
16,1,4.325432522e-06,-4.836488260e-03
17,1,4.484611324e-06,-4.836488260e-03
18,1,4.630594259e-06,-4.836488260e-03
19,1,4.764494569e-06,-4.836488260e-03
20,1,4.887303601e-06,-4.836488260e-03
21,1,5.000000000e-06,-4.836488260e-03
22,1,5.344545024e-06,-4.836488260e-03
23,1,5.720728404e-06,-4.836488260e-03
24,1,6.131424688e-06,-4.836488260e-03
25,1,6.579792067e-06,-4.836488260e-03
26,1,7.069682790e-06,-4.836488260e-03
27,1,7.604221304e-06,-4.836488260e-03
28,1,8.187924336e-06,-4.836488260e-03
29,1,8.825326016e-06,-4.836488260e-03
30,1,9.521221193e-06,-4.836488260e-03
31,1,1.028089317e-05,-4.836488260e-03
32,1,1.111056343e-05,-4.836488260e-03
33,1,1.201639249e-05,-4.836488260e-03
34,1,1.298360751e-05,-4.836488260e-03
35,1,1.388943657e-05,-4.836488260e-03
36,1,1.471910683e-05,-4.836488260e-03
37,1,1.547877881e-05,-4.836488260e-03
38,1,1.617467398e-05,-4.836488260e-03
39,1,1.681207566e-05,-4.836488260e-03
40,1,1.739577870e-05,-4.836488260e-03
41,1,1.793031721e-05,-4.836488260e-03
42,1,1.842020793e-05,-4.836488260e-03
43,1,1.886857531e-05,-4.836488260e-03
44,1,1.927927160e-05,-4.836488260e-03
45,1,1.965545498e-05,-4.836488260e-03
46,1,2.000000000e-05,-4.836488260e-03
47,1,2.010805618e-05,-4.836488260e-03
48,1,2.022595285e-05,-4.836488260e-03
49,1,2.035459775e-05,-4.836488260e-03
50,1,2.049498821e-05,-4.836488260e-03
51,1,2.064826006e-05,-4.836488260e-03
52,1,2.081535157e-05,-4.836488260e-03
53,1,2.099777754e-05,-4.836488260e-03
54,1,2.119689800e-05,-4.836488260e-03
55,1,2.141410532e-05,-4.836488260e-03
56,1,2.165116416e-05,-4.836488260e-03
57,1,2.190983090e-05,-4.836488260e-03
58,1,2.219208379e-05,-4.836488260e-03
59,1,2.250020445e-05,-4.836488260e-03
60,1,2.283635452e-05,-4.836488260e-03
61,1,2.320312564e-05,-4.836488260e-03
62,1,2.360338148e-05,-4.836488260e-03
63,1,2.404015658e-05,-4.836488260e-03
64,1,2.451665868e-05,-4.836488260e-03
65,1,2.503676791e-05,-4.836488260e-03
66,1,2.560437513e-05,-4.836488260e-03
67,1,2.622369757e-05,-4.836488260e-03
68,1,2.688064397e-05,-4.836488260e-03
69,1,2.749373137e-05,-4.836488260e-03
70,1,2.805529321e-05,-4.836488260e-03
71,1,2.856987281e-05,-4.836488260e-03
72,1,2.904145948e-05,-4.836488260e-03
73,1,2.947368421e-05,-4.836488260e-03
74,1,2.990868297e-05,-4.836488260e-03
75,1,3.038341652e-05,-4.836488260e-03
76,1,3.090184239e-05,-4.836488260e-03
77,1,3.146778324e-05,-4.836488260e-03
78,1,3.208581625e-05,-4.836488260e-03
79,1,3.276073484e-05,-4.836488260e-03
80,1,3.349724986e-05,-4.836488260e-03
81,1,3.430131728e-05,-4.836488260e-03
