# einseitiges E_z unmittelbar ueber der ebenen Fluessigkeitsreferenz (z = 0+)
# 9 kantennahe Zellen sind ausgeschlossen: die unverrundete Austrittskante
# hat dort ein divergierendes Feld, das der Elementgroesse folgt.
r_m,Ez_V_per_m
0.000000000e+00,7.654476952e+07
2.253927972e-07,7.661996091e+07
4.710108625e-07,7.677528736e+07
7.388114821e-07,7.705844343e+07
1.030777353e-06,7.751126950e+07
1.349134956e-06,7.819139961e+07
1.696071563e-06,7.916564154e+07
2.065284294e-06,8.042475009e+07
2.411371865e-06,8.200182297e+07
2.728827367e-06,8.385211997e+07
3.019944202e-06,8.597658607e+07
3.287031469e-06,8.840108106e+07
3.531983203e-06,9.116951767e+07
