# branch segment: range ends past the turning point but above the target voltage
# r_contact (m) : 1.000000000e-05
h_over_rc,height_m,voltage_V,apex_field_Vpm,apex_radius_m,status
1.000000000e-01,1.000000000e-06,8.717943811e+02,2.049701900e+07,4.861196526e-05,converged
1.411684352e-01,1.411684352e-06,9.771996066e+02,2.474985946e+07,3.334649679e-05,converged
1.823368704e-01,1.823368704e-06,1.049158481e+03,2.859214507e+07,2.499033470e-05,converged
2.235053056e-01,2.235053056e-06,1.098905752e+03,3.219760627e+07,1.970584066e-05,converged
2.646737408e-01,2.646737408e-06,1.132927401e+03,3.565309489e+07,1.607361941e-05,converged
3.058421760e-01,3.058421760e-06,1.155475992e+03,3.903133507e+07,1.341444505e-05,converged
3.470106112e-01,3.470106112e-06,1.169536269e+03,4.240837969e+07,1.136263934e-05,converged
3.881790464e-01,3.881790464e-06,1.177069268e+03,4.580820244e+07,9.740947840e-06,converged
4.293474816e-01,4.293474816e-06,1.179760830e+03,4.932791826e+07,8.400631157e-06,converged
4.705159168e-01,4.705159168e-06,1.178706930e+03,5.302640617e+07,7.269940169e-06,converged
5.116843520e-01,5.116843520e-06,1.174800480e+03,5.700103682e+07,6.292086394e-06,converged
5.528527872e-01,5.528527872e-06,1.168738923e+03,6.139502476e+07,5.424766308e-06,converged
