# application : branch_figure
# state       : UpperHeight solution at the target voltage
# voltage     : 1155.06 V (emitter minus extractor)
# note        : apex height only -- no stability claim
# WARNUNG     : Prototyp, keine validierte Simulation. Siehe docs/.
i,r,z
0,1.000000000e-05,0.000000000e+00
1,9.703720553e-06,1.976162231e-07
2,9.414124962e-06,3.965526673e-07
3,9.130683743e-06,5.959121976e-07
4,8.853078767e-06,7.951479296e-07
5,8.581053597e-06,9.938258737e-07
6,8.314397623e-06,1.191592897e-06
7,8.052931127e-06,1.388149982e-06
8,7.796492127e-06,1.583230848e-06
9,7.544933500e-06,1.776595757e-06
10,7.298123787e-06,1.968030652e-06
11,7.055918327e-06,2.157308751e-06
12,6.818188575e-06,2.344227461e-06
13,6.584814264e-06,2.528597067e-06
14,6.355681904e-06,2.710237904e-06
15,6.130683569e-06,2.888978048e-06
16,5.909700449e-06,3.064631941e-06
17,5.692628590e-06,3.237032063e-06
18,5.479356196e-06,3.405999580e-06
19,5.269793929e-06,3.571381798e-06
20,5.063819884e-06,3.732981668e-06
21,4.861359358e-06,3.890658106e-06
22,4.662311222e-06,4.044231553e-06
23,4.466574230e-06,4.193515603e-06
24,4.274085540e-06,4.338366854e-06
25,4.084766573e-06,4.478613220e-06
26,3.898545751e-06,4.614081862e-06
27,3.715362216e-06,4.744602862e-06
28,3.535168970e-06,4.870012463e-06
29,3.357935774e-06,4.990156437e-06
30,3.183651582e-06,5.104893360e-06
31,3.012325742e-06,5.214096644e-06
32,2.843958140e-06,5.317605772e-06
33,2.678610771e-06,5.415340928e-06
34,2.516327895e-06,5.507172914e-06
35,2.357215456e-06,5.593059682e-06
36,2.201368979e-06,5.672921346e-06
37,2.048956803e-06,5.746801907e-06
38,1.900117694e-06,5.814673119e-06
39,1.755045265e-06,5.876608891e-06
40,1.613947987e-06,5.932714308e-06
41,1.477038966e-06,5.983103307e-06
42,1.344563253e-06,6.027979966e-06
43,1.216767390e-06,6.067571713e-06
44,1.093895686e-06,6.102119232e-06
45,9.762034763e-07,6.131930173e-06
46,8.639383687e-07,6.157322699e-06
47,7.573455577e-07,6.178648546e-06
48,6.566630521e-07,6.196275304e-06
49,5.621214517e-07,6.210579348e-06
50,4.739457496e-07,6.221945831e-06
51,3.923565679e-07,6.230757043e-06
52,3.175737270e-07,6.237382790e-06
53,2.498229496e-07,6.242187001e-06
54,1.893425301e-07,6.245509344e-06
55,1.363955082e-07,6.247668229e-06
56,9.128694527e-08,6.248954853e-06
57,5.439304756e-08,6.249628654e-06
58,2.621739112e-08,6.249913626e-06
59,7.529018468e-09,6.249992867e-06
60,0.000000000e+00,6.250000000e-06
