# application : branch_figure
# state       : emitter and extractor geometry
# voltage     : 1154.5 V (emitter minus extractor)
# note        : meniscus in this mesh is the lower one
# WARNUNG     : Prototyp, keine validierte Simulation. Siehe docs/.
i,r_a,z_a,r_b,z_b,r_mid,z_mid,len,area,nr,nz,tag,body,potential
10,2.000000000e-05,-6.980787516e-04,2.000000000e-05,-6.706264389e-04,2.000000000e-05,-6.843525953e-04,2.745231271e-05,3.449759358e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
11,2.000000000e-05,-6.706264389e-04,2.000000000e-05,-6.442262984e-04,2.000000000e-05,-6.574263687e-04,2.640014050e-05,3.317539497e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
12,2.000000000e-05,-6.442262984e-04,2.000000000e-05,-6.188380033e-04,2.000000000e-05,-6.315321509e-04,2.538829517e-05,3.190387263e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
13,2.000000000e-05,-6.188380033e-04,2.000000000e-05,-5.944227722e-04,2.000000000e-05,-6.066303877e-04,2.441523111e-05,3.068108427e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
14,2.000000000e-05,-5.944227722e-04,2.000000000e-05,-5.709433102e-04,2.000000000e-05,-5.826830412e-04,2.347946193e-05,2.950516205e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
15,2.000000000e-05,-5.709433102e-04,2.000000000e-05,-5.483637520e-04,2.000000000e-05,-5.596535311e-04,2.257955824e-05,2.837430972e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
16,2.000000000e-05,-5.483637520e-04,2.000000000e-05,-5.266496066e-04,2.000000000e-05,-5.375066793e-04,2.171414540e-05,2.728679987e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
17,2.000000000e-05,-5.266496066e-04,2.000000000e-05,-5.057677051e-04,2.000000000e-05,-5.162086559e-04,2.088190147e-05,2.624097131e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
18,2.000000000e-05,-5.057677051e-04,2.000000000e-05,-4.856861499e-04,2.000000000e-05,-4.957269275e-04,2.008155519e-05,2.523522650e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
19,2.000000000e-05,-4.856861499e-04,2.000000000e-05,-4.663742659e-04,2.000000000e-05,-4.760302079e-04,1.931188398e-05,2.426802914e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
20,2.000000000e-05,-4.663742659e-04,2.000000000e-05,-4.478025538e-04,2.000000000e-05,-4.570884099e-04,1.857171218e-05,2.333790182e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
21,2.000000000e-05,-4.478025538e-04,2.000000000e-05,-4.299426446e-04,2.000000000e-05,-4.388725992e-04,1.785990914e-05,2.244342374e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
22,2.000000000e-05,-4.299426446e-04,2.000000000e-05,-4.127672571e-04,2.000000000e-05,-4.213549508e-04,1.717538757e-05,2.158322856e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
23,2.000000000e-05,-4.127672571e-04,2.000000000e-05,-3.962501552e-04,2.000000000e-05,-4.045087061e-04,1.651710184e-05,2.075600232e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
24,2.000000000e-05,-3.962501552e-04,2.000000000e-05,-3.803661088e-04,2.000000000e-05,-3.883081320e-04,1.588404641e-05,1.996048140e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
25,2.000000000e-05,-3.803661088e-04,2.000000000e-05,-3.650908545e-04,2.000000000e-05,-3.727284817e-04,1.527525426e-05,1.919545063e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
26,2.000000000e-05,-3.650908545e-04,2.000000000e-05,-3.504010591e-04,2.000000000e-05,-3.577459568e-04,1.468979546e-05,1.845974140e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
27,2.000000000e-05,-3.504010591e-04,2.000000000e-05,-3.362742834e-04,2.000000000e-05,-3.433376712e-04,1.412677569e-05,1.775222989e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
28,2.000000000e-05,-3.362742834e-04,2.000000000e-05,-3.226889484e-04,2.000000000e-05,-3.294816159e-04,1.358533494e-05,1.707183537e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
29,2.000000000e-05,-3.226889484e-04,2.000000000e-05,-3.096243023e-04,2.000000000e-05,-3.161566254e-04,1.306464613e-05,1.641751852e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
30,2.000000000e-05,-3.096243023e-04,2.000000000e-05,-2.970603884e-04,2.000000000e-05,-3.033423454e-04,1.256391390e-05,1.578827984e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
31,2.000000000e-05,-2.970603884e-04,2.000000000e-05,-2.849780150e-04,2.000000000e-05,-2.910192017e-04,1.208237337e-05,1.518315817e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
32,2.000000000e-05,-2.849780150e-04,2.000000000e-05,-2.733587261e-04,2.000000000e-05,-2.791683706e-04,1.161928898e-05,1.460122916e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
33,2.000000000e-05,-2.733587261e-04,2.000000000e-05,-2.621847727e-04,2.000000000e-05,-2.677717494e-04,1.117395334e-05,1.404160390e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
34,2.000000000e-05,-2.621847727e-04,2.000000000e-05,-2.514390865e-04,2.000000000e-05,-2.568119296e-04,1.074568621e-05,1.350342754e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
35,2.000000000e-05,-2.514390865e-04,2.000000000e-05,-2.411052531e-04,2.000000000e-05,-2.462721698e-04,1.033383339e-05,1.298587802e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
36,2.000000000e-05,-2.411052531e-04,2.000000000e-05,-2.311674874e-04,2.000000000e-05,-2.361363702e-04,9.937765758e-06,1.248816476e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
37,2.000000000e-05,-2.311674874e-04,2.000000000e-05,-2.216106090e-04,2.000000000e-05,-2.263890482e-04,9.556878320e-06,1.200952749e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
38,2.000000000e-05,-2.216106090e-04,2.000000000e-05,-2.124200198e-04,2.000000000e-05,-2.170153144e-04,9.190589258e-06,1.154923508e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
39,2.000000000e-05,-2.124200198e-04,2.000000000e-05,-2.035816807e-04,2.000000000e-05,-2.080008503e-04,8.838339056e-06,1.110658442e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
40,2.000000000e-05,-2.035816807e-04,2.000000000e-05,-1.950820911e-04,2.000000000e-05,-1.993318859e-04,8.499589643e-06,1.068089935e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
41,2.000000000e-05,-1.950820911e-04,2.000000000e-05,-1.869082675e-04,2.000000000e-05,-1.909951793e-04,8.173823570e-06,1.027152963e-09,1.000000,-0.000000,emitter,0,1.154497914e+03
42,2.000000000e-05,-1.869082675e-04,2.000000000e-05,-1.790477243e-04,2.000000000e-05,-1.829779959e-04,7.860543222e-06,9.877849936e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
43,2.000000000e-05,-1.790477243e-04,2.000000000e-05,-1.714884542e-04,2.000000000e-05,-1.752680893e-04,7.559270055e-06,9.499258908e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
44,2.000000000e-05,-1.714884542e-04,2.000000000e-05,-1.642189104e-04,2.000000000e-05,-1.678536823e-04,7.269543865e-06,9.135178241e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
45,2.000000000e-05,-1.642189104e-04,2.000000000e-05,-1.572279883e-04,2.000000000e-05,-1.607234493e-04,6.990922090e-06,8.785051792e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
46,2.000000000e-05,-1.572279883e-04,2.000000000e-05,-1.505050092e-04,2.000000000e-05,-1.538664987e-04,6.722979127e-06,8.448344734e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
47,2.000000000e-05,-1.505050092e-04,2.000000000e-05,-1.440397035e-04,2.000000000e-05,-1.472723563e-04,6.465305686e-06,8.124542739e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
48,2.000000000e-05,-1.440397035e-04,2.000000000e-05,-1.378221953e-04,2.000000000e-05,-1.409309494e-04,6.217508166e-06,7.813151191e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
49,2.000000000e-05,-1.378221953e-04,2.000000000e-05,-1.318429873e-04,2.000000000e-05,-1.348325913e-04,5.979208047e-06,7.513694430e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
50,2.000000000e-05,-1.318429873e-04,2.000000000e-05,-1.260929459e-04,2.000000000e-05,-1.289679666e-04,5.750041322e-06,7.225715030e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
51,2.000000000e-05,-1.260929459e-04,2.000000000e-05,-1.205632880e-04,2.000000000e-05,-1.233281170e-04,5.529657932e-06,6.948773095e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
52,2.000000000e-05,-1.205632880e-04,2.000000000e-05,-1.152455668e-04,2.000000000e-05,-1.179044274e-04,5.317721236e-06,6.682445588e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
53,2.000000000e-05,-1.152455668e-04,2.000000000e-05,-1.101316593e-04,2.000000000e-05,-1.126886130e-04,5.113907495e-06,6.426325687e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
54,2.000000000e-05,-1.101316593e-04,2.000000000e-05,-1.052137539e-04,2.000000000e-05,-1.076727066e-04,4.917905378e-06,6.180022163e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
55,2.000000000e-05,-1.052137539e-04,2.000000000e-05,-1.004843384e-04,2.000000000e-05,-1.028490462e-04,4.729415488e-06,5.943158781e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
56,2.000000000e-05,-1.004843384e-04,2.000000000e-05,-9.593618851e-05,2.000000000e-05,-9.821026346e-05,4.548149901e-06,5.715373726e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
57,2.000000000e-05,-9.593618851e-05,2.000000000e-05,-9.156235678e-05,2.000000000e-05,-9.374927265e-05,4.373831728e-06,5.496319050e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
58,2.000000000e-05,-9.156235678e-05,2.000000000e-05,-8.735616209e-05,2.000000000e-05,-8.945925943e-05,4.206194696e-06,5.285660143e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
59,2.000000000e-05,-8.735616209e-05,2.000000000e-05,-8.331117935e-05,2.000000000e-05,-8.533367072e-05,4.044982733e-06,5.083075216e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
60,2.000000000e-05,-8.331117935e-05,2.000000000e-05,-7.942122977e-05,2.000000000e-05,-8.136620456e-05,3.889949585e-06,4.888254816e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
61,2.000000000e-05,-7.942122977e-05,2.000000000e-05,-7.568037133e-05,2.000000000e-05,-7.755080055e-05,3.740858435e-06,4.700901351e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
62,2.000000000e-05,-7.568037133e-05,2.000000000e-05,-7.208288979e-05,2.000000000e-05,-7.388163056e-05,3.597481541e-06,4.520728632e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
63,2.000000000e-05,-7.208288979e-05,2.000000000e-05,-6.862328990e-05,2.000000000e-05,-7.035308985e-05,3.459599892e-06,4.347461443e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
64,2.000000000e-05,-6.862328990e-05,2.000000000e-05,-6.529628703e-05,2.000000000e-05,-6.695978846e-05,3.327002871e-06,4.180835111e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
65,2.000000000e-05,-6.529628703e-05,2.000000000e-05,-6.209679910e-05,2.000000000e-05,-6.369654306e-05,3.199487932e-06,4.020595112e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
66,2.000000000e-05,-6.209679910e-05,2.000000000e-05,-5.901993880e-05,2.000000000e-05,-6.055836895e-05,3.076860292e-06,3.866496675e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
67,2.000000000e-05,-5.901993880e-05,2.000000000e-05,-5.606100617e-05,2.000000000e-05,-5.754047249e-05,2.958932635e-06,3.718304411e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
68,2.000000000e-05,-5.606100617e-05,2.000000000e-05,-5.321548135e-05,2.000000000e-05,-5.463824376e-05,2.845524823e-06,3.575791951e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
69,2.000000000e-05,-5.321548135e-05,2.000000000e-05,-5.047901772e-05,2.000000000e-05,-5.184724954e-05,2.736463623e-06,3.438741605e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
70,2.000000000e-05,-5.047901772e-05,2.000000000e-05,-4.784743528e-05,2.000000000e-05,-4.916322650e-05,2.631582441e-06,3.306944025e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
71,2.000000000e-05,-4.784743528e-05,2.000000000e-05,-4.531671422e-05,2.000000000e-05,-4.658207475e-05,2.530721068e-06,3.180197887e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
72,2.000000000e-05,-4.531671422e-05,2.000000000e-05,-4.288298878e-05,2.000000000e-05,-4.409985150e-05,2.433725437e-06,3.058309581e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
73,2.000000000e-05,-4.288298878e-05,2.000000000e-05,-4.054254140e-05,2.000000000e-05,-4.171276509e-05,2.340447383e-06,2.941092922e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
74,2.000000000e-05,-4.054254140e-05,2.000000000e-05,-3.829179697e-05,2.000000000e-05,-3.941716918e-05,2.250744423e-06,2.828368858e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
75,2.000000000e-05,-3.829179697e-05,2.000000000e-05,-3.612731744e-05,2.000000000e-05,-3.720955721e-05,2.164479532e-06,2.719965199e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
76,2.000000000e-05,-3.612731744e-05,2.000000000e-05,-3.404579650e-05,2.000000000e-05,-3.508655697e-05,2.081520940e-06,2.615716357e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
77,2.000000000e-05,-3.404579650e-05,2.000000000e-05,-3.204405458e-05,2.000000000e-05,-3.304492554e-05,2.001741923e-06,2.515463088e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
78,2.000000000e-05,-3.204405458e-05,2.000000000e-05,-3.011903396e-05,2.000000000e-05,-3.108154427e-05,1.925020619e-06,2.419052254e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
79,2.000000000e-05,-3.011903396e-05,2.000000000e-05,-2.826779413e-05,2.000000000e-05,-2.919341404e-05,1.851239833e-06,2.326336583e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
80,2.000000000e-05,-2.826779413e-05,2.000000000e-05,-2.648750726e-05,2.000000000e-05,-2.737765069e-05,1.780286862e-06,2.237174451e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
81,2.000000000e-05,-2.648750726e-05,2.000000000e-05,-2.477545394e-05,2.000000000e-05,-2.563148060e-05,1.712053326e-06,2.151429661e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
82,2.000000000e-05,-2.477545394e-05,2.000000000e-05,-2.312901894e-05,2.000000000e-05,-2.395223644e-05,1.646434995e-06,2.068971234e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
83,2.000000000e-05,-2.312901894e-05,2.000000000e-05,-2.154568731e-05,2.000000000e-05,-2.233735312e-05,1.583331635e-06,1.989673213e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
84,2.000000000e-05,-2.154568731e-05,2.000000000e-05,-2.002304045e-05,2.000000000e-05,-2.078436388e-05,1.522646855e-06,1.913414470e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
