# branch segment: range ends before the turning point
# r_contact (m) : 1.000000000e-05
h_over_rc,height_m,voltage_V,apex_field_Vpm,apex_radius_m,status
1.000000000e-01,1.000000000e-06,8.717943811e+02,2.049701900e+07,4.861196526e-05,converged
1.270958188e-01,1.270958188e-06,9.457151864e+02,2.335316104e+07,3.745453640e-05,converged
1.541916376e-01,1.541916376e-06,1.002904913e+03,2.599832714e+07,3.022407892e-05,converged
1.812874564e-01,1.812874564e-06,1.047657422e+03,2.850169256e+07,2.514544475e-05,converged
2.083832752e-01,2.083832752e-06,1.082756716e+03,3.089613493e+07,2.140033505e-05,converged
2.354790940e-01,2.354790940e-06,1.110208445e+03,3.321394648e+07,1.851944623e-05,converged
2.625749128e-01,2.625749128e-06,1.131500202e+03,3.547839375e+07,1.623258683e-05,converged
2.896707316e-01,2.896707316e-06,1.147791064e+03,3.770954357e+07,1.437038604e-05,converged
3.167665504e-01,3.167665504e-06,1.159986049e+03,3.993628105e+07,1.281096659e-05,converged
3.438623692e-01,3.438623692e-06,1.168720581e+03,4.215201961e+07,1.150067936e-05,converged
3.709581880e-01,3.709581880e-06,1.174605165e+03,4.438042967e+07,1.037625039e-05,converged
3.980540067e-01,3.980540067e-06,1.178160814e+03,4.665794596e+07,9.387101691e-06,converged
